Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Temperature [K]
2100-Jan-01 00:00:00, 262.82011859481042, 9.0048982290272264, null, null, 262.82011859481042, 294.45085839951548
2100-Jan-01 01:00:00, 269.1887079573533, 9.2231026015797628, null, null, 269.1887079573533, 294.43424320803746
2100-Jan-01 02:00:00, 276.17672146200567, 9.4625300501666647, null, null, 276.17672146200567, 294.41609693683989
2100-Jan-01 03:00:00, 283.69433568174759, 9.7201029914460566, null, null, 283.69433568174759, 294.39667000524355
2100-Jan-01 04:00:00, 291.38965832085427, 9.9837646836147531, null, null, 291.38965832085427, 294.37686041914344
2100-Jan-01 05:00:00, 299.26892586866126, 10.253728804956108, null, null, 299.26892586866126, 294.35666520981363
2100-Jan-01 06:00:00, 307.09393457629926, 10.521833877848817, null, null, 307.09393457629926, 294.3366731316662
2100-Jan-01 07:00:00, 314.47726400994321, 10.774805874425102, null, null, 314.47726400994321, 294.31782620319348
2100-Jan-01 08:00:00, 320.10605612121066, 10.967662876336961, null, null, 320.10605612121066, 294.30328923041526
2100-Jan-01 09:00:00, 322.24706787561087, 11.041019486396362, null, null, 322.24706787561087, 294.29725697670534
2100-Jan-01 10:00:00, 320.13472198610322, 10.968645043141331, null, null, 320.13472198610322, 294.30169398307964
2100-Jan-01 11:00:00, 313.24182034905914, 10.732476373573192, null, null, 313.24182034905914, 294.31812367280827
2100-Jan-01 12:00:00, 302.69661628695553, 10.371170359820246, null, null, 302.69661628695553, 294.34415319036299
2100-Jan-01 13:00:00, 290.02448136511282, 9.9369901839425356, null, null, 290.02448136511282, 294.37629418702477
2100-Jan-01 14:00:00, 276.77427676297975, 9.4830038430416437, null, null, 276.77427676297975, 294.41076574471583
2100-Jan-01 15:00:00, 264.91041652377186, 9.0765172520277577, null, null, 264.91041652377186, 294.44238188429568
2100-Jan-01 16:00:00, 255.89403056752522, 8.7675925077436094, null, null, 255.89403056752522, 294.46693142733938
2100-Jan-01 17:00:00, 250.74272064094183, 8.5910952826336242, null, null, 250.74272064094183, 294.48128759615395
2100-Jan-01 18:00:00, 249.4604828496316, 8.5471624936298944, null, null, 249.4604828496316, 294.4852068593288
2100-Jan-01 19:00:00, 251.29101504525175, 8.6098812695540854, null, null, 251.29101504525175, 294.48070982225283
2100-Jan-01 20:00:00, 255.06832177055736, 8.7393015849510078, null, null, 255.06832177055736, 294.47098617789084
2100-Jan-01 21:00:00, 259.94504620200223, 8.9063907995475304, null, null, 259.94504620200223, 294.45834351757748
2100-Jan-01 22:00:00, 265.30278597645776, 9.0899608461045975, null, null, 265.30278597645776, 294.44443855877421
2100-Jan-01 23:00:00, 270.91044358192318, 9.2820937250882523, null, null, 270.91044358192318, 294.42989318848885
2100-Jan-02 00:00:00, 276.97315009834847, 9.4898177587914621, null, null, 276.97315009834847, 294.41420496548028
2100-Jan-02 01:00:00, 283.59297805682206, 9.7166302165988725, null, null, 283.59297805682206, 294.39713622914093
2100-Jan-02 02:00:00, 290.55150322196897, 9.9550473182701378, null, null, 290.55150322196897, 294.37925242892192
2100-Jan-02 03:00:00, 297.59299845959981, 10.196307189599857, null, null, 297.59299845959981, 294.36120214133422
2100-Jan-02 04:00:00, 304.73731717410988, 10.441090059662711, null, null, 304.73731717410988, 294.34294659248224
2100-Jan-02 05:00:00, 311.71528212456008, 10.68017321874688, null, null, 311.71528212456008, 294.32514533781824
2100-Jan-02 06:00:00, 318.62837051861055, 10.917033538913874, null, null, 318.62837051861055, 294.30755646465849
2100-Jan-02 07:00:00, 325.30578165538014, 11.145818945607509, null, null, 325.30578165538014, 294.29058811212883
