Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Temperature [K]
2100-Jan-01 00:00:00, 4944.2976588965721, 10.644768491093592, null, null, 4944.2976588965721, 294.3067349887761
2100-Jan-01 01:00:00, 4940.7492845669576, 10.637129059598093, null, null, 4940.7492845669576, 294.3074936156907
2100-Jan-01 02:00:00, 4943.7996252646853, 10.643696255342842, null, null, 4943.7996252646853, 294.3071764166404
2100-Jan-01 03:00:00, 4953.0067370179204, 10.663518600162325, null, null, 4953.0067370179204, 294.30585146583633
2100-Jan-01 04:00:00, 4968.4781724272334, 10.696827648184689, null, null, 4968.4781724272334, 294.30350235241048
2100-Jan-01 05:00:00, 4990.2541185890077, 10.743709919754547, null, null, 4990.2541185890077, 294.30012393894935
2100-Jan-01 06:00:00, 5016.5901657328077, 10.800409808021154, null, null, 5016.5901657328077, 294.29599200417505
2100-Jan-01 07:00:00, 5046.4354416616616, 10.864664849835599, null, null, 5046.4354416616616, 294.29127628629504
2100-Jan-01 08:00:00, 5079.2312283199708, 10.935272159618583, null, null, 5079.2312283199708, 294.28606948978467
2100-Jan-01 09:00:00, 5111.146966270986, 11.003984778710125, null, null, 5111.146966270986, 294.28097173219265
2100-Jan-01 10:00:00, 5136.7951800815426, 11.059203804152938, null, null, 5136.7951800815426, 294.27682885981585
2100-Jan-01 11:00:00, 5150.8378527256245, 11.089436813895684, null, null, 5150.8378527256245, 294.27448559111406
2100-Jan-01 12:00:00, 5149.833212754198, 11.087273885882341, null, null, 5149.833212754198, 294.27450019672301
2100-Jan-01 13:00:00, 5131.7403917564334, 11.048321156059238, null, null, 5131.7403917564334, 294.27722127079466
2100-Jan-01 14:00:00, 5096.5331244097824, 10.972522076803809, null, null, 5096.5331244097824, 294.28268996220044
2100-Jan-01 15:00:00, 5047.0238077884369, 10.865931565887019, null, null, 5047.0238077884369, 294.29050350276805
2100-Jan-01 16:00:00, 4988.1569486323269, 10.739194841938556, null, null, 4988.1569486323269, 294.29991136430147
2100-Jan-01 17:00:00, 4927.7085780226007, 10.609053221187517, null, null, 4927.7085780226007, 294.30969127297584
2100-Jan-01 18:00:00, 4873.7550500830976, 10.492894596886178, null, null, 4873.7550500830976, 294.31853760956523
2100-Jan-01 19:00:00, 4830.8686064092062, 10.400562723724484, null, null, 4830.8686064092062, 294.32567701404821
2100-Jan-01 20:00:00, 4798.990478946258, 10.331931077698467, null, null, 4798.990478946258, 294.33107499375905
2100-Jan-01 21:00:00, 4776.6853314669697, 10.283909468269371, null, null, 4776.6853314669697, 294.33493278243463
2100-Jan-01 22:00:00, 4762.0685346165765, 10.252440404453237, null, null, 4762.0685346165765, 294.33753675637337
2100-Jan-01 23:00:00, 4754.7567475569722, 10.236698577023892, null, null, 4754.7567475569722, 294.33894207777314
2100-Jan-02 00:00:00, 4755.8428671078982, 10.239036925556055, null, null, 4755.8428671078982, 294.33897047288337
2100-Jan-02 01:00:00, 4765.7369484164947, 10.260338273538727, null, null, 4765.7369484164947, 294.33755293536456
2100-Jan-02 02:00:00, 4783.6860761883172, 10.298981640692061, null, null, 4783.6860761883172, 294.33480836729944
2100-Jan-02 03:00:00, 4809.191795271593, 10.353893883758941, null, null, 4809.191795271593, 294.33081876277504
2100-Jan-02 04:00:00, 4841.3165021953992, 10.423056400184876, null, null, 4841.3165021953992, 294.32573745906944
2100-Jan-02 05:00:00, 4878.7364295208963, 10.503619200164513, null, null, 4878.7364295208963, 294.31978023086583
2100-Jan-02 06:00:00, 4921.3792078941206, 10.595426476933785, null, null, 4921.3792078941206, 294.31296635459012
2100-Jan-02 07:00:00, 4967.6452646706493, 10.695034449058152, null, null, 4967.6452646706493, 294.3055532495473
2100-Jan-02 08:00:00, 5014.9232291349954, 10.796820996141854, null, null, 5014.9232291349954, 294.29795606062248
2100-Jan-02 09:00:00, 5058.964158770681, 10.891638406509708, null, null, 5058.964158770681, 294.29084322125891
2100-Jan-02 10:00:00, 5094.5575535178177, 10.968268794288573, null, null, 5094.5575535178177, 294.28503383486691
2100-Jan-02 11:00:00, 5116.9544033598186, 11.016487833259436, null, null, 5116.9544033598186, 294.28127990367602
2100-Jan-02 12:00:00, 5122.9856339003118, 11.029472701333559, null, null, 5122.9856339003118, 294.2800945729694
2100-Jan-02 13:00:00, 5111.1150439574449, 11.003916051934192, null, null, 5111.1150439574449, 294.28174659419216
2100-Jan-02 14:00:00, 5082.7987081183664, 10.942952724012242, null, null, 5082.7987081183664, 294.28604341085048
2100-Jan-02 15:00:00, 5040.9040895976814, 10.852756189349137, null, null, 5040.9040895976814, 294.29256567348756
2100-Jan-02 16:00:00, 4988.1044427208308, 10.739081799943342, null, null, 4988.1044427208308, 294.30091749047097
2100-Jan-02 17:00:00, 4930.6720705105708, 10.61543343808299, null, null, 4930.6720705105708, 294.31012522532876
2100-Jan-02 18:00:00, 4877.481080659757, 10.500916511345132, null, null, 4877.481080659757, 294.31877054354032
2100-Jan-02 19:00:00, 4835.8484841053132, 10.411284093845403, null, null, 4835.8484841053132, 294.32564781031994
2100-Jan-02 20:00:00, 4807.9522280383926, 10.351225171813004, null, null, 4807.9522280383926, 294.33035873607156
