Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Temperature [K]
2100-Jan-01 00:00:00, 666.88449254333887, 8.1971142315611178, null, null, 666.88449254333887, 294.52405877115285
2100-Jan-01 01:00:00, 682.70430936457899, 8.3915659650412611, null, null, 682.70430936457899, 294.50910749335401
2100-Jan-01 02:00:00, 700.139299725348, 8.6058708547356364, null, null, 700.139299725348, 294.49269705153
2100-Jan-01 03:00:00, 718.98350818089136, 8.837497367333544, null, null, 718.98350818089136, 294.4750381516659
2100-Jan-01 04:00:00, 738.32976538076866, 9.0752948899836152, null, null, 738.32976538076866, 294.45697278368579
2100-Jan-01 05:00:00, 758.16012268817383, 9.319042804231163, null, null, 758.16012268817383, 294.438530420483
2100-Jan-01 06:00:00, 777.8983498452061, 9.5616582864380479, null, null, 777.8983498452061, 294.42022878626244
2100-Jan-01 07:00:00, 796.56849735341348, 9.7911453018898662, null, null, 796.56849735341348, 294.40293043470632
2100-Jan-01 08:00:00, 810.95329524767465, 9.9679582775334943, null, null, 810.95329524767465, 294.38945100345961
2100-Jan-01 09:00:00, 816.80321337291809, 10.039863453998194, null, null, 816.80321337291809, 294.38352168399933
2100-Jan-01 10:00:00, 812.17176340837716, 9.9829352680205687, null, null, 812.17176340837716, 294.38694734747014
2100-Jan-01 11:00:00, 795.70620210763218, 9.7805462660597726, null, null, 795.70620210763218, 294.40113019136311
2100-Jan-01 12:00:00, 770.01921327211392, 9.4648106565143237, null, null, 770.01921327211392, 294.42407648818113
2100-Jan-01 13:00:00, 738.80678247988271, 9.0811582196839868, null, null, 738.80678247988271, 294.45273153751646
2100-Jan-01 14:00:00, 705.89671223942105, 8.6766389841250149, null, null, 705.89671223942105, 294.48372012512431
2100-Jan-01 15:00:00, 676.15958349828156, 8.3111204514026209, null, null, 676.15958349828156, 294.51240107752091
2100-Jan-01 16:00:00, 653.29379279236116, 8.030062036478963, null, null, 653.29379279236116, 294.53493584127455
2100-Jan-01 17:00:00, 639.90734614357496, 7.8655204500997176, null, null, 639.90734614357496, 294.54843932901167
2100-Jan-01 18:00:00, 636.12150780656532, 7.8189862306693945, null, null, 636.12150780656532, 294.55257580969055
2100-Jan-01 19:00:00, 640.15703522957278, 7.8685895422486336, null, null, 640.15703522957278, 294.54905369295864
2100-Jan-01 20:00:00, 649.19074178831647, 7.9796287483246582, null, null, 649.19074178831647, 294.54066443893078
2100-Jan-01 21:00:00, 661.12811130301759, 8.1263587782331008, null, null, 661.12811130301759, 294.52947326997253
2100-Jan-01 22:00:00, 674.41238803967826, 8.2896445272820642, null, null, 674.41238803967826, 294.51699250129411
2100-Jan-01 23:00:00, 688.39854119024221, 8.4615574991942584, null, null, 688.39854119024221, 294.50385159042838
2100-Jan-02 00:00:00, 703.53273301465663, 8.6475817666261801, null, null, 703.53273301465663, 294.48965941946057
2100-Jan-02 01:00:00, 720.06275791314022, 8.8507631329024612, null, null, 720.06275791314022, 294.47420825769711
2100-Jan-02 02:00:00, 737.45865932429717, 9.0645875547066037, null, null, 737.45865932429717, 294.45799632167825
2100-Jan-02 03:00:00, 755.07399834287116, 9.2811092279160654, null, null, 755.07399834287116, 294.4416189143862
2100-Jan-02 04:00:00, 772.95255274294561, 9.5008662538347117, null, null, 772.95255274294561, 294.4250465201892
2100-Jan-02 05:00:00, 790.43126619692339, 9.7157085727144974, null, null, 790.43126619692339, 294.40886928222136
2100-Jan-02 06:00:00, 807.73905890589094, 9.9284499927323999, null, null, 807.73905890589094, 294.39289031287854
2100-Jan-02 07:00:00, 824.47783037447573, 10.134197199869726, null, null, 824.47783037447573, 294.37745447870196
2100-Jan-02 08:00:00, 837.3529552958031, 10.292453795885686, null, null, 837.3529552958031, 294.36541709911995
2100-Jan-02 09:00:00, 842.81070369108829, 10.35953855725516, null, null, 842.81070369108829, 294.35988033025916
2100-Jan-02 10:00:00, 838.98215103682378, 10.312479308165614, null, null, 838.98215103682378, 294.36255337125857
2100-Jan-02 11:00:00, 823.48045062286883, 10.121937751872986, null, null, 823.48045062286883, 294.37569724051423
2100-Jan-02 12:00:00, 799.69641263471078, 9.8295925579801313, null, null, 799.69641263471078, 294.3966306349908
2100-Jan-02 13:00:00, 770.38104841779921, 9.4692582093594417, null, null, 770.38104841779921, 294.42312249364545
2100-Jan-02 14:00:00, 734.21135075380278, 9.0246727574739474, null, null, 734.21135075380278, 294.45660271297277
2100-Jan-02 15:00:00, 696.72808963678369, 8.5639414365583235, null, null, 696.72808963678369, 294.49221537897682
2100-Jan-02 16:00:00, 666.64175475562183, 8.1941305823737682, null, null, 666.64175475562183, 294.52154188692299
2100-Jan-02 17:00:00, 647.96061029007046, 7.9645083961141756, null, null, 647.96061029007046, 294.54018270358318
2100-Jan-02 18:00:00, 640.34494773552842, 7.8708992979770693, null, null, 640.34494773552842, 294.548094600767
2100-Jan-02 19:00:00, 642.33405760954554, 7.8953487506765336, null, null, 642.33405760954554, 294.54661375928197
2100-Jan-02 20:00:00, 651.28415846706366, 8.0053603043014689, null, null, 651.28415846706366, 294.53836748314728
2100-Jan-02 21:00:00, 664.74733896452744, 8.1708450766897922, null, null, 664.74733896452744, 294.52579332667943
2100-Jan-02 22:00:00, 680.61553201039624, 8.3658914340422932, null, null, 680.61553201039624, 294.51095031618161
2100-Jan-02 23:00:00, 696.10829237437861, 8.5563231023233079, null, null, 696.10829237437861, 294.49645847694899
2100-Jan-03 00:00:00, 710.82757249192287, 8.7372474181215427, null, null, 710.82757249192287, 294.48269205955631
2100-Jan-03 01:00:00, 725.38716395373388, 8.9162088960263102, null, null, 725.38716395373388, 294.46909164068984
2100-Jan-03 02:00:00, 740.46333578654196, 9.1015200017274847, null, null, 740.46333578654196, 294.4550454875934
2100-Jan-03 03:00:00, 755.86626633520791, 9.2908475128931638, null, null, 755.86626633520791, 294.44072651182108
2100-Jan-03 04:00:00, 770.97682387435407, 9.4765812758399885, null, null, 770.97682387435407, 294.42669196788142
2100-Jan-03 05:00:00, 785.50916848870565, 9.6552078448908656, null, null, 785.50916848870565, 294.4131996762805
2100-Jan-03 06:00:00, 798.52317089397479, 9.8151714750526047, null, null, 798.52317089397479, 294.40107991731492
2100-Jan-03 07:00:00, 811.26613822981949, 9.9718036355975332, null, null, 811.26613822981949, 294.38924098017384
2100-Jan-03 08:00:00, 822.28727914422575, 10.107271699479149, null, null, 822.28727914422575, 294.37893729343
2100-Jan-03 09:00:00, 828.37114156308371, 10.182052438533805, null, null, 828.37114156308371, 294.37297883870781
2100-Jan-03 10:00:00, 826.91219179145367, 10.164119531006518, null, null, 826.91219179145367, 294.37369367920087
2100-Jan-03 11:00:00, 816.89604243135034, 10.041004476775731, null, null, 816.89604243135034, 294.38209511660932
2100-Jan-03 12:00:00, 798.27400855296946, 9.8121088574715092, null, null, 798.27400855296946, 294.39841794781614
2100-Jan-03 13:00:00, 772.3164692278026, 9.4930477345967628, null, null, 772.3164692278026, 294.42177466392599
2100-Jan-03 14:00:00, 741.57769641578409, 9.1152173383355297, null, null, 741.57769641578409, 294.4500902391182
2100-Jan-03 15:00:00, 710.06497976875403, 8.7278738913206251, null, null, 710.06497976875403, 294.47979826564642
2100-Jan-03 16:00:00, 682.2407911641144, 8.3858685591484861, null, null, 682.2407911641144, 294.50661818115407
2100-Jan-03 17:00:00, 662.56860873781739, 8.1440648759986853, null, null, 662.56860873781739, 294.52599438731272
2100-Jan-03 18:00:00, 652.81781852312622, 8.024211524883885, null, null, 652.81781852312622, 294.53589919403379
2100-Jan-03 19:00:00, 651.67880300288755, 8.0102111388570485, null, null, 651.67880300288755, 294.53745266816458
2100-Jan-03 20:00:00, 656.5977515408, 8.0706731581651656, null, null, 656.5977515408, 294.53311798477699
2100-Jan-03 21:00:00, 664.5046019151639, 8.1678614365780291, null, null, 664.5046019151639, 294.52587189278825
2100-Jan-03 22:00:00, 675.44710470016173, 8.3023629076884458, null, null, 675.44710470016173, 294.51571576925835
2100-Jan-03 23:00:00, 689.40907555299918, 8.4739786391353693, null, null, 689.40907555299918, 294.50271118950133
2100-Jan-04 00:00:00, 705.48805353879925, 8.6716158922880116, null, null, 705.48805353879925, 294.48773801216595
2100-Jan-04 01:00:00, 721.25348892872296, 8.8653991879658651, null, null, 721.25348892872296, 294.47305089324465
2100-Jan-04 02:00:00, 736.92808710000816, 9.058065943874114, null, null, 736.92808710000816, 294.45846334741674
2100-Jan-04 03:00:00, 752.8194267675716, 9.2533968115192184, null, null, 752.8194267675716, 294.44370321101951
2100-Jan-04 04:00:00, 769.69883952641908, 9.4608727329014375, null, null, 769.69883952641908, 294.42808605971203
2100-Jan-04 05:00:00, 787.63938704556119, 9.681391756863599, null, null, 787.63938704556119, 294.41155237228668
2100-Jan-04 06:00:00, 805.88250826539877, 9.9056299124232101, null, null, 805.88250826539877, 294.39477880788894
2100-Jan-04 07:00:00, 821.93197195738935, 10.102904386053273, null, null, 821.93197195738935, 294.37995374144089
2100-Jan-04 08:00:00, 835.96932839541341, 10.275446731119343, null, null, 835.96932839541341, 294.36693212485676
2100-Jan-04 09:00:00, 846.95257818881089, 10.410449050406889, null, null, 846.95257818881089, 294.35661102678915
2100-Jan-04 10:00:00, 853.19515241180341, 10.487180620231994, null, null, 853.19515241180341, 294.3504566087588
2100-Jan-04 11:00:00, 851.37968080434734, 10.464865469232278, null, null, 851.37968080434734, 294.35137978627768
2100-Jan-04 12:00:00, 842.5861401151916, 10.356778299212792, null, null, 842.5861401151916, 294.35856969637297
2100-Jan-04 13:00:00, 829.33456867812447, 10.193894552429203, null, null, 829.33456867812447, 294.36992856655161
2100-Jan-04 14:00:00, 814.0348027056308, 10.005835104661294, null, null, 814.0348027056308, 294.38337783951135
2100-Jan-04 15:00:00, 798.94969326672833, 9.8204141409878165, null, null, 798.94969326672833, 294.39689187690635
2100-Jan-04 16:00:00, 786.34553692061604, 9.665488197264775, null, null, 786.34553692061604, 294.40837540485251
2100-Jan-04 17:00:00, 777.13476371712875, 9.552272549046533, null, null, 777.13476371712875, 294.41690892728099
2100-Jan-04 18:00:00, 772.07509307541034, 9.4900808221613158, null, null, 772.07509307541034, 294.42172466492451
2100-Jan-04 19:00:00, 770.99848996709466, 9.4768475879811938, null, null, 770.99848996709466, 294.42291377039322
2100-Jan-04 20:00:00, 772.35586570764838, 9.4935319825425886, null, null, 772.35586570764838, 294.42184829005316
2100-Jan-04 21:00:00, 776.41934883477336, 9.5434789159973352, null, null, 776.41934883477336, 294.41828744813762
2100-Jan-04 22:00:00, 781.91579348473181, 9.6110393183862612, null, null, 781.91579348473181, 294.41337668185622
2100-Jan-04 23:00:00, 788.42089270820372, 9.6909977549950916, null, null, 788.42089270820372, 294.40751105221375
2100-Jan-05 00:00:00, 795.57989051960112, 9.778993687573637, null, null, 795.57989051960112, 294.40101822867405
2100-Jan-05 01:00:00, 803.55889235396626, 9.8770688268540354, null, null, 803.55889235396626, 294.39376166438046
2100-Jan-05 02:00:00, 812.69124181261066, 9.9893205174422359, null, null, 812.69124181261066, 294.38545443540335
2100-Jan-05 03:00:00, 822.27570623730207, 10.107129449297737, null, null, 822.27570623730207, 294.37671883255763
2100-Jan-05 04:00:00, 832.30506896090731, 10.230406917636545, null, null, 832.30506896090731, 294.36757270871891
2100-Jan-05 05:00:00, 842.7148462644393, 10.358360310819727, null, null, 842.7148462644393, 294.35807979287836
2100-Jan-05 06:00:00, 851.97483656895679, 10.472180918673111, null, null, 851.97483656895679, 294.34957724610837
2100-Jan-05 07:00:00, 860.89658847679505, 10.58184401678368, null, null, 860.89658847679505, 294.34137719743262
2100-Jan-05 08:00:00, 869.08545026966954, 10.682498682311529, null, null, 869.08545026966954, 294.33381728283609
2100-Jan-05 09:00:00, 873.23006572257509, 10.733442866339249, null, null, 873.23006572257509, 294.32975851398106
2100-Jan-05 10:00:00, 869.0041324292846, 10.681499151457007, null, null, 869.0041324292846, 294.33299690868984
2100-Jan-05 11:00:00, 854.72371502740407, 10.505969184833919, null, null, 854.72371502740407, 294.34516489669261
2100-Jan-05 12:00:00, 833.55695106321741, 10.245794620772282, null, null, 833.55695106321741, 294.36372911496153
2100-Jan-05 13:00:00, 809.07859026096628, 9.9449150502604802, null, null, 809.07859026096628, 294.38567057610715
2100-Jan-05 14:00:00, 781.88600865382659, 9.6106732135149855, null, null, 781.88600865382659, 294.41050924937019
2100-Jan-05 15:00:00, 755.25020650568911, 9.283275117894469, null, null, 755.25020650568911, 294.43530524417855
2100-Jan-05 16:00:00, 732.41058437768299, 9.0025383581072553, null, null, 732.41058437768299, 294.4569653713055
2100-Jan-05 17:00:00, 716.32939200639657, 8.8048738864917642, null, null, 716.32939200639657, 294.47252582365172
