Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Temperature [K]
2100-Jan-01 00:00:00, 945.21644666197369, 10.17495367277809, null, null, 945.21644666197369, 294.36716785190583
2100-Jan-01 01:00:00, 944.53722554496244, 10.167642074018284, null, null, 944.53722554496244, 294.36788243907296
2100-Jan-01 02:00:00, 945.1754344636679, 10.174512189539776, null, null, 945.1754344636679, 294.3675355890187
2100-Jan-01 03:00:00, 947.04186078364944, 10.194603673777626, null, null, 947.04186078364944, 294.36619534742363
2100-Jan-01 04:00:00, 950.15934154754791, 10.228162360214435, null, null, 950.15934154754791, 294.36384451465517
2100-Jan-01 05:00:00, 954.53741024315934, 10.275290873806641, null, null, 954.53741024315934, 294.36047693978304
2100-Jan-01 06:00:00, 959.81981105828572, 10.332154234325566, null, null, 959.81981105828572, 294.35637138853934
2100-Jan-01 07:00:00, 965.79369611988682, 10.396461202282959, null, null, 965.79369611988682, 294.35169800295466
2100-Jan-01 08:00:00, 972.34890948068096, 10.467025984028773, null, null, 972.34890948068096, 294.34654729105199
2100-Jan-01 09:00:00, 978.70631081341185, 10.535461382363444, null, null, 978.70631081341185, 294.34152314548777
2100-Jan-01 10:00:00, 983.77869570313771, 10.590063988407515, null, null, 983.77869570313771, 294.33746998364569
2100-Jan-01 11:00:00, 986.49770360358082, 10.619333241519463, null, null, 986.49770360358082, 294.33522392949197
2100-Jan-01 12:00:00, 986.18357198440617, 10.61595171479768, null, null, 986.18357198440617, 294.33533021521788
2100-Jan-01 13:00:00, 982.43982314374773, 10.57565145219567, null, null, 982.43982314374773, 294.3381239797759
2100-Jan-01 14:00:00, 975.2700132138151, 10.498470734342822, null, null, 975.2700132138151, 294.34363829560999
2100-Jan-01 15:00:00, 965.24682179424224, 10.390574274534382, null, null, 965.24682179424224, 294.3514659237087
2100-Jan-01 16:00:00, 953.36988371165717, 10.262722822952547, null, null, 953.36988371165717, 294.36085512730165
2100-Jan-01 17:00:00, 941.21182597449115, 10.131845207922151, null, null, 941.21182597449115, 294.37058211107052
2100-Jan-01 18:00:00, 930.40251074921343, 10.015486375995279, null, null, 930.40251074921343, 294.37934290171364
2100-Jan-01 19:00:00, 921.85135628156434, 9.9234359246257906, null, null, 921.85135628156434, 294.38637626497649
2100-Jan-01 20:00:00, 915.52313420734788, 9.8553146317054274, null, null, 915.52313420734788, 294.39166748492971
2100-Jan-01 21:00:00, 911.11255764820135, 9.8078361813271666, null, null, 911.11255764820135, 294.39543122380894
2100-Jan-01 22:00:00, 908.23274437155249, 9.7768359096120125, null, null, 908.23274437155249, 294.39795965231775
2100-Jan-01 23:00:00, 906.81048853069524, 9.7615257789613388, null, null, 906.81048853069524, 294.39930513573393
2100-Jan-02 00:00:00, 907.07578703167508, 9.7643816327358479, null, null, 907.07578703167508, 294.39928245972152
2100-Jan-02 01:00:00, 909.11446999681652, 9.7863274048360385, null, null, 909.11446999681652, 294.39782056010984
2100-Jan-02 02:00:00, 912.77026810462201, 9.8256809058413523, null, null, 912.77026810462201, 294.39504194517531
2100-Jan-02 03:00:00, 917.94015593307165, 9.8813330999326663, null, null, 917.94015593307165, 294.39103073649073
2100-Jan-02 04:00:00, 924.43320083065862, 9.9512286579940277, null, null, 924.43320083065862, 294.38594165811531
2100-Jan-02 05:00:00, 931.98075645789731, 10.032475687836847, null, null, 931.98075645789731, 294.37999151148449
2100-Jan-02 06:00:00, 940.57147520854767, 10.124952036098055, null, null, 940.57147520854767, 294.37319704404672
2100-Jan-02 07:00:00, 949.88009459207603, 10.225156355774685, null, null, 949.88009459207603, 294.36581721450034
2100-Jan-02 08:00:00, 959.37348092569391, 10.327349632757402, null, null, 959.37348092569391, 294.35827126503244
2100-Jan-02 09:00:00, 968.18613793246664, 10.422215075582333, null, null, 968.18613793246664, 294.3512326978132
2100-Jan-02 10:00:00, 975.26651510458078, 10.498433078312262, null, null, 975.26651510458078, 294.34551907134573
2100-Jan-02 11:00:00, 979.66411291893996, 10.545771816641068, null, null, 979.66411291893996, 294.34187455326241
2100-Jan-02 12:00:00, 980.75311995515585, 10.557494630163788, null, null, 980.75311995515585, 294.34080013867225
2100-Jan-02 13:00:00, 978.24198368835664, 10.530463048909624, null, null, 978.24198368835664, 294.3425488986544
2100-Jan-02 14:00:00, 972.43777868357574, 10.467982632662622, null, null, 972.43777868357574, 294.34691719542627
2100-Jan-02 15:00:00, 963.93001203905408, 10.376399237375201, null, null, 963.93001203905408, 294.35347692096747
2100-Jan-02 16:00:00, 953.27121142550482, 10.261660647253073, null, null, 953.27121142550482, 294.36182158651951
2100-Jan-02 17:00:00, 941.7335816364855, 10.13746174126544, null, null, 941.7335816364855, 294.37097277901034
2100-Jan-02 18:00:00, 931.10042715875011, 10.02299922361826, null, null, 931.10042715875011, 294.37951941681456
2100-Jan-02 19:00:00, 922.83255969787467, 9.9339982665526438, null, null, 922.83255969787467, 294.38627039340344
2100-Jan-02 20:00:00, 917.34570008822016, 9.8749339723008553, null, null, 917.34570008822016, 294.39084814028803
2100-Jan-02 21:00:00, 914.52323018685513, 9.8445509837371059, null, null, 914.52323018685513, 294.39330906608836
2100-Jan-02 22:00:00, 913.93261997996615, 9.8381932531718075, null, null, 913.93261997996615, 294.39397497553233
2100-Jan-02 23:00:00, 915.03775991289069, 9.8500897321837364, null, null, 915.03775991289069, 294.3932618364629
2100-Jan-03 00:00:00, 917.49044691075528, 9.876492125693952, null, null, 917.49044691075528, 294.39144512063996
2100-Jan-03 01:00:00, 920.94020421283381, 9.9136276631202591, null, null, 920.94020421283381, 294.38880470962761
2100-Jan-03 02:00:00, 925.15350753191751, 9.9589825299684129, null, null, 925.15350753191751, 294.38552988668698
