Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Temperature [K]
2100-Jan-01 00:00:00, 13.958928626441054, 9.1594019858537106, null, null, 13.958928626441054, 294.42171960775158
2100-Jan-01 01:00:00, 14.274434789361749, 9.3664270271402561, null, null, 14.274434789361749, 294.40570055178136
2100-Jan-01 02:00:00, 14.622521182462284, 9.5948301722193481, null, null, 14.622521182462284, 294.38810280241398
2100-Jan-01 03:00:00, 14.998831898198386, 9.8417532140409367, null, null, 14.998831898198386, 294.36916473115912
2100-Jan-01 04:00:00, 15.384765840865523, 10.094990709229346, null, null, 15.384765840865523, 294.34981054611558
2100-Jan-01 05:00:00, 15.780301527337027, 10.35452856124477, null, null, 15.780301527337027, 294.33005488296749
2100-Jan-01 06:00:00, 16.173678979954275, 10.61265024931383, null, null, 16.173678979954275, 294.31046427714421
2100-Jan-01 07:00:00, 16.545092824136347, 10.856360120824377, null, null, 16.545092824136347, 294.29197679647143
2100-Jan-01 08:00:00, 16.828547116079626, 11.042353750708418, null, null, 16.828547116079626, 294.27768966247487
2100-Jan-01 09:00:00, 16.937812446434982, 11.114050161702746, null, null, 16.937812446434982, 294.27166808953166
2100-Jan-01 10:00:00, 16.8351858081489, 11.046709847866733, null, null, 16.8351858081489, 294.27580352794035
2100-Jan-01 11:00:00, 16.4947368804715, 10.823318163039044, null, null, 16.4947368804715, 294.29156396066611
2100-Jan-01 12:00:00, 15.972251390564256, 10.480479915068411, null, null, 15.972251390564256, 294.31665527755615
2100-Jan-01 13:00:00, 15.343237751792236, 10.067741306950287, null, null, 15.343237751792236, 294.34772059427672
2100-Jan-01 14:00:00, 14.684437082039496, 9.6354574029130564, null, null, 14.684437082039496, 294.38111377570567
2100-Jan-01 15:00:00, 14.093314013019461, 9.2475813733723502, null, null, 14.093314013019461, 294.41182322785733
2100-Jan-01 16:00:00, 13.642693233428567, 8.9518984471316063, null, null, 13.642693233428567, 294.43575801695971
2100-Jan-01 17:00:00, 13.383510558111482, 8.7818310748763011, null, null, 13.383510558111482, 294.44986697500224
2100-Jan-01 18:00:00, 13.316456428374632, 8.7378323020830937, null, null, 13.316456428374632, 294.45388310820903
2100-Jan-01 19:00:00, 13.404569206596236, 8.7956490856930696, null, null, 13.404569206596236, 294.44972550196815
2100-Jan-01 20:00:00, 13.590551964172869, 8.9176850158614638, null, null, 13.590551964172869, 294.44044497146217
2100-Jan-01 21:00:00, 13.832640688004091, 9.0765358845171207, null, null, 13.832640688004091, 294.42825646277981
2100-Jan-01 22:00:00, 14.099998100110049, 9.25196725729006, null, null, 14.099998100110049, 294.4147691361224
2100-Jan-01 23:00:00, 14.380333237464757, 9.4359141978115222, null, null, 14.380333237464757, 294.40062655321816
2100-Jan-02 00:00:00, 14.683354191641701, 9.6347468449092535, null, null, 14.683354191641701, 294.38536842640161
2100-Jan-02 01:00:00, 15.014152310565747, 9.851805978061515, null, null, 15.014152310565747, 294.3687644520989
2100-Jan-02 02:00:00, 15.361819336044379, 10.079933947535682, null, null, 15.361819336044379, 294.35136381244979
2100-Jan-02 03:00:00, 15.713247927619985, 10.310530136233588, null, null, 15.713247927619985, 294.33381300700518
2100-Jan-02 04:00:00, 16.069665006899886, 10.544399610826698, null, null, 16.069665006899886, 294.31606375504481
2100-Jan-02 05:00:00, 16.417400683253931, 10.772572626807042, null, null, 16.417400683253931, 294.29876776719533
2100-Jan-02 06:00:00, 16.761523379169912, 10.998374920715166, null, null, 16.761523379169912, 294.28169088583599
