Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Temperature [K]
2100-Jan-01 00:00:00, 391.20384463626391, 10.527207845842941, null, null, 391.20384463626391, 294.33602623038291
2100-Jan-01 01:00:00, 390.93402247171184, 10.519946991823739, null, null, 390.93402247171184, 294.33672612039646
2100-Jan-01 02:00:00, 391.20769287896968, 10.527311401192309, null, null, 391.20769287896968, 294.33633966196038
2100-Jan-01 03:00:00, 391.98714567907518, 10.548286301478282, null, null, 391.98714567907518, 294.3349385864841
2100-Jan-01 04:00:00, 393.28121007434191, 10.583109284538542, null, null, 393.28121007434191, 294.33250656367085
2100-Jan-01 05:00:00, 395.09333022838041, 10.631873032044505, null, null, 395.09333022838041, 294.32903837302223
2100-Jan-01 06:00:00, 397.27760637432817, 10.690651413945348, null, null, 397.27760637432817, 294.32481769021661
2100-Jan-01 07:00:00, 399.7472519862693, 10.757109024265235, null, null, 399.7472519862693, 294.32001674439505
2100-Jan-01 08:00:00, 402.45693954301601, 10.830026109560471, null, null, 402.45693954301601, 294.31472789310675
2100-Jan-01 09:00:00, 405.0869988874353, 10.90080041749537, null, null, 405.0869988874353, 294.30956655669985
2100-Jan-01 10:00:00, 407.19096315347485, 10.957417624694392, null, null, 407.19096315347485, 294.30539365383157
2100-Jan-01 11:00:00, 408.32831107638509, 10.988023402581483, null, null, 408.32831107638509, 294.30306461874301
2100-Jan-01 12:00:00, 408.21695763627821, 10.985026906446725, null, null, 408.21695763627821, 294.30314003126188
2100-Jan-01 13:00:00, 406.69089404166323, 10.943960876890131, null, null, 406.69089404166323, 294.30596666443887
2100-Jan-01 14:00:00, 403.75022390597195, 10.864828102125944, null, null, 403.75022390597195, 294.31157979323046
2100-Jan-01 15:00:00, 399.63060214852948, 10.753970003256347, null, null, 399.63060214852948, 294.3195623739789
2100-Jan-01 16:00:00, 394.74401724743376, 10.622473097958746, null, null, 394.74401724743376, 294.32914467196025
2100-Jan-01 17:00:00, 389.73823553079683, 10.487768633050036, null, null, 389.73823553079683, 294.33907534758703
2100-Jan-01 18:00:00, 385.28418084609217, 10.367911019006819, null, null, 385.28418084609217, 294.34802281175661
2100-Jan-01 19:00:00, 381.75732495560459, 10.273004116862186, null, null, 381.75732495560459, 294.3552084485861
2100-Jan-01 20:00:00, 379.14597972635505, 10.202733401575324, null, null, 379.14597972635505, 294.36061294261833
2100-Jan-01 21:00:00, 377.3268286175155, 10.153780452650308, null, null, 377.3268286175155, 294.36445164375499
2100-Jan-01 22:00:00, 376.14129579542868, 10.121878029917777, null, null, 376.14129579542868, 294.36702204007474
2100-Jan-01 23:00:00, 375.55829746548193, 10.106189675426183, null, null, 375.55829746548193, 294.36837953724898
2100-Jan-02 00:00:00, 375.67057334506364, 10.10921099420062, null, null, 375.67057334506364, 294.36833869308003
2100-Jan-02 01:00:00, 376.512352583574, 10.131863084985548, null, null, 376.512352583574, 294.36682923085056
2100-Jan-02 02:00:00, 378.01970846249367, 10.172425694102529, null, null, 378.01970846249367, 294.36397576338169
2100-Jan-02 03:00:00, 380.15082096630857, 10.229773454300013, null, null, 380.15082096630857, 294.35986314720537
2100-Jan-02 04:00:00, 382.82746052047764, 10.301801225247257, null, null, 382.82746052047764, 294.3546488402439
2100-Jan-02 05:00:00, 385.9394502636751, 10.385544172281, null, null, 385.9394502636751, 294.34855363938289
2100-Jan-02 06:00:00, 389.48188407523014, 10.480870272792755, null, null, 389.48188407523014, 294.34159496831097
2100-Jan-02 07:00:00, 393.32100325412983, 10.584180110094627, null, null, 393.32100325412983, 294.33403735814295
2100-Jan-02 08:00:00, 397.23840374478317, 10.689596479964043, null, null, 397.23840374478317, 294.32630737408647
2100-Jan-02 09:00:00, 400.87949153322842, 10.787577336899545, null, null, 400.87949153322842, 294.319090277008
2100-Jan-02 10:00:00, 403.812155272903, 10.86649466134002, null, null, 403.812155272903, 294.31322007033486
2100-Jan-02 11:00:00, 405.64414054944837, 10.915792974843685, null, null, 405.64414054944837, 294.30945860645465
2100-Jan-02 12:00:00, 406.11550466459465, 10.9284772776164, null, null, 406.11550466459465, 294.30832134197846
2100-Jan-02 13:00:00, 405.10279904949897, 10.901225596317929, null, null, 405.10279904949897, 294.3100722540795
2100-Jan-02 14:00:00, 402.73026606642605, 10.837381265091713, null, null, 402.73026606642605, 294.31450609404044
2100-Jan-02 15:00:00, 399.23944171259194, 10.743443963528865, null, null, 399.23944171259194, 294.3211867101196
