Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Temperature [K]
2100-Jan-01 00:00:00, 10779.791850193509, 4.6412946994135522, null, null, 10779.791850193509, 294.87151147438527
2100-Jan-01 01:00:00, 11012.079768646763, 4.7413074547280756, null, null, 11012.079768646763, 294.86373778645731
2100-Jan-01 02:00:00, 11268.427287998355, 4.8516791946752615, null, null, 11268.427287998355, 294.85519371270647
2100-Jan-01 03:00:00, 11545.812825746905, 4.9711089614033845, null, null, 11545.812825746905, 294.84598915341024
2100-Jan-01 04:00:00, 11830.713030978774, 5.0937742067792273, null, null, 11830.713030978774, 294.83656755193027
2100-Jan-01 05:00:00, 12122.784596198619, 5.2195271179989327, null, null, 12122.784596198619, 294.82694652325961
2100-Jan-01 06:00:00, 12413.548798817425, 5.3447171375418101, null, null, 12413.548798817425, 294.81739573964984
2100-Jan-01 07:00:00, 12688.581043581193, 5.4631336818990164, null, null, 12688.581043581193, 294.80836592311255
2100-Jan-01 08:00:00, 12900.373555579543, 5.5543220347887594, null, null, 12900.373555579543, 294.80132742764459
2100-Jan-01 09:00:00, 12986.310092511867, 5.5913224517627471, null, null, 12986.310092511867, 294.79822580133884
2100-Jan-01 10:00:00, 12917.874253994414, 5.5618570502990563, null, null, 12917.874253994414, 294.79999950112324
2100-Jan-01 11:00:00, 12675.30264699587, 5.4574166001088829, null, null, 12675.30264699587, 294.80737800809226
2100-Jan-01 12:00:00, 12297.281939936567, 5.2946578448077393, null, null, 12297.281939936567, 294.81932001579673
2100-Jan-01 13:00:00, 11838.326534844555, 5.0970522399386136, null, null, 11838.326534844555, 294.83423346595538
2100-Jan-01 14:00:00, 11354.764894372183, 4.8888522941554449, null, null, 11354.764894372183, 294.85036059348619
2100-Jan-01 15:00:00, 10918.246196045724, 4.7009069285219578, null, null, 10918.246196045724, 294.86528179720921
2100-Jan-01 16:00:00, 10583.019600089083, 4.5565733973612357, null, null, 10583.019600089083, 294.87699806220212
2100-Jan-01 17:00:00, 10387.204590208526, 4.4722642399995447, null, null, 10387.204590208526, 294.88401017088779
2100-Jan-01 18:00:00, 10332.365356484228, 4.4486529265028079, null, null, 10332.365356484228, 294.88614873796467
2100-Jan-01 19:00:00, 10392.295173013224, 4.4744560165492882, null, null, 10392.295173013224, 294.88430524662164
2100-Jan-01 20:00:00, 10525.56448733961, 4.5318358037263868, null, null, 10525.56448733961, 294.87993130525206
2100-Jan-01 21:00:00, 10701.485158218591, 4.6075793513398073, null, null, 10701.485158218591, 294.87409898117318
2100-Jan-01 22:00:00, 10897.214402929592, 4.6918515820676276, null, null, 10897.214402929592, 294.86759405277337
2100-Jan-01 23:00:00, 11103.203259533086, 4.780541141344683, null, null, 11103.203259533086, 294.8607458141181
2100-Jan-02 00:00:00, 11325.972915073804, 4.8764557597176488, null, null, 11325.972915073804, 294.85335172960725
2100-Jan-02 01:00:00, 11569.180592095083, 4.9811700731202109, null, null, 11569.180592095083, 294.84530326768481
2100-Jan-02 02:00:00, 11825.036291843242, 5.0913300576132841, null, null, 11825.036291843242, 294.83685943487524
2100-Jan-02 03:00:00, 12083.980336195091, 5.2028197447238353, null, null, 12083.980336195091, 294.82833129967344
2100-Jan-02 04:00:00, 12346.700890353895, 5.3159354275115653, null, null, 12346.700890353895, 294.81970230482773
2100-Jan-02 05:00:00, 12603.405144033488, 5.4264607612543152, null, null, 12603.405144033488, 294.81128062133325
2100-Jan-02 06:00:00, 12857.481670434232, 5.5358547135325322, null, null, 12857.481670434232, 294.80296328225717
2100-Jan-02 07:00:00, 13103.134072086874, 5.6416216156706422, null, null, 13103.134072086874, 294.79492828464856
2100-Jan-02 08:00:00, 13291.868664059662, 5.72288226276779, null, null, 13291.868664059662, 294.78866240801023
2100-Jan-02 09:00:00, 13371.439209364436, 5.7571417693783804, null, null, 13371.439209364436, 294.7857801564075
2100-Jan-02 10:00:00, 13314.474928225169, 5.7326155058120909, null, null, 13314.474928225169, 294.78716984981241
2100-Jan-02 11:00:00, 13085.875706871311, 5.634190937962881, null, null, 13085.875706871311, 294.79401087612683
2100-Jan-02 12:00:00, 12735.780618612796, 5.4834557011414216, null, null, 12735.780618612796, 294.80490355328647
2100-Jan-02 13:00:00, 12304.687915130184, 5.297846525432357, null, null, 12304.687915130184, 294.81868763332466
2100-Jan-02 14:00:00, 11772.932466559701, 5.0688964882579235, null, null, 11772.932466559701, 294.83611519646337
2100-Jan-02 15:00:00, 11222.182239276863, 4.8317681516339874, null, null, 11222.182239276863, 294.85465363380592
2100-Jan-02 16:00:00, 10780.555763881988, 4.6416236063722787, null, null, 10780.555763881988, 294.8699146157839
2100-Jan-02 17:00:00, 10506.712641425851, 4.5237190447268043, null, null, 10506.712641425851, 294.87960951633568
2100-Jan-02 18:00:00, 10395.382465275827, 4.4757852660759099, null, null, 10395.382465275827, 294.88372152290128
2100-Jan-02 19:00:00, 10425.04192314473, 4.488555297863857, null, null, 10425.04192314473, 294.88294781698249
2100-Jan-02 20:00:00, 10556.855209722278, 4.5453081848218435, null, null, 10556.855209722278, 294.87865610200186
2100-Jan-02 21:00:00, 10754.88571896625, 4.63057123680366, null, null, 10754.88571896625, 294.87211405455531
2100-Jan-02 22:00:00, 10988.165639795978, 4.7310111038320004, null, null, 10988.165639795978, 294.86439256420101
2100-Jan-02 23:00:00, 11215.581336840047, 4.8289260992161767, null, null, 11215.581336840047, 294.85686182030923
2100-Jan-03 00:00:00, 11431.318871362088, 4.921813001798041, null, null, 11431.318871362088, 294.84971518661968
2100-Jan-03 01:00:00, 11644.63554276924, 5.0136575893427233, null, null, 11644.63554276924, 294.84265491060313
2100-Jan-03 02:00:00, 11865.718026195467, 5.1088457871037889, null, null, 11865.718026195467, 294.83535587297558
2100-Jan-03 03:00:00, 12091.799243985328, 5.2061862155969605, null, null, 12091.799243985328, 294.82790747761385
2100-Jan-03 04:00:00, 12313.651720329122, 5.3017059377600315, null, null, 12313.651720329122, 294.82060321271695
2100-Jan-03 05:00:00, 12526.978292235475, 5.393554788015452, null, null, 12526.978292235475, 294.81358001181195
2100-Jan-03 06:00:00, 12717.719095867767, 5.4756792198378106, null, null, 12717.719095867767, 294.80727663517428
2100-Jan-03 07:00:00, 12904.521343023878, 5.556107885957986, null, null, 12904.521343023878, 294.80111702700054
2100-Jan-03 08:00:00, 13066.238937858825, 5.6257362262951762, null, null, 13066.238937858825, 294.79574889820248
2100-Jan-03 09:00:00, 13155.601288883861, 5.6642116451069215, null, null, 13155.601288883861, 294.79263428613427
2100-Jan-03 10:00:00, 13134.240709088006, 5.6550147378604132, null, null, 13134.240709088006, 294.79298724523215
2100-Jan-03 11:00:00, 12987.197614351411, 5.5917045788452304, null, null, 12987.197614351411, 294.79733817305311
2100-Jan-03 12:00:00, 12713.702087254671, 5.4739496761654873, null, null, 12713.702087254671, 294.80581304771925
2100-Jan-03 13:00:00, 12332.410513593693, 5.3097826324639916, null, null, 12332.410513593693, 294.81795300097781
2100-Jan-03 14:00:00, 11880.888878453636, 5.1153776753953197, null, null, 11880.888878453636, 294.83267966629779
2100-Jan-03 15:00:00, 11418.101780922501, 4.9161223156835572, null, null, 11418.101780922501, 294.84813570714783
