S,AP,HV,A,L,W,A,B
S,5,1,400,20,20,0,0
H,5,1,1000,37.09,37.09,12.91,14.55
H,5,1,5000,170.069,170.069,79.931,149.653
H,5,1,10000,336.701,336.701,163.299,316.497
H,5,2.5,1000,39.237,39.237,10.763,25.068
H,5,2.5,5000,172.285,172.285,77.715,158.8
H,5,2.5,10000,338.92,338.92,161.08,325.512
H,5,0.4,1000,35.148,35.148,14.852,7.925
H,5,0.4,5000,168.359,168.359,81.641,142.972
H,5,0.4,10000,335.013,335.013,164.987,309.822
S,10,1,1600,40,40,0,0
H,10,1,5000,90.641,90.641,34.359,46.796
H,10,1,10000,173.624,173.624,76.376,131.881
H,10,1,25000,423.444,423.444,201.556,382.782
H,10,2.5,5000,94.988,94.988,30.012,67.017
H,10,2.5,10000,178.036,178.036,71.964,150.749
H,10,2.5,25000,427.878,427.878,197.122,400.97
H,10,0.4,5000,86.895,86.895,38.105,33.47
H,10,0.4,10000,170.106,170.106,79.894,118.509
H,10,0.4,25000,420.041,420.041,204.959,369.426
S,15,1,3600,60,60,0,0
H,15,1,10000,122.222,122.222,44.444,55.556
H,15,1,25000,288.166,288.166,128.5,225.835
H,15,1,50000,565.742,565.742,267.591,504.622
H,15,2.5,10000,128.707,128.707,37.96,86.477
H,15,2.5,25000,294.792,294.792,121.875,253.958
H,15,2.5,50000,572.392,572.392,260.941,531.984
H,15,0.4,10000,116.504,116.504,50.163,35.615
H,15,0.4,25000,282.921,282.921,133.746,205.778
H,15,0.4,50000,560.625,560.625,272.708,484.584
