Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1765.0436925781614, 8.3444009149920522, 1270.516104638257, 9.7605640725371039, 494.52758793990438, 6.0785625911646166
2100-Jan-01 01:00:00, 1765.0850987305719, 8.3445966662573099, 1270.5367991793964, 9.7607230554842754, 494.54829955117543, 6.0788171711487173
2100-Jan-01 02:00:00, 1765.1489893704077, 8.3448987149350558, 1270.5799944717403, 9.7610548973373739, 494.56899489866737, 6.079071551224053
2100-Jan-01 03:00:00, 1765.2532241646461, 8.3453914941880978, 1270.6635493300516, 9.7616967959682857, 494.5896748345944, 6.0793257418657465
2100-Jan-01 04:00:00, 1765.4074635137003, 8.3461206744179073, 1270.7971233336516, 9.7627229597577916, 494.61034018004887, 6.0795797531663824
2100-Jan-01 05:00:00, 1765.6141548800947, 8.3470978262210682, 1270.9831631553354, 9.7641521849308983, 494.63099172475921, 6.0798335948330307
2100-Jan-01 06:00:00, 1765.8748820923049, 8.3483304372874567, 1271.2232518655419, 9.7659966332070827, 494.65163022676296, 6.0800872761832263
2100-Jan-01 07:00:00, 1766.1926497232332, 8.3498327120024811, 1271.5203933112305, 9.7682793812247279, 494.67225641200281, 6.0803408061400077
2100-Jan-01 08:00:00, 1766.5598308756601, 8.3515685935317379, 1271.8669599019333, 9.7709418310760974, 494.69287097372677, 6.0805941932245391
2100-Jan-01 09:00:00, 1766.9737716903051, 8.3535255355196334, 1272.2602971182766, 9.7739635897836141, 494.71347457202842, 6.0808474455504635
2100-Jan-01 10:00:00, 1767.4357550326886, 8.3557096028269218, 1272.7016871994699, 9.7773545079724844, 494.73406783321866, 6.0811005708161794
2100-Jan-01 11:00:00, 1767.9154071411936, 8.3579772007962632, 1273.1607557918501, 9.7808812388759794, 494.75465134934336, 6.0813535762989099
2100-Jan-01 12:00:00, 1768.3431554818692, 8.3599994190905331, 1273.5679298041916, 9.7840092968530659, 494.7752256776775, 6.081606468848487
2100-Jan-01 13:00:00, 1768.6641344359182, 8.3615168756209997, 1273.8683430954561, 9.7863171803713662, 494.79579134046219, 6.0818592548841179
2100-Jan-01 14:00:00, 1768.8860640815012, 8.3625660677432414, 1274.069715256813, 9.7878641941212692, 494.8163488246883, 6.0821119403917274
2100-Jan-01 15:00:00, 1769.0956033125908, 8.3635566830798389, 1274.2587047304246, 9.7893160795869374, 494.8368985821661, 6.08236453092481
2100-Jan-01 16:00:00, 1769.388990311001, 8.3649436961879413, 1274.5315492812065, 9.7914121700733361, 494.85744102979453, 6.0826170316077457
2100-Jan-01 17:00:00, 1769.8268127610188, 8.3670135407294079, 1274.9488362110151, 9.7946179191387444, 494.87797655000367, 6.0828694471412312
2100-Jan-01 18:00:00, 1770.4388454761111, 8.3699069797809713, 1275.5403399845363, 9.7991620649858717, 494.89850549157461, 6.0831217818123653
