Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2248.0019387601237, 10.721338490272327, 1546.7081386629663, 11.927773952106305, 701.29380009715749, 8.7658800539783925
2100-Jan-01 01:00:00, 2248.0916307593488, 10.721766256043781, 1546.7657073009025, 11.928217905094506, 701.3259234584466, 8.7662815825987117
2100-Jan-01 02:00:00, 2248.7490328995182, 10.724901587356204, 1547.3909958009854, 11.933039952446173, 701.35803709853258, 8.7666829897080447
2100-Jan-01 03:00:00, 2249.9733119949756, 10.730740510518434, 1548.5831783577082, 11.942233725783737, 701.39013363726747, 8.7670841830576212
2100-Jan-01 04:00:00, 2251.6110974212711, 10.738551558910782, 1550.1888911714213, 11.95461652703448, 701.42220624984975, 8.7674850773402664
2100-Jan-01 05:00:00, 2253.5001035662094, 10.747560747889176, 1552.0458548895783, 11.968936903913461, 701.45424867663098, 8.7678855943129879
2100-Jan-01 06:00:00, 2255.602107317377, 10.75758578093542, 1554.1158520923022, 11.984900134531053, 701.48625522507461, 8.7682856628214498
2100-Jan-01 07:00:00, 2257.8241227705275, 10.768183182740591, 1556.3059020060605, 12.001789177565195, 701.51822076446695, 8.7686852187338715
2100-Jan-01 08:00:00, 2260.1220761821251, 10.779142753520233, 1558.5719354673113, 12.019264184140821, 701.55014071481378, 8.7690842048022368
2100-Jan-01 09:00:00, 2262.6890063848368, 10.791385148470903, 1561.1069953542535, 12.038813846116891, 701.58201103058354, 8.7694825704590862
2100-Jan-01 10:00:00, 2265.5089916648976, 10.80483443256796, 1563.8951634838995, 12.060315406986438, 701.61382818099798, 8.7698802715711643
2100-Jan-01 11:00:00, 2267.8608563575226, 10.816051121049492, 1566.2152672295038, 12.078207388240848, 701.64558912801874, 8.7702772701642591
2100-Jan-01 12:00:00, 2269.0375189955762, 10.82166294825209, 1567.3602276920917, 12.087036998197938, 701.67729130348437, 8.7706735341374245
2100-Jan-01 13:00:00, 2268.9762837575604, 10.82137090058835, 1567.2673511712865, 12.086320760843305, 701.70893258627405, 8.771069036977531
2100-Jan-01 14:00:00, 2268.2716330825251, 10.818010228039901, 1566.5311218015488, 12.080643169008351, 701.74051128097631, 8.7714637574926471
2100-Jan-01 15:00:00, 2268.192230677118, 10.817631536166628, 1566.4202045788629, 12.07978780688377, 701.77202609825497, 8.7718576795666046
2100-Jan-01 16:00:00, 2269.1094743757076, 10.82200612321706, 1567.3059982379193, 12.086618796046707, 701.80347613778827, 8.7722507919457566
2100-Jan-01 17:00:00, 2270.9658406443609, 10.83085964366337, 1569.1309797710178, 12.100692535396384, 701.83486087334302, 8.772643088052412
2100-Jan-01 18:00:00, 2273.1272609358975, 10.841168050504908, 1571.2610807959204, 12.117119269623148, 701.86618013997702, 8.7730345658248581
2100-Jan-01 19:00:00, 2275.2800425894429, 10.851435257309916, 1573.3826084668106, 12.133479888578313, 701.89743412263226, 8.7734252275747924
2100-Jan-01 20:00:00, 2277.2319009192183, 10.860744205615415, 1575.3032775739473, 12.148291543326909, 701.92862334527103, 8.7738150798515289
