Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 854.67280092703004, 6.1018939452559771, 399.3507681101425, 6.2307833473509575, 455.3220328168876, 5.9931597190062567
2100-Jan-01 01:00:00, 854.63168246016789, 6.1016003820073133, 399.2874460983972, 6.2297953794595466, 455.34423636177075, 5.993451972359316
2100-Jan-01 02:00:00, 854.68850241112978, 6.1020060452206133, 399.32212509225576, 6.2303364509052317, 455.36637731887396, 5.9937434019029965
2100-Jan-01 03:00:00, 854.87827203846746, 6.1033608960346202, 399.4897812434844, 6.2329522694752066, 455.38849079498306, 5.9940344697290895
2100-Jan-01 04:00:00, 855.19871884271197, 6.1056487100524235, 399.7881124868502, 6.2376069176982583, 455.41060635586183, 5.9943255649958873
2100-Jan-01 05:00:00, 855.62950891869582, 6.1087243143696206, 400.19676039545294, 6.2439827576544475, 455.43274852324282, 5.9946170104698044
2100-Jan-01 06:00:00, 856.15711671240331, 6.1124911439661656, 400.70217910138172, 6.251868442891122, 455.45493761102159, 5.994909073531753
2100-Jan-01 07:00:00, 856.76708368357004, 6.1168459728131008, 401.28989290857805, 6.2610381195145495, 455.47719077499198, 5.9952019799942464
2100-Jan-01 08:00:00, 857.43693708380977, 6.1216283578412645, 401.93741395324167, 6.2711409255295276, 455.49952313056809, 5.9954959288133747
2100-Jan-01 09:00:00, 858.17365797865682, 6.1268881400207542, 402.65170915325217, 6.2822855607542945, 455.52194882540459, 5.9957911062071263
2100-Jan-01 10:00:00, 858.98112033422808, 6.1326529773399461, 403.43663834521152, 6.2945322474484371, 455.5444819890165, 5.9960876981547315
2100-Jan-01 11:00:00, 859.7628343172596, 6.1382339854342813, 404.19569679945448, 6.3063752915941755, 455.56713751780518, 5.996385900729531
2100-Jan-01 12:00:00, 860.36285500599354, 6.1425178032925807, 404.77292332161289, 6.3153813426378083, 455.58993168438064, 5.996685928119164
2100-Jan-01 13:00:00, 860.69228312797588, 6.1448697389815852, 405.07940061616972, 6.3201630878496751, 455.61288251180616, 5.996988017551546
2100-Jan-01 14:00:00, 860.80137156822286, 6.1456485704739627, 405.16536182898926, 6.3215042789431308, 455.6360097392336, 5.9972924288425453
2100-Jan-01 15:00:00, 860.90681417849987, 6.1464013727446369, 405.24747997374806, 6.3227855094045111, 455.65933420475187, 5.9975994362727523
2100-Jan-01 16:00:00, 861.1859459496975, 6.1483942201392789, 405.50306925232309, 6.3267732854346992, 455.68287669737447, 5.9979093134768
2100-Jan-01 17:00:00, 861.71560853755796, 6.1521757198364604, 406.0089518770302, 6.3346662088630321, 455.7066566605277, 5.9982223163780821
2100-Jan-01 18:00:00, 862.44103122404067, 6.1573548390193791, 406.71033993528675, 6.3456094632208409, 455.73069128875397, 5.9985386712991389
2100-Jan-01 19:00:00, 863.28336316315949, 6.1633686259956697, 407.52836778623112, 6.358372564530133, 455.75499537692832, 5.9988585729769746
2100-Jan-01 20:00:00, 864.1689976584737, 6.1696915694177674, 408.38941575487246, 6.3718068778524035, 455.77958190360124, 5.9991821922412889
2100-Jan-01 21:00:00, 865.05760818369731, 6.1760357600573563, 409.25314514258054, 6.3852830274314245, 455.80446304111678, 5.999509689310119
2100-Jan-01 22:00:00, 865.95090191730048, 6.1824133862301984, 410.12125069072118, 6.3988274551000996, 455.8296512265793, 5.9998412278863986
2100-Jan-01 23:00:00, 866.86463706798872, 6.1889369528834308, 411.00947703441591, 6.4126858130974105, 455.85516003357282, 6.0001769866319341
2100-Jan-02 00:00:00, 867.88858269349362, 6.1962473617390339, 412.00757795324228, 6.4282584652133163, 455.8810047402514, 6.0005171666448742
2100-Jan-02 01:00:00, 869.02131448639022, 6.2043344440250001, 413.11411186037628, 6.4455229194034942, 455.90720262601394, 6.0008619953646791
2100-Jan-02 02:00:00, 870.25181874828854, 6.213119567989569, 414.31804562281457, 6.4643070336142001, 455.93377312547398, 6.0012117285987436
2100-Jan-02 03:00:00, 871.5310387144981, 6.2222524953016327, 415.5703007426053, 6.483845071274553, 455.9607379718928, 6.0015666524103297
2100-Jan-02 04:00:00, 872.89030666202325, 6.2319569211941941, 416.90218530495281, 6.5046255099624286, 455.9881213570705, 6.0019270852231275
2100-Jan-02 05:00:00, 874.28951205928786, 6.241946478522423, 418.27356201335232, 6.5260221162543788, 456.01595004593554, 6.0022933793295357
2100-Jan-02 06:00:00, 875.65988726788237, 6.2517302041528424, 419.61563387124431, 6.5469615000013395, 456.04425339663806, 6.0026659211551392
