Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2005.7401874972195, 13.848059312281032, 981.05663496508828, 15.131260363307131, 1024.6835525321312, 12.80811710232819
2100-Jan-01 01:00:00, 2005.8054805796451, 13.848510109689263, 981.15940753184475, 15.132845469008856, 1024.6460730478004, 12.807648624403413
2100-Jan-01 02:00:00, 2006.4391462899657, 13.852885073303883, 981.82824873112747, 15.143161295809634, 1024.6108975588384, 12.807208945459953
2100-Jan-01 03:00:00, 2007.6426591530487, 13.861194383559996, 983.06462822871845, 15.162230510999814, 1024.5780309243303, 12.806798126234352
2100-Jan-01 04:00:00, 2009.2600618058018, 13.8723612774612, 984.71262137650172, 15.187648221361604, 1024.5474404293, 12.806415757803045
2100-Jan-01 05:00:00, 2011.1269302619019, 13.885250536633176, 986.60784807399796, 15.216879121582085, 1024.5190821879039, 12.806061291611293
2100-Jan-01 06:00:00, 2013.2047469365934, 13.899596227431285, 988.71181817271145, 15.249329561470686, 1024.492928763882, 12.805734384717285
2100-Jan-01 07:00:00, 2015.3990145426533, 13.914745920370155, 990.93002257319108, 15.283541886352303, 1024.4689919694622, 12.805435184768944
2100-Jan-01 08:00:00, 2017.6683552835475, 13.930413934291186, 993.22101750561694, 15.318876891058515, 1024.4473377779307, 12.805164516404837
2100-Jan-01 09:00:00, 2020.2097713632668, 13.947960414552448, 995.78167834325177, 15.358371069534517, 1024.428093020015, 12.804923964956167
2100-Jan-01 10:00:00, 2023.0073416658456, 13.967275438363547, 998.59589656620676, 15.401775973118102, 1024.411445099639, 12.804715872893834
2100-Jan-01 11:00:00, 2025.3359269242651, 13.98335248910686, 1000.9382890817517, 15.437903704955962, 1024.3976378425134, 12.804543287937541
2100-Jan-01 12:00:00, 2026.4865685765308, 13.991296765213548, 1002.0996028439548, 15.455815148875825, 1024.3869657325761, 12.804409891013712
2100-Jan-01 13:00:00, 2026.3971498596425, 13.990679399264151, 1002.0173878132759, 15.454547110935261, 1024.3797620463665, 12.804319847940109
2100-Jan-01 14:00:00, 2025.6636315047022, 13.985615031631104, 1001.2872593605797, 15.443286024344884, 1024.3763721441226, 12.804277475575686
2100-Jan-01 15:00:00, 2025.5581623075873, 13.984886849732787, 1001.1810515277691, 15.441647935050542, 1024.3771107798182, 12.804286708213862
2100-Jan-01 16:00:00, 2026.4491600283463, 13.991038488594635, 1002.0669438392696, 15.455311434935686, 1024.3822161890766, 12.804350523700581
2100-Jan-01 17:00:00, 2028.2771425490992, 14.00365927095069, 1003.8853202543656, 15.483357040046235, 1024.3918222947336, 12.804470596015442
2100-Jan-01 18:00:00, 2030.4036790762104, 14.01834133403181, 1005.9977158236682, 15.515937429608098, 1024.4059632525423, 12.804647352091115
2100-Jan-01 19:00:00, 2032.5148492334702, 14.032917304408377, 1008.0902430659728, 15.548211381378223, 1024.4246061674974, 12.804880380753753
2100-Jan-01 20:00:00, 2034.4203584721558, 14.046073347809164, 1009.9726637581564, 15.577244769045715, 1024.4476947139995, 12.80516897795685
2100-Jan-01 21:00:00, 2036.1317032876714, 14.057888838497716, 1011.6565169690787, 15.603215564655249, 1024.4751863185927, 12.805512611549965
2100-Jan-01 22:00:00, 2037.8239270876231, 14.069572313604542, 1013.3168527701321, 15.628823641091278, 1024.5070743174911, 12.805911198238547
2100-Jan-01 23:00:00, 2039.6109934849615, 14.081910602291973, 1015.0675986032919, 15.655826150515679, 1024.5433948816694, 12.806365190144701
2100-Jan-02 00:00:00, 2042.2176444254137, 14.099907477986447, 1017.6334206775981, 15.695399932974864, 1024.5842237478157, 12.806875533945444
2100-Jan-02 01:00:00, 2045.2473495854258, 14.120825210510381, 1020.6176795994934, 15.741427447727187, 1024.6296699859324, 12.807443592970321
2100-Jan-02 02:00:00, 2048.6889774572655, 14.144586945553197, 1024.0091025516494, 15.793734829240382, 1024.6798749056159, 12.80807113353036
2100-Jan-02 03:00:00, 2052.1660452011874, 14.168593365053985, 1027.4310266652042, 15.846512643344374, 1024.735018535983, 12.808760405914448
2100-Jan-02 04:00:00, 2056.1464253523918, 14.196074761080698, 1031.3510971350686, 15.906973583934354, 1024.7953282173232, 12.809514251781399
2100-Jan-02 05:00:00, 2060.1359342664673, 14.223619184039052, 1035.2748506499083, 15.96749132971831, 1024.861083616559, 12.810336166851121
2100-Jan-02 06:00:00, 2063.7504645864178, 14.248574674570042, 1038.817847010562, 16.022136493400637, 1024.9326175758558, 12.811230311511883
