Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 15793.421578802605, 2.7396713738849354, 10049.900955314693, 11.549708565212532, 5743.5206234879124, 1.1734472879614282
2100-Jan-01 01:00:00, 15793.534126848399, 2.7396908974984675, 10049.8163042338, 11.549611281137953, 5743.7178226145988, 1.1734875773232269
2100-Jan-01 02:00:00, 15795.381637360191, 2.7400113835715358, 10051.467152270388, 11.5515084952292, 5743.9144850898019, 1.1735277570428273
2100-Jan-01 03:00:00, 15798.89554148004, 2.7406209375228245, 10054.784923937157, 11.555321398063514, 5744.110617542884, 1.1735678284746611
2100-Jan-01 04:00:00, 15804.077515548619, 2.7415198501457203, 10059.771288241773, 11.561051907724689, 5744.3062273068472, 1.1736077931169195
2100-Jan-01 05:00:00, 15810.742295748834, 2.7426759838838506, 10066.240973363881, 11.568487103156096, 5744.5013223849519, 1.1736476526047328
2100-Jan-01 06:00:00, 15818.838749106162, 2.7440804687437264, 10074.142837699923, 11.577568210582818, 5744.6959114062402, 1.1736874087010831
2100-Jan-01 07:00:00, 15828.349273178655, 2.7457302512447535, 10083.459269608544, 11.588274990071556, 5744.8900035701117, 1.1737270632854817
2100-Jan-01 08:00:00, 15838.830588021079, 2.7475484359928264, 10093.746979436142, 11.6000979971679, 5745.083608584936, 1.1737666183414264
2100-Jan-01 09:00:00, 15850.416449190998, 2.7495582254504596, 10105.139712594257, 11.613190936921487, 5745.2767365967402, 1.1738060759418316
2100-Jan-01 10:00:00, 15863.189304011294, 2.7517739216844483, 10117.719905897224, 11.627648548691926, 5745.4693981140699, 1.1738454382336776
2100-Jan-01 11:00:00, 15875.225118847899, 2.7538617642209564, 10129.563514911561, 11.641259651237528, 5745.661603936338, 1.1738847074233709
2100-Jan-01 12:00:00, 15883.665931161486, 2.7553259847353324, 10137.812566080418, 11.65073975829166, 5745.8533650810687, 1.1739238857618799
2100-Jan-01 13:00:00, 15887.600491594276, 2.7560085095785243, 10141.555798885465, 11.655041616407702, 5746.0446927088115, 1.1739629755293945
2100-Jan-01 14:00:00, 15888.837092895785, 2.7562230217518202, 10142.60149483177, 11.656243367895737, 5746.235598064015, 1.1740019790232454
2100-Jan-01 15:00:00, 15891.673472609662, 2.7567150461221446, 10145.247380196934, 11.659284114764834, 5746.4260924127293, 1.1740408985451771
2100-Jan-01 16:00:00, 15898.671174907609, 2.7579289315726787, 10152.054987908372, 11.66710766302098, 5746.6161869992375, 1.1740797363924866
2100-Jan-01 17:00:00, 15910.496996909809, 2.7599803468312674, 10163.691103907837, 11.680480307111941, 5746.8058930019733, 1.1741184948490175
2100-Jan-01 18:00:00, 15925.674718787415, 2.7626132133030064, 10178.679497284656, 11.697705509244056, 5746.9952215027588, 1.1741571761788752
2100-Jan-01 19:00:00, 15943.267898204325, 2.7656650871343755, 10196.083714746221, 11.717707063526076, 5747.1841834581055, 1.1741957826205622
2100-Jan-01 20:00:00, 15961.653968927887, 2.7688545031445941, 10214.28117923952, 11.738620245900503, 5747.3727896883674, 1.1742343163847639
2100-Jan-01 21:00:00, 15980.17498090757, 2.7720673272994447, 10232.613930049631, 11.759688904188469, 5747.5610508579402, 1.1742727796503019
2100-Jan-01 22:00:00, 15999.40489244319, 2.7754031236557699, 10251.655914977626, 11.78157263989884, 5747.7489774655642, 1.1743111745621526
2100-Jan-01 23:00:00, 16019.590334431074, 2.7789046750648483, 10271.653754589846, 11.804554878279296, 5747.9365798412273, 1.1743495032308158
2100-Jan-02 00:00:00, 16041.679013833531, 2.7827363794453008, 10293.555145697028, 11.829724746677542, 5748.1238681365021, 1.1743877677303387
2100-Jan-02 01:00:00, 16064.951266169806, 2.7867733972133251, 10316.640413845755, 11.856255169261118, 5748.3108523240526, 1.1744259700982165
2100-Jan-02 02:00:00, 16089.321579169724, 2.7910008946283309, 10340.824036972846, 11.884047860991192, 5748.4975421968775, 1.1744641123352375
2100-Jan-02 03:00:00, 16114.381787029664, 2.7953480675164171, 10365.697839659948, 11.912633731958676, 5748.6839473697164, 1.17450219640577
2100-Jan-02 04:00:00, 16140.745506680771, 2.7999213594833843, 10391.875429396827, 11.942717962016761, 5748.8700772839438, 1.1745402242387626
2100-Jan-02 05:00:00, 16167.174592689355, 2.8045059904966436, 10418.118651469395, 11.972877619121642, 5749.05594121996, 1.1745781977302749
2100-Jan-02 06:00:00, 16192.861212191168, 2.8089618264780909, 10443.619663884678, 12.002184302125183, 5749.2415483064915, 1.1746161187453796
2100-Jan-02 07:00:00, 16217.55675133787, 2.8132457405954527, 10468.129843797371, 12.030352284688517, 5749.4269075404982, 1.1746539891222272
2100-Jan-02 08:00:00, 16243.14994185373, 2.8176853695303752, 10493.537914045608, 12.059552155202304, 5749.6120278081216, 1.174691810676328
2100-Jan-02 09:00:00, 16268.556452779017, 2.8220926153159072, 10518.759534867519, 12.088537751312217, 5749.7969179114989, 1.1747295852060287
