Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 11176.781232337522, 2.0970978371909847, 3834.4747147052112, 8.8134332173892371, 7342.3065176323098, 1.5000920576942676
2100-Jan-01 01:00:00, 11177.044511488326, 2.0971472362197616, 3834.5476802384651, 8.8136009266329669, 7342.4968312498613, 1.5001309402913743
2100-Jan-01 02:00:00, 11177.464341223949, 2.0972260088120009, 3834.7755338596253, 8.8141246418280979, 7342.6888073643231, 1.500170162549922
2100-Jan-01 03:00:00, 11178.162770570769, 2.0973570550087723, 3835.2804174961898, 8.8152851027893728, 7342.8823530745785, 1.5002097054894681
2100-Jan-01 04:00:00, 11179.204572350513, 2.0975525281251972, 3836.1272236742902, 8.8172314631787483, 7343.0773486762218, 1.500249544653443
2100-Jan-01 05:00:00, 11180.604870269439, 2.0978152658200808, 3837.331216593594, 8.8199988073335547, 7343.2736536758457, 1.500289651337918
2100-Jan-01 06:00:00, 11182.373542166624, 2.0981471214709329, 3838.902427117644, 8.8236101909139624, 7343.4711150489811, 1.5003299942787678
2100-Jan-01 07:00:00, 11184.53061340189, 2.0985518524331042, 3840.8610367340157, 8.8281120005064544, 7343.6695766678749, 1.5003705415778412
2100-Jan-01 08:00:00, 11187.022060149975, 2.0990193222241178, 3843.1531714080934, 8.8333804081446043, 7343.8688887418821, 1.5004112626317094
2100-Jan-01 09:00:00, 11189.829194374255, 2.0995460244103796, 3845.7602780021793, 8.8393727699587199, 7344.0689163720763, 1.5004521298794404
2100-Jan-01 10:00:00, 11192.960774487885, 2.1001336023316761, 3848.6912278753466, 8.8461094765202759, 7344.2695466125388, 1.5004931202452783
2100-Jan-01 11:00:00, 11196.203318988819, 2.100742000484825, 3851.7326253778606, 8.8531000438783405, 7344.4706936109587, 1.5005342161889077
2100-Jan-01 12:00:00, 11199.072052712278, 2.1012802605761594, 3854.3997510170489, 8.8592303577941482, 7344.6723016952292, 1.5005754063360712
2100-Jan-01 13:00:00, 11201.189927300449, 2.1016776370771368, 3856.3155811215452, 8.8636338398713903, 7344.8743461789045, 1.5006166856431302
2100-Jan-01 14:00:00, 11202.619028421928, 2.101945779112727, 3857.5421976440171, 8.8664531837472786, 7345.0768307779108, 1.5006580548692781
2100-Jan-01 15:00:00, 11203.969422731407, 2.102199153400627, 3858.6896423139751, 8.8690905533276645, 7345.2797804174315, 1.5006995191069297
