Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 8799.5297274511558, 1.8112155279985402, null, null, 8799.5297274511558, 1.8112155279985402
2100-Jan-01 01:00:00, 8800.0529050855275, 1.8113232141459397, null, null, 8800.0529050855275, 1.8113232141459397
2100-Jan-01 02:00:00, 8800.5933120597147, 1.8114344466246519, null, null, 8800.5933120597147, 1.8114344466246519
2100-Jan-01 03:00:00, 8801.2175514952451, 1.8115629344181865, null, null, 8801.2175514952451, 1.8115629344181865
2100-Jan-01 04:00:00, 8801.9688758555458, 1.8117175802220065, null, null, 8801.9688758555458, 1.8117175802220065
2100-Jan-01 05:00:00, 8802.8673834618221, 1.8119025208925785, null, null, 8802.8673834618221, 1.8119025208925785
2100-Jan-01 06:00:00, 8803.9235174628229, 1.8121199059530884, null, null, 8803.9235174628229, 1.8121199059530884
2100-Jan-01 07:00:00, 8805.1392204282984, 1.8123701352445052, null, null, 8805.1392204282984, 1.8123701352445052
2100-Jan-01 08:00:00, 8806.5036590922609, 1.8126509789454432, null, null, 8806.5036590922609, 1.8126509789454432
2100-Jan-01 09:00:00, 8808.0231621243329, 1.8129637396919571, null, null, 8808.0231621243329, 1.8129637396919571
2100-Jan-01 10:00:00, 8809.7061801420641, 1.8133101568826517, null, null, 8809.7061801420641, 1.8133101568826517
2100-Jan-01 11:00:00, 8811.4823592973407, 1.8136757495184159, null, null, 8811.4823592973407, 1.8136757495184159
2100-Jan-01 12:00:00, 8813.2014146232596, 1.8140295843023453, null, null, 8813.2014146232596, 1.8140295843023453
2100-Jan-01 13:00:00, 8814.7219038750736, 1.8143425480434017, null, null, 8814.7219038750736, 1.8143425480434017
2100-Jan-01 14:00:00, 8815.993701714262, 1.8146043233957398, null, null, 8815.993701714262, 1.8146043233957398
2100-Jan-01 15:00:00, 8817.1236112647348, 1.8148368937473878, null, null, 8817.1236112647348, 1.8148368937473878
2100-Jan-01 16:00:00, 8818.266023392127, 1.8150720375162703, null, null, 8818.266023392127, 1.8150720375162703
2100-Jan-01 17:00:00, 8819.5447863024565, 1.8153352464957901, null, null, 8819.5447863024565, 1.8153352464957901
2100-Jan-01 18:00:00, 8820.9984023734523, 1.8156344456667779, null, null, 8820.9984023734523, 1.8156344456667779
2100-Jan-01 19:00:00, 8822.6125304359757, 1.8159666831728234, null, null, 8822.6125304359757, 1.8159666831728234
2100-Jan-01 20:00:00, 8824.3478635562515, 1.8163238684305636, null, null, 8824.3478635562515, 1.8163238684305636
2100-Jan-01 21:00:00, 8826.1655927127304, 1.8166980133423809, null, null, 8826.1655927127304, 1.8166980133423809
2100-Jan-01 22:00:00, 8828.0505499554729, 1.8170859958747902, null, null, 8828.0505499554729, 1.8170859958747902
2100-Jan-01 23:00:00, 8830.0031670054886, 1.8174879048893358, null, null, 8830.0031670054886, 1.8174879048893358
2100-Jan-02 00:00:00, 8832.0910308071325, 1.8179176518707099, null, null, 8832.0910308071325, 1.8179176518707099
2100-Jan-02 01:00:00, 8834.3472231428732, 1.8183820460734927, null, null, 8834.3472231428732, 1.8183820460734927
2100-Jan-02 02:00:00, 8836.7835233170299, 1.8188835120430358, null, null, 8836.7835233170299, 1.8188835120430358
2100-Jan-02 03:00:00, 8839.3804579167227, 1.8194180415483441, null, null, 8839.3804579167227, 1.8194180415483441
2100-Jan-02 04:00:00, 8842.1576806929952, 1.8199896799395872, null, null, 8842.1576806929952, 1.8199896799395872
2100-Jan-02 05:00:00, 8845.0963983842285, 1.8205945589819479, null, null, 8845.0963983842285, 1.8205945589819479
2100-Jan-02 06:00:00, 8848.1301673947401, 1.8212190025272725, null, null, 8848.1301673947401, 1.8212190025272725
2100-Jan-02 07:00:00, 8851.1905617889934, 1.82184892640052, null, null, 8851.1905617889934, 1.82184892640052
2100-Jan-02 08:00:00, 8854.309983540219, 1.8224909999304917, null, null, 8854.309983540219, 1.8224909999304917
2100-Jan-02 09:00:00, 8857.4958199468256, 1.8231467436518076, null, null, 8857.4958199468256, 1.8231467436518076
2100-Jan-02 10:00:00, 8860.7189187207659, 1.8238101571214413, null, null, 8860.7189187207659, 1.8238101571214413
2100-Jan-02 11:00:00, 8863.9578894023471, 1.8244768375208393, null, null, 8863.9578894023471, 1.8244768375208393
2100-Jan-02 12:00:00, 8867.0390711098917, 1.8251110400664459, null, null, 8867.0390711098917, 1.8251110400664459
2100-Jan-02 13:00:00, 8869.6573470274325, 1.8256499622753954, null, null, 8869.6573470274325, 1.8256499622753954
2100-Jan-02 14:00:00, 8871.6963389622033, 1.8260696499141791, null, null, 8871.6963389622033, 1.8260696499141791
2100-Jan-02 15:00:00, 8873.3416719936122, 1.8264083103684896, null, null, 8873.3416719936122, 1.8264083103684896
2100-Jan-02 16:00:00, 8874.8497375454754, 1.8267187169276324, null, null, 8874.8497375454754, 1.8267187169276324
2100-Jan-02 17:00:00, 8876.4138454761705, 1.8270406587426256, null, null, 8876.4138454761705, 1.8270406587426256
2100-Jan-02 18:00:00, 8878.1291097202502, 1.8273937132045937, null, null, 8878.1291097202502, 1.8273937132045937
2100-Jan-02 19:00:00, 8879.987184486039, 1.8277761624913413, null, null, 8879.987184486039, 1.8277761624913413
2100-Jan-02 20:00:00, 8881.9500380295685, 1.8281801784930303, null, null, 8881.9500380295685, 1.8281801784930303
2100-Jan-02 21:00:00, 8883.9996670704768, 1.8286020555774327, null, null, 8883.9996670704768, 1.8286020555774327
2100-Jan-02 22:00:00, 8886.1244921792459, 1.829039410339617, null, null, 8886.1244921792459, 1.829039410339617
2100-Jan-02 23:00:00, 8888.3066466834734, 1.8294885652655013, null, null, 8888.3066466834734, 1.8294885652655013
2100-Jan-03 00:00:00, 8890.5187887684588, 1.8299438925635005, null, null, 8890.5187887684588, 1.8299438925635005
2100-Jan-03 01:00:00, 8892.7073375832642, 1.83039436363638, null, null, 8892.7073375832642, 1.83039436363638
2100-Jan-03 02:00:00, 8894.8936277664106, 1.8308443698129682, null, null, 8894.8936277664106, 1.8308443698129682
2100-Jan-03 03:00:00, 8897.0919394241155, 1.831296850381037, null, null, 8897.0919394241155, 1.831296850381037
2100-Jan-03 04:00:00, 8899.3108031359679, 1.8317535611978528, null, null, 8899.3108031359679, 1.8317535611978528
2100-Jan-03 05:00:00, 8901.5554874378831, 1.8322155866911471, null, null, 8901.5554874378831, 1.8322155866911471
2100-Jan-03 06:00:00, 8903.817311453824, 1.8326811400679932, null, null, 8903.817311453824, 1.8326811400679932
2100-Jan-03 07:00:00, 8906.0832328938886, 1.8331475368215226, null, null, 8906.0832328938886, 1.8331475368215226
2100-Jan-03 08:00:00, 8908.3298529023632, 1.8336099607431293, null, null, 8908.3298529023632, 1.8336099607431293
2100-Jan-03 09:00:00, 8910.5381658360129, 1.8340644998832869, null, null, 8910.5381658360129, 1.8340644998832869
2100-Jan-03 10:00:00, 8912.7508093220931, 1.8345199303851478, null, null, 8912.7508093220931, 1.8345199303851478
2100-Jan-03 11:00:00, 8914.9845129163077, 1.8349796957089886, null, null, 8914.9845129163077, 1.8349796957089886
2100-Jan-03 12:00:00, 8917.2003399285713, 1.8354357814790552, null, null, 8917.2003399285713, 1.8354357814790552
2100-Jan-03 13:00:00, 8919.3364196834536, 1.8358754527956958, null, null, 8919.3364196834536, 1.8358754527956958
2100-Jan-03 14:00:00, 8921.3423485225794, 1.8362883350262258, null, null, 8921.3423485225794, 1.8362883350262258
2100-Jan-03 15:00:00, 8923.2151617741165, 1.8366738179494375, null, null, 8923.2151617741165, 1.8366738179494375
2100-Jan-03 16:00:00, 8924.9816296309928, 1.8370374116994652, null, null, 8924.9816296309928, 1.8370374116994652
2100-Jan-03 17:00:00, 8926.6786094093331, 1.8373867026525534, null, null, 8926.6786094093331, 1.8373867026525534
2100-Jan-03 18:00:00, 8928.3354564131605, 1.8377277330386987, null, null, 8928.3354564131605, 1.8377277330386987
2100-Jan-03 19:00:00, 8929.9452611828165, 1.8380590806772834, null, null, 8929.9452611828165, 1.8380590806772834
2100-Jan-03 20:00:00, 8931.4764769183512, 1.8383742522606312, null, null, 8931.4764769183512, 1.8383742522606312
2100-Jan-03 21:00:00, 8932.9002451881715, 1.8386673078304676, null, null, 8932.9002451881715, 1.8386673078304676
2100-Jan-03 22:00:00, 8934.2195204668169, 1.8389388555090818, null, null, 8934.2195204668169, 1.8389388555090818
2100-Jan-03 23:00:00, 8935.4795746063319, 1.8391982136446068, null, null, 8935.4795746063319, 1.8391982136446068
2100-Jan-04 00:00:00, 8936.7422838582333, 1.8394581182844261, null, null, 8936.7422838582333, 1.8394581182844261
2100-Jan-04 01:00:00, 8938.0621215037118, 1.8397297817155376, null, null, 8938.0621215037118, 1.8397297817155376
2100-Jan-04 02:00:00, 8939.4738588932942, 1.8400203609579135, null, null, 8939.4738588932942, 1.8400203609579135
2100-Jan-04 03:00:00, 8940.9916512763466, 1.8403327695999216, null, null, 8940.9916512763466, 1.8403327695999216
2100-Jan-04 04:00:00, 8942.5912943975818, 1.8406620256567992, null, null, 8942.5912943975818, 1.8406620256567992
2100-Jan-04 05:00:00, 8944.2249366451215, 1.8409982797860065, null, null, 8944.2249366451215, 1.8409982797860065
2100-Jan-04 06:00:00, 8945.8485711982848, 1.8413324740220132, null, null, 8945.8485711982848, 1.8413324740220132
2100-Jan-04 07:00:00, 8947.4348090113872, 1.8416589708516367, null, null, 8947.4348090113872, 1.8416589708516367
2100-Jan-04 08:00:00, 8948.9661003793444, 1.8419741580024775, null, null, 8948.9661003793444, 1.8419741580024775
2100-Jan-04 09:00:00, 8950.4327685742483, 1.8422760437044763, null, null, 8950.4327685742483, 1.8422760437044763
2100-Jan-04 10:00:00, 8951.8640971869372, 1.8425706554268373, null, null, 8951.8640971869372, 1.8425706554268373
2100-Jan-04 11:00:00, 8953.2166833449337, 1.84284905951526, null, null, 8953.2166833449337, 1.84284905951526
2100-Jan-04 12:00:00, 8954.4517151853506, 1.8431032672872909, null, null, 8954.4517151853506, 1.8431032672872909
2100-Jan-04 13:00:00, 8955.5909940679048, 1.8433377661374244, null, null, 8955.5909940679048, 1.8433377661374244
2100-Jan-04 14:00:00, 8956.5756299922032, 1.8435404346811706, null, null, 8956.5756299922032, 1.8435404346811706
2100-Jan-04 15:00:00, 8957.3099318129571, 1.8436915767195727, null, null, 8957.3099318129571, 1.8436915767195727
2100-Jan-04 16:00:00, 8957.8286357200232, 1.8437983420354489, null, null, 8957.8286357200232, 1.8437983420354489
2100-Jan-04 17:00:00, 8958.2547063021302, 1.843886040546419, null, null, 8958.2547063021302, 1.843886040546419
2100-Jan-04 18:00:00, 8958.7092794968103, 1.8439796057770981, null, null, 8958.7092794968103, 1.8439796057770981
2100-Jan-04 19:00:00, 8959.2795980956089, 1.8440969949938, null, null, 8959.2795980956089, 1.8440969949938
2100-Jan-04 20:00:00, 8960.023593981643, 1.8442501323708291, null, null, 8960.023593981643, 1.8442501323708291
2100-Jan-04 21:00:00, 8960.9811023871716, 1.8444472172317248, null, null, 8960.9811023871716, 1.8444472172317248
2100-Jan-04 22:00:00, 8962.1581850420607, 1.8446894972680798, null, null, 8962.1581850420607, 1.8446894972680798
2100-Jan-04 23:00:00, 8963.5306798386791, 1.8449719991704232, null, null, 8963.5306798386791, 1.8449719991704232
2100-Jan-05 00:00:00, 8965.0636394255143, 1.8452875296923337, null, null, 8965.0636394255143, 1.8452875296923337
2100-Jan-05 01:00:00, 8966.7522730093333, 1.8456351027403084, null, null, 8966.7522730093333, 1.8456351027403084
2100-Jan-05 02:00:00, 8968.5631966816018, 1.8460078468728727, null, null, 8968.5631966816018, 1.8460078468728727
2100-Jan-05 03:00:00, 8970.4376158306732, 1.8463936603394928, null, null, 8970.4376158306732, 1.8463936603394928
2100-Jan-05 04:00:00, 8972.3098686347712, 1.846779027905278, null, null, 8972.3098686347712, 1.846779027905278
2100-Jan-05 05:00:00, 8974.1305874172922, 1.8471537881746516, null, null, 8974.1305874172922, 1.8471537881746516
2100-Jan-05 06:00:00, 8975.8744900988313, 1.8475127373132934, null, null, 8975.8744900988313, 1.8475127373132934
2100-Jan-05 07:00:00, 8977.527278077785, 1.8478529322265091, null, null, 8977.527278077785, 1.8478529322265091
2100-Jan-05 08:00:00, 8979.0664885524966, 1.8481697493745846, null, null, 8979.0664885524966, 1.8481697493745846
2100-Jan-05 09:00:00, 8980.4737333076537, 1.848459403893767, null, null, 8980.4737333076537, 1.848459403893767
2100-Jan-05 10:00:00, 8981.7778355644496, 1.8487278284949404, null, null, 8981.7778355644496, 1.8487278284949404
2100-Jan-05 11:00:00, 8983.0033559422864, 1.848980078513631, null, null, 8983.0033559422864, 1.848980078513631
2100-Jan-05 12:00:00, 8984.1476276412905, 1.8492156050398976, null, null, 8984.1476276412905, 1.8492156050398976
2100-Jan-05 13:00:00, 8985.1940275878314, 1.8494309865307696, null, null, 8985.1940275878314, 1.8494309865307696
2100-Jan-05 14:00:00, 8986.1317721306405, 1.8496240033771054, null, null, 8986.1317721306405, 1.8496240033771054
2100-Jan-05 15:00:00, 8986.9477143660752, 1.8497919495392918, null, null, 8986.9477143660752, 1.8497919495392918
2100-Jan-05 16:00:00, 8987.66762853613, 1.84994013015394, null, null, 8987.66762853613, 1.84994013015394
2100-Jan-05 17:00:00, 8988.3310329279484, 1.8500766793074765, null, null, 8988.3310329279484, 1.8500766793074765
2100-Jan-05 18:00:00, 8988.9610511939409, 1.8502063565631519, null, null, 8988.9610511939409, 1.8502063565631519
2100-Jan-05 19:00:00, 8989.6220287908218, 1.8503424062071907, null, null, 8989.6220287908218, 1.8503424062071907
2100-Jan-05 20:00:00, 8990.3322090639031, 1.850488583284617, null, null, 8990.3322090639031, 1.850488583284617
2100-Jan-05 21:00:00, 8991.0835905182248, 1.8506432408401534, null, null, 8991.0835905182248, 1.8506432408401534
2100-Jan-05 22:00:00, 8991.891787979881, 1.8508095928882262, null, null, 8991.891787979881, 1.8508095928882262
2100-Jan-05 23:00:00, 8992.736357802014, 1.850983431493664, null, null, 8992.736357802014, 1.850983431493664
2100-Jan-06 00:00:00, 8993.5469933515451, 1.8511502853756705, null, null, 8993.5469933515451, 1.8511502853756705
