Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 8544.6198399654186, 1.7587471847172251, null, null, 8544.6198399654186, 1.7587471847172251
2100-Jan-01 01:00:00, 8544.8992679561525, 1.7588046996448918, null, null, 8544.8992679561525, 1.7588046996448918
2100-Jan-01 02:00:00, 8545.2208395602702, 1.7588708890323683, null, null, 8545.2208395602702, 1.7588708890323683
2100-Jan-01 03:00:00, 8545.6424399964217, 1.758957667448968, null, null, 8545.6424399964217, 1.758957667448968
2100-Jan-01 04:00:00, 8546.1959133539876, 1.7590715893937316, null, null, 8546.1959133539876, 1.7590715893937316
2100-Jan-01 05:00:00, 8546.8918516501599, 1.7592148350315779, null, null, 8546.8918516501599, 1.7592148350315779
2100-Jan-01 06:00:00, 8547.7332589148828, 1.759388022684832, null, null, 8547.7332589148828, 1.759388022684832
2100-Jan-01 07:00:00, 8548.7180176063739, 1.7595907164978657, null, null, 8548.7180176063739, 1.7595907164978657
2100-Jan-01 08:00:00, 8549.8319098761185, 1.7598199899974694, null, null, 8549.8319098761185, 1.7598199899974694
2100-Jan-01 09:00:00, 8551.0778902173988, 1.76007645130979, null, null, 8551.0778902173988, 1.76007645130979
2100-Jan-01 10:00:00, 8552.4626140088512, 1.7603614703177086, null, null, 8552.4626140088512, 1.7603614703177086
2100-Jan-01 11:00:00, 8553.917750306302, 1.7606609823983457, null, null, 8553.917750306302, 1.7606609823983457
2100-Jan-01 12:00:00, 8555.3017261121895, 1.7609458474476878, null, null, 8555.3017261121895, 1.7609458474476878
2100-Jan-01 13:00:00, 8556.4907741186053, 1.7611905903236664, null, null, 8556.4907741186053, 1.7611905903236664
2100-Jan-01 14:00:00, 8557.4573259992485, 1.7613895366115999, null, null, 8557.4573259992485, 1.7613895366115999
2100-Jan-01 15:00:00, 8558.3246136554444, 1.7615680512503133, null, null, 8558.3246136554444, 1.7615680512503133
2100-Jan-01 16:00:00, 8559.2511516826999, 1.7617587614489518, null, null, 8559.2511516826999, 1.7617587614489518
2100-Jan-01 17:00:00, 8560.3509684505334, 1.7619851377746818, null, null, 8560.3509684505334, 1.7619851377746818
2100-Jan-01 18:00:00, 8561.6480778213172, 1.7622521230235124, null, null, 8561.6480778213172, 1.7622521230235124
2100-Jan-01 19:00:00, 8563.1154234418991, 1.7625541481606795, null, null, 8563.1154234418991, 1.7625541481606795
2100-Jan-01 20:00:00, 8564.7061748826363, 1.7628815740345487, null, null, 8564.7061748826363, 1.7628815740345487
2100-Jan-01 21:00:00, 8566.3788892063185, 1.7632258704061501, null, null, 8566.3788892063185, 1.7632258704061501
2100-Jan-01 22:00:00, 8568.119107181381, 1.7635840611181721, null, null, 8568.119107181381, 1.7635840611181721
2100-Jan-01 23:00:00, 8569.9287649904672, 1.7639565446969203, null, null, 8569.9287649904672, 1.7639565446969203
2100-Jan-02 00:00:00, 8571.8702833691204, 1.76435616926144, null, null, 8571.8702833691204, 1.76435616926144
2100-Jan-02 01:00:00, 8573.9705827507023, 1.7647884758699965, null, null, 8573.9705827507023, 1.7647884758699965
2100-Jan-02 02:00:00, 8576.2333494068262, 1.7652542232713633, null, null, 8576.2333494068262, 1.7652542232713633
2100-Jan-02 03:00:00, 8578.6355961823811, 1.7657486799976581, null, null, 8578.6355961823811, 1.7657486799976581
2100-Jan-02 04:00:00, 8581.1926189564438, 1.7662749944141409, null, null, 8581.1926189564438, 1.7662749944141409
2100-Jan-02 05:00:00, 8583.8854141411375, 1.7668292549943425, null, null, 8583.8854141411375, 1.7668292549943425
2100-Jan-02 06:00:00, 8586.6519664068182, 1.7673986970642963, null, null, 8586.6519664068182, 1.7673986970642963
2100-Jan-02 07:00:00, 8589.4332777258551, 1.7679711770041644, null, null, 8589.4332777258551, 1.7679711770041644
2100-Jan-02 08:00:00, 8592.2670291264894, 1.768554450735635, null, null, 8592.2670291264894, 1.768554450735635
2100-Jan-02 09:00:00, 8595.1652481867295, 1.7691509939064674, null, null, 8595.1652481867295, 1.7691509939064674
2100-Jan-02 10:00:00, 8598.0978221275564, 1.7697546083748701, null, null, 8598.0978221275564, 1.7697546083748701
2100-Jan-02 11:00:00, 8601.0415234182328, 1.7703605131962188, null, null, 8601.0415234182328, 1.7703605131962188
2100-Jan-02 12:00:00, 8603.8285306688631, 1.7709341655350748, null, null, 8603.8285306688631, 1.7709341655350748
2100-Jan-02 13:00:00, 8606.1759722616589, 1.7714173416587577, null, null, 8606.1759722616589, 1.7714173416587577
2100-Jan-02 14:00:00, 8608.0020991346937, 1.7717932150805178, null, null, 8608.0020991346937, 1.7717932150805178
2100-Jan-02 15:00:00, 8609.5140834523536, 1.7721044282429317, null, null, 8609.5140834523536, 1.7721044282429317
2100-Jan-02 16:00:00, 8610.9692439436985, 1.772403945303421, null, null, 8610.9692439436985, 1.772403945303421
2100-Jan-02 17:00:00, 8612.5439140409035, 1.7727280611391383, null, null, 8612.5439140409035, 1.7727280611391383
2100-Jan-02 18:00:00, 8614.3068266768623, 1.7730909231146814, null, null, 8614.3068266768623, 1.7730909231146814
2100-Jan-02 19:00:00, 8616.2301336878136, 1.7734867992161596, null, null, 8616.2301336878136, 1.7734867992161596
2100-Jan-02 20:00:00, 8618.2670807090308, 1.773906065948452, null, null, 8618.2670807090308, 1.773906065948452
2100-Jan-02 21:00:00, 8620.3973038769655, 1.7743445317982609, null, null, 8620.3973038769655, 1.7743445317982609
2100-Jan-02 22:00:00, 8622.6084079132979, 1.774799645433724, null, null, 8622.6084079132979, 1.774799645433724
2100-Jan-02 23:00:00, 8624.8817445907262, 1.7752675684725747, null, null, 8624.8817445907262, 1.7752675684725747
2100-Jan-03 00:00:00, 8627.1900640052463, 1.7757426920412942, null, null, 8627.1900640052463, 1.7757426920412942
2100-Jan-03 01:00:00, 8629.4823504085252, 1.776214515520143, null, null, 8629.4823504085252, 1.776214515520143
2100-Jan-03 02:00:00, 8631.77670390813, 1.776686764471384, null, null, 8631.77670390813, 1.776686764471384
2100-Jan-03 03:00:00, 8634.0866826313577, 1.7771622295771843, null, null, 8634.0866826313577, 1.7771622295771843
2100-Jan-03 04:00:00, 8636.4202932623029, 1.7776425588609055, null, null, 8636.4202932623029, 1.7776425588609055
2100-Jan-03 05:00:00, 8638.7838819672779, 1.7781290585599632, null, null, 8638.7838819672779, 1.7781290585599632
2100-Jan-03 06:00:00, 8641.1702306476454, 1.7786202429662863, null, null, 8641.1702306476454, 1.7786202429662863
2100-Jan-03 07:00:00, 8643.5656878094451, 1.779113302179959, null, null, 8643.5656878094451, 1.779113302179959
2100-Jan-03 08:00:00, 8645.9480216528555, 1.7796036602085932, null, null, 8645.9480216528555, 1.7796036602085932
2100-Jan-03 09:00:00, 8648.3016887059111, 1.7800881177246504, null, null, 8648.3016887059111, 1.7800881177246504
2100-Jan-03 10:00:00, 8650.6677249342993, 1.7805751211997674, null, null, 8650.6677249342993, 1.7805751211997674
2100-Jan-03 11:00:00, 8653.0559452603393, 1.7810666908486898, null, null, 8653.0559452603393, 1.7810666908486898
2100-Jan-03 12:00:00, 8655.4202975587377, 1.7815533477189041, null, null, 8655.4202975587377, 1.7815533477189041
2100-Jan-03 13:00:00, 8657.6980331092727, 1.7820221761819677, null, null, 8657.6980331092727, 1.7820221761819677
