Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 10513.825438704436, 2.1520429055214114, null, null, 10513.825438704436, 2.1520429055214114
2100-Jan-01 01:00:00, 10514.494882716872, 2.1521799319772916, null, null, 10514.494882716872, 2.1521799319772916
2100-Jan-01 02:00:00, 10515.608737005075, 2.1524079234189117, null, null, 10515.608737005075, 2.1524079234189117
2100-Jan-01 03:00:00, 10517.355612826095, 2.1527654861099959, null, null, 10517.355612826095, 2.1527654861099959
2100-Jan-01 04:00:00, 10519.78749141797, 2.1532632599318311, null, null, 10519.78749141797, 2.1532632599318311
2100-Jan-01 05:00:00, 10522.852759930456, 2.1538906804073061, null, null, 10522.852759930456, 2.1538906804073061
2100-Jan-01 06:00:00, 10526.524430949907, 2.1546422235649212, null, null, 10526.524430949907, 2.1546422235649212
2100-Jan-01 07:00:00, 10530.733117256839, 2.1555036867460635, null, null, 10530.733117256839, 2.1555036867460635
2100-Jan-01 08:00:00, 10535.387497676773, 2.1564563776976788, null, null, 10535.387497676773, 2.1564563776976788
2100-Jan-01 09:00:00, 10540.599030171677, 2.1575231104105184, null, null, 10540.599030171677, 2.1575231104105184
2100-Jan-01 10:00:00, 10546.401730037254, 2.1587108473718546, null, null, 10546.401730037254, 2.1587108473718546
2100-Jan-01 11:00:00, 10552.200555781968, 2.1598977913511912, null, null, 10552.200555781968, 2.1598977913511912
2100-Jan-01 12:00:00, 10557.119535065953, 2.1609046422383607, null, null, 10557.119535065953, 2.1609046422383607
2100-Jan-01 13:00:00, 10560.66233898328, 2.1616298079813521, null, null, 10560.66233898328, 2.1616298079813521
2100-Jan-01 14:00:00, 10562.986348851946, 2.1621055024827855, null, null, 10562.986348851946, 2.1621055024827855
2100-Jan-01 15:00:00, 10565.109078240368, 2.162539997495788, null, null, 10565.109078240368, 2.162539997495788
2100-Jan-01 16:00:00, 10567.766157319569, 2.1630838669194477, null, null, 10567.766157319569, 2.1630838669194477
2100-Jan-01 17:00:00, 10571.305031675343, 2.1638082283324533, null, null, 10571.305031675343, 2.1638082283324533
2100-Jan-01 18:00:00, 10575.510695346651, 2.1646690728195157, null, null, 10575.510695346651, 2.1646690728195157
2100-Jan-01 19:00:00, 10580.108298979343, 2.1656101423034841, null, null, 10580.108298979343, 2.1656101423034841
2100-Jan-01 20:00:00, 10584.844236967758, 2.1665795270253798, null, null, 10584.844236967758, 2.1665795270253798
2100-Jan-01 21:00:00, 10589.58201694427, 2.1675492887782086, null, null, 10589.58201694427, 2.1675492887782086
2100-Jan-01 22:00:00, 10594.371104066782, 2.1685295524344781, null, null, 10594.371104066782, 2.1685295524344781
2100-Jan-01 23:00:00, 10599.291100535867, 2.1695366115261678, null, null, 10599.291100535867, 2.1695366115261678
2100-Jan-02 00:00:00, 10604.947097789673, 2.1706943203767346, null, null, 10604.947097789673, 2.1706943203767346
2100-Jan-02 01:00:00, 10611.32885962235, 2.1720005837683809, null, null, 10611.32885962235, 2.1720005837683809
2100-Jan-02 02:00:00, 10618.44106256645, 2.1734563589263107, null, null, 10618.44106256645, 2.1734563589263107
2100-Jan-02 03:00:00, 10626.064559501197, 2.1750167892938621, null, null, 10626.064559501197, 2.1750167892938621
2100-Jan-02 04:00:00, 10634.465281854667, 2.1767363075650605, null, null, 10634.465281854667, 2.1767363075650605
2100-Jan-02 05:00:00, 10643.38142693567, 2.1785613261444574, null, null, 10643.38142693567, 2.1785613261444574
2100-Jan-02 06:00:00, 10652.349205658784, 2.1803969134567898, null, null, 10652.349205658784, 2.1803969134567898
2100-Jan-02 07:00:00, 10661.080550960531, 2.1821841059322429, null, null, 10661.080550960531, 2.1821841059322429
2100-Jan-02 08:00:00, 10670.144598899902, 2.1840393982972297, null, null, 10670.144598899902, 2.1840393982972297
2100-Jan-02 09:00:00, 10679.445131123759, 2.1859430959101118, null, null, 10679.445131123759, 2.1859430959101118
2100-Jan-02 10:00:00, 10688.808197403148, 2.1878595934283522, null, null, 10688.808197403148, 2.1878595934283522
2100-Jan-02 11:00:00, 10698.244515602286, 2.189791084658931, null, null, 10698.244515602286, 2.189791084658931
2100-Jan-02 12:00:00, 10706.517931998438, 2.1914845450614808, null, null, 10706.517931998438, 2.1914845450614808
2100-Jan-02 13:00:00, 10711.969504737255, 2.1926004108807207, null, null, 10711.969504737255, 2.1926004108807207
2100-Jan-02 14:00:00, 10714.906510562329, 2.1932015776573781, null, null, 10714.906510562329, 2.1932015776573781
2100-Jan-02 15:00:00, 10717.273664251066, 2.1936861031359323, null, null, 10717.273664251066, 2.1936861031359323
2100-Jan-02 16:00:00, 10720.288556573922, 2.1943032122625903, null, null, 10720.288556573922, 2.1943032122625903
2100-Jan-02 17:00:00, 10724.408230048548, 2.1951464556782074, null, null, 10724.408230048548, 2.1951464556782074
2100-Jan-02 18:00:00, 10729.590261602372, 2.1962071499332727, null, null, 10729.590261602372, 2.1962071499332727
2100-Jan-02 19:00:00, 10735.29872987789, 2.1973755989174548, null, null, 10735.29872987789, 2.1973755989174548
2100-Jan-02 20:00:00, 10741.182117823086, 2.1985798516760444, null, null, 10741.182117823086, 2.1985798516760444
2100-Jan-02 21:00:00, 10747.18863580875, 2.1998093075475822, null, null, 10747.18863580875, 2.1998093075475822
2100-Jan-02 22:00:00, 10753.277133933983, 2.2010555436841885, null, null, 10753.277133933983, 2.2010555436841885
2100-Jan-02 23:00:00, 10759.365138179241, 2.2023016787300076, null, null, 10759.365138179241, 2.2023016787300076
2100-Jan-03 00:00:00, 10765.331620495943, 2.2035229398224079, null, null, 10765.331620495943, 2.2035229398224079
2100-Jan-03 01:00:00, 10770.890698447558, 2.2046608105562107, null, null, 10770.890698447558, 2.2046608105562107
2100-Jan-03 02:00:00, 10776.524748696385, 2.2058140271411757, null, null, 10776.524748696385, 2.2058140271411757
2100-Jan-03 03:00:00, 10782.249188759453, 2.2069857453419037, null, null, 10782.249188759453, 2.2069857453419037
2100-Jan-03 04:00:00, 10788.084232717811, 2.2081801027170758, null, null, 10788.084232717811, 2.2081801027170758
2100-Jan-03 05:00:00, 10794.014110069435, 2.2093938712506671, null, null, 10794.014110069435, 2.2093938712506671
2100-Jan-03 06:00:00, 10799.934310439068, 2.2106056590322898, null, null, 10799.934310439068, 2.2106056590322898
2100-Jan-03 07:00:00, 10805.801788968076, 2.2118066553409377, null, null, 10805.801788968076, 2.2118066553409377
2100-Jan-03 08:00:00, 10811.484609727566, 2.2129698546131826, null, null, 10811.484609727566, 2.2129698546131826
2100-Jan-03 09:00:00, 10816.922089601032, 2.2140828358067384, null, null, 10816.922089601032, 2.2140828358067384
2100-Jan-03 10:00:00, 10822.565132030322, 2.2152378929737333, null, null, 10822.565132030322, 2.2152378929737333
2100-Jan-03 11:00:00, 10828.429539020734, 2.2164382605785011, null, null, 10828.429539020734, 2.2164382605785011
2100-Jan-03 12:00:00, 10834.206008852379, 2.2176206285940849, null, null, 10834.206008852379, 2.2176206285940849
2100-Jan-03 13:00:00, 10839.589553368964, 2.2187225699237194, null, null, 10839.589553368964, 2.2187225699237194
2100-Jan-03 14:00:00, 10844.426655732339, 2.2197126616733942, null, null, 10844.426655732339, 2.2197126616733942
2100-Jan-03 15:00:00, 10848.905438434784, 2.220629410063061, null, null, 10848.905438434784, 2.220629410063061
2100-Jan-03 16:00:00, 10853.25378588069, 2.2215194600573529, null, null, 10853.25378588069, 2.2215194600573529
2100-Jan-03 17:00:00, 10857.64721045093, 2.2224187367509267, null, null, 10857.64721045093, 2.2224187367509267
