Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 821.9563897671801, 10.831675230550971, 576.81802649428516, 12.352050075686069, 245.13836327289499, 8.3990754783348205
2100-Jan-01 01:00:00, 821.98342244437436, 10.832031464997987, 576.83286323514335, 12.352367791425909, 245.15055920923106, 8.3994933427133205
2100-Jan-01 02:00:00, 822.01974955404603, 10.83251018072905, 576.85700409778633, 12.352884746740305, 245.16274545625964, 8.3999108751110416
2100-Jan-01 03:00:00, 822.07226760435492, 10.833202259374303, 576.89734521138416, 12.353748616162518, 245.17492239297073, 8.4003280885131613
2100-Jan-01 04:00:00, 822.14472522765243, 10.834157100109538, 576.95763484206304, 12.355039665510812, 245.18709038558936, 8.4007449954675
2100-Jan-01 05:00:00, 822.23792815482648, 10.835385320791625, 577.03867836765232, 12.356775141242167, 245.1992497871741, 8.4011616080707583
2100-Jan-01 06:00:00, 822.35242898127603, 10.836894203478312, 577.1410280436254, 12.358966869421215, 245.21140093765064, 8.4015779379696713
2100-Jan-01 07:00:00, 822.48939960722691, 10.83869919137657, 577.26585544373518, 12.361639938268151, 245.22354416349174, 8.4019939963500416
2100-Jan-01 08:00:00, 822.6457285679885, 10.840759281854824, 577.41004879058039, 12.364727711810247, 245.23567977740814, 8.4024097939261484
2100-Jan-01 09:00:00, 822.82042875057641, 10.843061466817515, 577.5726206724438, 12.368209045495119, 245.24780807813266, 8.4028253409333544
2100-Jan-01 10:00:00, 823.01395597573719, 10.845611753033801, 577.75402662554609, 12.372093694229774, 245.2599293501911, 8.4032406471202474
2100-Jan-01 11:00:00, 823.21509861726986, 10.848262394594862, 577.94305475377132, 12.376141565132389, 245.27204386349848, 8.4036557217348182
2100-Jan-01 12:00:00, 823.39642800981096, 10.850651938753421, 578.11227613635469, 12.379765292019448, 245.2841518734563, 8.4040705735277825
2100-Jan-01 13:00:00, 823.53522848593502, 10.852481040270167, 578.23897486554824, 12.382478433730769, 245.29625362038681, 8.4044852107332044
2100-Jan-01 14:00:00, 823.63366698148843, 10.853778254851491, 578.32531765159547, 12.384327388458159, 245.30834932989302, 8.4048996410808261
2100-Jan-01 15:00:00, 823.72637729593089, 10.8549999839226, 578.4059380835007, 12.386053804010858, 245.32043921243019, 8.4053138717813916
2100-Jan-01 16:00:00, 823.85241299088557, 10.856660872179205, 578.51988952702379, 12.388493973825156, 245.33252346386172, 8.4057279095456874
2100-Jan-01 17:00:00, 824.03637877589517, 10.859085158505785, 578.69177651055736, 12.39217478220916, 245.34460226533778, 8.4061417605803879
2100-Jan-01 18:00:00, 824.29024944612888, 10.862430645790473, 578.93357366239661, 12.39735265528263, 245.3566757837323, 8.4065554306030261
2100-Jan-01 19:00:00, 824.61635792377569, 10.866728077094342, 579.24761375166918, 12.404077547242132, 245.36874417210652, 8.4069689248578765
2100-Jan-01 20:00:00, 824.99862232150485, 10.871765526598903, 579.61781475143027, 12.412005075642917, 245.38080757007458, 8.4073822481284832
2100-Jan-01 21:00:00, 825.41772928036062, 10.877288484412365, 580.02486317603552, 12.420721659197893, 245.39286610432515, 8.4077954047555252
2100-Jan-01 22:00:00, 825.86574259693532, 10.883192367884179, 580.46082270743034, 12.430057348644857, 245.40491988950495, 8.4082083986670995
2100-Jan-01 23:00:00, 826.33910548300969, 10.88943030594511, 580.92213645435561, 12.439935976289791, 245.41696902865411, 8.4086212333936245
2100-Jan-02 00:00:00, 826.82804985007806, 10.895873575510047, 581.39903623621194, 12.450148365147287, 245.42901361386606, 8.4090339120904627
2100-Jan-02 01:00:00, 827.33001146252843, 10.902488385288223, 581.88895773540901, 12.460639602614355, 245.44105372711942, 8.4094464375664124
2100-Jan-02 02:00:00, 827.83834779753124, 10.909187200647755, 582.38525835638382, 12.471267443356666, 245.45308944114745, 8.4098588123135034
