Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1661.1654335139892, 21.890704548373353, 1419.50258920689, 30.397397895163145, 241.66284430709914, 8.279995193509686
2100-Jan-01 01:00:00, 1663.2494306462313, 21.91816729505781, 1421.5745307509872, 30.441766698721743, 241.6748998952441, 8.2804082491955171
2100-Jan-01 02:00:00, 1666.6247604217303, 21.962647119510017, 1424.9378207701589, 30.513788592677368, 241.68693965157141, 8.2808207624422554
2100-Jan-01 03:00:00, 1671.4303891954032, 22.025975309184119, 1429.7314255182173, 30.616439416977936, 241.69896367718587, 8.2812327367140135
2100-Jan-01 04:00:00, 1676.752621604028, 22.096111260031908, 1435.041649502336, 30.730153187269739, 241.71097210169211, 8.2816441764513815
2100-Jan-01 05:00:00, 1681.8985323583402, 22.163923658292958, 1440.175567278427, 30.840091515376688, 241.72296507991317, 8.2820550869589979
2100-Jan-01 06:00:00, 1686.8180897087536, 22.228753189593082, 1445.0831469206109, 30.945183011665552, 241.73494278814266, 8.2824654742771386
2100-Jan-01 07:00:00, 1691.1384977007833, 22.285687178811656, 1449.3915922801366, 31.03744457490528, 241.7469054206467, 8.2828753450618642
2100-Jan-01 08:00:00, 1695.1533902984656, 22.338595110722686, 1453.3945371115244, 31.123164113367036, 241.75885318694117, 8.283284706491731
2100-Jan-01 09:00:00, 1699.8791875925217, 22.400871287575733, 1458.1084012832414, 31.224107363446976, 241.77078630928028, 8.2836935661817463
2100-Jan-01 10:00:00, 1705.1500625552569, 22.470330454130011, 1463.3673575341331, 31.336723280379491, 241.78270502112377, 8.2841019321308433
2100-Jan-01 11:00:00, 1708.5380299148292, 22.514976815649248, 1466.7434203488508, 31.409018692503661, 241.79460956597825, 8.2845098126821899
2100-Jan-01 12:00:00, 1708.2628844346343, 22.511350970629088, 1466.4563842372468, 31.402872066945491, 241.80650019738761, 8.2849172165228566
2100-Jan-01 13:00:00, 1704.6964465920366, 22.464352739431074, 1462.8780694132017, 31.326245606150213, 241.81837717883499, 8.2853241526804595
2100-Jan-01 14:00:00, 1699.8830909319865, 22.400922725469428, 1458.052850147239, 31.222917784789331, 241.8302407847475, 8.2857306305575822
2100-Jan-01 15:00:00, 1697.5791827754415, 22.370562008984479, 1455.7370914741416, 31.173327852125208, 241.84209130129986, 8.2861366599593111
2100-Jan-01 16:00:00, 1697.8837972165998, 22.374576193603321, 1456.0298681889312, 31.179597407645268, 241.85392902766858, 8.2865422511362095
2100-Jan-01 17:00:00, 1700.0593476559493, 22.403245422409231, 1458.1935933789189, 31.225931677153426, 241.86575427703048, 8.2869474148185258
2100-Jan-01 18:00:00, 1701.739690356716, 22.425388843443876, 1459.8621229800465, 31.261661769208892, 241.87756737666948, 8.2873521622198556
2100-Jan-01 19:00:00, 1702.2560507615506, 22.432193399350631, 1460.3666820928779, 31.272466458281659, 241.88936866867269, 8.2877565050609903
2100-Jan-01 20:00:00, 1701.5283418745494, 22.422603710135348, 1459.627183366104, 31.256630744270545, 241.90115850844535, 8.2881604555190336
2100-Jan-01 21:00:00, 1700.0404596407895, 22.402996517663787, 1458.1275223767545, 31.224516824826004, 241.91293726403495, 8.2885640262042468
2100-Jan-01 22:00:00, 1698.567964840903, 22.383592099558875, 1456.6432595274071, 31.192732642989583, 241.92470531349593, 8.288967230069753
2100-Jan-01 23:00:00, 1697.5114066432116, 22.369668860562204, 1455.5749435999535, 31.169855598191312, 241.93646304325816, 8.289370080355642
2100-Jan-02 00:00:00, 1699.6450986617476, 22.39778648246347, 1457.6968878169423, 31.215295164956167, 241.94821084480526, 8.289772590475156
2100-Jan-02 01:00:00, 1702.9691553726391, 22.441590634591915, 1461.0092062605006, 31.286225547506991, 241.95994911213853, 8.2901747739278022
2100-Jan-02 02:00:00, 1707.5337014234253, 22.501741855523495, 1465.562023184352, 31.383720112596489, 241.97167823907321, 8.290576644206709
2100-Jan-02 03:00:00, 1711.785860868295, 22.557776470873826, 1469.8024622515386, 31.474525380973972, 241.98339861675632, 8.2909782147135882
2100-Jan-02 04:00:00, 1717.714503323509, 22.635903644568678, 1475.7193926922891, 31.601231235752294, 241.9951106312198, 8.2913794986748943
