Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 480.11877621742508, 16.450113259207594, null, null, 480.11877621742508, 16.450113259207594
2100-Jan-01 01:00:00, 480.12146310109222, 16.450205318803736, null, null, 480.12146310109222, 16.450205318803736
2100-Jan-01 02:00:00, 480.1522989222351, 16.451261833931593, null, null, 480.1522989222351, 16.451261833931593
2100-Jan-01 03:00:00, 480.21007876893327, 16.453241521186843, null, null, 480.21007876893327, 16.453241521186843
2100-Jan-01 04:00:00, 480.29578280808175, 16.456177963626924, null, null, 480.29578280808175, 16.456177963626924
2100-Jan-01 05:00:00, 480.4075363807691, 16.460006930580292, null, null, 480.4075363807691, 16.460006930580292
2100-Jan-01 06:00:00, 480.54478495835997, 16.464709422459119, null, null, 480.54478495835997, 16.464709422459119
2100-Jan-01 07:00:00, 480.70825297763133, 16.470310260344398, null, null, 480.70825297763133, 16.470310260344398
2100-Jan-01 08:00:00, 480.89004260212414, 16.476538843895774, null, null, 480.89004260212414, 16.476538843895774
2100-Jan-01 09:00:00, 481.09167388679157, 16.483447254134404, null, null, 481.09167388679157, 16.483447254134404
2100-Jan-01 10:00:00, 481.31488733761353, 16.491095125304803, null, null, 481.31488733761353, 16.491095125304803
2100-Jan-01 11:00:00, 481.53139361520357, 16.498513191342013, null, null, 481.53139361520357, 16.498513191342013
2100-Jan-01 12:00:00, 481.69263442877491, 16.504037719389327, null, null, 481.69263442877491, 16.504037719389327
2100-Jan-01 13:00:00, 481.77828090291268, 16.506972189502989, null, null, 481.77828090291268, 16.506972189502989
2100-Jan-01 14:00:00, 481.81469653422454, 16.508219883384502, null, null, 481.81469653422454, 16.508219883384502
2100-Jan-01 15:00:00, 481.87265263137022, 16.510205609436749, null, null, 481.87265263137022, 16.510205609436749
2100-Jan-01 16:00:00, 481.99921523387354, 16.514541972121755, null, null, 481.99921523387354, 16.514541972121755
2100-Jan-01 17:00:00, 482.20923326818479, 16.521737734133218, null, null, 482.20923326818479, 16.521737734133218
2100-Jan-01 18:00:00, 482.48778225525052, 16.5312815441495, null, null, 482.48778225525052, 16.5312815441495
2100-Jan-01 19:00:00, 482.82287465406972, 16.54276267795623, null, null, 482.82287465406972, 16.54276267795623
2100-Jan-01 20:00:00, 483.18660023580617, 16.555224858798177, null, null, 483.18660023580617, 16.555224858798177
2100-Jan-01 21:00:00, 483.56452656686088, 16.568173594105858, null, null, 483.56452656686088, 16.568173594105858
2100-Jan-01 22:00:00, 483.96422303894377, 16.581868230851519, null, null, 483.96422303894377, 16.581868230851519
2100-Jan-01 23:00:00, 484.38856684713022, 16.596407349193246, null, null, 484.38856684713022, 16.596407349193246
2100-Jan-02 00:00:00, 484.84521809668712, 16.612053404184788, null, null, 484.84521809668712, 16.612053404184788
2100-Jan-02 01:00:00, 485.32452925503657, 16.628475846363305, null, null, 485.32452925503657, 16.628475846363305
