Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 328.64643494317994, 11.260278382868, null, null, 328.64643494317994, 11.260278382868
2100-Jan-01 01:00:00, 328.65978845582003, 11.260735908809952, null, null, 328.65978845582003, 11.260735908809952
2100-Jan-01 02:00:00, 328.67525845809729, 11.261265951170691, null, null, 328.67525845809729, 11.261265951170691
2100-Jan-01 03:00:00, 328.69495542255652, 11.261940820207826, null, null, 328.69495542255652, 11.261940820207826
2100-Jan-01 04:00:00, 328.72020748086339, 11.262806021153411, null, null, 328.72020748086339, 11.262806021153411
2100-Jan-01 05:00:00, 328.75164562096825, 11.263883173289511, null, null, 328.75164562096825, 11.263883173289511
2100-Jan-01 06:00:00, 328.78962453890699, 11.26518442942133, null, null, 328.78962453890699, 11.26518442942133
2100-Jan-01 07:00:00, 328.8346971636098, 11.266728734326653, null, null, 328.8346971636098, 11.266728734326653
2100-Jan-01 08:00:00, 328.88613078239115, 11.268490983370421, null, null, 328.88613078239115, 11.268490983370421
2100-Jan-01 09:00:00, 328.94369842198375, 11.270463399860409, null, null, 328.94369842198375, 11.270463399860409
2100-Jan-01 10:00:00, 329.00764789608496, 11.272654474535971, null, null, 329.00764789608496, 11.272654474535971
2100-Jan-01 11:00:00, 329.07472582007676, 11.274952738010585, null, null, 329.07472582007676, 11.274952738010585
2100-Jan-01 12:00:00, 329.13684374661182, 11.277081059120999, null, null, 329.13684374661182, 11.277081059120999
2100-Jan-01 13:00:00, 329.18711761139417, 11.278803571987842, null, null, 329.18711761139417, 11.278803571987842
2100-Jan-01 14:00:00, 329.2258056359675, 11.280129123950255, null, null, 329.2258056359675, 11.280129123950255
2100-Jan-01 15:00:00, 329.26261171758625, 11.281390195670935, null, null, 329.26261171758625, 11.281390195670935
2100-Jan-01 16:00:00, 329.30879521479125, 11.282972561946453, null, null, 329.30879521479125, 11.282972561946453
2100-Jan-01 17:00:00, 329.37170188813104, 11.285127907566034, null, null, 329.37170188813104, 11.285127907566034
2100-Jan-01 18:00:00, 329.45588941173355, 11.288012390254224, null, null, 329.45588941173355, 11.288012390254224
2100-Jan-01 19:00:00, 329.56335550441867, 11.29169445703387, null, null, 329.56335550441867, 11.29169445703387
2100-Jan-01 20:00:00, 329.69037685782587, 11.296046537713464, null, null, 329.69037685782587, 11.296046537713464
2100-Jan-01 21:00:00, 329.83151827851435, 11.300882408483158, null, null, 329.83151827851435, 11.300882408483158
2100-Jan-01 22:00:00, 329.98471703269985, 11.306131394738967, null, null, 329.98471703269985, 11.306131394738967
2100-Jan-01 23:00:00, 330.14878663734152, 11.311752844497738, null, null, 330.14878663734152, 11.311752844497738
2100-Jan-02 00:00:00, 330.32001022280241, 11.317619408175313, null, null, 330.32001022280241, 11.317619408175313
2100-Jan-02 01:00:00, 330.49682990266405, 11.323677708546519, null, null, 330.49682990266405, 11.323677708546519
2100-Jan-02 02:00:00, 330.67686051832197, 11.329846023897629, null, null, 330.67686051832197, 11.329846023897629
2100-Jan-02 03:00:00, 330.86046377090076, 11.336136747046336, null, null, 330.86046377090076, 11.336136747046336
2100-Jan-02 04:00:00, 331.04715867945032, 11.342533398339071, null, null, 331.04715867945032, 11.342533398339071
2100-Jan-02 05:00:00, 331.23679712808109, 11.34903090294169, null, null, 331.23679712808109, 11.34903090294169
2100-Jan-02 06:00:00, 331.42929940749656, 11.355626529807168, null, null, 331.42929940749656, 11.355626529807168
2100-Jan-02 07:00:00, 331.62404112636926, 11.36229888567083, null, null, 331.62404112636926, 11.36229888567083
2100-Jan-02 08:00:00, 331.81991437905134, 11.369010010814602, null, null, 331.81991437905134, 11.369010010814602
2100-Jan-02 09:00:00, 332.0156979599771, 11.375718063571663, null, null, 332.0156979599771, 11.375718063571663
2100-Jan-02 10:00:00, 332.20612714144397, 11.382242660730032, null, null, 332.20612714144397, 11.382242660730032
2100-Jan-02 11:00:00, 332.38640413743809, 11.38841941770983, null, null, 332.38640413743809, 11.38841941770983
2100-Jan-02 12:00:00, 332.54417142422687, 11.393824933729679, null, null, 332.54417142422687, 11.393824933729679
2100-Jan-02 13:00:00, 332.65187032807228, 11.39751497722289, null, null, 332.65187032807228, 11.39751497722289
2100-Jan-02 14:00:00, 332.70973118420318, 11.399497440071201, null, null, 332.70973118420318, 11.399497440071201
2100-Jan-02 15:00:00, 332.74264381460222, 11.400625112065178, null, null, 332.74264381460222, 11.400625112065178
2100-Jan-02 16:00:00, 332.77510239577219, 11.401737227156127, null, null, 332.77510239577219, 11.401737227156127
2100-Jan-02 17:00:00, 332.82166170829873, 11.403332469838295, null, null, 332.82166170829873, 11.403332469838295
2100-Jan-02 18:00:00, 332.88585473688039, 11.405531889321406, null, null, 332.88585473688039, 11.405531889321406
2100-Jan-02 19:00:00, 332.96894306171737, 11.408378710611867, null, null, 332.96894306171737, 11.408378710611867
2100-Jan-02 20:00:00, 333.07416535940024, 11.411983899161072, null, null, 333.07416535940024, 11.411983899161072
2100-Jan-02 21:00:00, 333.2043748060442, 11.416445212175296, null, null, 333.2043748060442, 11.416445212175296
2100-Jan-02 22:00:00, 333.35718441298337, 11.421680865238166, null, null, 333.35718441298337, 11.421680865238166
2100-Jan-02 23:00:00, 333.52635659191111, 11.427477142412728, null, null, 333.52635659191111, 11.427477142412728
2100-Jan-03 00:00:00, 333.70450520506716, 11.433580975481863, null, null, 333.70450520506716, 11.433580975481863
2100-Jan-03 01:00:00, 333.88149468620065, 11.439645093684597, null, null, 333.88149468620065, 11.439645093684597
2100-Jan-03 02:00:00, 334.0515386413789, 11.445471240172271, null, null, 334.0515386413789, 11.445471240172271
2100-Jan-03 03:00:00, 334.21482981590952, 11.451066018898528, null, null, 334.21482981590952, 11.451066018898528
2100-Jan-03 04:00:00, 334.37428043092223, 11.456529210104826, null, null, 334.37428043092223, 11.456529210104826
2100-Jan-03 05:00:00, 334.5354715921506, 11.462052036934221, null, null, 334.5354715921506, 11.462052036934221
2100-Jan-03 06:00:00, 334.70164298113309, 11.467745499270224, null, null, 334.70164298113309, 11.467745499270224
2100-Jan-03 07:00:00, 334.86933223757086, 11.473490967678034, null, null, 334.86933223757086, 11.473490967678034
2100-Jan-03 08:00:00, 335.0354225736595, 11.479181652931885, null, null, 335.0354225736595, 11.479181652931885
2100-Jan-03 09:00:00, 335.20038970600518, 11.484833854315287, null, null, 335.20038970600518, 11.484833854315287
2100-Jan-03 10:00:00, 335.36512020288058, 11.490477947954355, null, null, 335.36512020288058, 11.490477947954355
2100-Jan-03 11:00:00, 335.52381544498485, 11.49591525812764, null, null, 335.52381544498485, 11.49591525812764
2100-Jan-03 12:00:00, 335.66950814685009, 11.500907067582803, null, null, 335.66950814685009, 11.500907067582803
2100-Jan-03 13:00:00, 335.7985058116173, 11.505326861810207, null, null, 335.7985058116173, 11.505326861810207
2100-Jan-03 14:00:00, 335.91051927420637, 11.509164733264981, null, null, 335.91051927420637, 11.509164733264981
2100-Jan-03 15:00:00, 336.00839551450827, 11.512518226854706, null, null, 336.00839551450827, 11.512518226854706
2100-Jan-03 16:00:00, 336.09567416009878, 11.515508619391289, null, null, 336.09567416009878, 11.515508619391289
2100-Jan-03 17:00:00, 336.1758391747469, 11.518255280500394, null, null, 336.1758391747469, 11.518255280500394
2100-Jan-03 18:00:00, 336.25828645656316, 11.521080137996027, null, null, 336.25828645656316, 11.521080137996027
2100-Jan-03 19:00:00, 336.3482291508729, 11.524161807744271, null, null, 336.3482291508729, 11.524161807744271
2100-Jan-03 20:00:00, 336.4440346740231, 11.527444353199158, null, null, 336.4440346740231, 11.527444353199158
2100-Jan-03 21:00:00, 336.54232385399087, 11.530811995171762, null, null, 336.54232385399087, 11.530811995171762
2100-Jan-03 22:00:00, 336.64383606544106, 11.534290066553815, null, null, 336.64383606544106, 11.534290066553815
2100-Jan-03 23:00:00, 336.75367048453342, 11.538053278332498, null, null, 336.75367048453342, 11.538053278332498
2100-Jan-04 00:00:00, 336.87654400890472, 11.542263243642312, null, null, 336.87654400890472, 11.542263243642312
2100-Jan-04 01:00:00, 337.01435544279923, 11.546985020436461, null, null, 337.01435544279923, 11.546985020436461
2100-Jan-04 02:00:00, 337.16593163749457, 11.552178413600091, null, null, 337.16593163749457, 11.552178413600091
