Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 385.46431944205352, 13.429905445839006, null, null, 385.46431944205352, 13.429905445839006
2100-Jan-01 01:00:00, 385.49978473662668, 13.431141086931328, null, null, 385.49978473662668, 13.431141086931328
2100-Jan-01 02:00:00, 385.55958642229643, 13.433224628632955, null, null, 385.55958642229643, 13.433224628632955
2100-Jan-01 03:00:00, 385.65394002921585, 13.436511988721785, null, null, 385.65394002921585, 13.436511988721785
2100-Jan-01 04:00:00, 385.78640153410805, 13.441127060457843, null, null, 385.78640153410805, 13.441127060457843
2100-Jan-01 05:00:00, 385.95503047224639, 13.447002236396067, null, null, 385.95503047224639, 13.447002236396067
2100-Jan-01 06:00:00, 386.15899280587399, 13.454108457950104, null, null, 386.15899280587399, 13.454108457950104
2100-Jan-01 07:00:00, 386.39540370782004, 13.462345215282395, null, null, 386.39540370782004, 13.462345215282395
2100-Jan-01 08:00:00, 386.65866613484184, 13.471517502635638, null, null, 386.65866613484184, 13.471517502635638
2100-Jan-01 09:00:00, 386.95421214039601, 13.481814577382357, null, null, 386.95421214039601, 13.481814577382357
2100-Jan-01 10:00:00, 387.28368071995516, 13.49329354352184, null, null, 387.28368071995516, 13.49329354352184
2100-Jan-01 11:00:00, 387.61312845818054, 13.50477178353149, null, null, 387.61312845818054, 13.50477178353149
2100-Jan-01 12:00:00, 387.89236652187202, 13.514500675683387, null, null, 387.89236652187202, 13.514500675683387
2100-Jan-01 13:00:00, 388.09347566221538, 13.521507489551437, null, null, 388.09347566221538, 13.521507489551437
2100-Jan-01 14:00:00, 388.22673379945667, 13.52615031663756, null, null, 388.22673379945667, 13.52615031663756
2100-Jan-01 15:00:00, 388.35174923074527, 13.530505960822492, null, null, 388.35174923074527, 13.530505960822492
2100-Jan-01 16:00:00, 388.51167117133053, 13.536077777544424, null, null, 388.51167117133053, 13.536077777544424
2100-Jan-01 17:00:00, 388.72670573731102, 13.543569765111224, null, null, 388.72670573731102, 13.543569765111224
2100-Jan-01 18:00:00, 388.98484078369921, 13.552563410152789, null, null, 388.98484078369921, 13.552563410152789
2100-Jan-01 19:00:00, 389.27068076577507, 13.562522318768444, null, null, 389.27068076577507, 13.562522318768444
2100-Jan-01 20:00:00, 389.56946380330106, 13.572932174468196, null, null, 389.56946380330106, 13.572932174468196
2100-Jan-01 21:00:00, 389.87286134356361, 13.583502803376533, null, null, 389.87286134356361, 13.583502803376533
2100-Jan-01 22:00:00, 390.18322486471351, 13.594316132996545, null, null, 390.18322486471351, 13.594316132996545
2100-Jan-01 23:00:00, 390.50439326347919, 13.605505913762396, null, null, 390.50439326347919, 13.605505913762396
2100-Jan-02 00:00:00, 390.86864330246573, 13.618196695594845, null, null, 390.86864330246573, 13.618196695594845
2100-Jan-02 01:00:00, 391.27402328139982, 13.632320479592806, null, null, 391.27402328139982, 13.632320479592806
2100-Jan-02 02:00:00, 391.71965820648319, 13.647846780226535, null, null, 391.71965820648319, 13.647846780226535
2100-Jan-02 03:00:00, 392.19313420887045, 13.664343087724307, null, null, 392.19313420887045, 13.664343087724307
2100-Jan-02 04:00:00, 392.70884496127348, 13.682310889912069, null, null, 392.70884496127348, 13.682310889912069
2100-Jan-02 05:00:00, 393.25174963907494, 13.701226151639874, null, null, 393.25174963907494, 13.701226151639874
2100-Jan-02 06:00:00, 393.79614084420916, 13.720193205247019, null, null, 393.79614084420916, 13.720193205247019
2100-Jan-02 07:00:00, 394.32653944315138, 13.738672744527619, null, null, 394.32653944315138, 13.738672744527619
2100-Jan-02 08:00:00, 394.87484776043351, 13.757776273660809, null, null, 394.87484776043351, 13.757776273660809
2100-Jan-02 09:00:00, 395.4350323095299, 13.777293580833296, null, null, 395.4350323095299, 13.777293580833296
2100-Jan-02 10:00:00, 395.99503606321878, 13.796804588939683, null, null, 395.99503606321878, 13.796804588939683
2100-Jan-02 11:00:00, 396.55386009686322, 13.816274494594168, null, null, 396.55386009686322, 13.816274494594168
2100-Jan-02 12:00:00, 397.03888750095763, 13.833173262773432, null, null, 397.03888750095763, 13.833173262773432
2100-Jan-02 13:00:00, 397.35538879250964, 13.844200437545878, null, null, 397.35538879250964, 13.844200437545878
2100-Jan-02 14:00:00, 397.52438425998361, 13.850088383678573, null, null, 397.52438425998361, 13.850088383678573
2100-Jan-02 15:00:00, 397.65697367049722, 13.854707911755503, null, null, 397.65697367049722, 13.854707911755503
2100-Jan-02 16:00:00, 397.82330321229296, 13.860502974765225, null, null, 397.82330321229296, 13.860502974765225
2100-Jan-02 17:00:00, 398.05096055684226, 13.868434750696583, null, null, 398.05096055684226, 13.868434750696583
2100-Jan-02 18:00:00, 398.33793736939407, 13.878433267455016, null, null, 398.33793736939407, 13.878433267455016
2100-Jan-02 19:00:00, 398.65586912544484, 13.889510280829876, null, null, 398.65586912544484, 13.889510280829876
2100-Jan-02 20:00:00, 398.98742744536469, 13.901062055304749, null, null, 398.98742744536469, 13.901062055304749
2100-Jan-02 21:00:00, 399.33125268429808, 13.913041219693952, null, null, 399.33125268429808, 13.913041219693952
2100-Jan-02 22:00:00, 399.68504556011595, 13.925367665048279, null, null, 399.68504556011595, 13.925367665048279
2100-Jan-02 23:00:00, 400.04341745555246, 13.937853647349119, null, null, 400.04341745555246, 13.937853647349119
2100-Jan-03 00:00:00, 400.39861788863334, 13.950229133198242, null, null, 400.39861788863334, 13.950229133198242
2100-Jan-03 01:00:00, 400.73334903892965, 13.961891451787841, null, null, 400.73334903892965, 13.961891451787841
2100-Jan-03 02:00:00, 401.07286601053283, 13.973720512471042, null, null, 401.07286601053283, 13.973720512471042
2100-Jan-03 03:00:00, 401.41729848694541, 13.985720833531607, null, null, 401.41729848694541, 13.985720833531607
2100-Jan-03 04:00:00, 401.76802385349907, 13.99794040424853, null, null, 401.76802385349907, 13.99794040424853
2100-Jan-03 05:00:00, 402.12482009243655, 14.010371489333908, null, null, 402.12482009243655, 14.010371489333908
2100-Jan-03 06:00:00, 402.48208791732907, 14.022819004875922, null, null, 402.48208791732907, 14.022819004875922
2100-Jan-03 07:00:00, 402.83668751833306, 14.035173557223359, null, null, 402.83668751833306, 14.035173557223359
2100-Jan-03 08:00:00, 403.18095104582858, 14.047167991959649, null, null, 403.18095104582858, 14.047167991959649
