Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 272.61827547796742, 9.9958949152789991, null, null, 272.61827547796742, 9.9958949152789991
2100-Jan-01 01:00:00, 272.63278803400885, 9.9964270365569572, null, null, 272.63278803400885, 9.9964270365569572
2100-Jan-01 02:00:00, 272.64951015340176, 9.9970401742782613, null, null, 272.64951015340176, 9.9970401742782613
2100-Jan-01 03:00:00, 272.67179254428999, 9.9978571864077281, null, null, 272.67179254428999, 9.9978571864077281
2100-Jan-01 04:00:00, 272.7014667871631, 9.9989452301675605, null, null, 272.7014667871631, 9.9989452301675605
2100-Jan-01 05:00:00, 272.73922035878365, 10.000329512765394, null, null, 272.73922035878365, 10.000329512765394
2100-Jan-01 06:00:00, 272.78531510134701, 10.002019634977495, null, null, 272.78531510134701, 10.002019634977495
2100-Jan-01 07:00:00, 272.8397644323407, 10.004016088773067, null, null, 272.8397644323407, 10.004016088773067
2100-Jan-01 08:00:00, 272.90174192666649, 10.006288572227476, null, null, 272.90174192666649, 10.006288572227476
2100-Jan-01 09:00:00, 272.97130845925125, 10.00883931739714, null, null, 272.97130845925125, 10.00883931739714
2100-Jan-01 10:00:00, 273.04878133730642, 10.011679958753504, null, null, 273.04878133730642, 10.011679958753504
2100-Jan-01 11:00:00, 273.13022131092487, 10.014666058701374, null, null, 273.13022131092487, 10.014666058701374
2100-Jan-01 12:00:00, 273.20746922714187, 10.017498451546555, null, null, 273.20746922714187, 10.017498451546555
2100-Jan-01 13:00:00, 273.27345256077183, 10.019917814180879, null, null, 273.27345256077183, 10.019917814180879
2100-Jan-01 14:00:00, 273.32677075442069, 10.021872793390735, null, null, 273.32677075442069, 10.021872793390735
2100-Jan-01 15:00:00, 273.37478871119589, 10.023633432691712, null, null, 273.37478871119589, 10.023633432691712
2100-Jan-01 16:00:00, 273.42686457086904, 10.025542860150319, null, null, 273.42686457086904, 10.025542860150319
2100-Jan-01 17:00:00, 273.48966827968997, 10.027845637807332, null, null, 273.48966827968997, 10.027845637807332
2100-Jan-01 18:00:00, 273.5646226304346, 10.030593934164839, null, null, 273.5646226304346, 10.030593934164839
2100-Jan-01 19:00:00, 273.65019440757999, 10.03373153193065, null, null, 273.65019440757999, 10.03373153193065
2100-Jan-01 20:00:00, 273.74365391209739, 10.037158343226967, null, null, 273.74365391209739, 10.037158343226967
2100-Jan-01 21:00:00, 273.84253719511372, 10.040784024242578, null, null, 273.84253719511372, 10.040784024242578
2100-Jan-01 22:00:00, 273.94593236982337, 10.044575139490931, null, null, 273.94593236982337, 10.044575139490931
2100-Jan-01 23:00:00, 274.05385188547598, 10.048532145439561, null, null, 274.05385188547598, 10.048532145439561
2100-Jan-02 00:00:00, 274.16958732887798, 10.052775732294446, null, null, 274.16958732887798, 10.052775732294446
2100-Jan-02 01:00:00, 274.294423985972, 10.057353026695193, null, null, 274.294423985972, 10.057353026695193
2100-Jan-02 02:00:00, 274.42834840260298, 10.062263535328137, null, null, 274.42834840260298, 10.062263535328137
2100-Jan-02 03:00:00, 274.56997772588858, 10.067456554138058, null, null, 274.56997772588858, 10.067456554138058
2100-Jan-02 04:00:00, 274.72008422976728, 10.072960399528617, null, null, 274.72008422976728, 10.072960399528617
2100-Jan-02 05:00:00, 274.87753410145808, 10.078733498815838, null, null, 274.87753410145808, 10.078733498815838
2100-Jan-02 06:00:00, 275.038849476282, 10.084648331679231, null, null, 275.038849476282, 10.084648331679231
2100-Jan-02 07:00:00, 275.20079406784055, 10.090586235572427, null, null, 275.20079406784055, 10.090586235572427
2100-Jan-02 08:00:00, 275.36551207890074, 10.096625830410025, null, null, 275.36551207890074, 10.096625830410025
2100-Jan-02 09:00:00, 275.53363054550891, 10.102790107264124, null, null, 275.53363054550891, 10.102790107264124
2100-Jan-02 10:00:00, 275.7031425832941, 10.109005481173318, null, null, 275.7031425832941, 10.109005481173318
2100-Jan-02 11:00:00, 275.87239546469613, 10.115211352784957, null, null, 275.87239546469613, 10.115211352784957
2100-Jan-02 12:00:00, 276.03149025924711, 10.121044765255604, null, null, 276.03149025924711, 10.121044765255604
2100-Jan-02 13:00:00, 276.16410056179387, 10.12590709022856, null, null, 276.16410056179387, 10.12590709022856
2100-Jan-02 14:00:00, 276.26590905150778, 10.12964002765867, null, null, 276.26590905150778, 10.12964002765867
2100-Jan-02 15:00:00, 276.34902375324668, 10.132687533637645, null, null, 276.34902375324668, 10.132687533637645
2100-Jan-02 16:00:00, 276.4283563985137, 10.135596365718142, null, null, 276.4283563985137, 10.135596365718142
2100-Jan-02 17:00:00, 276.5142333417985, 10.138745152787591, null, null, 276.5142333417985, 10.138745152787591
2100-Jan-02 18:00:00, 276.61068220578215, 10.142281572741052, null, null, 276.61068220578215, 10.142281572741052
2100-Jan-02 19:00:00, 276.71636958914496, 10.146156734727581, null, null, 276.71636958914496, 10.146156734727581
2100-Jan-02 20:00:00, 276.82902219581842, 10.150287285462912, null, null, 276.82902219581842, 10.150287285462912
2100-Jan-02 21:00:00, 276.94779072718796, 10.154642084335917, null, null, 276.94779072718796, 10.154642084335917
2100-Jan-02 22:00:00, 277.07206363474762, 10.15919870814481, null, null, 277.07206363474762, 10.15919870814481
2100-Jan-02 23:00:00, 277.20070325503519, 10.163915443015508, null, null, 277.20070325503519, 10.163915443015508
2100-Jan-03 00:00:00, 277.33201045248393, 10.168729987986918, null, null, 277.33201045248393, 10.168729987986918
2100-Jan-03 01:00:00, 277.46290856777188, 10.173529533441942, null, null, 277.46290856777188, 10.173529533441942
2100-Jan-03 02:00:00, 277.59408388264939, 10.178339242771573, null, null, 277.59408388264939, 10.178339242771573
2100-Jan-03 03:00:00, 277.72609588258018, 10.183179630220105, null, null, 277.72609588258018, 10.183179630220105
2100-Jan-03 04:00:00, 277.85936755423637, 10.188066205130474, null, null, 277.85936755423637, 10.188066205130474
2100-Jan-03 05:00:00, 277.99435493687935, 10.193015688760733, null, null, 277.99435493687935, 10.193015688760733
2100-Jan-03 06:00:00, 278.13074673365622, 10.198016667016859, null, null, 278.13074673365622, 10.198016667016859
2100-Jan-03 07:00:00, 278.26771436078241, 10.203038758823244, null, null, 278.26771436078241, 10.203038758823244
2100-Jan-03 08:00:00, 278.40395700635128, 10.208034268261112, null, null, 278.40395700635128, 10.208034268261112
2100-Jan-03 09:00:00, 278.53863866871848, 10.212972542269624, null, null, 278.53863866871848, 10.212972542269624
2100-Jan-03 10:00:00, 278.6740356692892, 10.217937045060847, null, null, 278.6740356692892, 10.217937045060847
2100-Jan-03 11:00:00, 278.81060769625151, 10.222944631685362, null, null, 278.81060769625151, 10.222944631685362
2100-Jan-03 12:00:00, 278.94531489113967, 10.227883841876142, null, null, 278.94531489113967, 10.227883841876142
2100-Jan-03 13:00:00, 279.07423492534315, 10.2326108584788, null, null, 279.07423492534315, 10.2326108584788
2100-Jan-03 14:00:00, 279.19463610540311, 10.237025520487226, null, null, 279.19463610540311, 10.237025520487226
2100-Jan-03 15:00:00, 279.3065696829031, 10.241129707105747, null, null, 279.3065696829031, 10.241129707105747
2100-Jan-03 16:00:00, 279.41160175270079, 10.244980841189077, null, null, 279.41160175270079, 10.244980841189077
2100-Jan-03 17:00:00, 279.51185582703749, 10.248656784007443, null, null, 279.51185582703749, 10.248656784007443
2100-Jan-03 18:00:00, 279.60997622362839, 10.252254492824463, null, null, 279.60997622362839, 10.252254492824463
2100-Jan-03 19:00:00, 279.70689624375655, 10.255808188315674, null, null, 279.70689624375655, 10.255808188315674
2100-Jan-03 20:00:00, 279.80180141350132, 10.25928800676153, null, null, 279.80180141350132, 10.25928800676153
2100-Jan-03 21:00:00, 279.89362060836595, 10.262654674023521, null, null, 279.89362060836595, 10.262654674023521
2100-Jan-03 22:00:00, 279.98272558388777, 10.265921820990037, null, null, 279.98272558388777, 10.265921820990037
2100-Jan-03 23:00:00, 280.07154281149053, 10.269178417314063, null, null, 280.07154281149053, 10.269178417314063
2100-Jan-04 00:00:00, 280.1630840569477, 10.272534893208421, null, null, 280.1630840569477, 10.272534893208421
2100-Jan-04 01:00:00, 280.25966682168217, 10.27607622280278, null, null, 280.25966682168217, 10.27607622280278
2100-Jan-04 02:00:00, 280.36238857668559, 10.279842646263301, null, null, 280.36238857668559, 10.279842646263301
2100-Jan-04 03:00:00, 280.47101407419871, 10.283825537932458, null, null, 280.47101407419871, 10.283825537932458
2100-Jan-04 04:00:00, 280.58348492352332, 10.287949424304015, null, null, 280.58348492352332, 10.287949424304015
2100-Jan-04 05:00:00, 280.69694661218114, 10.292109641056708, null, null, 280.69694661218114, 10.292109641056708
2100-Jan-04 06:00:00, 280.80915359450074, 10.296223852409783, null, null, 280.80915359450074, 10.296223852409783
2100-Jan-04 07:00:00, 280.91895898968551, 10.300250006523894, null, null, 280.91895898968551, 10.300250006523894
2100-Jan-04 08:00:00, 281.02575343279466, 10.304165760260446, null, null, 281.02575343279466, 10.304165760260446
2100-Jan-04 09:00:00, 281.12928602394067, 10.307961914056765, null, null, 281.12928602394067, 10.307961914056765
2100-Jan-04 10:00:00, 281.23041262656898, 10.311669849231837, null, null, 281.23041262656898, 10.311669849231837
2100-Jan-04 11:00:00, 281.32601136618661, 10.315175098296946, null, null, 281.32601136618661, 10.315175098296946
2100-Jan-04 12:00:00, 281.41372317824545, 10.318391163157717, null, null, 281.41372317824545, 10.318391163157717
2100-Jan-04 13:00:00, 281.49501168847729, 10.321371709508369, null, null, 281.49501168847729, 10.321371709508369
2100-Jan-04 14:00:00, 281.56702734851018, 10.324012255042895, null, null, 281.56702734851018, 10.324012255042895
2100-Jan-04 15:00:00, 281.62526080759773, 10.326147458695591, null, null, 281.62526080759773, 10.326147458695591
2100-Jan-04 16:00:00, 281.67319412130638, 10.327904994451156, null, null, 281.67319412130638, 10.327904994451156
2100-Jan-04 17:00:00, 281.71885983284756, 10.329579385696558, null, null, 281.71885983284756, 10.329579385696558
2100-Jan-04 18:00:00, 281.76901798835746, 10.331418498099211, null, null, 281.76901798835746, 10.331418498099211
2100-Jan-04 19:00:00, 281.8276667220893, 10.33356892832356, null, null, 281.8276667220893, 10.33356892832356
2100-Jan-04 20:00:00, 281.89683925302711, 10.336105226923006, null, null, 281.89683925302711, 10.336105226923006
2100-Jan-04 21:00:00, 281.97759044943035, 10.339066071980493, null, null, 281.97759044943035, 10.339066071980493
2100-Jan-04 22:00:00, 282.06924059845517, 10.342426540962316, null, null, 282.06924059845517, 10.342426540962316
2100-Jan-04 23:00:00, 282.16970058989813, 10.346110033992609, null, null, 282.16970058989813, 10.346110033992609
2100-Jan-05 00:00:00, 282.27667111753584, 10.350032244091782, null, null, 282.27667111753584, 10.350032244091782
2100-Jan-05 01:00:00, 282.38893591693358, 10.354148575381373, null, null, 282.38893591693358, 10.354148575381373
2100-Jan-05 02:00:00, 282.50309834510119, 10.358334485637155, null, null, 282.50309834510119, 10.358334485637155
2100-Jan-05 03:00:00, 282.61475111017529, 10.362428375911842, null, null, 282.61475111017529, 10.362428375911842
2100-Jan-05 04:00:00, 282.72045399107992, 10.366304106135402, null, null, 282.72045399107992, 10.366304106135402
2100-Jan-05 05:00:00, 282.81837137692906, 10.369894371306035, null, null, 282.81837137692906, 10.369894371306035
2100-Jan-05 06:00:00, 282.90824102145388, 10.37318955583161, null, null, 282.90824102145388, 10.37318955583161
2100-Jan-05 07:00:00, 282.99076392044577, 10.376215362612101, null, null, 282.99076392044577, 10.376215362612101
2100-Jan-05 08:00:00, 283.06705041324551, 10.379012503648022, null, null, 283.06705041324551, 10.379012503648022
2100-Jan-05 09:00:00, 283.13841677567819, 10.381629241862333, null, null, 283.13841677567819, 10.381629241862333
2100-Jan-05 10:00:00, 283.20694545531916, 10.384141932837187, null, null, 283.20694545531916, 10.384141932837187
2100-Jan-05 11:00:00, 283.27307579871945, 10.386566685771237, null, null, 283.27307579871945, 10.386566685771237
2100-Jan-05 12:00:00, 283.33553883149466, 10.388856972108849, null, null, 283.33553883149466, 10.388856972108849
2100-Jan-05 13:00:00, 283.39269296867297, 10.39095260105451, null, null, 283.39269296867297, 10.39095260105451
2100-Jan-05 14:00:00, 283.44371518015743, 10.392823395165616, null, null, 283.44371518015743, 10.392823395165616
2100-Jan-05 15:00:00, 283.48887186325106, 10.394479122237232, null, null, 283.48887186325106, 10.394479122237232
2100-Jan-05 16:00:00, 283.53051524221894, 10.396006029556084, null, null, 283.53051524221894, 10.396006029556084
2100-Jan-05 17:00:00, 283.5706913191525, 10.397479136384421, null, null, 283.5706913191525, 10.397479136384421
2100-Jan-05 18:00:00, 283.61086818119747, 10.398952271999864, null, null, 283.61086818119747, 10.398952271999864
2100-Jan-05 19:00:00, 283.65407131839464, 10.40053636983291, null, null, 283.65407131839464, 10.40053636983291
2100-Jan-05 20:00:00, 283.69926571799874, 10.402193479828231, null, null, 283.69926571799874, 10.402193479828231
2100-Jan-05 21:00:00, 283.74338602574113, 10.403811206882844, null, null, 283.74338602574113, 10.403811206882844
2100-Jan-05 22:00:00, 283.78661782871734, 10.405396355783044, null, null, 283.78661782871734, 10.405396355783044
2100-Jan-05 23:00:00, 283.82777315382413, 10.40690536798793, null, null, 283.82777315382413, 10.40690536798793
2100-Jan-06 00:00:00, 283.86314354406767, 10.408202268217261, null, null, 283.86314354406767, 10.408202268217261
2100-Jan-06 01:00:00, 283.88901510590745, 10.409150881852906, null, null, 283.88901510590745, 10.409150881852906
2100-Jan-06 02:00:00, 283.9041084987993, 10.409704300250839, null, null, 283.9041084987993, 10.409704300250839
2100-Jan-06 03:00:00, 283.90869355887497, 10.409872417295142, null, null, 283.90869355887497, 10.409872417295142
2100-Jan-06 04:00:00, 283.90301420344872, 10.409664176523581, null, null, 283.90301420344872, 10.409664176523581
2100-Jan-06 05:00:00, 283.88779086212111, 10.409105993401399, null, null, 283.88779086212111, 10.409105993401399
2100-Jan-06 06:00:00, 283.8645451989845, 10.408253661672932, null, null, 283.8645451989845, 10.408253661672932
2100-Jan-06 07:00:00, 283.83535821978819, 10.407183484053956, null, null, 283.83535821978819, 10.407183484053956
2100-Jan-06 08:00:00, 283.80196617574666, 10.405959122397862, null, null, 283.80196617574666, 10.405959122397862
2100-Jan-06 09:00:00, 283.76592431900144, 10.404637601997422, null, null, 283.76592431900144, 10.404637601997422
2100-Jan-06 10:00:00, 283.72712238519836, 10.403214879870209, null, null, 283.72712238519836, 10.403214879870209
2100-Jan-06 11:00:00, 283.68422145533253, 10.401641862852349, null, null, 283.68422145533253, 10.401641862852349
2100-Jan-06 12:00:00, 283.63592428596132, 10.399870985867327, null, null, 283.63592428596132, 10.399870985867327
2100-Jan-06 13:00:00, 283.58196719502968, 10.397892580678089, null, null, 283.58196719502968, 10.397892580678089
2100-Jan-06 14:00:00, 283.5235145729265, 10.395749341135394, null, null, 283.5235145729265, 10.395749341135394
2100-Jan-06 15:00:00, 283.46290156802655, 10.393526888416782, null, null, 283.46290156802655, 10.393526888416782
2100-Jan-06 16:00:00, 283.40515502221098, 10.391409538056903, null, null, 283.40515502221098, 10.391409538056903
2100-Jan-06 17:00:00, 283.35424499446782, 10.38954285730499, null, null, 283.35424499446782, 10.38954285730499
2100-Jan-06 18:00:00, 283.31245737697327, 10.388010661297576, null, null, 283.31245737697327, 10.388010661297576
2100-Jan-06 19:00:00, 283.28056147995727, 10.386841157770194, null, null, 283.28056147995727, 10.386841157770194
2100-Jan-06 20:00:00, 283.25802798043662, 10.386014938424161, null, null, 283.25802798043662, 10.386014938424161
2100-Jan-06 21:00:00, 283.24361151845602, 10.385486340556849, null, null, 283.24361151845602, 10.385486340556849
2100-Jan-06 22:00:00, 283.23583619830453, 10.385201248579683, null, null, 283.23583619830453, 10.385201248579683
2100-Jan-06 23:00:00, 283.23410649596639, 10.385137826849148, null, null, 283.23410649596639, 10.385137826849148
2100-Jan-07 00:00:00, 283.23823085681767, 10.385289051771943, null, null, 283.23823085681767, 10.385289051771943
2100-Jan-07 01:00:00, 283.2477660874672, 10.38563867310015, null, null, 283.2477660874672, 10.38563867310015
2100-Jan-07 02:00:00, 283.26195168564266, 10.386158806053173, null, null, 283.26195168564266, 10.386158806053173
2100-Jan-07 03:00:00, 283.28160693367096, 10.386879490656874, null, null, 283.28160693367096, 10.386879490656874
2100-Jan-07 04:00:00, 283.30818871227962, 10.387854145291334, null, null, 283.30818871227962, 10.387854145291334
2100-Jan-07 05:00:00, 283.34223343443415, 10.389102438218432, null, null, 283.34223343443415, 10.389102438218432
2100-Jan-07 06:00:00, 283.38368305797911, 10.390622241248902, null, null, 283.38368305797911, 10.390622241248902
2100-Jan-07 07:00:00, 283.4318813622445, 10.392389493219397, null, null, 283.4318813622445, 10.392389493219397
2100-Jan-07 08:00:00, 283.48591290034716, 10.394370628108605, null, null, 283.48591290034716, 10.394370628108605
2100-Jan-07 09:00:00, 283.54467545427548, 10.396525231694852, null, null, 283.54467545427548, 10.396525231694852
2100-Jan-07 10:00:00, 283.60625018047205, 10.398782947144849, null, null, 283.60625018047205, 10.398782947144849
2100-Jan-07 11:00:00, 283.67020162748344, 10.401127808078639, null, null, 283.67020162748344, 10.401127808078639
2100-Jan-07 12:00:00, 283.73515025413536, 10.403509231868979, null, null, 283.73515025413536, 10.403509231868979
2100-Jan-07 13:00:00, 283.79842472103041, 10.405829270467985, null, null, 283.79842472103041, 10.405829270467985
2100-Jan-07 14:00:00, 283.85803620719724, 10.408015001231714, null, null, 283.85803620719724, 10.408015001231714
2100-Jan-07 15:00:00, 283.91427714987066, 10.410077146742371, null, null, 283.91427714987066, 10.410077146742371
2100-Jan-07 16:00:00, 283.97076599417153, 10.412148381880685, null, null, 283.97076599417153, 10.412148381880685
2100-Jan-07 17:00:00, 284.0324203351596, 10.414409016508012, null, null, 284.0324203351596, 10.414409016508012
2100-Jan-07 18:00:00, 284.10230056430169, 10.416971263759908, null, null, 284.10230056430169, 10.416971263759908
2100-Jan-07 19:00:00, 284.18014625723345, 10.419825574846678, null, null, 284.18014625723345, 10.419825574846678
2100-Jan-07 20:00:00, 284.26409037588968, 10.422903492449128, null, null, 284.26409037588968, 10.422903492449128
2100-Jan-07 21:00:00, 284.35175700385474, 10.426117900577781, null, null, 284.35175700385474, 10.426117900577781
2100-Jan-07 22:00:00, 284.44092947429505, 10.429387522331108, null, null, 284.44092947429505, 10.429387522331108
2100-Jan-07 23:00:00, 284.53056318799787, 10.43267405615379, null, null, 284.53056318799787, 10.43267405615379
2100-Jan-08 00:00:00, 284.62359013158721, 10.436085007054929, null, null, 284.62359013158721, 10.436085007054929
