Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 150.85567958525303, 5.5313148682471862, null, null, 150.85567958525303, 5.5313148682471862
2100-Jan-01 01:00:00, 150.87913033826271, 5.5321747198560267, null, null, 150.87913033826271, 5.5321747198560267
2100-Jan-01 02:00:00, 150.90247397020624, 5.5330306437350822, null, null, 150.90247397020624, 5.5330306437350822
2100-Jan-01 03:00:00, 150.92959225795877, 5.5340249701579216, null, null, 150.92959225795877, 5.5340249701579216
2100-Jan-01 04:00:00, 150.9630760557379, 5.5352526960812032, null, null, 150.9630760557379, 5.5352526960812032
2100-Jan-01 05:00:00, 151.00435973029687, 5.5367664143815789, null, null, 151.00435973029687, 5.5367664143815789
2100-Jan-01 06:00:00, 151.05433701634192, 5.5385988949758502, null, null, 151.05433701634192, 5.5385988949758502
2100-Jan-01 07:00:00, 151.11349596551986, 5.5407680328967928, null, null, 151.11349596551986, 5.5407680328967928
2100-Jan-01 08:00:00, 151.18134491654087, 5.5432558007594892, null, null, 151.18134491654087, 5.5432558007594892
2100-Jan-01 09:00:00, 151.25811161433529, 5.5460705491207305, null, null, 151.25811161433529, 5.5460705491207305
2100-Jan-01 10:00:00, 151.34418059327709, 5.5492263774211601, null, null, 151.34418059327709, 5.5492263774211601
2100-Jan-01 11:00:00, 151.4356611916192, 5.5525806296121081, null, null, 151.4356611916192, 5.5525806296121081
2100-Jan-01 12:00:00, 151.52417890925202, 5.5558262440231259, null, null, 151.52417890925202, 5.5558262440231259
2100-Jan-01 13:00:00, 151.60186503542874, 5.5586747043923959, null, null, 151.60186503542874, 5.5586747043923959
2100-Jan-01 14:00:00, 151.66608178971313, 5.5610292931539211, null, null, 151.66608178971313, 5.5610292931539211
2100-Jan-01 15:00:00, 151.72306095043166, 5.5631185063657087, null, null, 151.72306095043166, 5.5631185063657087
2100-Jan-01 16:00:00, 151.78180642143545, 5.565272483584855, null, null, 151.78180642143545, 5.565272483584855
2100-Jan-01 17:00:00, 151.84957736308797, 5.5677573911350935, null, null, 151.84957736308797, 5.5677573911350935
2100-Jan-01 18:00:00, 151.92887668723162, 5.5706650014543309, null, null, 151.92887668723162, 5.5706650014543309
