Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2480.5509025317151, 7.4552720192176025, 1281.8800191325192, 18.300221167473254, 1198.6708833991956, 4.5632855796827618
2100-Jan-01 01:00:00, 2480.6309734307279, 7.4555126715389699, 1281.9269673172926, 18.300891403495299, 1198.7040061134351, 4.5634116763506141
2100-Jan-01 02:00:00, 2480.9940286609617, 7.4566038305620044, 1282.2564084495095, 18.305594531316352, 1198.7376202114522, 4.5635396436941775
2100-Jan-01 03:00:00, 2481.6284051708953, 7.4585104430968769, 1282.8567089344424, 18.314164468812255, 1198.771696236453, 4.5636693695727759
2100-Jan-01 04:00:00, 2482.5340706644001, 7.4612324120778828, 1283.7278756308226, 18.326601313898806, 1198.8061950335778, 4.5638007049256375
2100-Jan-01 05:00:00, 2483.6819352243219, 7.4646823080371645, 1284.8408626202024, 18.342490404732715, 1198.8410726041195, 4.5639334822516835
2100-Jan-01 06:00:00, 2485.0640377791506, 7.4688362040504197, 1286.1877522825541, 18.361718708740369, 1198.8762854965967, 4.5640675361330993
2100-Jan-01 07:00:00, 2486.6779974999554, 7.4736869445590619, 1287.7662015800177, 18.384252776526818, 1198.9117959199375, 4.5642027227009923
2100-Jan-01 08:00:00, 2488.4516223442588, 7.4790175570697057, 1289.5040463541475, 18.409062386823134, 1198.9475759901115, 4.5643389358021249
2100-Jan-01 09:00:00, 2490.4059771049551, 7.4848913516159792, 1291.4223662794357, 18.43644847473993, 1198.9836108255195, 4.5644761187829257
2100-Jan-01 10:00:00, 2492.5550575071447, 7.491350392215848, 1293.5351571513752, 18.46661084536747, 1199.0199003557698, 4.5646142713754161
2100-Jan-01 11:00:00, 2494.6079195622324, 7.4975202494935145, 1295.5514596745056, 18.495395740648689, 1199.0564598877268, 4.564753451852134
2100-Jan-01 12:00:00, 2496.0905511407868, 7.5019762845263473, 1296.9972314742281, 18.516035693918671, 1199.0933196665587, 4.5648937753550598
2100-Jan-01 13:00:00, 2496.8278885276277, 7.5041923449922816, 1297.6973653511939, 18.526030860864157, 1199.1305231764336, 4.5650354074264454
2100-Jan-01 14:00:00, 2497.0997743362468, 7.5050094951903894, 1297.9316512672247, 18.529375545246314, 1199.1681230690222, 4.5651785485088086
2100-Jan-01 15:00:00, 2497.6126142197868, 7.5065508305567352, 1298.4064401340504, 18.536153668893675, 1199.2061740857364, 4.5653234070002169
2100-Jan-01 16:00:00, 2498.799239932795, 7.5101172227909947, 1299.5545154544789, 18.552543683534029, 1199.2447244783159, 4.565470166592851
2100-Jan-01 17:00:00, 2500.7776638700998, 7.5160633570174218, 1301.4938544398788, 18.580229841225712, 1199.283809430221, 4.5656189612285436
2100-Jan-01 18:00:00, 2503.3053136613116, 7.5236601842962214, 1303.9818639563084, 18.615748863082572, 1199.3234497050034, 4.5657698699531943
2100-Jan-01 19:00:00, 2506.2345698836198, 7.5324640358636303, 1306.8709137766464, 18.656993168233544, 1199.3636561069734, 4.56592293389832
2100-Jan-01 20:00:00, 2509.2928042103017, 7.541655529890483, 1309.8883666666131, 18.700070565825087, 1199.4044375436886, 4.5660781869745879
