Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 29514.300106366609, 14.248475308570855, 14001.941656886422, 15.070664344455283, 15512.358449480189, 13.579759200134966
2100-Jan-01 01:00:00, 29515.605240947541, 14.24910538205333, 14003.684791103531, 15.072540526440406, 15511.92044984401, 13.579375768459606
2100-Jan-01 02:00:00, 29525.156478722689, 14.253716386722761, 14013.640808898699, 15.083256454707726, 15511.515669823992, 13.579021417751505
2100-Jan-01 03:00:00, 29542.945932786599, 14.262304515056114, 14031.801714482759, 15.102803523175483, 15511.14421830384, 13.57869624332915
2100-Jan-01 04:00:00, 29566.679877591974, 14.273762436311765, 14055.87421594596, 15.12871340041775, 15510.805661646016, 13.578399865579511
2100-Jan-01 05:00:00, 29593.960803938804, 14.286932716618153, 14083.461397853447, 15.158406222236694, 15510.499406085359, 13.578131764711356
2100-Jan-01 06:00:00, 29624.235131721471, 14.301548106796485, 14114.010034242732, 15.191286536730599, 15510.22509747874, 13.5778916307023
2100-Jan-01 07:00:00, 29656.124356960878, 14.316943113176295, 14146.141406615947, 15.225870392300749, 15509.982950344933, 13.577679651345401
2100-Jan-01 08:00:00, 29689.043728015917, 14.332835438048001, 14179.26976596699, 15.261527331623626, 15509.773962048926, 13.577496699749442
2100-Jan-01 09:00:00, 29725.895992799778, 14.35062642692273, 14216.2959848234, 15.301379641396311, 15509.600007976376, 13.577344417656116
2100-Jan-01 10:00:00, 29766.442731417887, 14.370200978986004, 14256.978895227845, 15.345167746095303, 15509.463836190042, 13.577225210762187
2100-Jan-01 11:00:00, 29800.066497852888, 14.386433361393978, 14290.697490546063, 15.381459972177923, 15509.369007306825, 13.577142196086919
2100-Jan-01 12:00:00, 29816.436984500695, 14.39433646171992, 14307.117172521575, 15.399132915099662, 15509.31981197912, 13.577099129733975
2100-Jan-01 13:00:00, 29814.737613095036, 14.393516064440421, 14305.416514324483, 15.397302451191077, 15509.321098770555, 13.577100256211157
2100-Jan-01 14:00:00, 29803.746584485278, 14.388209978942966, 14294.368700586121, 15.385411393745553, 15509.377883899155, 13.577149966793531
2100-Jan-01 15:00:00, 29802.061255270732, 14.387396360743864, 14292.566527628711, 15.383471666785013, 15509.494727642023, 13.577252253618411
2100-Jan-01 16:00:00, 29814.951614435748, 14.393619376828251, 14305.276548180062, 15.397151801885871, 15509.675066255684, 13.577410124838057
2100-Jan-01 17:00:00, 29841.436201416516, 14.406405212246783, 14331.515389194476, 15.425393368334712, 15509.920812222039, 13.57762525466879
2100-Jan-01 18:00:00, 29872.115397105186, 14.421216058537613, 14361.882968658036, 15.458078806416351, 15510.232428447151, 13.577898048345757
2100-Jan-01 19:00:00, 29902.410905313689, 14.43584167388725, 14391.80149367091, 15.49028091518092, 15510.609411642779, 13.578228065282628
2100-Jan-01 20:00:00, 29929.596413511594, 14.448965889637337, 14418.545483330818, 15.519066186629173, 15511.050930180776, 13.57861457745922
2100-Jan-01 21:00:00, 29953.895947517532, 14.460696857644223, 14442.339583881534, 15.544676413522362, 15511.556363635998, 13.579057041745742
2100-Jan-01 22:00:00, 29977.905343656545, 14.47228775720232, 14465.779722455027, 15.569905661671307, 15512.125621201516, 13.579555378648397
2100-Jan-01 23:00:00, 30003.298941437326, 14.484546901063814, 14490.53970289487, 15.596555490925567, 15512.759238542456, 13.580110057096746
2100-Jan-02 00:00:00, 30040.729429542764, 14.502617036003013, 14527.271101433989, 15.636090477704579, 15513.458328108773, 13.580722050946735
2100-Jan-02 01:00:00, 30084.322393071685, 14.523662199270674, 14570.097904392884, 15.682186111307093, 15514.224488678799, 13.581392759793715
2100-Jan-02 02:00:00, 30133.899954128312, 14.547596517619025, 14618.840161998605, 15.734648706978996, 15515.059792129709, 13.582123997391101
2100-Jan-02 03:00:00, 30183.943086301613, 14.571755597474048, 14667.976204970797, 15.787535144374228, 15515.966881330816, 13.582918077347685
2100-Jan-02 04:00:00, 30241.332892570514, 14.599461395498704, 14724.383795172129, 15.848248142559431, 15516.949097398387, 13.583777924528471
2100-Jan-02 05:00:00, 30298.80173177036, 14.627205347867564, 14780.791179040734, 15.908960918663201, 15518.010552729625, 13.584707138989758
2100-Jan-02 06:00:00, 30350.703581371039, 14.652261751707034, 14831.547439242191, 15.963591239201623, 15519.15614212885, 13.58571000571917
2100-Jan-02 07:00:00, 30395.649947083588, 14.673960290373282, 14875.258451997364, 16.010638571459676, 15520.391495086224, 13.586791452859716
2100-Jan-02 08:00:00, 30447.33292340285, 14.698911029821771, 14925.610117499195, 16.064833415900353, 15521.722805903657, 13.587956902999368
2100-Jan-02 09:00:00, 30499.985688218665, 14.724329949352384, 14976.829155112997, 16.119961836146555, 15523.156533105668, 13.589212010030668
2100-Jan-02 10:00:00, 30552.349819847295, 14.749609526841141, 15027.650716202092, 16.17466244177708, 15524.699103645205, 13.590562400207917
2100-Jan-02 11:00:00, 30605.04613102803, 14.775049469038837, 15078.68940051288, 16.229596742938963, 15526.356730515148, 13.592013512481451
2100-Jan-02 12:00:00, 30637.121290741841, 14.790534238101754, 15108.985983500697, 16.26220576561467, 15528.135307241144, 13.593570506135036
2100-Jan-02 13:00:00, 30630.064462876831, 14.787127447589052, 15100.024158291921, 16.252559913421827, 15530.040304584911, 13.595238170358339
2100-Jan-02 14:00:00, 30603.731875717218, 14.774414992385902, 15071.655380092099, 16.222025838606456, 15532.076495625121, 13.597020683578464
2100-Jan-02 15:00:00, 30593.806889228264, 14.769623554865237, 15059.55960596739, 16.209006833365123, 15534.247283260875, 13.598921024746067
2100-Jan-02 16:00:00, 30608.134546751011, 14.776540448496691, 15071.580771024957, 16.221945534871768, 15536.553775726052, 13.600940164026277
2100-Jan-02 17:00:00, 30642.269667656099, 14.793019695018492, 15103.275466566782, 16.256059383487585, 15538.994201089317, 13.603076550242918
2100-Jan-02 18:00:00, 30687.297411150608, 14.814757520041278, 15145.733317906597, 16.301757904593366, 15541.564093244011, 13.605326273696942
2100-Jan-02 19:00:00, 30730.723275611344, 14.835722013703407, 15186.466130381359, 16.345599720225476, 15544.257145229984, 13.607683813177612
2100-Jan-02 20:00:00, 30769.545644052319, 14.854464099951699, 15222.479318702341, 16.384361678135239, 15547.066325349981, 13.610143013028081
2100-Jan-02 21:00:00, 30806.049231305544, 14.872086759468521, 15256.06438344026, 16.420510181682463, 15549.984847865286, 13.61269793290742
2100-Jan-02 22:00:00, 30841.239117202465, 14.889075209762336, 15288.232345297407, 16.455133419492903, 15553.006771905057, 13.615343372085146
2100-Jan-02 23:00:00, 30874.819893848184, 14.905286838198544, 15318.692650545099, 16.487918660816334, 15556.127243303084, 13.618075081148866
2100-Jan-03 00:00:00, 30905.72515175493, 14.920206819448389, 15346.382647260345, 16.51772214496307, 15559.342504494583, 13.620889770668084
2100-Jan-03 01:00:00, 30930.409992867702, 14.932123800295766, 15367.760218717827, 16.540731396953266, 15562.649774149875, 13.623785005823656
2100-Jan-03 02:00:00, 30960.28724919544, 14.946547498216416, 15394.240201873668, 16.569232511139258, 15566.047047321772, 13.626759031453718
2100-Jan-03 03:00:00, 30991.569879607174, 14.961649661757559, 15422.03703667931, 16.599150987980508, 15569.532842927865, 13.629810550995751
2100-Jan-03 04:00:00, 31024.80673937441, 14.97769525911278, 15451.700761175729, 16.631078848133537, 15573.105978198681, 13.632938529035016
2100-Jan-03 05:00:00, 31058.440312037113, 14.993932375625672, 15481.674869052697, 16.663340782221521, 15576.765442984417, 13.636142081270707
2100-Jan-03 06:00:00, 31090.993574661828, 15.009647956108694, 15510.483223017067, 16.694347984190525, 15580.51035164476, 13.639420432399556
2100-Jan-03 07:00:00, 31122.706094422476, 15.024957655242799, 15538.366166022777, 16.724359141590824, 15584.339928399699, 13.642772903291707
2100-Jan-03 08:00:00, 31151.491899100824, 15.038854438351958, 15563.238403746893, 16.751129796362928, 15588.253495353929, 13.646198900507098
2100-Jan-03 09:00:00, 31177.602864236229, 15.05145990216692, 15585.352417965079, 16.774931701395641, 15592.250446271149, 13.649697893337065
2100-Jan-03 10:00:00, 31209.815037248387, 15.067010816474394, 15613.484845640991, 16.805211385819966, 15596.330191607396, 13.653269365685679
2100-Jan-03 11:00:00, 31245.128540616934, 15.084058944974561, 15644.636460538639, 16.838740702211545, 15600.492080078293, 13.656912747408494
2100-Jan-03 12:00:00, 31277.688556476678, 15.099777785684058, 15672.953189872678, 16.869218755440414, 15604.735366604002, 13.660627386251065
2100-Jan-03 13:00:00, 31303.805627872825, 15.112386197388862, 15694.746363791037, 16.892675331476237, 15609.059264081789, 13.664412593171447
2100-Jan-03 14:00:00, 31323.551171284955, 15.121918657475941, 15710.088181308016, 16.909188140049366, 15613.462989976937, 13.668267683126611
2100-Jan-03 15:00:00, 31342.312410570084, 15.130975929840488, 15724.36670742663, 16.924556499648361, 15617.945703143456, 13.672191919764312
2100-Jan-03 16:00:00, 31363.218045793343, 15.14106844181655, 15740.711720900046, 16.942149074863977, 15622.506324893297, 13.676184358784299
2100-Jan-03 17:00:00, 31387.535798502558, 15.152808205178328, 15760.392459238168, 16.96333197997907, 15627.14333926439, 13.680243673089864
2100-Jan-03 18:00:00, 31411.929794568172, 15.16458477617495, 15780.075109858659, 16.984516943334828, 15631.854684709513, 13.684368057970589
