Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 50272.563058708212, 24.042275477377093, 39160.104418406714, 42.137831798573117, 11112.458640301495, 9.5659074894517211
2100-Jan-01 01:00:00, 50356.413627083792, 24.082376047969966, 39243.913651129995, 42.228013870457509, 11112.499975953795, 9.5659430723086505
2100-Jan-01 02:00:00, 50489.009773337908, 24.145788630928131, 39376.461557113224, 42.370640695654352, 11112.548216224684, 9.5659845988495835
2100-Jan-01 03:00:00, 50676.789847029024, 24.235592292929049, 39564.187151477025, 42.572640910849664, 11112.602695552001, 9.5660314961404591
2100-Jan-01 04:00:00, 50883.361671481012, 24.334382893749208, 39770.698294860616, 42.794855124873528, 11112.663376620398, 9.5660837320592087
2100-Jan-01 05:00:00, 51081.554109624172, 24.42916614937527, 39968.823085489181, 43.008045289369363, 11112.731024134993, 9.5661419648848547
2100-Jan-01 06:00:00, 51269.622870718158, 24.519107872808593, 40156.815560782059, 43.210332679072167, 11112.807309936101, 9.5662076337831419
2100-Jan-01 07:00:00, 51433.019225308155, 24.597250301402582, 40320.124455761274, 43.386059553401196, 11112.894769546883, 9.5662829214015606
2100-Jan-01 08:00:00, 51584.155076751682, 24.669529285282312, 40471.158461250685, 43.54857815782519, 11112.996615500995, 9.5663705931767034
2100-Jan-01 09:00:00, 51763.21729258055, 24.755163731958916, 40650.100823108303, 43.741127265075569, 11113.116469472243, 9.5664737667441671
2100-Jan-01 10:00:00, 51963.331989777493, 24.850866285884052, 40850.073898283808, 43.956306257346796, 11113.258091493684, 9.5665956788429583
2100-Jan-01 11:00:00, 52090.625110053268, 24.911742757618171, 40977.199904473666, 44.093098902453605, 11113.425205579601, 9.5667395352061462
2100-Jan-01 12:00:00, 52077.413395542288, 24.905424407001544, 40963.791959100039, 44.078671419296718, 11113.62143644225, 9.5669084560849029
2100-Jan-01 13:00:00, 51938.558226602836, 24.839018518381909, 40824.708041466387, 43.929011585285181, 11113.850185136449, 9.5671053691999823
2100-Jan-01 14:00:00, 51752.216794422289, 24.74990287014846, 40638.102542871864, 43.728216637742371, 11114.114251550423, 9.5673326847715323
2100-Jan-01 15:00:00, 51661.957046813157, 24.706737183250759, 40547.54178950347, 43.630769660782939, 11114.415257309689, 9.5675917987390289
2100-Jan-01 16:00:00, 51669.983524987314, 24.71057575418558, 40555.230348953548, 43.639042856927134, 11114.75317603377, 9.5678826883934374
2100-Jan-01 17:00:00, 51747.748301939682, 24.747765864977072, 40632.621980191187, 43.722319334049502, 11115.126321748496, 9.5682039024022085
2100-Jan-01 18:00:00, 51805.028034305287, 24.775159238638889, 40689.496164455173, 43.783518221176841, 11115.531869850114, 9.5685530092693902
2100-Jan-01 19:00:00, 51816.738837263452, 24.78075979555604, 40700.772215430559, 43.79565170106433, 11115.966621832893, 9.5689272556340104
2100-Jan-01 20:00:00, 51780.595582523936, 24.763474699387746, 40664.167955062374, 43.756264059243314, 11116.427627461562, 9.5693241018530788
2100-Jan-01 21:00:00, 51715.417592239282, 24.732304074654419, 40598.505134663203, 43.685608249651054, 11116.912457576082, 9.5697414568393793
2100-Jan-01 22:00:00, 51650.966929726994, 24.70148128606872, 40533.547756176347, 43.615711523648741, 11117.419173550648, 9.5701776517709458
2100-Jan-01 23:00:00, 51602.655092836409, 24.678376705345727, 40484.708939265605, 43.56315901178008, 11117.946153570805, 9.5706312905456556
2100-Jan-02 00:00:00, 51677.717318883871, 24.714274352228596, 40559.225387740684, 43.643341677753618, 11118.491931143186, 9.5711011107660244
2100-Jan-02 01:00:00, 51799.073269561675, 24.772311440841076, 40680.018111964062, 43.773319459258808, 11119.05515759761, 9.571585951459971
2100-Jan-02 02:00:00, 51968.406371666373, 24.853293050700231, 40848.771586196999, 43.954904917680366, 11119.634785469372, 9.572084910941312
2100-Jan-02 03:00:00, 52125.915467416547, 24.928619965419017, 41005.685059066491, 44.123750063139084, 11120.23040835006, 9.5725976393626002
2100-Jan-02 04:00:00, 52348.224721270992, 25.034936810973463, 41227.382177277577, 44.362304990817371, 11120.842543993413, 9.5731245824203732
2100-Jan-02 05:00:00, 52555.042236328984, 25.133844910502109, 41433.569499787161, 44.584170760685524, 11121.472736541818, 9.5736670693545189
2100-Jan-02 06:00:00, 52698.118824101191, 25.202269644159816, 41575.995297508023, 44.737426590752165, 11122.123526593168, 9.5742272871809941
2100-Jan-02 07:00:00, 52775.988721111324, 25.239510027410741, 41653.190391936769, 44.820491586441612, 11122.798329174557, 9.5748081756482684
2100-Jan-02 08:00:00, 52930.190905657582, 25.313255449854093, 41806.689774676495, 44.985663034963878, 11123.501130981089, 9.575413166612222
2100-Jan-02 09:00:00, 53088.616069653843, 25.389020463682787, 41964.380022180078, 45.155344020861818, 11124.236047473765, 9.5760458027739368
2100-Jan-02 10:00:00, 53263.83066884322, 25.472814831923962, 42138.823665928925, 45.343052328277977, 11125.007002914292, 9.5767094622449225
2100-Jan-02 11:00:00, 53470.054160945198, 25.571438846801271, 42344.236508875896, 45.564084727295217, 11125.8176520693, 9.5774072911479777
2100-Jan-02 12:00:00, 53540.495161995743, 25.605126445943206, 42413.823745149559, 45.638963364647594, 11126.671416846182, 9.5781422351543188
2100-Jan-02 13:00:00, 53334.995772244642, 25.506848724692766, 42207.424244321512, 45.416869282459352, 11127.57152792313, 9.5789170753198505
2100-Jan-02 14:00:00, 53044.573398556677, 25.36795756243303, 41916.052561771183, 45.103341748952523, 11128.520836785492, 9.5797342662809353
2100-Jan-02 15:00:00, 52981.832364039474, 25.337952383786448, 41852.311229661536, 45.034753537277815, 11129.521134377939, 9.5805953497315919
2100-Jan-02 16:00:00, 53127.711872904001, 25.407717582241311, 41997.139560307849, 45.190594588446565, 11130.572312596154, 9.5815002326126759
2100-Jan-02 17:00:00, 53389.03335635495, 25.532691578214969, 42257.361144072158, 45.470603375191907, 11131.672212282789, 9.5824470562626534
2100-Jan-02 18:00:00, 53681.383060625514, 25.672504464174146, 42548.56561608753, 45.783950983504418, 11132.817444537986, 9.583432903424093
2100-Jan-02 19:00:00, 53885.793294872812, 25.77026130932305, 42751.788673522635, 46.002627086108653, 11134.004621350179, 9.5844548576042303
2100-Jan-02 20:00:00, 53990.793786365568, 25.820476587561018, 42855.562458790097, 46.114291811564449, 11135.231327575475, 9.58551083978133
2100-Jan-02 21:00:00, 54036.706873402611, 25.842433993736478, 42900.210397858027, 46.162334771983957, 11136.496475544584, 9.5865999136600006
2100-Jan-02 22:00:00, 54050.383974662342, 25.848974910216793, 42912.583922993603, 46.175649177771732, 11137.800051668739, 9.5877220675426607
2100-Jan-02 23:00:00, 54043.112211752756, 25.845497273182964, 42903.969643336117, 46.166379869820084, 11139.142568416639, 9.5888777425763454
2100-Jan-03 00:00:00, 54015.766521876722, 25.832419511296212, 42875.241977526777, 46.135467757408286, 11140.524544349948, 9.5900673851530787
2100-Jan-03 01:00:00, 53947.486239607912, 25.799765251077517, 42805.540087400506, 46.060465747944718, 11141.946152207407, 9.5912911439710786
2100-Jan-03 02:00:00, 53964.123571039396, 25.807721863614201, 42820.716543357179, 46.076796218915071, 11143.407027682213, 9.5925487054251146
2100-Jan-03 03:00:00, 54003.303965228442, 25.826459436817011, 42858.397772288197, 46.11734272179703, 11144.906192940243, 9.5938392277689015
2100-Jan-03 04:00:00, 54059.871784812916, 25.853512346373584, 42913.42963088541, 46.17655919314133, 11146.442153927503, 9.5951614248800112
2100-Jan-03 05:00:00, 54109.741509938031, 25.877361969239221, 42961.728337554567, 46.22853052488162, 11148.013172383462, 9.5965138004163677
2100-Jan-03 06:00:00, 54140.901994257947, 25.892264112723591, 42991.284449551837, 46.260334078382243, 11149.617544706114, 9.5978948878709005
2100-Jan-03 07:00:00, 54169.966592309909, 25.906163922689288, 43018.71282140565, 46.289848098757055, 11151.253770904259, 9.5993033960102689
