Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 22980.560976935685, 6.092001215450785, null, null, 22980.560976935685, 6.092001215450785
2100-Jan-01 01:00:00, 22980.756565841129, 6.0920530648312639, null, null, 22980.756565841129, 6.0920530648312639
2100-Jan-01 02:00:00, 22982.009688993228, 6.0923852598448383, null, null, 22982.009688993228, 6.0923852598448383
2100-Jan-01 03:00:00, 22984.304382558828, 6.0929935685804155, null, null, 22984.304382558828, 6.0929935685804155
2100-Jan-01 04:00:00, 22987.674165813209, 6.0938868767856453, null, null, 22987.674165813209, 6.0938868767856453
2100-Jan-01 05:00:00, 22992.048527270312, 6.0950464923120133, null, null, 22992.048527270312, 6.0950464923120133
2100-Jan-01 06:00:00, 22997.404735382857, 6.0964663891702573, null, null, 22997.404735382857, 6.0964663891702573
2100-Jan-01 07:00:00, 23003.761618038308, 6.0981515585141368, null, null, 23003.761618038308, 6.0981515585141368
2100-Jan-01 08:00:00, 23010.831833007105, 6.1000258277378796, null, null, 23010.831833007105, 6.1000258277378796
2100-Jan-01 09:00:00, 23018.671258914335, 6.1021040099112041, null, null, 23018.671258914335, 6.1021040099112041
2100-Jan-01 10:00:00, 23027.34261700332, 6.1044027320386025, null, null, 23027.34261700332, 6.1044027320386025
2100-Jan-01 11:00:00, 23035.68310200706, 6.1066137418059983, null, null, 23035.68310200706, 6.1066137418059983
2100-Jan-01 12:00:00, 23041.829978154285, 6.1082432397541861, null, null, 23041.829978154285, 6.1082432397541861
2100-Jan-01 13:00:00, 23045.05204507587, 6.1090973892948464, null, null, 23045.05204507587, 6.1090973892948464
2100-Jan-01 14:00:00, 23046.378618302708, 6.1094490554581915, null, null, 23046.378618302708, 6.1094490554581915
2100-Jan-01 15:00:00, 23048.504892160952, 6.1100127171956835, null, null, 23048.504892160952, 6.1100127171956835
2100-Jan-01 16:00:00, 23053.243880316233, 6.1112689929511337, null, null, 23053.243880316233, 6.1112689929511337
2100-Jan-01 17:00:00, 23061.192116958759, 6.1133760201614598, null, null, 23061.192116958759, 6.1133760201614598
2100-Jan-01 18:00:00, 23071.757770000073, 6.116176907887148, null, null, 23071.757770000073, 6.116176907887148
2100-Jan-01 19:00:00, 23084.458889204161, 6.1195438941720584, null, null, 23084.458889204161, 6.1195438941720584
2100-Jan-01 20:00:00, 23098.312168013726, 6.1232163106735769, null, null, 23098.312168013726, 6.1232163106735769
2100-Jan-01 21:00:00, 23112.7675546295, 6.1270483421423245, null, null, 23112.7675546295, 6.1270483421423245
2100-Jan-01 22:00:00, 23128.076805425382, 6.1311067275990485, null, null, 23128.076805425382, 6.1311067275990485
2100-Jan-01 23:00:00, 23144.361331662862, 6.1354236524004637, null, null, 23144.361331662862, 6.1354236524004637
2100-Jan-02 00:00:00, 23161.992765070892, 6.1400976337649595, null, null, 23161.992765070892, 6.1400976337649595
2100-Jan-02 01:00:00, 23180.59183982672, 6.1450281307242154, null, null, 23180.59183982672, 6.1450281307242154
2100-Jan-02 02:00:00, 23199.938807605566, 6.1501568893886489, null, null, 23199.938807605566, 6.1501568893886489
2100-Jan-02 03:00:00, 23219.859123801409, 6.155437639088321, null, null, 23219.859123801409, 6.155437639088321
2100-Jan-02 04:00:00, 23240.60670689699, 6.1609376920053407, null, null, 23240.60670689699, 6.1609376920053407
2100-Jan-02 05:00:00, 23261.532250618042, 6.16648492115743, null, null, 23261.532250618042, 6.16648492115743
2100-Jan-02 06:00:00, 23282.093856865136, 6.171935672789413, null, null, 23282.093856865136, 6.171935672789413
2100-Jan-02 07:00:00, 23302.129374198863, 6.1772469615813508, null, null, 23302.129374198863, 6.1772469615813508
2100-Jan-02 08:00:00, 23322.62342079046, 6.1826798035764101, null, null, 23322.62342079046, 6.1826798035764101
2100-Jan-02 09:00:00, 23343.088795482447, 6.1881050448324162, null, null, 23343.088795482447, 6.1881050448324162
2100-Jan-02 10:00:00, 23362.711384124264, 6.1933068688425532, null, null, 23362.711384124264, 6.1933068688425532
2100-Jan-02 11:00:00, 23381.246236380539, 6.1982203408237968, null, null, 23381.246236380539, 6.1982203408237968
2100-Jan-02 12:00:00, 23395.501819984001, 6.2019994057790173, null, null, 23395.501819984001, 6.2019994057790173
2100-Jan-02 13:00:00, 23399.903010177703, 6.2031661334335935, null, null, 23399.903010177703, 6.2031661334335935
2100-Jan-02 14:00:00, 23397.764131303556, 6.2025991301861936, null, null, 23397.764131303556, 6.2025991301861936
2100-Jan-02 15:00:00, 23395.265649177036, 6.2019367983933869, null, null, 23395.265649177036, 6.2019367983933869
2100-Jan-02 16:00:00, 23395.798350088651, 6.2020780140323044, null, null, 23395.798350088651, 6.2020780140323044
2100-Jan-02 17:00:00, 23400.319012767508, 6.2032764130862645, null, null, 23400.319012767508, 6.2032764130862645
2100-Jan-02 18:00:00, 23408.049765289648, 6.2053257866332592, null, null, 23408.049765289648, 6.2053257866332592
2100-Jan-02 19:00:00, 23417.886179454727, 6.2079333577499725, null, null, 23417.886179454727, 6.2079333577499725
2100-Jan-02 20:00:00, 23429.849816916558, 6.2111048422943158, null, null, 23429.849816916558, 6.2111048422943158
2100-Jan-02 21:00:00, 23444.224623730919, 6.2149155125678943, null, null, 23444.224623730919, 6.2149155125678943
2100-Jan-02 22:00:00, 23460.438200713092, 6.2192136291709366, null, null, 23460.438200713092, 6.2192136291709366
2100-Jan-02 23:00:00, 23477.636816087728, 6.2237728732151316, null, null, 23477.636816087728, 6.2237728732151316
2100-Jan-03 00:00:00, 23494.957335983188, 6.2283644333759689, null, null, 23494.957335983188, 6.2283644333759689
2100-Jan-03 01:00:00, 23510.915320501619, 6.2325947940351361, null, null, 23510.915320501619, 6.2325947940351361
2100-Jan-03 02:00:00, 23526.214407829135, 6.2366504852207454, null, null, 23526.214407829135, 6.2366504852207454
2100-Jan-03 03:00:00, 23540.924230023902, 6.2405499659505468, null, null, 23540.924230023902, 6.2405499659505468
2100-Jan-03 04:00:00, 23555.768589799325, 6.2444851117411666, null, null, 23555.768589799325, 6.2444851117411666
2100-Jan-03 05:00:00, 23571.337762339201, 6.2486124008065502, null, null, 23571.337762339201, 6.2486124008065502
2100-Jan-03 06:00:00, 23587.467711523732, 6.25288834820992, null, null, 23587.467711523732, 6.25288834820992
2100-Jan-03 07:00:00, 23603.613331127683, 6.257168449742263, null, null, 23603.613331127683, 6.257168449742263
2100-Jan-03 08:00:00, 23619.198309351705, 6.2612999287944415, null, null, 23619.198309351705, 6.2612999287944415
2100-Jan-03 09:00:00, 23634.336380378816, 6.2653129355782751, null, null, 23634.336380378816, 6.2653129355782751
2100-Jan-03 10:00:00, 23649.98964469973, 6.269462516842391, null, null, 23649.98964469973, 6.269462516842391
2100-Jan-03 11:00:00, 23665.190941112152, 6.273492284275564, null, null, 23665.190941112152, 6.273492284275564
2100-Jan-03 12:00:00, 23678.741369722513, 6.277084417106745, null, null, 23678.741369722513, 6.277084417106745
2100-Jan-03 13:00:00, 23690.10430596305, 6.2800966595606136, null, null, 23690.10430596305, 6.2800966595606136
2100-Jan-03 14:00:00, 23699.377632570042, 6.2825549597308212, null, null, 23699.377632570042, 6.2825549597308212
2100-Jan-03 15:00:00, 23707.36341948749, 6.2846719412812826, null, null, 23707.36341948749, 6.2846719412812826
2100-Jan-03 16:00:00, 23714.709901613351, 6.2866194471791994, null, null, 23714.709901613351, 6.2866194471791994
2100-Jan-03 17:00:00, 23721.87941281886, 6.2885200392066087, null, null, 23721.87941281886, 6.2885200392066087
2100-Jan-03 18:00:00, 23729.865742934307, 6.2906371647554202, null, null, 23729.865742934307, 6.2906371647554202
2100-Jan-03 19:00:00, 23738.21327374547, 6.2928500423217537, null, null, 23738.21327374547, 6.2928500423217537
2100-Jan-03 20:00:00, 23746.051923352006, 6.2949280187026799, null, null, 23746.051923352006, 6.2949280187026799
2100-Jan-03 21:00:00, 23753.062583326013, 6.2967865002743713, null, null, 23753.062583326013, 6.2967865002743713
2100-Jan-03 22:00:00, 23760.038158803229, 6.2986356811680979, null, null, 23760.038158803229, 6.2986356811680979
2100-Jan-03 23:00:00, 23768.367734667394, 6.3008437989916626, null, null, 23768.367734667394, 6.3008437989916626
2100-Jan-04 00:00:00, 23778.772814116339, 6.3036021196746717, null, null, 23778.772814116339, 6.3036021196746717
2100-Jan-04 01:00:00, 23791.31833588022, 6.3069278580633359, null, null, 23791.31833588022, 6.3069278580633359
