Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 22775.036588577561, 6.0712431613159481, null, null, 22775.036588577561, 6.0712431613159481
2100-Jan-01 01:00:00, 22776.666173863057, 6.0716775671392655, null, null, 22776.666173863057, 6.0716775671392655
2100-Jan-01 02:00:00, 22779.318940538295, 6.0723847269926852, null, null, 22779.318940538295, 6.0723847269926852
2100-Jan-01 03:00:00, 22783.433965938551, 6.0734816876813227, null, null, 22783.433965938551, 6.0734816876813227
2100-Jan-01 04:00:00, 22789.133687093945, 6.0750010877908025, null, null, 22789.133687093945, 6.0750010877908025
2100-Jan-01 05:00:00, 22796.300302025549, 6.0769115243217851, null, null, 22796.300302025549, 6.0769115243217851
2100-Jan-01 06:00:00, 22804.871951153084, 6.0791965070898408, null, null, 22804.871951153084, 6.0791965070898408
2100-Jan-01 07:00:00, 22814.68863145166, 6.081813383374441, null, null, 22814.68863145166, 6.081813383374441
2100-Jan-01 08:00:00, 22825.540009956982, 6.0847060837784586, null, null, 22825.540009956982, 6.0847060837784586
2100-Jan-01 09:00:00, 22837.683074890214, 6.087943114799093, null, null, 22837.683074890214, 6.087943114799093
2100-Jan-01 10:00:00, 22851.197020714681, 6.0915455876579214, null, null, 22851.197020714681, 6.0915455876579214
2100-Jan-01 11:00:00, 22864.710292548276, 6.0951478808479953, null, null, 22864.710292548276, 6.0951478808479953
2100-Jan-01 12:00:00, 22876.199107643206, 6.0982105055689457, null, null, 22876.199107643206, 6.0982105055689457
2100-Jan-01 13:00:00, 22884.511623896415, 6.1004264101300354, null, null, 22884.511623896415, 6.1004264101300354
2100-Jan-01 14:00:00, 22890.005191689561, 6.1018908550175617, null, null, 22890.005191689561, 6.1018908550175617
2100-Jan-01 15:00:00, 22895.02578994328, 6.1032292183038317, null, null, 22895.02578994328, 6.1032292183038317
2100-Jan-01 16:00:00, 22901.274277594202, 6.1048949055474804, null, null, 22901.274277594202, 6.1048949055474804
