Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 22309.280035120675, 5.9470843579256023, null, null, 22309.280035120675, 5.9470843579256023
2100-Jan-01 01:00:00, 22309.944290947125, 5.9472614315662096, null, null, 22309.944290947125, 5.9472614315662096
2100-Jan-01 02:00:00, 22311.693483689076, 5.9477277216830702, null, null, 22311.693483689076, 5.9477277216830702
2100-Jan-01 03:00:00, 22314.863945109555, 5.9485728857354934, null, null, 22314.863945109555, 5.9485728857354934
2100-Jan-01 04:00:00, 22319.506452456935, 5.9498104596412267, null, null, 22319.506452456935, 5.9498104596412267
2100-Jan-01 05:00:00, 22325.46785035983, 5.9513996160892999, null, null, 22325.46785035983, 5.9513996160892999
2100-Jan-01 06:00:00, 22332.663638782684, 5.9533178295280624, null, null, 22332.663638782684, 5.9533178295280624
2100-Jan-01 07:00:00, 22340.944765370088, 5.955525366405829, null, null, 22340.944765370088, 5.955525366405829
2100-Jan-01 08:00:00, 22350.101124839228, 5.957966218019541, null, null, 22350.101124839228, 5.957966218019541
2100-Jan-01 09:00:00, 22360.364623824415, 5.9607022047558358, null, null, 22360.364623824415, 5.9607022047558358
2100-Jan-01 10:00:00, 22371.810634518752, 5.9637534189166601, null, null, 22371.810634518752, 5.9637534189166601
2100-Jan-01 11:00:00, 22383.152558238558, 5.9667768861480841, null, null, 22383.152558238558, 5.9667768861480841
2100-Jan-01 12:00:00, 22392.529610600512, 5.9692765688513099, null, null, 22392.529610600512, 5.9692765688513099
2100-Jan-01 13:00:00, 22398.984064507811, 5.9709971614392652, null, null, 22398.984064507811, 5.9709971614392652
2100-Jan-01 14:00:00, 22403.022774037432, 5.972073778265627, null, null, 22403.022774037432, 5.972073778265627
2100-Jan-01 15:00:00, 22406.979191831189, 5.9731284582166442, null, null, 22406.979191831189, 5.9731284582166442
2100-Jan-01 16:00:00, 22412.465259117806, 5.9745909036606655, null, null, 22412.465259117806, 5.9745909036606655
2100-Jan-01 17:00:00, 22420.140192751674, 5.9766368449770253, null, null, 22420.140192751674, 5.9766368449770253
2100-Jan-01 18:00:00, 22429.422148018504, 5.9791111772231327, null, null, 22429.422148018504, 5.9791111772231327
2100-Jan-01 19:00:00, 22439.633019683482, 5.981833134859774, null, null, 22439.633019683482, 5.981833134859774
2100-Jan-01 20:00:00, 22450.184908557134, 5.9846459989758856, null, null, 22450.184908557134, 5.9846459989758856
2100-Jan-01 21:00:00, 22460.779311961847, 5.9874701963803076, null, null, 22460.779311961847, 5.9874701963803076
2100-Jan-01 22:00:00, 22471.542788751387, 5.9903394644315942, null, null, 22471.542788751387, 5.9903394644315942
2100-Jan-01 23:00:00, 22482.660596579466, 5.9933031880894037, null, null, 22482.660596579466, 5.9933031880894037
2100-Jan-02 00:00:00, 22495.402332083544, 5.996699809396314, null, null, 22495.402332083544, 5.996699809396314
2100-Jan-02 01:00:00, 22509.693703062934, 6.0005095239487805, null, null, 22509.693703062934, 6.0005095239487805
2100-Jan-02 02:00:00, 22525.475925456143, 6.0047166614171434, null, null, 22525.475925456143, 6.0047166614171434
2100-Jan-02 03:00:00, 22542.252937763489, 6.0091889844732291, null, null, 22542.252937763489, 6.0091889844732291
2100-Jan-02 04:00:00, 22560.574754512254, 6.0140731129446019, null, null, 22560.574754512254, 6.0140731129446019
2100-Jan-02 05:00:00, 22579.875593223067, 6.019218223670328, null, null, 22579.875593223067, 6.019218223670328
