Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 20847.316992145727, 5.5573623439899515, null, null, 20847.316992145727, 5.5573623439899515
2100-Jan-01 01:00:00, 20848.918121517934, 5.5577891641934487, null, null, 20848.918121517934, 5.5577891641934487
2100-Jan-01 02:00:00, 20851.526914698174, 5.5584846018360281, null, null, 20851.526914698174, 5.5584846018360281
2100-Jan-01 03:00:00, 20855.583065642906, 5.5595658680982663, null, null, 20855.583065642906, 5.5595658680982663
2100-Jan-01 04:00:00, 20861.21523256728, 5.5610672599748501, null, null, 20861.21523256728, 5.5610672599748501
2100-Jan-01 05:00:00, 20868.313512613324, 5.5629594801703721, null, null, 20868.313512613324, 5.5629594801703721
2100-Jan-01 06:00:00, 20876.820985134273, 5.5652273550939544, null, null, 20876.820985134273, 5.5652273550939544
2100-Jan-01 07:00:00, 20886.5844390807, 5.5678300425922824, null, null, 20886.5844390807, 5.5678300425922824
2100-Jan-01 08:00:00, 20897.392049604718, 5.5707110755701628, null, null, 20897.392049604718, 5.5707110755701628
2100-Jan-01 09:00:00, 20909.494099829721, 5.5739371731169527, null, null, 20909.494099829721, 5.5739371731169527
2100-Jan-01 10:00:00, 20922.967393517822, 5.5775288091543365, null, null, 20922.967393517822, 5.5775288091543365
2100-Jan-01 11:00:00, 20936.444017314552, 5.5811213329136429, null, null, 20936.444017314552, 5.5811213329136429
2100-Jan-01 12:00:00, 20947.902901969643, 5.5841759789436489, null, null, 20947.902901969643, 5.5841759789436489
2100-Jan-01 13:00:00, 20956.193254818209, 5.5863859753070351, null, null, 20956.193254818209, 5.5863859753070351
2100-Jan-01 14:00:00, 20961.673790270626, 5.5878469461053228, null, null, 20961.673790270626, 5.5878469461053228
2100-Jan-01 15:00:00, 20966.689957191153, 5.5891841281113237, null, null, 20966.689957191153, 5.5891841281113237
2100-Jan-01 16:00:00, 20972.949101261845, 5.5908526560843566, null, null, 20972.949101261845, 5.5908526560843566
2100-Jan-01 17:00:00, 20981.264300481362, 5.5930692758557505, null, null, 20981.264300481362, 5.5930692758557505
2100-Jan-01 18:00:00, 20991.150850522783, 5.5957047776295701, null, null, 20991.150850522783, 5.5957047776295701
2100-Jan-01 19:00:00, 21001.980038844984, 5.5985915626974254, null, null, 21001.980038844984, 5.5985915626974254
2100-Jan-01 20:00:00, 21013.165750822671, 5.6015733878674911, null, null, 21013.165750822671, 5.6015733878674911
2100-Jan-01 21:00:00, 21024.388675873302, 5.6045651330925139, null, null, 21024.388675873302, 5.6045651330925139
2100-Jan-01 22:00:00, 21035.757599055305, 5.60759579769109, null, null, 21035.757599055305, 5.60759579769109
2100-Jan-01 23:00:00, 21047.451144611437, 5.6107129983249102, null, null, 21047.451144611437, 5.6107129983249102
2100-Jan-02 00:00:00, 21060.849705971552, 5.6142847126320508, null, null, 21060.849705971552, 5.6142847126320508
2100-Jan-02 01:00:00, 21075.927457902209, 5.6183040562647601, null, null, 21075.927457902209, 5.6183040562647601
2100-Jan-02 02:00:00, 21092.691182436385, 5.6227728371398413, null, null, 21092.691182436385, 5.6227728371398413
2100-Jan-02 03:00:00, 21110.637245456852, 5.6275567992626598, null, null, 21110.637245456852, 5.6275567992626598
2100-Jan-02 04:00:00, 21130.371644070834, 5.6328174859869966, null, null, 21130.371644070834, 5.6328174859869966
2100-Jan-02 05:00:00, 21151.292803365599, 5.6383945328031961, null, null, 21151.292803365599, 5.6383945328031961
2100-Jan-02 06:00:00, 21172.33613816095, 5.6440041484879249, null, null, 21172.33613816095, 5.6440041484879249
2100-Jan-02 07:00:00, 21192.83900827407, 5.6494696900899113, null, null, 21192.83900827407, 5.6494696900899113
2100-Jan-02 08:00:00, 21214.103342792019, 5.6551382186571404, null, null, 21214.103342792019, 5.6551382186571404
2100-Jan-02 09:00:00, 21235.908063483217, 5.6609508003786226, null, null, 21235.908063483217, 5.6609508003786226
2100-Jan-02 10:00:00, 21257.843518599129, 5.6667982325592421, null, null, 21257.843518599129, 5.6667982325592421
2100-Jan-02 11:00:00, 21279.924429021568, 5.6726844394101716, null, null, 21279.924429021568, 5.6726844394101716
2100-Jan-02 12:00:00, 21299.295829816841, 5.6778483601857106, null, null, 21299.295829816841, 5.6778483601857106
2100-Jan-02 13:00:00, 21312.129993597267, 5.6812696205108075, null, null, 21312.129993597267, 5.6812696205108075
2100-Jan-02 14:00:00, 21319.12749023144, 5.6831349744223729, null, null, 21319.12749023144, 5.6831349744223729
2100-Jan-02 15:00:00, 21324.753009480748, 5.6846345941985428, null, null, 21324.753009480748, 5.6846345941985428
2100-Jan-02 16:00:00, 21331.826546522778, 5.6865202185410419, null, null, 21331.826546522778, 5.6865202185410419
2100-Jan-02 17:00:00, 21341.426591152896, 5.6890793452885342, null, null, 21341.426591152896, 5.6890793452885342
2100-Jan-02 18:00:00, 21353.470439735825, 5.6922899277638095, null, null, 21353.470439735825, 5.6922899277638095
2100-Jan-02 19:00:00, 21366.74095098993, 5.6958275071826305, null, null, 21366.74095098993, 5.6958275071826305
2100-Jan-02 20:00:00, 21380.440519846605, 5.6994794624016958, null, null, 21380.440519846605, 5.6994794624016958
2100-Jan-02 21:00:00, 21394.454560921644, 5.7032152478836782, null, null, 21394.454560921644, 5.7032152478836782
2100-Jan-02 22:00:00, 21408.688013907191, 5.7070095229780051, null, null, 21408.688013907191, 5.7070095229780051
2100-Jan-02 23:00:00, 21422.94783155715, 5.710810826218605, null, null, 21422.94783155715, 5.710810826218605
2100-Jan-03 00:00:00, 21436.950856207899, 5.7145436750031919, null, null, 21436.950856207899, 5.7145436750031919
2100-Jan-03 01:00:00, 21450.03333154881, 5.7180311288493222, null, null, 21450.03333154881, 5.7180311288493222
2100-Jan-03 02:00:00, 21463.290171778928, 5.7215650639222577, null, null, 21463.290171778928, 5.7215650639222577
2100-Jan-03 03:00:00, 21476.754955990837, 5.7251544315505907, null, null, 21476.754955990837, 5.7251544315505907
2100-Jan-03 04:00:00, 21490.476131809664, 5.7288121466340014, null, null, 21490.476131809664, 5.7288121466340014
2100-Jan-03 05:00:00, 21504.420832503478, 5.7325294477410562, null, null, 21504.420832503478, 5.7325294477410562
2100-Jan-03 06:00:00, 21518.350679115047, 5.7362427891291041, null, null, 21518.350679115047, 5.7362427891291041
2100-Jan-03 07:00:00, 21532.162914798588, 5.7399247784471026, null, null, 21532.162914798588, 5.7399247784471026
2100-Jan-03 08:00:00, 21545.552582233257, 5.7434941218608389, null, null, 21545.552582233257, 5.7434941218608389
2100-Jan-03 09:00:00, 21558.38029892309, 5.746913663556219, null, null, 21558.38029892309, 5.746913663556219
2100-Jan-03 10:00:00, 21571.678276803359, 5.7504585648761761, null, null, 21571.678276803359, 5.7504585648761761
2100-Jan-03 11:00:00, 21585.474365777594, 5.7541362498938033, null, null, 21585.474365777594, 5.7541362498938033
2100-Jan-03 12:00:00, 21599.049099744869, 5.7577549273191932, null, null, 21599.049099744869, 5.7577549273191932
