Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 33561.556623189485, 2.0320495880994298, 14447.548865204135, 5.7952524269629677, 19114.00775798535, 1.3630359255948605
2100-Jan-01 01:00:00, 33562.381997128403, 2.0320995619665969, 14447.610372692257, 5.7952770990663911, 19114.771624436147, 1.36309039755218
2100-Jan-01 02:00:00, 33563.65658304347, 2.0321767342447719, 14448.122805240082, 5.7954826478410757, 19115.53377780339, 1.363144747348074
2100-Jan-01 03:00:00, 33565.726239395161, 2.0323020456057486, 14449.432010844348, 5.7960078010713092, 19116.294228550814, 1.3631989757287208
2100-Jan-01 04:00:00, 33568.774646508886, 2.0324866173313501, 14451.721658301043, 5.7969262326408506, 19117.052988207844, 1.363253083516293
2100-Jan-01 05:00:00, 33572.844592443187, 2.0327330401076305, 14455.034523075357, 5.7982551007971503, 19117.810069367832, 1.3633070716088334
2100-Jan-01 06:00:00, 33577.966174799003, 2.0330431362522581, 14459.400689148875, 5.8000064729343999, 19118.565485650131, 1.3633609409775493
2100-Jan-01 07:00:00, 33584.198673707549, 2.033420494995839, 14464.879422034657, 5.8022041218469766, 19119.319251672889, 1.3634146926648729
2100-Jan-01 08:00:00, 33591.389940162997, 2.0338559041814968, 14471.318557149845, 5.8047870107336657, 19120.071383013154, 1.3634683277816171
2100-Jan-01 09:00:00, 33599.489694831769, 2.0343463195493885, 14478.66779869986, 5.807734964765622, 19120.821896131911, 1.3635218475016282
2100-Jan-01 10:00:00, 33608.523198813375, 2.0348932705818155, 14486.952390492941, 5.8110581098294105, 19121.570808320437, 1.3635752530579617
2100-Jan-01 11:00:00, 33617.884793147954, 2.0354600864814807, 14495.56665553594, 5.8145134946052446, 19122.318137612012, 1.3636285457365858
2100-Jan-01 12:00:00, 33626.191288898743, 2.035963019389464, 14503.127386189872, 5.8175462819022883, 19123.063902708873, 1.3636817268711727
2100-Jan-01 13:00:00, 33632.363094741529, 2.036336703353574, 14508.554971854379, 5.8197234144587, 19123.808122887149, 1.3637347978363197
2100-Jan-01 14:00:00, 33636.576397833684, 2.0365918059672303, 14512.025579907264, 5.821115557162571, 19124.550817926422, 1.3637877600425252
2100-Jan-01 15:00:00, 33640.578738104814, 2.0368341354274131, 14515.286730092619, 5.8224236813781527, 19125.292008012198, 1.3638406149292344
2100-Jan-01 16:00:00, 33646.289307147134, 2.0371798929141871, 14520.25759348489, 5.8244176118646962, 19126.031713662247, 1.3638933639595869
2100-Jan-01 17:00:00, 33654.899737806183, 2.0377012281511226, 14528.129782158339, 5.8275753323154778, 19126.769955647844, 1.3639460086147994
2100-Jan-01 18:00:00, 33666.983519850764, 2.0384328641894047, 14539.476764921048, 5.8321268745879991, 19127.506754929713, 1.3639985503895993
2100-Jan-01 19:00:00, 33682.644401324913, 2.0393810826557326, 14554.402268722592, 5.8381138460069266, 19128.242132602318, 1.3640509907882499
2100-Jan-01 20:00:00, 33701.093732858106, 2.0404981332432146, 14572.117623028616, 5.8452198922293253, 19128.976109829488, 1.364103331319962
2100-Jan-01 21:00:00, 33721.379430480112, 2.0417263701798953, 14591.670722680463, 5.8530631014317471, 19129.708707799648, 1.3641555734956996
2100-Jan-01 22:00:00, 33743.098382230266, 2.0430413862696843, 14612.658434541194, 5.861481767409769, 19130.439947689076, 1.3642077188255612
2100-Jan-01 23:00:00, 33766.073127802083, 2.0444324368338775, 14634.903277169762, 5.8704046981735543, 19131.169850632323, 1.3642597688166693
2100-Jan-02 00:00:00, 33789.822663087754, 2.0458703985451487, 14657.92422541526, 5.8796389431956992, 19131.898437672495, 1.3643117249696255
2100-Jan-02 01:00:00, 33814.216435832983, 2.0473473668638613, 14681.590706075027, 5.8891321264865697, 19132.625729757954, 1.3643635887782748
2100-Jan-02 02:00:00, 33838.920274471609, 2.0488431087239221, 14705.568526766794, 5.8987501956036024, 19133.351747704815, 1.364415361727032
2100-Jan-02 03:00:00, 33864.061624098642, 2.0503653405359761, 14729.985111882532, 5.908544263474238, 19134.076512216106, 1.3644670452922474
2100-Jan-02 04:00:00, 33889.57777513779, 2.0519102654270092, 14754.77773130164, 5.9184891675683433, 19134.800043836149, 1.3645186409389536
2100-Jan-02 05:00:00, 33915.473737081324, 2.053478186706454, 14779.951374097891, 5.9285869091210177, 19135.522362983433, 1.3645701501232104
2100-Jan-02 06:00:00, 33941.710230840334, 2.055066726145633, 14805.466740894337, 5.9388217242257504, 19136.243489945999, 1.3646215742917751
2100-Jan-02 07:00:00, 33968.160630581522, 2.0566682169376902, 14831.197185690391, 5.9491428121862349, 19136.963444891127, 1.3646729148827932
2100-Jan-02 08:00:00, 33994.674701493917, 2.0582735628243927, 14856.992453583573, 5.959489902219075, 19137.682247910347, 1.3647241733290085
2100-Jan-02 09:00:00, 34021.090566598796, 2.0598729626498637, 14882.690647567699, 5.9697980536186357, 19138.399919031097, 1.3647753510585947
2100-Jan-02 10:00:00, 34046.602195927, 2.0614176137651312, 14907.485717686024, 5.9797439407459683, 19139.11647824098, 1.364826449496884
2100-Jan-02 11:00:00, 34070.489376335987, 2.06286390946756, 14930.657430781275, 5.9890386611033817, 19139.83194555471, 1.364877470071143
2100-Jan-02 12:00:00, 34090.480580963405, 2.064074315754278, 14949.934239946268, 5.9967710436784341, 19140.54634101714, 1.3649284142107867
2100-Jan-02 13:00:00, 34102.140184127988, 2.0647802690589474, 14960.88049936011, 6.0011618463693335, 19141.25968476788, 1.3649792833519878
2100-Jan-02 14:00:00, 34106.051567890216, 2.0650170913807537, 14964.079570836166, 6.0024450693512117, 19141.97199705405, 1.365030078938585
2100-Jan-02 15:00:00, 34106.548726009372, 2.0650471927840526, 14963.865427731638, 6.0023591715039153, 19142.683298277734, 1.3650808024254684
2100-Jan-02 16:00:00, 34107.817598667898, 2.0651240191420208, 14964.423989657484, 6.0025832238595482, 19143.393609010418, 1.3651314552796079
