Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 29142.592847555607, 1.9217277043428864, 7363.7042911413982, 5.9122109611969984, 21778.888556414207, 1.5646562467618024
2100-Jan-01 01:00:00, 29142.162754906152, 1.9216993430723497, 7362.5731154006762, 5.9113027566644805, 21779.589639505477, 1.5647066145312785
2100-Jan-01 02:00:00, 29143.68398465278, 1.921799656361701, 7363.3948212742598, 5.9119624923464968, 21780.289163378522, 1.5647568702821579
2100-Jan-01 03:00:00, 29147.829098496459, 1.922072994432638, 7366.8412959233583, 5.9147296166622301, 21780.987802573101, 1.5648070624752626
2100-Jan-01 04:00:00, 29154.523241510033, 1.9225144211839678, 7372.8371143918675, 5.9195435720125982, 21781.686127118166, 1.5648572320630665
2100-Jan-01 05:00:00, 29163.339093758001, 1.9230957581841082, 7380.9544813840594, 5.9260608877832803, 21782.384612373942, 1.5649074131967773
2100-Jan-01 06:00:00, 29173.992786926254, 1.9237982865219982, 7390.9091316203294, 5.9340533315201318, 21783.083655305923, 1.5649576343955058
2100-Jan-01 07:00:00, 29186.184803222561, 1.9246022553250135, 7402.4012085168888, 5.9432801527378842, 21783.78359470567, 1.5650079199989853
2100-Jan-01 08:00:00, 29199.480891031071, 1.9254790290710784, 7414.9961585146448, 5.9533924547109605, 21784.484732516426, 1.565058291699662
2100-Jan-01 09:00:00, 29214.044267959358, 1.9264393706940175, 7428.856913882325, 5.964521053385659, 21785.187354077032, 1.5651087699970767
2100-Jan-01 10:00:00, 29229.962316754718, 1.9274890424074831, 7444.0705708897449, 5.9767358770889096, 21785.891745864974, 1.5651593754725728
2100-Jan-01 11:00:00, 29245.310699741854, 1.9285011490843851, 7458.7124897151016, 5.9884916605301823, 21786.598210026754, 1.5652101298331995
2100-Jan-01 12:00:00, 29257.007132013496, 1.929272437969213, 7469.7000564518657, 5.9973134178862084, 21787.307075561628, 1.5652610567151835
2100-Jan-01 13:00:00, 29263.336233369984, 1.9296897930578278, 7475.3175283267537, 6.0018236042652138, 21788.018705043232, 1.5653121821668285
2100-Jan-01 14:00:00, 29265.342459523919, 1.9298220880942152, 7476.60896613366, 6.0028604808772856, 21788.73349339026, 1.5653635345601975
2100-Jan-01 15:00:00, 29267.341645923872, 1.9299539189134918, 7477.889790602987, 6.0038888361951432, 21789.451855320887, 1.5654151436898038
2100-Jan-01 16:00:00, 29272.795774073049, 1.930313576313303, 7482.621571459943, 6.0076879141513464, 21790.174202613107, 1.56546703913893
2100-Jan-01 17:00:00, 29283.147140454945, 1.9309961685472181, 7492.2462216638769, 6.0154154056669737, 21790.900918791067, 1.565519248461023
2100-Jan-01 18:00:00, 29297.238180865632, 1.9319253632445426, 7505.6058390255157, 6.0261416479330983, 21791.632341840115, 1.5655717959378952
2100-Jan-01 19:00:00, 29313.477620794085, 1.9329962282076145, 7521.1088589838873, 6.0385887969365966, 21792.368761810198, 1.5656247024075456
2100-Jan-01 20:00:00, 29330.422927332667, 1.9341136395925287, 7537.3124947087417, 6.0515984601381696, 21793.110432623926, 1.5656779861124845
2100-Jan-01 21:00:00, 29347.313294954394, 1.9352274281824802, 7553.4557030538335, 6.064559607076343, 21793.85759190056, 1.5657316641239443
2100-Jan-01 22:00:00, 29364.222157519929, 1.9363424363703614, 7569.6116759071756, 6.077531002452341, 21794.610481612755, 1.5657857538259168
2100-Jan-01 23:00:00, 29381.488973917836, 1.9374810488339551, 7586.1196092778637, 6.0907849818032371, 21795.369364639973, 1.5658402741043977
2100-Jan-02 00:00:00, 29400.948076716952, 1.9387642255624751, 7604.8135413125083, 6.105794067653691, 21796.134535404442, 1.5658952461115028
2100-Jan-02 01:00:00, 29422.567643204718, 1.9401898680951335, 7625.6613178611024, 6.122532443904821, 21796.906325343614, 1.5659506936586256
2100-Jan-02 02:00:00, 29446.123478388272, 1.9417431925130384, 7648.4383725231273, 6.1408198094632951, 21797.685105865145, 1.5660066434287303
2100-Jan-02 03:00:00, 29470.627320871848, 1.9433590306510473, 7672.1560294945975, 6.1598623709210285, 21798.471291377249, 1.566063125194062
