Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 74.246353414566258, 18.73772294936559, 64.575761456210387, 26.482841804548208, 9.6705919583558657, 6.345532781073401
2100-Jan-01 01:00:00, 74.358251756050734, 18.765962991129289, 64.687154630586022, 26.528524700863674, 9.6710971254647138, 6.3458642555542726
2100-Jan-01 02:00:00, 74.534440061829173, 18.81042803902411, 64.862838471804253, 26.600573520260916, 9.6716015900249204, 6.3461952690452215
2100-Jan-01 03:00:00, 74.7835194993459, 18.873288789457366, 65.111414143976219, 26.70251564303485, 9.6721053553696859, 6.3465258237333879
2100-Jan-01 04:00:00, 75.057550842683611, 18.942446709742473, 65.384942416368389, 26.814690951594631, 9.6726084263152199, 6.3468559227790138
2100-Jan-01 05:00:00, 75.320405262963703, 19.008783884252892, 65.64729445399449, 26.922282830542343, 9.6731108089692182, 6.3471855701897741
2100-Jan-01 06:00:00, 75.569489194062569, 19.071645768741806, 65.895876683499139, 27.024227642511114, 9.6736125105634336, 6.3475147707109123
2100-Jan-01 07:00:00, 75.7853736481608, 19.126129024874007, 66.111260108882234, 27.112557459351294, 9.6741135392785615, 6.3478435297103406
2100-Jan-01 08:00:00, 75.984506905524057, 19.176384742964874, 66.309893001430424, 27.194017799143037, 9.674613904093631, 6.3481718530798084
2100-Jan-01 09:00:00, 76.220055208552793, 19.235830609870977, 66.544941593871883, 27.290412399061616, 9.6751136146809049, 6.3484997471659463
2100-Jan-01 10:00:00, 76.483479953447656, 19.302311718515956, 66.807867272133734, 27.398239530894724, 9.6756126813139218, 6.3488272187099204
2100-Jan-01 11:00:00, 76.651372591848713, 19.344683169757893, 66.975261477012936, 27.466888729089934, 9.6761111148357699, 6.3491542748266188
2100-Jan-01 12:00:00, 76.634144616057526, 19.340335305889734, 66.957535689424475, 27.459619295203591, 9.6766089266330528, 6.3494809229875653
2100-Jan-01 13:00:00, 76.450765711863525, 19.294055550137163, 66.773659583193506, 27.38421078707081, 9.6771061286700206, 6.3498071710433184
2100-Jan-01 14:00:00, 76.203959823197209, 19.231768580455576, 66.526357089679678, 27.282790801213764, 9.6776027335175314, 6.3501330272424727
2100-Jan-01 15:00:00, 76.082959720354523, 19.201231506247346, 66.404860965946341, 27.23296463498454, 9.678098754408186, 6.3504585002678366
2100-Jan-01 16:00:00, 76.090911089224534, 19.20323821149417, 66.412316883919175, 27.23602234412694, 9.6785942053053553, 6.3507835992817272
2100-Jan-01 17:00:00, 76.190163070257796, 19.228286662189017, 66.51107396931522, 27.276523117337263, 9.6790891009425781, 6.3511083339518208
2100-Jan-01 18:00:00, 76.260772316546365, 19.246106480049043, 66.581188859683252, 27.305277583531502, 9.6795834568631118, 6.3514327144771059
2100-Jan-01 19:00:00, 76.269707268197095, 19.2483614143441, 66.589629978802179, 27.308739328576994, 9.6800772893949194, 6.3517567515714672
