Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 66.418027855990459, 24.211879504225152, 51.481920689954592, 42.225984817876139, 14.936107166035862, 9.800595253304369
2100-Jan-01 01:00:00, 66.52956354877395, 24.252538476514264, 51.593400908071629, 42.317422004651924, 14.936162640702323, 9.800631654004146
2100-Jan-01 02:00:00, 66.705398462016731, 24.316636942992385, 51.769171016089651, 42.461590400336, 14.936227445927075, 9.8006741771175001
2100-Jan-01 03:00:00, 66.954003135428593, 24.407262735283091, 52.017702486202531, 42.665438390914147, 14.936300649226066, 9.8007222107782557
2100-Jan-01 04:00:00, 67.227702179516029, 24.507036373401871, 52.291319939449423, 42.889862155060221, 14.936382240066614, 9.8007757480752034
2100-Jan-01 05:00:00, 67.490564637901173, 24.60285966677645, 52.554091277501144, 43.105389827346734, 14.936473360400024, 9.8008355383202233
2100-Jan-01 06:00:00, 67.740030181325551, 24.693799278698428, 52.803453745685012, 43.309919410830879, 14.936576435640539, 9.8009031729924772
2100-Jan-01 07:00:00, 67.956741511115766, 24.772798742751441, 53.020046416883496, 43.48757087998974, 14.936695094232272, 9.8009810329608058
2100-Jan-01 08:00:00, 68.156944548149824, 24.845780310640787, 53.220110659763435, 43.651665567391269, 14.936833888386381, 9.8010721052404044
2100-Jan-01 09:00:00, 68.393515380224827, 24.932019313292798, 53.456517473485768, 43.84556879386956, 14.936997906739053, 9.8011797288313964
2100-Jan-01 10:00:00, 68.657888498492994, 25.028393299246492, 53.720696107937208, 44.062250744699149, 14.937192390555788, 9.8013073428843729
2100-Jan-01 11:00:00, 68.826879630338112, 25.089996948942144, 53.889457136219143, 44.200670223276852, 14.937422494118968, 9.8014583294743858
2100-Jan-01 12:00:00, 68.810991392404929, 25.084205086178518, 53.873298186991207, 44.187416491954728, 14.937693205413723, 9.8016359615575581
2100-Jan-01 13:00:00, 68.629115662526374, 25.017904513898497, 53.691106487463088, 44.037981042866704, 14.938009175063288, 9.801843290723939
2100-Jan-01 14:00:00, 68.383819201755415, 24.928484690053732, 53.445445020695047, 43.836487057656697, 14.938374181060368, 9.8020827959713674
2100-Jan-01 15:00:00, 68.264078539949779, 24.884834696686266, 53.325288224184312, 43.737933254744348, 14.938790315765463, 9.8023558502398025
2100-Jan-01 16:00:00, 68.273211265168598, 24.888163919936051, 53.333953925013162, 43.745040948993733, 14.939257340155436, 9.8026622966899151
2100-Jan-01 17:00:00, 68.373740383875884, 24.924810580298871, 53.433967682731797, 43.827073230587104, 14.939772701144081, 9.8030004600682918
2100-Jan-01 18:00:00, 68.446044094784924, 24.951168013555304, 53.505711794861199, 43.885918466913708, 14.940332299923728, 9.8033676508685854
2100-Jan-01 19:00:00, 68.45711269824568, 24.955202937534871, 53.516181116793746, 43.894505509181222, 14.94093158145194, 9.8037608802178049
2100-Jan-01 20:00:00, 68.404158433976846, 24.935899108332176, 53.462592041800612, 43.85055121538764, 14.941566392176242, 9.80417742268782
2100-Jan-01 21:00:00, 68.312556087391172, 24.902506593537165, 53.370322761159066, 43.774871031134403, 14.942233326232103, 9.804615043459382
2100-Jan-01 22:00:00, 68.221809817727518, 24.869426151110929, 53.278880171114189, 43.699868906753764, 14.942929646613324, 9.8050719465966658
2100-Jan-01 23:00:00, 68.152351336364148, 24.844105911477154, 53.208698314572125, 43.642305048041436, 14.943653021792029, 9.8055466022257374
2100-Jan-02 00:00:00, 68.245882825527843, 24.87820167159807, 53.301481526036106, 43.718406763481056, 14.944401299491739, 9.8060375980916898
2100-Jan-02 01:00:00, 68.400411793182599, 24.934533316266617, 53.455239323698912, 43.844520442666429, 14.945172469483689, 9.806543615146774
2100-Jan-02 02:00:00, 68.618770842258172, 25.014133436227091, 53.672805896709285, 44.02297071580486, 14.945964945548882, 9.80706361256488
2100-Jan-02 03:00:00, 68.821527926488358, 25.088046050775858, 53.874749863447185, 44.188607171462586, 14.946778063041174, 9.8075971542264888
2100-Jan-02 04:00:00, 69.110323123312838, 25.193322806690297, 54.162710643538453, 44.424795475343217, 14.947612479774387, 9.8081446717679679
2100-Jan-02 05:00:00, 69.378608159250447, 25.291122834372423, 54.430137850348011, 44.644141937621399, 14.948470308902436, 9.8087075517732494
2100-Jan-02 06:00:00, 69.563113250061022, 25.358381908012905, 54.613758185757057, 44.79474916810782, 14.949355064303965, 9.8092880999369818
2100-Jan-02 07:00:00, 69.661644519241293, 25.394300276772118, 54.711373040928606, 44.874813845906004, 14.950271478312683, 9.8098894214650123
2100-Jan-02 08:00:00, 69.86129840473491, 25.467081658185656, 54.910073342886385, 45.037789815359567, 14.951225061848529, 9.8105151324465378
2100-Jan-02 09:00:00, 70.066483284847536, 25.541879296021989, 55.114261813686547, 45.20526723563529, 14.952221471160993, 9.8111689443313566
2100-Jan-02 10:00:00, 70.2945892457208, 25.625032533435689, 55.341323180092559, 45.39150523301555, 14.95326606562824, 9.8118543737718085
2100-Jan-02 11:00:00, 70.564932404187971, 25.723582824507126, 55.610568586678696, 45.612343000884756, 14.954363817509268, 9.8125746834050283
2100-Jan-02 12:00:00, 70.65877039644846, 25.757790316582255, 55.703251017108272, 45.688362054714787, 14.95551937934019, 9.813332926076237
2100-Jan-02 13:00:00, 70.390459299280451, 25.659980788597416, 55.433722145746472, 45.467291786209373, 14.956737153533975, 9.814131990507855
2100-Jan-02 14:00:00, 70.010152669489571, 25.52134465933565, 55.052131639968962, 45.154307447481102, 14.958021029520602, 9.8149744288192888
2100-Jan-02 15:00:00, 69.929059317555385, 25.491783069974982, 54.969685903820903, 45.086684632399034, 14.959373413734484, 9.8158618200357477
2100-Jan-02 16:00:00, 70.12368844328212, 25.562732736687845, 55.162894391667649, 45.24515616114472, 14.960794051614471, 9.8167939971223532
2100-Jan-02 17:00:00, 70.471283906882022, 25.689444410499419, 55.50900405149509, 45.529038756147543, 14.96227985538693, 9.817768933980922
2100-Jan-02 18:00:00, 70.860261197412726, 25.831241323058002, 55.896435081320199, 45.846813550951602, 14.963826116092529, 9.8187835407431265
2100-Jan-02 19:00:00, 71.132068885714475, 25.930325490563742, 56.166640628299135, 46.068438835547191, 14.965428257415336, 9.8198348145769891
