Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 23.131946988255358, 15.178442905679363, null, null, 23.131946988255358, 15.178442905679363
2100-Jan-01 01:00:00, 23.13206980799032, 15.178523496056636, null, null, 23.13206980799032, 15.178523496056636
2100-Jan-01 02:00:00, 23.133583488835164, 15.179516724957452, null, null, 23.133583488835164, 15.179516724957452
2100-Jan-01 03:00:00, 23.136432823488587, 15.18138636711849, null, null, 23.136432823488587, 15.18138636711849
2100-Jan-01 04:00:00, 23.140654695157036, 15.184156624118785, null, null, 23.140654695157036, 15.184156624118785
2100-Jan-01 05:00:00, 23.146153935392434, 15.187765049470096, null, null, 23.146153935392434, 15.187765049470096
2100-Jan-01 06:00:00, 23.152899036115123, 15.192190968579473, null, null, 23.152899036115123, 15.192190968579473
2100-Jan-01 07:00:00, 23.16091553986999, 15.197451141646971, null, null, 23.16091553986999, 15.197451141646971
2100-Jan-01 08:00:00, 23.169824721795205, 15.203297061545406, null, null, 23.169824721795205, 15.203297061545406
2100-Jan-01 09:00:00, 23.179704155387419, 15.2097796295193, null, null, 23.179704155387419, 15.2097796295193
2100-Jan-01 10:00:00, 23.190636955789056, 15.216953383063681, null, null, 23.190636955789056, 15.216953383063681
2100-Jan-01 11:00:00, 23.201229402313761, 15.223903807292489, null, null, 23.201229402313761, 15.223903807292489
2100-Jan-01 12:00:00, 23.209104129267448, 15.229070950962887, null, null, 23.209104129267448, 15.229070950962887
2100-Jan-01 13:00:00, 23.213266124797279, 15.231801919158315, null, null, 23.213266124797279, 15.231801919158315
2100-Jan-01 14:00:00, 23.214999459303105, 15.232939277757938, null, null, 23.214999459303105, 15.232939277757938
2100-Jan-01 15:00:00, 23.217763358944371, 15.234752860199714, null, null, 23.217763358944371, 15.234752860199714
2100-Jan-01 16:00:00, 23.223856015690867, 15.238750666463819, null, null, 23.223856015690867, 15.238750666463819
2100-Jan-01 17:00:00, 23.234003987749318, 15.245409440780389, null, null, 23.234003987749318, 15.245409440780389
2100-Jan-01 18:00:00, 23.247412666916031, 15.254207786690305, null, null, 23.247412666916031, 15.254207786690305
2100-Jan-01 19:00:00, 23.263472027260669, 15.26474542471172, null, null, 23.263472027260669, 15.26474542471172
2100-Jan-01 20:00:00, 23.280866652540023, 15.276159220826782, null, null, 23.280866652540023, 15.276159220826782
2100-Jan-01 21:00:00, 23.298912617857816, 15.28800040541851, null, null, 23.298912617857816, 15.28800040541851
2100-Jan-01 22:00:00, 23.317986720543814, 15.30051622082927, null, null, 23.317986720543814, 15.30051622082927
2100-Jan-01 23:00:00, 23.338241188217449, 15.313806553948453, null, null, 23.338241188217449, 15.313806553948453
2100-Jan-02 00:00:00, 23.36013367491719, 15.328171702701564, null, null, 23.36013367491719, 15.328171702701564
2100-Jan-02 01:00:00, 23.383162166681018, 15.343282261601713, null, null, 23.383162166681018, 15.343282261601713
2100-Jan-02 02:00:00, 23.407070809985349, 15.35897034775941, null, null, 23.407070809985349, 15.35897034775941
2100-Jan-02 03:00:00, 23.431681334093977, 15.375118985625964, null, null, 23.431681334093977, 15.375118985625964
