Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 38.292377441430418, 25.126231916949084, null, null, 38.292377441430418, 25.126231916949084
2100-Jan-01 01:00:00, 38.310340441047096, 25.138018662104386, null, null, 38.310340441047096, 25.138018662104386
2100-Jan-01 02:00:00, 38.34935407815577, 25.163618161519526, null, null, 38.34935407815577, 25.163618161519526
2100-Jan-01 03:00:00, 38.40994705639968, 25.203377333595583, null, null, 38.40994705639968, 25.203377333595583
2100-Jan-01 04:00:00, 38.48315825170647, 25.251416175660406, null, null, 38.48315825170647, 25.251416175660406
2100-Jan-01 05:00:00, 38.560442025977672, 25.302127313633637, null, null, 38.560442025977672, 25.302127313633637
2100-Jan-01 06:00:00, 38.640250445561755, 25.354495043019515, null, null, 38.640250445561755, 25.354495043019515
2100-Jan-01 07:00:00, 38.717545213244698, 25.40521339451751, null, null, 38.717545213244698, 25.40521339451751
2100-Jan-01 08:00:00, 38.793226377229779, 25.454872950938167, null, null, 38.793226377229779, 25.454872950938167
2100-Jan-01 09:00:00, 38.879059382208531, 25.511193820346797, null, null, 38.879059382208531, 25.511193820346797
2100-Jan-01 10:00:00, 38.973828814229378, 25.573378487027142, null, null, 38.973828814229378, 25.573378487027142
2100-Jan-01 11:00:00, 39.045636931717233, 25.620496674355131, null, null, 39.045636931717233, 25.620496674355131
2100-Jan-01 12:00:00, 39.067535172199527, 25.634865598556111, null, null, 39.067535172199527, 25.634865598556111
2100-Jan-01 13:00:00, 39.041086306390589, 25.617510699731351, null, null, 39.041086306390589, 25.617510699731351
2100-Jan-01 14:00:00, 38.991659117400623, 25.585078161024022, null, null, 38.991659117400623, 25.585078161024022
2100-Jan-01 15:00:00, 38.96998908184397, 25.5708589775879, null, null, 38.96998908184397, 25.5708589775879
2100-Jan-01 16:00:00, 38.983448329583169, 25.579690504975826, null, null, 38.983448329583169, 25.579690504975826
2100-Jan-01 17:00:00, 39.024985593044462, 25.60694592719452, null, null, 39.024985593044462, 25.60694592719452
2100-Jan-01 18:00:00, 39.066790072844029, 25.634376688217859, null, null, 39.066790072844029, 25.634376688217859
2100-Jan-01 19:00:00, 39.097185557068151, 25.654321231672007, null, null, 39.097185557068151, 25.654321231672007
2100-Jan-01 20:00:00, 39.112548182641007, 25.664401694646322, null, null, 39.112548182641007, 25.664401694646322
2100-Jan-01 21:00:00, 39.116468220255165, 25.666973897805217, null, null, 39.116468220255165, 25.666973897805217
2100-Jan-01 22:00:00, 39.118409016401117, 25.668247386089963, null, null, 39.118409016401117, 25.668247386089963
2100-Jan-01 23:00:00, 39.123776286345766, 25.671769216762307, null, null, 39.123776286345766, 25.671769216762307
2100-Jan-02 00:00:00, 39.167914757082102, 25.700731467901633, null, null, 39.167914757082102, 25.700731467901633
2100-Jan-02 01:00:00, 39.230457121545911, 25.741769764793897, null, null, 39.230457121545911, 25.741769764793897
2100-Jan-02 02:00:00, 39.310210502116824, 25.79410137934174, null, null, 39.310210502116824, 25.79410137934174
2100-Jan-02 03:00:00, 39.390654195310617, 25.846885954928219, null, null, 39.390654195310617, 25.846885954928219
