Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 33.379218239634575, 5.8667073677647972, 6.4339354244569549, 5.2771780056241422, 26.94528281517762, 6.0274881028940657
2100-Jan-01 01:00:00, 33.37803605603461, 5.8664995880263326, 6.4330557334032514, 5.2764564742480733, 26.944980322631356, 6.0274204372385842
2100-Jan-01 02:00:00, 33.378817982500607, 5.8666370188590795, 6.4341172849959207, 5.2773271694520343, 26.944700697504683, 6.0273578868791819
2100-Jan-01 03:00:00, 33.382256399625774, 5.8672413525776479, 6.4378089511054108, 5.2803551108148055, 26.944447448520361, 6.027301236694786
2100-Jan-01 04:00:00, 33.388252860506192, 5.8682952862250781, 6.4440299238680803, 5.285457614721194, 26.944222936638113, 6.0272510148170468
2100-Jan-01 05:00:00, 33.396334702370226, 5.8697157449329023, 6.4523060439608173, 5.2922457709652369, 26.944028658409405, 6.0272075560149911
2100-Jan-01 06:00:00, 33.406183217039029, 5.8714467127810464, 6.4623176220484178, 5.3004573671656967, 26.943865594990609, 6.0271710797670499
2100-Jan-01 07:00:00, 33.417458643167315, 5.8734284735600619, 6.4737240716367408, 5.3098130508831529, 26.943734571530577, 6.0271417706537642
2100-Jan-01 08:00:00, 33.429756343859651, 5.8755899085805092, 6.4861197636906782, 5.319980121137367, 26.943636580168974, 6.0271198506104566
2100-Jan-01 09:00:00, 33.443299659613245, 5.8779702720073921, 6.4997266208219999, 5.3311406010679132, 26.943573038791246, 6.0271056368090683
2100-Jan-01 10:00:00, 33.4582076319615, 5.8805904864949232, 6.5146616600491916, 5.3433904692004521, 26.943545971912311, 6.0270995821206883
2100-Jan-01 11:00:00, 33.472553081913844, 5.8831118324511138, 6.5289949628151618, 5.3551467870859266, 26.943558119098682, 6.0271022993688916
2100-Jan-01 12:00:00, 33.483253669455664, 5.8849925600140036, 6.539640686657842, 5.3638785159595157, 26.943612982797823, 6.0271145720288644
2100-Jan-01 13:00:00, 33.488594933724528, 5.8859313367766699, 6.5448801436691539, 5.3681759708572452, 26.943714790055374, 6.0271373456637853
2100-Jan-01 14:00:00, 33.489610954396916, 5.8861099118386058, 6.5457426554306029, 5.3688834116064656, 26.943868298966311, 6.0271716846291881
2100-Jan-01 15:00:00, 33.490607000196228, 5.886284976131229, 6.5465285865450245, 5.3695280401451972, 26.944078413651201, 6.0272186859456012
2100-Jan-01 16:00:00, 33.494991233933618, 5.8870555458966587, 6.550641551007792, 5.3729015346192517, 26.944349682925825, 6.0272793671541329
2100-Jan-01 17:00:00, 33.504153681447384, 5.8886659310755407, 6.5594678151615726, 5.3801409245091634, 26.944685866285813, 6.027354569230007
2100-Jan-01 18:00:00, 33.516852038352425, 5.8908977851434967, 6.571762288127899, 5.3902249738581842, 26.945089750224529, 6.027444915494037
2100-Jan-01 19:00:00, 33.531454926218963, 5.8934643782021539, 6.5858916539877788, 5.4018140206592671, 26.945563272231187, 6.0275508393502149
2100-Jan-01 20:00:00, 33.546541710739646, 5.8961160205883818, 6.6004338453059193, 5.4137416710186343, 26.946107865433728, 6.0276726613801319
2100-Jan-01 21:00:00, 33.561420872548823, 5.8987311713563058, 6.614696001129726, 5.4254396334725437, 26.9467248714191, 6.0278106816882406
2100-Jan-01 22:00:00, 33.576237838612563, 5.9013353906447863, 6.6288219458334892, 5.4370258742072579, 26.947415892779073, 6.0279652587641115
2100-Jan-01 23:00:00, 33.591391636880815, 5.9039988113190427, 6.6432086176088729, 5.4488259658865426, 26.948183019271941, 6.0281368600733609
2100-Jan-02 00:00:00, 33.608865007400425, 5.9070699183423159, 6.659836083366498, 5.462463979139188, 26.949028924033929, 6.0283260835795325
2100-Jan-02 01:00:00, 33.628654557786781, 5.910548115471526, 6.6786976863662462, 5.4779344540405557, 26.949956871420532, 6.0285336594981533
2100-Jan-02 02:00:00, 33.650569480223808, 5.9143998664622854, 6.6995987740369358, 5.495077734610347, 26.950970706186876, 6.0287604478764516
2100-Jan-02 03:00:00, 33.673565734817302, 5.9184416716144046, 6.7214908640170989, 5.5130338451583816, 26.952074870800203, 6.0290074424660469
2100-Jan-02 04:00:00, 33.698331902155076, 5.9227945553562797, 6.7450574618271641, 5.5323634037296294, 26.95327444032791, 6.0292757785271833
2100-Jan-02 05:00:00, 33.724019937755763, 5.9273094660003824, 6.7694447959608146, 5.5523661384193028, 26.954575141794951, 6.0295667371588593
2100-Jan-02 06:00:00, 33.749178780116893, 5.9317313660216717, 6.7931954344360168, 5.5718466489796725, 26.955983345680874, 6.0298817433967624
2100-Jan-02 07:00:00, 33.772813915682072, 5.935885460433437, 6.8153078899190485, 5.5899835055110305, 26.957506025763021, 6.030222357230457
2100-Jan-02 08:00:00, 33.796924392632874, 5.9401231005049366, 6.8377737368698641, 5.6084102172489043, 26.959150655763011, 6.0305902504838542
2100-Jan-02 09:00:00, 33.821602185158731, 5.9444604515534918, 6.8606771603397707, 5.6271958336120163, 26.960925024818959, 6.0309871655375291
2100-Jan-02 10:00:00, 33.846289738962021, 5.9487995182371405, 6.8834527165461719, 5.6458765719702848, 26.962837022415847, 6.0314148672190093
2100-Jan-02 11:00:00, 33.870650020703465, 5.9530810638188063, 6.9057555636999002, 5.6641695896488677, 26.964894457003563, 6.0318751022287884
2100-Jan-02 12:00:00, 33.890499625799983, 5.9565698161206404, 6.9233947129101718, 5.6786373957596554, 26.967104912889813, 6.0323695671281818
2100-Jan-02 13:00:00, 33.900169601094348, 5.9582694040168658, 6.9306939903753673, 5.6846243359378006, 26.969475610718984, 6.0328998771293385
2100-Jan-02 14:00:00, 33.900802860204713, 5.958380705182214, 6.9287896861383222, 5.6830624066095163, 26.972013174066394, 6.0334675138838598
2100-Jan-02 15:00:00, 33.900021941351604, 5.9582434514467835, 6.9252987841791533, 5.6801991340052105, 26.974723157172448, 6.0340737198399381
2100-Jan-02 16:00:00, 33.903666618024232, 5.9588840371949248, 6.9260572685444997, 5.6808212504466038, 26.977609349479732, 6.0347193426717398
