Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 27.602589203331576, 6.0710397227228174, null, null, 27.602589203331576, 6.0710397227228174
2100-Jan-01 01:00:00, 27.603394187043339, 6.0712167745223518, null, null, 27.603394187043339, 6.0712167745223518
2100-Jan-01 02:00:00, 27.605609453143476, 6.0717040102809703, null, null, 27.605609453143476, 6.0717040102809703
2100-Jan-01 03:00:00, 27.609637796217495, 6.0725900224821805, null, null, 27.609637796217495, 6.0725900224821805
2100-Jan-01 04:00:00, 27.615523022694969, 6.0738844461124692, null, null, 27.615523022694969, 6.0738844461124692
2100-Jan-01 05:00:00, 27.623057016756455, 6.0755415072265961, null, null, 27.623057016756455, 6.0755415072265961
2100-Jan-01 06:00:00, 27.632127696734742, 6.0775365540700141, null, null, 27.632127696734742, 6.0775365540700141
2100-Jan-01 07:00:00, 27.642542675048343, 6.079827272038079, null, null, 27.642542675048343, 6.079827272038079
2100-Jan-01 08:00:00, 27.654032923721271, 6.0823544898872246, null, null, 27.654032923721271, 6.0823544898872246
2100-Jan-01 09:00:00, 27.666899734462188, 6.0851844750939543, null, null, 27.666899734462188, 6.0851844750939543
2100-Jan-01 10:00:00, 27.681238064889161, 6.0883381130711181, null, null, 27.681238064889161, 6.0883381130711181
2100-Jan-01 11:00:00, 27.695397210651326, 6.091452340353519, null, null, 27.695397210651326, 6.091452340353519
2100-Jan-01 12:00:00, 27.707012598633256, 6.0940070819146701, null, null, 27.707012598633256, 6.0940070819146701
2100-Jan-01 13:00:00, 27.714902274382911, 6.0957423732861695, null, null, 27.714902274382911, 6.0957423732861695
2100-Jan-01 14:00:00, 27.719760674050661, 6.0968109519312552, null, null, 27.719760674050661, 6.0968109519312552
2100-Jan-01 15:00:00, 27.724596739026079, 6.0978746181819528, null, null, 27.724596739026079, 6.0978746181819528
2100-Jan-01 16:00:00, 27.731432424467751, 6.0993780901041958, null, null, 27.731432424467751, 6.0993780901041958
2100-Jan-01 17:00:00, 27.741055879313208, 6.101494716780274, null, null, 27.741055879313208, 6.101494716780274
2100-Jan-01 18:00:00, 27.752668697195755, 6.1040488930620116, null, null, 27.752668697195755, 6.1040488930620116
2100-Jan-01 19:00:00, 27.7653873700167, 6.1068462961370447, null, null, 27.7653873700167, 6.1068462961370447
2100-Jan-01 20:00:00, 27.77846807526894, 6.1097233262809407, null, null, 27.77846807526894, 6.1097233262809407
2100-Jan-01 21:00:00, 27.791548093328434, 6.1126002052805211, null, null, 27.791548093328434, 6.1126002052805211
2100-Jan-01 22:00:00, 27.804809400707864, 6.1155169578823401, null, null, 27.804809400707864, 6.1155169578823401
2100-Jan-01 23:00:00, 27.818495956274877, 6.1185272415156078, null, null, 27.818495956274877, 6.1185272415156078
2100-Jan-02 00:00:00, 27.83424745553976, 6.1219916983107696, null, null, 27.83424745553976, 6.1219916983107696
2100-Jan-02 01:00:00, 27.851932639776656, 6.1258814586232884, null, null, 27.851932639776656, 6.1258814586232884
2100-Jan-02 02:00:00, 27.871466996786296, 6.1301779344534992, null, null, 27.871466996786296, 6.1301779344534992
2100-Jan-02 03:00:00, 27.892209174026615, 6.1347400637897769, null, null, 27.892209174026615, 6.1347400637897769
2100-Jan-02 04:00:00, 27.914884391095654, 6.1397273547476443, null, null, 27.914884391095654, 6.1397273547476443
2100-Jan-02 05:00:00, 27.938749947623798, 6.1449764544107204, null, null, 27.938749947623798, 6.1449764544107204
2100-Jan-02 06:00:00, 27.962551445366078, 6.1502114646914317, null, null, 27.962551445366078, 6.1502114646914317
2100-Jan-02 07:00:00, 27.985603616230087, 6.155281664591139, null, null, 27.985603616230087, 6.155281664591139
2100-Jan-02 08:00:00, 28.009586149163216, 6.160556492579774, null, null, 28.009586149163216, 6.160556492579774
2100-Jan-02 09:00:00, 28.034233323165509, 6.1659775047652081, null, null, 28.034233323165509, 6.1659775047652081
2100-Jan-02 10:00:00, 28.058996972712681, 6.1714241351147372, null, null, 28.058996972712681, 6.1714241351147372
2100-Jan-02 11:00:00, 28.083894081795979, 6.1769001191650821, null, null, 28.083894081795979, 6.1769001191650821
2100-Jan-02 12:00:00, 28.10547317271681, 6.1816463231242675, null, null, 28.10547317271681, 6.1816463231242675
2100-Jan-02 13:00:00, 28.119310096007446, 6.184689679322446, null, null, 28.119310096007446, 6.184689679322446
2100-Jan-02 14:00:00, 28.126724209364127, 6.1863203733260264, null, null, 28.126724209364127, 6.1863203733260264
2100-Jan-02 15:00:00, 28.133347086140731, 6.187777039137095, null, null, 28.133347086140731, 6.187777039137095
2100-Jan-02 16:00:00, 28.142458677392312, 6.1897810841930889, null, null, 28.142458677392312, 6.1897810841930889
