Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 47.753761969322554, 2.9560839133191297, 28.759725127217028, 11.794506695873118, 18.99403684210553, 1.3848087519761976
2100-Jan-01 01:00:00, 47.754274649029412, 2.9561156495462169, 28.75961554090464, 11.794461753979915, 18.994659108124775, 1.3848541198691142
2100-Jan-01 02:00:00, 47.759664873739645, 2.9564493186834322, 28.764385012016941, 11.796417737867833, 18.995279861722704, 1.3848993774950933
2100-Jan-01 03:00:00, 47.769736895230224, 2.9570728033990874, 28.773837772948983, 11.800294362265817, 18.995899122281244, 1.3849445262672238
2100-Jan-01 04:00:00, 47.784480580931529, 2.9579854764603772, 28.787963669667146, 11.806087462954039, 18.996516911264383, 1.3849895677503921
2100-Jan-01 05:00:00, 47.803390764537738, 2.9591560667395713, 28.806257512530959, 11.813589859141626, 18.997133252006776, 1.3850345036458713
2100-Jan-01 06:00:00, 47.826320924290961, 2.9605755041531072, 28.828572754580705, 11.822741451189586, 18.997748169710256, 1.3850793357910653
2100-Jan-01 07:00:00, 47.853218205519767, 2.962240516857312, 28.854856514404492, 11.83352055216719, 18.998361691115271, 1.3851240661355546
2100-Jan-01 08:00:00, 47.882855920639692, 2.9640751696528302, 28.883882076247595, 11.845424079825943, 18.998973844392097, 1.3851686967331651
2100-Jan-01 09:00:00, 47.915588957859796, 2.9661014310565412, 28.916004298957809, 11.858597563548964, 18.999584658901984, 1.3852132297245539
2100-Jan-01 10:00:00, 47.951650547484761, 2.968333738639922, 28.951456382394497, 11.873136639761515, 19.00019416509026, 1.385257667329415
2100-Jan-01 11:00:00, 47.986072032962895, 2.9704645194475119, 28.985269638880077, 11.887003624868791, 19.000802394082815, 1.3853020118170611
2100-Jan-01 12:00:00, 48.010775439380026, 2.971993725510079, 29.009366061751031, 11.896885688054057, 19.001409377628995, 1.3853462655022595
2100-Jan-01 13:00:00, 48.022786745013207, 2.9727372570329571, 29.020771597141906, 11.901563154995854, 19.002015147871305, 1.3853904307284413
2100-Jan-01 14:00:00, 48.026885514367002, 2.9729909816747755, 29.024265777280174, 11.902996135695602, 19.002619737086828, 1.3854345098488499
2100-Jan-01 15:00:00, 48.035119122203966, 2.9735006637327266, 29.031895944596432, 11.906125305362703, 19.003223177607531, 1.3854785052207295
2100-Jan-01 16:00:00, 48.054859733466081, 2.9747226596757583, 29.051034231836361, 11.913974012400075, 19.00382550162972, 1.3855224191914346
2100-Jan-01 17:00:00, 48.088106246576544, 2.9767807065924168, 29.083679505453325, 11.927362001908344, 19.004426741123222, 1.3855662540918066
2100-Jan-01 18:00:00, 48.13066885062976, 2.9794154441285192, 29.125641922915573, 11.944570998571011, 19.005026927714191, 1.3856100122276309
2100-Jan-01 19:00:00, 48.180010257188826, 2.9824698074325768, 29.174384164502744, 11.964560434917457, 19.005626092686079, 1.3856536958797079
2100-Jan-01 20:00:00, 48.231491868534761, 2.9856566550620731, 29.225267601658139, 11.985427986244309, 19.006224266876622, 1.3856973072963414
2100-Jan-01 21:00:00, 48.283343231474177, 2.9888663912911757, 29.276521750878487, 12.006447568437693, 19.006821480595693, 1.3857408486873497
2100-Jan-01 22:00:00, 48.337270190226789, 2.9922046123797097, 29.329852426494401, 12.028318744461279, 19.007417763732384, 1.3857843222318738
2100-Jan-01 23:00:00, 48.393932440421608, 2.9957121552283961, 29.38591929478293, 12.051312046744961, 19.008013145638675, 1.3858277300698942
2100-Jan-02 00:00:00, 48.455934248774639, 2.9995502308209918, 29.447326593645126, 12.076495486238972, 19.008607655129509, 1.3858710743022387
2100-Jan-02 01:00:00, 48.521116923499406, 3.0035852104379859, 29.511915603003125, 12.102983761074109, 19.009201320496281, 1.3859143569915628
2100-Jan-02 02:00:00, 48.589323179540386, 3.0078073577192828, 29.57952901001298, 12.130712356468571, 19.009794169527403, 1.3859575801638524
2100-Jan-02 03:00:00, 48.659457455691225, 3.0121488545344439, 29.649071226219306, 12.159231966133238, 19.010386229471923, 1.3860007458057684
2100-Jan-02 04:00:00, 48.733281132360858, 3.016718734979996, 29.722303605353357, 12.189264930016954, 19.010977527007505, 1.386043855862314
2100-Jan-02 05:00:00, 48.807110307221194, 3.0212889557780658, 29.795542218746284, 12.219300450601324, 19.01156808847491, 1.3860869122539301
2100-Jan-02 06:00:00, 48.87882266342065, 3.0257281399136238, 29.866664723739998, 12.248468144578403, 19.012157939680655, 1.3861299168621064
2100-Jan-02 07:00:00, 48.94783690353421, 3.0300003035417102, 29.935089797446107, 12.27652960853268, 19.012747106088106, 1.3861728715433146
2100-Jan-02 08:00:00, 49.019460410973011, 3.0344339877044648, 30.006124798150335, 12.30566141656427, 19.013335612822676, 1.3862157781293869
2100-Jan-02 09:00:00, 49.090519792811769, 3.0388327510035507, 30.076596308017969, 12.334562134193714, 19.0139234847938, 1.3862586384364097
