Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 44.105791699947993, 2.9581746032775751, 19.778630194812237, 16.222629752962792, 24.327161505135756, 1.7769244229716561
2100-Jan-01 01:00:00, 44.107762046121188, 2.9583067543576163, 19.780172877361263, 16.22389507657584, 24.327589168759925, 1.7769556607277932
2100-Jan-01 02:00:00, 44.120627729194297, 2.9591696554745397, 19.792609415007117, 16.234095648791925, 24.32801831418718, 1.7769870067190028
2100-Jan-01 03:00:00, 44.144269128318513, 2.9607552836603115, 19.815818956279323, 16.253132346029627, 24.328450172039187, 1.7770185508333591
2100-Jan-01 04:00:00, 44.17578098028828, 2.9628687829674627, 19.846895259525343, 16.278621439899396, 24.328885720762941, 1.7770503645393876
2100-Jan-01 05:00:00, 44.212099346887996, 2.9653046551186466, 19.882773597039126, 16.308049210169887, 24.329325749848866, 1.7770825055036936
2100-Jan-01 06:00:00, 44.252496624894562, 2.9680140997796456, 19.922725689416009, 16.340818314809717, 24.329770935478557, 1.7771150231164856
2100-Jan-01 07:00:00, 44.295222364700408, 2.9708797143288579, 19.965000449968258, 16.375492495052704, 24.330221914732146, 1.7771479639118919
2100-Jan-01 08:00:00, 44.339395956937793, 2.9738424363128808, 20.00871660707254, 16.4113489231238, 24.33067934986525, 1.7771813762629285
2100-Jan-01 09:00:00, 44.388642773464611, 2.9771454193526812, 20.057498796152096, 16.451360561148373, 24.331143977312514, 1.7772153139608575
2100-Jan-01 10:00:00, 44.442685373972466, 2.9807700555320973, 20.111068733202025, 16.495299157810059, 24.331616640770445, 1.7772498386316484
2100-Jan-01 11:00:00, 44.487824391310632, 2.9837975285591107, 20.155726079548806, 16.531927558685044, 24.332098311761825, 1.7772850212380631
2100-Jan-01 12:00:00, 44.510528192612995, 2.9853202720769558, 20.17793809152797, 16.550146072447482, 24.332590101085025, 1.7773209429159442
2100-Jan-01 13:00:00, 44.509587690140755, 2.9852571925941831, 20.176494437840901, 16.548961973294702, 24.333093252299854, 1.7773576944984042
2100-Jan-01 14:00:00, 44.49637952471943, 2.9843713211927341, 20.162770427206976, 16.537705402892861, 24.333609097512454, 1.7773953732862295
2100-Jan-01 15:00:00, 44.495153208315926, 2.9842890721750743, 20.16101424064307, 16.536264961157372, 24.334138967672857, 1.7774340764957604
2100-Jan-01 16:00:00, 44.513018000193213, 2.9854872634236012, 20.178333921441375, 16.550470736090364, 24.334684078751835, 1.7774738929449283
2100-Jan-01 17:00:00, 44.548803836800971, 2.9878874187984392, 20.213558398113477, 16.579362203177062, 24.33524543868749, 1.7775148962563723
2100-Jan-01 18:00:00, 44.590281656511117, 2.9906693353707707, 20.254457841754803, 16.612908334772641, 24.335823814756314, 1.7775571424741292
2100-Jan-01 19:00:00, 44.631426281990983, 2.9934289046124682, 20.295006514765838, 16.646166760798749, 24.336419767225149, 1.777600672521668
2100-Jan-01 20:00:00, 44.668585297543345, 2.9959211590727803, 20.331551574369907, 16.676141383177416, 24.337033723173437, 1.7776455175940746
2100-Jan-01 21:00:00, 44.701993173502466, 2.9981618246725286, 20.364327116946342, 16.703024210093783, 24.337666056556124, 1.7776917050060717
2100-Jan-01 22:00:00, 44.734995100948773, 3.0003752633133089, 20.396677949639663, 16.729558685728069, 24.338317151309109, 1.7777392628014193
2100-Jan-01 23:00:00, 44.769746627489518, 3.0027060475317922, 20.430759188124981, 16.75751245745159, 24.338987439364537, 1.7777882225296582
2100-Jan-02 00:00:00, 44.819965603162018, 3.0060742332668458, 20.48028818590376, 16.798136635419748, 24.339677417258258, 1.7778386204591661
2100-Jan-02 01:00:00, 44.878064368486818, 3.0099709163427288, 20.537676716028315, 16.845207280206949, 24.340387652458507, 1.7778904980394217
2100-Jan-02 02:00:00, 44.943823738344875, 3.0143813960177113, 20.602704943531574, 16.898544080980621, 24.341118794813305, 1.7779439027371557
2100-Jan-02 03:00:00, 45.010108520236344, 3.0188271150676966, 20.668236918838545, 16.952294060727152, 24.341871601397795, 1.77799888985127
2100-Jan-02 04:00:00, 45.085815289102484, 3.0239047666033403, 20.743168322781433, 17.013753545588443, 24.342646966321052, 1.77805552469001
2100-Jan-02 05:00:00, 45.161518655742718, 3.0289821899517575, 20.818072711337386, 17.075190872159929, 24.343445944405332, 1.7781138843005662
2100-Jan-02 06:00:00, 45.229936603354503, 3.0335709803856861, 20.8856668374771, 17.13063224858686, 24.344269765877399, 1.7781740585421677
2100-Jan-02 07:00:00, 45.289239054068339, 3.0375483946175224, 20.944119212774755, 17.178575469795565, 24.345119841293585, 1.7782361504458231
2100-Jan-02 08:00:00, 45.357132649470003, 3.042102016758776, 21.011134902960265, 17.233542407283682, 24.345997746509742, 1.7783002751164845
2100-Jan-02 09:00:00, 45.426143747486677, 3.0467305897789827, 21.07923856384097, 17.289401709187146, 24.34690518364571, 1.778366556881781
2100-Jan-02 10:00:00, 45.494518981736206, 3.0513165154285238, 21.146675047919459, 17.344713786023178, 24.347843933816744, 1.7784351258393893
2100-Jan-02 11:00:00, 45.56303591969359, 3.0559119451430328, 21.214220101305688, 17.400114912488259, 24.348815818387898, 1.7785061150269454
2100-Jan-02 12:00:00, 45.604484059496407, 3.058691871084549, 21.254661391152027, 17.433285261771676, 24.34982266834438, 1.7785796581847677
2100-Jan-02 13:00:00, 45.594694235609708, 3.0580352677842564, 21.243827942320642, 17.424399558990029, 24.350866293289062, 1.778655887491349
2100-Jan-02 14:00:00, 45.55935595235858, 3.0556651298044626, 21.207407526325849, 17.394527170542855, 24.351948426032731, 1.7787349295160717
2100-Jan-02 15:00:00, 45.544664302457832, 3.054679761127435, 21.191593695794939, 17.381556509018157, 24.353070606662889, 1.7788168967512665
2100-Jan-02 16:00:00, 45.561317026499445, 3.0557966590094732, 21.207083012032879, 17.394261000683134, 24.354234014466567, 1.7789018753353809
2100-Jan-02 17:00:00, 45.603862614071119, 3.0586501907517953, 21.248423289276733, 17.428168708396271, 24.355439324794382, 1.7789899145979273
2100-Jan-02 18:00:00, 45.660790360952902, 3.0624683336431677, 21.304103694557956, 17.473838332150553, 24.35668666639495, 1.7790810239430668
2100-Jan-02 19:00:00, 45.71586625200311, 3.0661622725994384, 21.357890563906544, 17.517954858847229, 24.357975688096566, 1.7791751777202289
2100-Jan-02 20:00:00, 45.765156286156838, 3.0694681542446469, 21.405850591028404, 17.557292151434059, 24.35930569512843, 1.7792723251813967
2100-Jan-02 21:00:00, 45.811537079881433, 3.0725789131900783, 21.450861280482513, 17.594210367849829, 24.360675799398919, 1.7793724014578558
2100-Jan-02 22:00:00, 45.856239990269103, 3.0755771365322877, 21.494154947422182, 17.629720265274099, 24.362085042846925, 1.779475336570123
2100-Jan-02 23:00:00, 45.898817920807105, 3.0784328375167407, 21.535285438736004, 17.663455904475068, 24.363532482071104, 1.779581061609506
2100-Jan-03 00:00:00, 45.937849247941848, 3.0810506678789684, 21.57283200743111, 17.694251974599005, 24.365017240510738, 1.7796895125495404
2100-Jan-03 01:00:00, 45.968698222208531, 3.0831197079912895, 21.602159686269513, 17.718306829289297, 24.366538535939014, 1.7798006322541755
2100-Jan-03 02:00:00, 46.006036639496486, 3.0856239949225666, 21.637940951733938, 17.747654980096733, 24.368095687762551, 1.7799143710109528
2100-Jan-03 03:00:00, 46.045041444119796, 3.0882400464204611, 21.675353337930147, 17.778340992396775, 24.369688106189649, 1.7800306857398251
2100-Jan-03 04:00:00, 46.086525497472216, 3.0910223810830604, 21.715210223457252, 17.811032007428846, 24.371315274014965, 1.7801495386626565
2100-Jan-03 05:00:00, 46.1285089592606, 3.0938382110598801, 21.755532225758735, 17.844104515878225, 24.372976733501861, 1.7802708963450733
2100-Jan-03 06:00:00, 46.169088859194616, 3.09655990417005, 21.794416779601953, 17.875998014765379, 24.37467207959266, 1.7803947292005216
2100-Jan-03 07:00:00, 46.208504295479564, 3.0992034967256141, 21.832103339290409, 17.906908906898302, 24.376400956189155, 1.7805210112185847
2100-Jan-03 08:00:00, 46.24404969962147, 3.1015875262995793, 21.86588664735439, 17.934618313118758, 24.378163052267084, 1.7806497196811741
2100-Jan-03 09:00:00, 46.276073596424148, 3.1037353684438522, 21.896115500485038, 17.959412319951639, 24.379958095939109, 1.7807808347288732
2100-Jan-03 10:00:00, 46.31590456508215, 3.106406830747706, 21.934118721137438, 17.990582940565481, 24.381785843944712, 1.7809143385932473
2100-Jan-03 11:00:00, 46.359609392379276, 3.1093381126761779, 21.975963325422573, 18.02490430234791, 24.383646066956704, 1.7810502145235931
2100-Jan-03 12:00:00, 46.39952516190769, 3.1120152625727835, 22.013986622511332, 18.056091389855094, 24.385538539396361, 1.7811884460430047
2100-Jan-03 13:00:00, 46.430826340806206, 3.1141146320410873, 22.043363299901074, 18.080186433645892, 24.387463040905129, 1.7813290170558727
2100-Jan-03 14:00:00, 46.453608861570821, 3.1156426552717553, 22.064189501843789, 18.097268292194709, 24.389419359727032, 1.7814719120949434
2100-Jan-03 15:00:00, 46.47483655864874, 3.1170663965075813, 22.083429276662741, 18.113048947393981, 24.391407281985998, 1.7816171155381064
2100-Jan-03 16:00:00, 46.498602900297627, 3.1186604045860862, 22.105176337405521, 18.130886103515024, 24.393426562892106, 1.7817646095052158
2100-Jan-03 17:00:00, 46.526622029239327, 3.1205396470267424, 22.131145139375167, 18.152185973896955, 24.39547688986416, 1.7819143711644603
2100-Jan-03 18:00:00, 46.554829970758419, 3.1224315531233429, 22.157272116828057, 18.173615581387843, 24.397557853930362, 1.7820663706433877
2100-Jan-03 19:00:00, 46.577117384906693, 3.1239263695627502, 22.177448446369638, 18.190164408111578, 24.399668938537054, 1.7822205702114629
2100-Jan-03 20:00:00, 46.590324376391479, 3.1248121622282978, 22.188514853179633, 18.199241185350747, 24.401809523211845, 1.7823769245476346
2100-Jan-03 21:00:00, 46.595144995083061, 3.1251354810314731, 22.191166103709264, 18.201415767478071, 24.4039788913738, 1.7825353813108118
2100-Jan-03 22:00:00, 46.596968097588622, 3.1252577564815502, 22.190791865186132, 18.201108813308835, 24.40617623240249, 1.7826958812909945
2100-Jan-03 23:00:00, 46.6030505415089, 3.1256657058786099, 22.194649906635334, 18.204273217384625, 24.408400634873566, 1.7828583579151802
2100-Jan-04 00:00:00, 46.61708018730161, 3.1266066739528102, 22.206429109579712, 18.213934637122467, 24.410651077721894, 1.7830227366018943
2100-Jan-04 01:00:00, 46.639530363593778, 3.1281124068460864, 22.226603931965954, 18.230482227662364, 24.412926431627824, 1.7831889348624475
2100-Jan-04 02:00:00, 46.668702440242761, 3.1300689774673542, 22.253476959205791, 18.252523752629422, 24.41522548103697, 1.7833568639093225
2100-Jan-04 03:00:00, 46.703102232761481, 3.1323761708917277, 22.285555265025675, 18.278834699003998, 24.417546967735802, 1.7835264318390576
2100-Jan-04 04:00:00, 46.736096765459607, 3.1345891135668893, 22.316207117113937, 18.303975653800801, 24.419889648345666, 1.7836975478317727
2100-Jan-04 05:00:00, 46.763542976064635, 3.1364299303856948, 22.341290621958819, 18.32454939465126, 24.422252354105815, 1.7838701265178893
2100-Jan-04 06:00:00, 46.785040296663979, 3.1378717552659308, 22.360406257440324, 18.340228229527824, 24.424634039223651, 1.7840440915097695
2100-Jan-04 07:00:00, 46.802160734469368, 3.1390200227011338, 22.375126929065946, 18.352302271215507, 24.427033805403422, 1.7842193771933605
2100-Jan-04 08:00:00, 46.815687292935365, 3.1399272487179819, 22.386236393482179, 18.361414364732756, 24.429450899453183, 1.7843959285534003
2100-Jan-04 09:00:00, 46.826495055412082, 3.1406521251399804, 22.394610364920641, 18.368282779626508, 24.43188469049144, 1.7845736995085271
2100-Jan-04 10:00:00, 46.843805648639609, 3.1418131462956986, 22.409471012061235, 18.380471630627653, 24.434334636578374, 1.7847526504739291
2100-Jan-04 11:00:00, 46.853430263685809, 3.1424586690422278, 22.416630014395775, 18.386343515744564, 24.436800249290034, 1.7849327457737449
2100-Jan-04 12:00:00, 46.857670788079162, 3.1427430809319481, 22.418389721955798, 18.387786845436185, 24.439281066123367, 1.7851139516254486
2100-Jan-04 13:00:00, 46.863910704260363, 3.1431615919905269, 22.422134075197498, 18.390858001310281, 24.441776629062868, 1.7852962345742969
2100-Jan-04 14:00:00, 46.856834037844422, 3.1426869601097547, 22.412547578705865, 18.382995061274496, 24.444286459138556, 1.7854795596349726
2100-Jan-04 15:00:00, 46.830887306654986, 3.1409467133465898, 22.384077277779742, 18.35964343649913, 24.446810028875241, 1.785663888279202
2100-Jan-04 16:00:00, 46.80446881094138, 3.139174825345838, 22.355122080873912, 18.335894095204978, 24.449346730067468, 1.7858491760819444
2100-Jan-04 17:00:00, 46.790390965202718, 3.1382306245021874, 22.338495137844724, 18.322256510699411, 24.451895827357994, 1.7860353693306352
2100-Jan-04 18:00:00, 46.791597168613755, 3.1383115245418285, 22.337140760241613, 18.321145636681113, 24.454456408372142, 1.7862224013828569
2100-Jan-04 19:00:00, 46.806033042354628, 3.1392797383167195, 22.349005679061236, 18.330877361434741, 24.457027363293388, 1.7864101911744839
2100-Jan-04 20:00:00, 46.831677506471692, 3.1409997120331385, 22.372070092247512, 18.349795023168891, 24.459607414224177, 1.7865986453642775
2100-Jan-04 21:00:00, 46.867380870347539, 3.1433943359634293, 22.405185681354723, 18.376956759641342, 24.462195188992816, 1.7867876637249511
2100-Jan-04 22:00:00, 46.908695182919757, 3.1461652861151563, 22.443905862754917, 18.408715438611317, 24.464789320164844, 1.7869771463752389
2100-Jan-04 23:00:00, 46.951390412674343, 3.1490288543558158, 22.484001862367816, 18.441602577401422, 24.467388550306531, 1.7871670014686376
2100-Jan-05 00:00:00, 46.993333345455753, 3.1518419660529151, 22.523341519003417, 18.473869356137971, 24.469991826452333, 1.7873571520935776
2100-Jan-05 01:00:00, 47.041702245152308, 3.1550860672277499, 22.569103875251908, 18.511404097155435, 24.472598369900396, 1.787547541371481
2100-Jan-05 02:00:00, 47.090687343226861, 3.1583714968159775, 22.615479628488735, 18.549441952500601, 24.475207714738122, 1.7877381352707786
2100-Jan-05 03:00:00, 47.136714418997158, 3.1614585319049993, 22.658894698451384, 18.585051425895163, 24.477819720545774, 1.7879289235348177
2100-Jan-05 04:00:00, 47.175554691750932, 3.16406354825356, 22.695120126153729, 18.614763883000105, 24.480434565597204, 1.7881199191852222
2100-Jan-05 05:00:00, 47.208380596701538, 3.1662651810689302, 22.725327878253452, 18.639540582556965, 24.483052718448086, 1.7883111564466192
2100-Jan-05 06:00:00, 47.237205310460283, 3.168198454067813, 22.751530425714822, 18.661032173322525, 24.485674884745457, 1.7885026868614566
2100-Jan-05 07:00:00, 47.261357571625233, 3.1698183457608575, 22.773055637359946, 18.678687366601004, 24.488301934265287, 1.7886945739606217
2100-Jan-05 08:00:00, 47.275995173999789, 3.17080008947134, 22.785060354449428, 18.688533755289885, 24.490934819550365, 1.7888868873205239
2100-Jan-05 09:00:00, 47.281055035650837, 3.1711394542952176, 22.787480538915506, 18.690518814727284, 24.493574496735327, 1.7890796967799314
2100-Jan-05 10:00:00, 47.287682200372515, 3.1715839381059783, 22.791460349797962, 18.693783095306728, 24.496221850574553, 1.7892730669637966
2100-Jan-05 11:00:00, 47.296680367954487, 3.172187445033098, 22.797802741471529, 18.698985188214834, 24.498877626482958, 1.7894670523193255
