Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 26.746685904014484, 1.9500354260727966, null, null, 26.746685904014484, 1.9500354260727966
2100-Jan-01 01:00:00, 26.747323519431177, 1.9500819130527247, null, null, 26.747323519431177, 1.9500819130527247
2100-Jan-01 02:00:00, 26.748061668158403, 1.950135729670341, null, null, 26.748061668158403, 1.950135729670341
2100-Jan-01 03:00:00, 26.749001547608504, 1.950204253981372, null, null, 26.749001547608504, 1.950204253981372
2100-Jan-01 04:00:00, 26.750206634426142, 1.9502921139126668, null, null, 26.750206634426142, 1.9502921139126668
2100-Jan-01 05:00:00, 26.751706947155199, 1.9504014980428108, null, null, 26.751706947155199, 1.9504014980428108
2100-Jan-01 06:00:00, 26.753519606891757, 1.9505336546290282, null, null, 26.753519606891757, 1.9505336546290282
2100-Jan-01 07:00:00, 26.75567060638166, 1.95069047873882, null, null, 26.75567060638166, 1.95069047873882
2100-Jan-01 08:00:00, 26.758124746772459, 1.9508694041099777, null, null, 26.758124746772459, 1.9508694041099777
2100-Jan-01 09:00:00, 26.76087030568522, 1.9510695760925354, null, null, 26.76087030568522, 1.9510695760925354
2100-Jan-01 10:00:00, 26.763918436087899, 1.9512918078220978, null, null, 26.763918436087899, 1.9512918078220978
2100-Jan-01 11:00:00, 26.76711589343979, 1.9515249266141574, null, null, 26.76711589343979, 1.9515249266141574
2100-Jan-01 12:00:00, 26.770081182944779, 1.9517411186165627, null, null, 26.770081182944779, 1.9517411186165627
2100-Jan-01 13:00:00, 26.772487622729482, 1.9519165662532427, null, null, 26.772487622729482, 1.9519165662532427
2100-Jan-01 14:00:00, 26.774343926620727, 1.9520519048279907, null, null, 26.774343926620727, 1.9520519048279907
2100-Jan-01 15:00:00, 26.776105221816149, 1.9521803165511915, null, null, 26.776105221816149, 1.9521803165511915
2100-Jan-01 16:00:00, 26.778303225017655, 1.9523405675865886, null, null, 26.778303225017655, 1.9523405675865886
2100-Jan-01 17:00:00, 26.781287543233393, 1.9525581469257354, null, null, 26.781287543233393, 1.9525581469257354
