Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 731.55111850784806, 7.9342987397850822, 298.99199268234418, 5.2020307508829946, 432.55912582550394, 12.456673342105773
2100-Jan-01 01:00:00, 731.54129304152798, 7.9341921741834875, 298.95947527913609, 5.2014649948240788, 432.58181776239195, 12.457326815881814
2100-Jan-01 02:00:00, 731.57859619327587, 7.9345967588289286, 298.97406824239118, 5.2017188914014367, 432.60452795088469, 12.457980815260632
2100-Jan-01 03:00:00, 731.6795616321258, 7.9356918155296317, 299.05230932437075, 5.2030801737247145, 432.62725230775499, 12.458635222655001
2100-Jan-01 04:00:00, 731.84277602781754, 7.9374620155078546, 299.19278908504003, 5.2055243195639465, 432.64998694277756, 12.459289926035696
2100-Jan-01 05:00:00, 732.05821851279575, 7.939798673868169, 299.38549033943991, 5.2088770443045949, 432.67272817335578, 12.459944819352696
2100-Jan-01 06:00:00, 732.31920710420957, 7.9426293187808259, 299.62373456852043, 5.2130221513182606, 432.69547253568913, 12.460599802856789
2100-Jan-01 07:00:00, 732.6186835501353, 7.9458773974555612, 299.90046675724739, 5.2178368934877808, 432.71821679288797, 12.46125478333326
2100-Jan-01 08:00:00, 732.9459275669019, 7.9494266392298467, 300.20496962716118, 5.2231348055783791, 432.74095793974067, 12.461909674239164
2100-Jan-01 09:00:00, 733.30437304791553, 7.9533142876201453, 300.54067984316072, 5.2289756806177001, 432.76369320475487, 12.462564395762119
2100-Jan-01 10:00:00, 733.6958431876634, 7.9575601167329495, 300.90942313821887, 5.2353912837342431, 432.78642004944453, 12.463218874799766
2100-Jan-01 11:00:00, 734.07403464557137, 7.9616619271628171, 301.26489848018258, 5.2415760435449865, 432.80913616538879, 12.463873044875079
2100-Jan-01 12:00:00, 734.36460709020889, 7.9648134343138226, 301.53276762057226, 5.2462365814176524, 432.83183946963658, 12.464526846004027
2100-Jan-01 13:00:00, 734.52571887348995, 7.9665608296587429, 301.67119077482141, 5.2486449452623765, 432.85452809866848, 12.465180224521683
2100-Jan-01 14:00:00, 734.58209742422605, 7.9671723033517479, 301.70489702266906, 5.2492313855085762, 432.87720040155699, 12.465833132885265
2100-Jan-01 15:00:00, 734.63776956233744, 7.9677761153945204, 301.73791462955108, 5.2498058443921733, 432.89985493278635, 12.466485529467361
2100-Jan-01 16:00:00, 734.77725693140815, 7.9692889754375624, 301.85476648655941, 5.2518388986823634, 432.92249044484873, 12.467137378342713
2100-Jan-01 17:00:00, 735.03672762021336, 7.9721031573957521, 302.09162173883783, 5.2559598394968869, 432.94510588137553, 12.467788649090419
2100-Jan-01 18:00:00, 735.38946622517494, 7.9759289098250958, 302.42176585491052, 5.2617038724009983, 432.96770037026442, 12.468439316596008
2100-Jan-01 19:00:00, 735.79749326159538, 7.9803543126697694, 302.80722004407789, 5.2684102210463806, 432.99027321751748, 12.469089360873992
2100-Jan-01 20:00:00, 736.22553901115305, 7.9849968356122716, 303.21271510963004, 5.2754652521240004, 433.01282390152301, 12.469738766903195
2100-Jan-01 21:00:00, 736.65441779029493, 7.9896483934744298, 303.61906572293844, 5.2825351685023847, 433.03535206735643, 12.470387524462634
2100-Jan-01 22:00:00, 737.0850984111861, 7.9943194938543414, 304.02724088933581, 5.2896368294809841, 433.05785752185028, 12.471035627989547
2100-Jan-01 23:00:00, 737.52524723759439, 7.9990932850363059, 304.44490700942737, 5.2969036194067813, 433.08034022816696, 12.471683076423096
