Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 969.15865661523787, 14.488801332479422, 588.75280470060272, 19.80400764807451, 380.40585191463515, 10.236636280003287
2100-Jan-01 01:00:00, 969.19455190261056, 14.489337962559507, 588.7751310383411, 19.804758644009976, 380.41942086426951, 10.237001417399069
2100-Jan-01 02:00:00, 969.34982987140029, 14.491659348873037, 588.91663149368571, 19.809518325963889, 380.43319837771463, 10.23737216720029
2100-Jan-01 03:00:00, 969.61998067452055, 14.495698069767188, 589.17280653411763, 19.818135342170784, 380.44717414040286, 10.237748251844243
2100-Jan-01 04:00:00, 970.00575724377518, 14.501465381478747, 589.5444238211229, 19.830635514628987, 380.46133342265233, 10.238129274958489
2100-Jan-01 05:00:00, 970.49472486708873, 14.508775386609328, 590.01906580038883, 19.846601151331576, 380.47565906669985, 10.238514774831462
2100-Jan-01 06:00:00, 971.08400568124398, 14.517585061461901, 590.59387195774093, 19.865936032533799, 380.49013372350299, 10.238904284604315
2100-Jan-01 07:00:00, 971.77308429605387, 14.527886701017296, 591.26834228676591, 19.888623339409904, 380.50474200928801, 10.239297390303145
2100-Jan-01 08:00:00, 972.5310451559501, 14.539218121566318, 592.01157282645397, 19.913623548622919, 380.51947232949607, 10.239693779920968
2100-Jan-01 09:00:00, 973.36743110459224, 14.551721987434343, 592.83311286259811, 19.941257871600406, 380.53431824199419, 10.240093280101428
2100-Jan-01 10:00:00, 974.2881319816214, 14.565486350991188, 593.73885268654749, 19.97172444136865, 380.54927929507392, 10.240495878689153
2100-Jan-01 11:00:00, 975.15628485695106, 14.578465128460712, 594.59192350918931, 20.000419372349977, 380.5643613477618, 10.240901733349233
2100-Jan-01 12:00:00, 975.77252560554848, 14.587677850978807, 595.19294914582076, 20.020636203946374, 380.57957645972778, 10.241311168604689
2100-Jan-01 13:00:00, 976.07467903710619, 14.592195007186291, 595.47973680782775, 20.030282943641566, 380.59494222927844, 10.241724658022006
2100-Jan-01 14:00:00, 976.18960041238392, 14.593913067448034, 595.57912028856424, 20.033625927652654, 380.61048012381963, 10.24214277928427
2100-Jan-01 15:00:00, 976.41700222053464, 14.597312696186274, 595.79078964234054, 20.040745896283937, 380.6262125781941, 10.242566136108074
2100-Jan-01 16:00:00, 976.93559982410147, 14.605065665835042, 596.29344033254881, 20.057653668159872, 380.6421594915526, 10.242995263975109
2100-Jan-01 17:00:00, 977.79299438607791, 14.617883607858499, 597.1346588579712, 20.085949920811508, 380.65833552810665, 10.243430557496023
2100-Jan-01 18:00:00, 978.88954091483254, 14.634276842029704, 598.21479139849646, 20.122282576762718, 380.67474951633608, 10.243872254243229
2100-Jan-01 19:00:00, 980.16077553434536, 14.653281641422838, 599.46936932636208, 20.164483090594988, 380.69140620798328, 10.244320482085051
2100-Jan-01 20:00:00, 981.49382914282171, 14.673210627009382, 600.7855195949254, 20.208754726800439, 380.70830954789631, 10.24477534717647
2100-Jan-01 21:00:00, 982.84144317843447, 14.693357289169988, 602.11597699228264, 20.253507615045443, 380.72546618615178, 10.245237028469553
2100-Jan-01 22:00:00, 984.2423001611221, 14.714299926764811, 603.49941196779207, 20.30004252174459, 380.74288819332997, 10.245705850780917
2100-Jan-01 23:00:00, 985.713337927613, 14.736291758345512, 604.95274347497525, 20.348928553460532, 380.76059445263775, 10.246182322253427
2100-Jan-02 00:00:00, 987.31902944153762, 14.760296646696561, 606.54041862054419, 20.402333531703469, 380.77861082099344, 10.246667138690965
2100-Jan-02 01:00:00, 989.01063685851273, 14.785585967108453, 608.21366733773573, 20.458616967005732, 380.796969520777, 10.247161167190558
2100-Jan-02 02:00:00, 990.78092201302172, 14.812051509907294, 609.96521375130885, 20.517534119150763, 380.81570826171287, 10.247665422512448
2100-Jan-02 03:00:00, 992.60180085248567, 14.839273422001284, 611.76693145662648, 20.57813889407651, 380.83486939585913, 10.248181044341029
2100-Jan-02 04:00:00, 994.51479507068143, 14.867872447546205, 613.66029594104486, 20.641826411877943, 380.85449912963657, 10.24870927608074
2100-Jan-02 05:00:00, 996.43559408500869, 14.896588153822208, 615.56094736391378, 20.705759042031548, 380.8746467210949, 10.249251443254666
2100-Jan-02 06:00:00, 998.30717085807373, 14.924567993715634, 617.41180720064119, 20.768016821645357, 380.8953636574326, 10.249808931371785
2100-Jan-02 07:00:00, 1000.1109696194839, 14.951534560767843, 619.19426683508198, 20.82797380860324, 380.91670278440188, 10.250383162499455
2100-Jan-02 08:00:00, 1001.9767198307793, 14.979427294287762, 621.03800260261733, 20.889991954333972, 380.93871722816192, 10.250975566250721
2100-Jan-02 09:00:00, 1003.8303218141646, 15.007138413311921, 622.86886275593758, 20.951577000196039, 380.96145905822698, 10.251587543804552
2100-Jan-02 10:00:00, 1005.6025030183961, 15.033632301818205, 624.61752502736454, 21.010397137817041, 380.98497799103154, 10.252220433019065
2100-Jan-02 11:00:00, 1007.2818791405218, 15.058738765893931, 626.27255871219711, 21.066067870067585, 381.00932042832477, 10.252875482554936
2100-Jan-02 12:00:00, 1008.4839229289763, 15.076709170971553, 627.44939421204174, 21.105653344741121, 381.03452871693457, 10.253553831955823
2100-Jan-02 13:00:00, 1008.6316766882975, 15.078918071289698, 627.57103637474052, 21.109745048935448, 381.06064031355697, 10.254256489173025
2100-Jan-02 14:00:00, 1008.1912819580201, 15.072334224866509, 627.10359589355232, 21.094021650608404, 381.08768606446779, 10.254984284272917
2100-Jan-02 15:00:00, 1007.8282454848274, 15.066906874761726, 626.71255916636085, 21.080868262167368, 381.1156863184666, 10.255737764837138
2100-Jan-02 16:00:00, 1007.8749650302577, 15.067605326153004, 626.73031969112355, 21.081465676847053, 381.14464533913417, 10.256517045597692
2100-Jan-02 17:00:00, 1008.3884753991858, 15.075282242276884, 627.21392833278605, 21.09773292714581, 381.17454706639984, 10.257321694381671
2100-Jan-02 18:00:00, 1009.2431280634796, 15.088059193271135, 628.03777303835238, 21.125444772795799, 381.20535502512729, 10.258150729651332
2100-Jan-02 19:00:00, 1010.2794492714073, 15.103552066389287, 629.04243252508638, 21.159238725028619, 381.23701674632093, 10.259002739477751
2100-Jan-02 20:00:00, 1011.4855000243366, 15.121582375087256, 630.21602900990365, 21.198715248240926, 381.26947101443295, 10.259876076564245
2100-Jan-02 21:00:00, 1012.8818329213531, 15.142457378164185, 631.57917729342557, 21.244567767017553, 381.30265562792749, 10.260769067081416
2100-Jan-02 22:00:00, 1014.4018873902382, 15.165182003346963, 633.06537338319345, 21.29455927192982, 381.33651400704485, 10.2616801884806
2100-Jan-02 23:00:00, 1015.9606204525974, 15.188484868689736, 634.58962042777318, 21.345830705182294, 381.37100002482413, 10.262608199495613
2100-Jan-03 00:00:00, 1017.4757799663344, 15.211136314902085, 636.06969898895306, 21.395616433439272, 381.40608097738129, 10.26355222007226
2100-Jan-03 01:00:00, 1018.793599469383, 15.23083755250793, 637.35186075410218, 21.438744790876132, 381.44173871528079, 10.26451176181329
2100-Jan-03 02:00:00, 1020.0449826079212, 15.249545574730437, 638.56701357241138, 21.479619153622671, 381.47796903550983, 10.265486711616576
2100-Jan-03 03:00:00, 1021.232536758059, 15.267299361518043, 639.71775723735095, 21.518326971503939, 381.51477952070815, 10.266477273529253
2100-Jan-03 04:00:00, 1022.4538987038611, 15.285558570644421, 640.90171231542342, 21.558151928997002, 381.55218638843775, 10.26748388396228
