Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 3273.7011230570288, 7.7661496973157416, 1358.5886799266716, 15.275480686511131, 1915.112443130357, 5.7580834717927543
2100-Jan-01 01:00:00, 3273.8173821842479, 7.766425497015141, 1358.7461854189282, 15.277251621408892, 1915.0711967653197, 5.7579594581800571
2100-Jan-01 02:00:00, 3274.7317561059144, 7.7685946518915499, 1359.6985110920905, 15.287959227502331, 1915.0332450138242, 5.7578453503354785
2100-Jan-01 03:00:00, 3276.4400074457581, 7.7726471096838718, 1361.4414176322502, 15.307555839476192, 1914.9985898135078, 5.7577411540848251
2100-Jan-01 04:00:00, 3278.7224473584292, 7.7780617059987547, 1363.7552665494459, 15.333571921435624, 1914.9671808089834, 5.757646718026793
2100-Jan-01 05:00:00, 3281.3494755506972, 7.7842937636708882, 1366.4105228918606, 15.363426665241144, 1914.9389526588363, 5.7575618457022548
2100-Jan-01 06:00:00, 3284.2691514214521, 7.7912200648289947, 1369.3552874883014, 15.396536535346701, 1914.9138639331507, 5.757486412545723
2100-Jan-01 07:00:00, 3287.3501504365595, 7.7985290703457419, 1372.4582214388911, 15.431424804573492, 1914.8919289976686, 5.7574204617500362
2100-Jan-01 08:00:00, 3290.5339177931055, 7.8060818715829168, 1375.6606791046152, 15.467432082526653, 1914.8732386884901, 5.7573642664280591
2100-Jan-01 09:00:00, 3294.0982998785366, 7.8145375991564947, 1379.2403304203858, 15.507680389719564, 1914.8579694581506, 5.7573183571117887
2100-Jan-01 10:00:00, 3298.0185823109487, 7.8238376235269049, 1383.1721995024568, 15.551888906331307, 1914.8463828084919, 5.7572835200471912
2100-Jan-01 11:00:00, 3301.2690910211077, 7.8315487542277893, 1386.430271578407, 15.588521492637064, 1914.8388194427007, 5.7572607796113964
2100-Jan-01 12:00:00, 3302.8553215082457, 7.8353117438699389, 1388.0196302861434, 15.606391668211673, 1914.8356912221022, 5.7572513741295461
2100-Jan-01 13:00:00, 3302.7006575675205, 7.8349448370353514, 1387.8631933238644, 15.604632747479256, 1914.8374642436561, 5.7572567049946564
2100-Jan-01 14:00:00, 3301.6530403860211, 7.8324595912688082, 1386.8084198696613, 15.592773255517942, 1914.8446205163598, 5.7572782214417568
2100-Jan-01 15:00:00, 3301.507783379775, 7.8321150003569668, 1386.650186393656, 15.590994135433702, 1914.8575969861192, 5.7573172372166859
2100-Jan-01 16:00:00, 3302.7755215732795, 7.8351224357390237, 1387.8988009487946, 15.605033106760141, 1914.876720624485, 5.7573747354102718
