Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 5313.027464433073, 12.541436769446527, 3823.9217420923956, 42.875365700407684, 1489.1057223406776, 4.4523890545235858
2100-Jan-01 01:00:00, 5320.9699673565683, 12.560185100576563, 3831.8600157307656, 42.964372852810541, 1489.1099516258032, 4.4524016999808689
2100-Jan-01 02:00:00, 5333.6217081372706, 12.590049619080709, 3844.5068203522951, 43.106173969481141, 1489.1148877849751, 4.4524164589739597
2100-Jan-01 03:00:00, 5351.5914740741755, 12.632467371439063, 3862.4710096981194, 43.307595766176206, 1489.1204643760559, 4.452433132842522
2100-Jan-01 04:00:00, 5371.3817223257665, 12.67918238444445, 3882.2550471862937, 43.529422440346558, 1489.126675139473, 4.4524517028705892
2100-Jan-01 05:00:00, 5390.398583266312, 12.724071811543368, 3901.2649922393311, 43.742569675323089, 1489.1335910269809, 4.4524723812021412
2100-Jan-01 06:00:00, 5408.4873370951373, 12.766770435614285, 3919.3459665103414, 43.945300912093913, 1489.1413705847961, 4.4524956418864203
2100-Jan-01 07:00:00, 5424.2549797948277, 12.803990061382303, 3935.1047239552431, 44.121994509401809, 1489.1502558395846, 4.4525222085771352
2100-Jan-01 08:00:00, 5438.8795849719581, 12.838511539453878, 3949.7190306304337, 44.285856059249802, 1489.1605543415246, 4.4525530008416654
2100-Jan-01 09:00:00, 5456.2062622046687, 12.879411276636365, 3967.0336487743971, 44.479994599459346, 1489.1726134302717, 4.4525890572169375
2100-Jan-01 10:00:00, 5475.5539532456351, 12.92508163039407, 3986.3671589690143, 44.69676977839206, 1489.186794276621, 4.4526314575946424
2100-Jan-01 11:00:00, 5487.8797603124776, 12.954176780192567, 3998.6763050363083, 44.834784930032214, 1489.2034552761693, 4.4526812735686949
2100-Jan-01 12:00:00, 5486.6803343941592, 12.951345527311808, 3997.457388339853, 44.821117940317549, 1489.2229460543065, 4.4527395505103122
2100-Jan-01 13:00:00, 5473.392664802017, 12.919979894606401, 3984.1470696536117, 44.671877234112799, 1489.2455951484058, 4.452807270738063
2100-Jan-01 14:00:00, 5455.5443199967449, 12.877848757639187, 3966.2726471871433, 44.471461940175828, 1489.2716728096018, 4.4528852422961167
2100-Jan-01 15:00:00, 5446.9678417264604, 12.857603923474231, 3957.6665071713128, 44.374966398338266, 1489.3013345551474, 4.4529739301771878
2100-Jan-01 16:00:00, 5447.8934202313012, 12.859788757708822, 3958.5588445601279, 44.384971648041066, 1489.3345756711735, 4.4530733202869257
2100-Jan-01 17:00:00, 5455.5870883180014, 12.877949712546792, 3966.2158575091471, 44.470825191210679, 1489.3712308088541, 4.4531829182364548
2100-Jan-01 18:00:00, 5461.3926746933239, 12.891653837910924, 3971.9816491966981, 44.535473592467149, 1489.4110254966261, 4.4533019033626324
2100-Jan-01 19:00:00, 5462.8739969114549, 12.895150508887731, 3973.4203459600867, 44.551604845673317, 1489.453650951368, 4.4534293524116082
2100-Jan-01 20:00:00, 5459.7717245516651, 12.887827574289265, 3970.272900073935, 44.516314402381674, 1489.4988244777296, 4.45356442013132
2100-Jan-01 21:00:00, 5453.8703560644999, 12.873897354611229, 3964.3240405185115, 44.449613369739836, 1489.5463155459881, 4.4537064172436338
2100-Jan-01 22:00:00, 5448.0249576137885, 12.860099252577582, 3958.4290153008906, 44.383515949587007, 1489.5959423128979, 4.4538548000417695
2100-Jan-01 23:00:00, 5443.7192693497636, 12.849935646709985, 3954.071715026626, 44.334660126867327, 1489.6475543231377, 4.4540091186680604
2100-Jan-02 00:00:00, 5451.2458163532228, 12.867702111116211, 3961.5447997974734, 44.418451392502618, 1489.7010165557494, 4.4541689694132023
2100-Jan-02 01:00:00, 5463.2334835990459, 12.895999079611686, 3973.4772779342675, 44.55224319012116, 1489.756205664778, 4.4543339834758582
2100-Jan-02 02:00:00, 5479.8254511975119, 12.935164529801781, 3990.0124233871074, 44.737641965518698, 1489.8130278104047, 4.4545038802773052
2100-Jan-02 03:00:00, 5495.2843295399434, 12.971655315244927, 4005.4128779082544, 44.910318124729365, 1489.8714516316891, 4.4546785660491128
2100-Jan-02 04:00:00, 5516.9557468079565, 13.022810840261601, 4027.0242113693289, 45.152633184480038, 1489.9315354386279, 4.4548582151367198
2100-Jan-02 05:00:00, 5537.1475766002322, 13.070473789172459, 4047.1541399359508, 45.378338130090334, 1489.9934366642815, 4.4550432982610584
2100-Jan-02 06:00:00, 5551.2167361839402, 13.103684134215753, 4061.1593276081353, 45.53536998995763, 1490.0574085758051, 4.4552345726846214
2100-Jan-02 07:00:00, 5559.0004731981062, 13.122057697357794, 4068.8766850224165, 45.621900139812894, 1490.1237881756897, 4.4554330460364699
2100-Jan-02 08:00:00, 5574.0882368606444, 13.157672464123596, 4083.8952703314776, 45.790294626117529, 1490.1929665291671, 4.4556398875919161
2100-Jan-02 09:00:00, 5589.5877275339999, 13.194259115244785, 4099.3223819565919, 45.963269675618896, 1490.265345577408, 4.4558562991450579
2100-Jan-02 10:00:00, 5606.6605855244215, 13.234559710412791, 4116.3192782448132, 46.153845789169438, 1490.3413072796081, 4.4560834227443866
2100-Jan-02 11:00:00, 5626.6366194278098, 13.281713271688499, 4136.2154129594364, 46.376929343030888, 1490.4212064683734, 4.4563223193305639
2100-Jan-02 12:00:00, 5633.4394264222283, 13.297771342975798, 4142.9340517390301, 46.452261453391081, 1490.5053746831984, 4.4565739801984279
2100-Jan-02 13:00:00, 5613.6103588204187, 13.250964696635281, 4123.0162346491279, 46.228934787920124, 1490.5941241712912, 4.4568393389593615
2100-Jan-02 14:00:00, 5585.564705158391, 13.18476274409227, 4094.876976065048, 45.913425976887133, 1490.6877290933428, 4.4571192153470074
2100-Jan-02 15:00:00, 5579.3868348674532, 13.170179840062071, 4088.6004764676022, 45.843051310848153, 1490.786358399851, 4.4574141145191506
2100-Jan-02 16:00:00, 5593.2572333465378, 13.202921008192099, 4102.3672393053657, 45.997409854508334, 1490.889994041172, 4.4577239825078054
2100-Jan-02 17:00:00, 5618.2799907938006, 13.26198739405644, 4127.2815735279637, 46.276759502075009, 1490.9984172658367, 4.4580481652515225
2100-Jan-02 18:00:00, 5646.3510539126701, 13.328249325791816, 4155.239763867753, 46.590238102315439, 1491.1112900449173, 4.4583856520522192
2100-Jan-02 19:00:00, 5666.0845398640213, 13.374830351008866, 4174.8562642583393, 46.810186282412964, 1491.228275605682, 4.4587354359678084
2100-Jan-02 20:00:00, 5676.3653736861515, 13.399098327822569, 4185.0162406870668, 46.924104070032456, 1491.349132999085, 4.4590967965666382
2100-Jan-02 21:00:00, 5681.0315806761937, 13.410112940547711, 4189.5578294416955, 46.975026210141166, 1491.4737512344986, 4.4594694019894936
2100-Jan-02 22:00:00, 5682.6333022290537, 13.41389381495725, 4191.0311778880823, 46.991545992109401, 1491.6021243409716, 4.4598532343833801
2100-Jan-02 23:00:00, 5682.2280933303346, 13.412937316648945, 4190.4937952151677, 46.985520639035705, 1491.7342981151667, 4.4602484306791785
2100-Jan-03 00:00:00, 5679.8814676633665, 13.407398091109297, 4188.0111477807113, 46.957684186347407, 1491.8703198826556, 4.4606551323791708
2100-Jan-03 01:00:00, 5673.569517025494, 13.392498689525798, 4181.5593124195439, 46.885343584419317, 1492.0102046059499, 4.4610733842208949
2100-Jan-03 02:00:00, 5675.3720633992416, 13.396753612264611, 4183.2181469759626, 46.903943112087482, 1492.1539164232793, 4.4615030789785495
2100-Jan-03 03:00:00, 5679.3371528739954, 13.406113232418226, 4187.0357917542797, 46.946748097917293, 1492.3013611197152, 4.4619439349518428
2100-Jan-03 04:00:00, 5684.9724562397205, 13.419415403602359, 4192.5200607919878, 47.00823995273295, 1492.4523954477329, 4.4623955238342399
2100-Jan-03 05:00:00, 5689.9703464697486, 13.431212956827924, 4197.3634930539429, 47.062546485000745, 1492.6068534158053, 4.4628573493152057
2100-Jan-03 06:00:00, 5693.1772423127004, 13.438782855856269, 4200.4126692422678, 47.09673508847564, 1492.7645730704326, 4.4633289271578063
2100-Jan-03 07:00:00, 5696.1632699626607, 13.445831394041793, 4203.2378574663371, 47.128412247802956, 1492.9254124963231, 4.4638098330388516
2100-Jan-03 08:00:00, 5697.1128408109598, 13.448072862363155, 4204.0235870856768, 47.137222167838715, 1493.089253725283, 4.4642997142363754
2100-Jan-03 09:00:00, 5696.2197343961379, 13.445964678713652, 4202.9637352822656, 47.125338678394016, 1493.2559991138719, 4.4647982787989227
2100-Jan-03 10:00:00, 5701.9419986879011, 13.459472121743756, 4208.5164352295742, 47.187597808397875, 1493.4255634583269, 4.4653052719693624
2100-Jan-03 11:00:00, 5712.2543981441449, 13.483814609447339, 4218.6565333109374, 47.301292711902498, 1493.597864833207, 4.4658204487926643
2100-Jan-03 12:00:00, 5722.5768541623238, 13.50818083573245, 4228.8040282965594, 47.415070552505888, 1493.7728258657642, 4.4663435779262359
2100-Jan-03 13:00:00, 5729.9755895374929, 13.525645599937551, 4236.0252000956089, 47.496037267452387, 1493.950389441884, 4.4668744886002987
2100-Jan-03 14:00:00, 5734.3205125336926, 13.535901819652155, 4240.1899798389359, 47.542734471684149, 1494.1305326947565, 4.4674131124436585
2100-Jan-03 15:00:00, 5740.4401740511967, 13.550347321484391, 4246.1269096573005, 47.609301743262456, 1494.3132643938964, 4.4679594756769454
2100-Jan-03 16:00:00, 5750.2751804005557, 13.573562919574803, 4255.7765727709411, 47.717497690456888, 1494.4986076296143, 4.4685136473396154
2100-Jan-03 17:00:00, 5763.6799969615149, 13.605205078481511, 4268.9934140186706, 47.865690289605261, 1494.6865829428439, 4.4690756888485472
2100-Jan-03 18:00:00, 5773.6003456827311, 13.628622127809953, 4278.723140560106, 47.974783940512651, 1494.8772051226247, 4.4696456444226023
2100-Jan-03 19:00:00, 5775.3073636842255, 13.632651555188856, 4280.2368717925874, 47.991756510701613, 1495.0704918916376, 4.4702235670521553
2100-Jan-03 20:00:00, 5768.4847110087585, 13.616546638039063, 4273.218242603426, 47.913060785868034, 1495.2664684053325, 4.4708095319513754
2100-Jan-03 21:00:00, 5755.6322366161767, 13.586208286505114, 4260.167083910821, 47.766725886908176, 1495.4651527053554, 4.4714035930643341
2100-Jan-03 22:00:00, 5741.2623437966995, 13.552288058652795, 4245.5958199413581, 47.603346949381582, 1495.666523855341, 4.4720056877918219
2100-Jan-03 23:00:00, 5729.9606815545667, 13.525610409544413, 4234.0901938410416, 47.47434119038995, 1495.8704877135253, 4.4726155346523058
2100-Jan-04 00:00:00, 5723.5314992432432, 13.510434281813758, 4227.4546418277314, 47.399940682643404, 1496.0768574155118, 4.4732325749258903
2100-Jan-04 01:00:00, 5721.8219995650561, 13.506398996420469, 4225.5366400320981, 47.37843526648998, 1496.285359532958, 4.4738559910686364
2100-Jan-04 02:00:00, 5723.5894982514856, 13.510571188859588, 4227.0938330838371, 47.395895148271691, 1496.495665167648, 4.4744847996830623
2100-Jan-04 03:00:00, 5728.8416640984569, 13.522968961375048, 4232.1342296034927, 47.45241012389905, 1496.7074344949642, 4.4751179847020177
2100-Jan-04 04:00:00, 5733.1014152008393, 13.533024132266172, 4236.1810545472927, 47.497784770948186, 1496.9203606535461, 4.4757546286176701
2100-Jan-04 05:00:00, 5733.9670810940734, 13.535067542381428, 4236.8328781227438, 47.505093281962409, 1497.1342029713296, 4.476394011826538
2100-Jan-04 06:00:00, 5731.6373249151102, 13.529568137380741, 4234.2885235121303, 47.476564943319715, 1497.3488014029801, 4.4770356557970521
2100-Jan-04 07:00:00, 5727.3812040262255, 13.519521535632794, 4229.8171359436519, 47.426429927459829, 1497.5640680825732, 4.4776792978122861
2100-Jan-04 08:00:00, 5721.8207887544795, 13.506396138294026, 4224.0408260226332, 47.361663591492125, 1497.7799627318461, 4.4783248174412362
2100-Jan-04 09:00:00, 5715.5438896784244, 13.491579476156003, 4217.5474252471422, 47.288856941234641, 1497.9964644312822, 4.4789721521350687
2100-Jan-04 10:00:00, 5717.5142422605732, 13.49623050656907, 4219.3006934438117, 47.308515297281957, 1498.2135488167612, 4.4796212290456694
2100-Jan-04 11:00:00, 5717.0128418554768, 13.495046947568333, 4218.5816661273475, 47.300453270592804, 1498.4311757281291, 4.4802719280951777
2100-Jan-04 12:00:00, 5716.0747290443487, 13.492832526020141, 4217.4254352095386, 47.287489139321629, 1498.6492938348106, 4.4809240958064498
2100-Jan-04 13:00:00, 5718.5100464183452, 13.498581108925833, 4219.642192776967, 47.312344326687636, 1498.8678536413784, 4.4815775841893917
2100-Jan-04 14:00:00, 5713.1414570393554, 13.485908517886459, 4214.0546442686618, 47.249694460445532, 1499.086812770694, 4.4822322665374124
2100-Jan-04 15:00:00, 5696.9470440737205, 13.447681498058982, 4197.6409087330421, 47.065656982415348, 1499.3061353406783, 4.4828880355639882
2100-Jan-04 16:00:00, 5680.5179542157475, 13.408900521861769, 4180.9921733654728, 46.878984590698657, 1499.5257808502749, 4.4835447701719691
2100-Jan-04 17:00:00, 5670.1848813637253, 13.384509234469553, 4170.4392081096357, 46.760660452527318, 1499.7456732540898, 4.4842022429875179
2100-Jan-04 18:00:00, 5666.8444282069113, 13.376624072510966, 4166.8787581567112, 46.720739239676838, 1499.9656700502001, 4.4848600279334336
