Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2092.0465146359115, 6.2551670197585567, null, null, 2092.0465146359115, 6.2551670197585567
2100-Jan-01 01:00:00, 2092.0618675305782, 6.2552129245315644, null, null, 2092.0618675305782, 6.2552129245315644
2100-Jan-01 02:00:00, 2092.1731326798781, 6.2555456045592219, null, null, 2092.1731326798781, 6.2555456045592219
2100-Jan-01 03:00:00, 2092.3783034946669, 6.2561590601899191, null, null, 2092.3783034946669, 6.2561590601899191
2100-Jan-01 04:00:00, 2092.6805838568184, 6.2570628709507323, null, null, 2092.6805838568184, 6.2570628709507323
2100-Jan-01 05:00:00, 2093.0734937637289, 6.2582376617951283, null, null, 2093.0734937637289, 6.2582376617951283
2100-Jan-01 06:00:00, 2093.5550681190016, 6.2596775571337782, null, null, 2093.5550681190016, 6.2596775571337782
2100-Jan-01 07:00:00, 2094.1272693381238, 6.261388424540157, null, null, 2094.1272693381238, 6.261388424540157
2100-Jan-01 08:00:00, 2094.7637976887445, 6.2632916284689832, null, null, 2094.7637976887445, 6.2632916284689832
2100-Jan-01 09:00:00, 2095.4698127269935, 6.2654025958646953, null, null, 2095.4698127269935, 6.2654025958646953
2100-Jan-01 10:00:00, 2096.2509745052921, 6.2677382501431849, null, null, 2096.2509745052921, 6.2677382501431849
2100-Jan-01 11:00:00, 2096.9979355807945, 6.2699716451713732, null, null, 2096.9979355807945, 6.2699716451713732
2100-Jan-01 12:00:00, 2097.5417499680138, 6.2715976366567476, null, null, 2097.5417499680138, 6.2715976366567476
2100-Jan-01 13:00:00, 2097.8206689598774, 6.27243159750173, null, null, 2097.8206689598774, 6.27243159750173
2100-Jan-01 14:00:00, 2097.9321153326036, 6.2727648193829229, null, null, 2097.9321153326036, 6.2727648193829229
2100-Jan-01 15:00:00, 2098.1214179396093, 6.2733308294672163, null, null, 2098.1214179396093, 6.2733308294672163
