Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 9251.6696905870995, 2.6096473730206489, 5130.9331886213713, 9.58835159660463, 4120.7365019657273, 1.3689888443834841
2100-Jan-01 01:00:00, 9251.8987757265168, 2.6097119917816158, 5131.0531372991309, 9.5885757488306727, 4120.8456384273868, 1.3690251016395489
2100-Jan-01 02:00:00, 9252.2259571576105, 2.609804280870041, 5131.2712622539675, 9.5889833664476019, 4120.954694903643, 1.3690613323229066
2100-Jan-01 03:00:00, 9252.7267744870514, 2.6099455479787737, 5131.6630993581794, 9.5897156059419899, 4121.0636751288712, 1.369097537674189
2100-Jan-01 04:00:00, 9253.4409319784954, 2.6101469926135041, 5132.268349273666, 9.5908466573083135, 4121.1725827048294, 1.3691337188899702
2100-Jan-01 05:00:00, 9254.3776284594205, 2.6104112095162382, 5133.096207365249, 9.5923937042415677, 4121.2814210941706, 1.3691698771206111
2100-Jan-01 06:00:00, 9255.5427453781558, 2.6107398576854797, 5134.1525517500259, 9.5943677313816593, 4121.39019362813, 1.369206013472813
2100-Jan-01 07:00:00, 9256.9483414167153, 2.6111363385513378, 5135.4494379266644, 9.5967912672542308, 4121.49890349005, 1.3692421290041439
2100-Jan-01 08:00:00, 9258.5605842221448, 2.6115911089163175, 5136.9530304968566, 9.5996010824849218, 4121.6075537252882, 1.3692782247263309
2100-Jan-01 09:00:00, 9260.3673873760017, 2.6121007595266095, 5138.6512401401542, 9.6027745853441662, 4121.7161472358475, 1.3693143016034757
2100-Jan-01 10:00:00, 9262.37413941263, 2.6126668103429305, 5140.5494526414468, 9.6063218404337132, 4121.8246867711832, 1.3693503605490012
2100-Jan-01 11:00:00, 9264.4455850993218, 2.6132511094992363, 5142.5124101626161, 9.6099900867721981, 4121.9331749367066, 1.3693864024284754
2100-Jan-01 12:00:00, 9266.2805938378988, 2.6137687161469283, 5144.2389796553298, 9.6132165866589681, 4122.041614182569, 1.3694224280558867
2100-Jan-01 13:00:00, 9267.6488921279015, 2.6141546763203278, 5145.4988853194927, 9.6155710157739946, 4122.1500068084079, 1.3694584381952186
2100-Jan-01 14:00:00, 9268.5929669597372, 2.6144209744575542, 5146.3346120032147, 9.6171327670164306, 4122.2583549565225, 1.3694944335581853
2100-Jan-01 15:00:00, 9269.4917781802433, 2.6146745049465232, 5147.1251175572106, 9.618610011976001, 4122.3666606230336, 1.3695304148079368
2100-Jan-01 16:00:00, 9270.7582919675988, 2.6150317544472732, 5148.28336632223, 9.6207744713417878, 4122.4749256453679, 1.369566382554902
2100-Jan-01 17:00:00, 9272.6476920169625, 2.6155647034219243, 5150.0645403020289, 9.6241030125145546, 4122.5831517149345, 1.3696023373609998
2100-Jan-01 18:00:00, 9275.282875235036, 2.6163080177848945, 5152.5915348579065, 9.6288252942893759, 4122.6913403771305, 1.3696382797396411
2100-Jan-01 19:00:00, 9278.6855294759516, 2.6172678150969557, 5155.8860364445081, 9.6349818428910936, 4122.7994930314444, 1.3696742101557635
2100-Jan-01 20:00:00, 9282.6856361526043, 2.618396137684083, 5159.7780252075518, 9.6422549363612742, 4122.9076109450534, 1.3697101290303477
2100-Jan-01 21:00:00, 9287.0773360596941, 2.6196349181971068, 5164.0616408077649, 9.6502598763925782, 4123.0156952519301, 1.3697460367401215
2100-Jan-01 22:00:00, 9291.7727372622467, 2.6209593646833431, 5168.6489903038337, 9.6588324144178959, 4123.1237469584121, 1.3697819336194099
2100-Jan-01 23:00:00, 9296.7330920742024, 2.6223585474619333, 5173.5013251135197, 9.6679001396268092, 4123.2317669606837, 1.3698178199659428
2100-Jan-02 00:00:00, 9301.853795340623, 2.623802960230023, 5178.5140393027505, 9.6772675713069223, 4123.3397560378726, 1.3698536960385614
