Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 7198.8570218358273, 2.3916003730167472, null, null, 7198.8570218358273, 2.3916003730167472
2100-Jan-01 01:00:00, 7198.8611703721353, 2.391601751241228, null, null, 7198.8611703721353, 2.391601751241228
2100-Jan-01 02:00:00, 7199.1487755009848, 2.391697299261053, null, null, 7199.1487755009848, 2.391697299261053
2100-Jan-01 03:00:00, 7199.7178910042203, 2.391886370504682, null, null, 7199.7178910042203, 2.391886370504682
2100-Jan-01 04:00:00, 7200.5853410615055, 2.3921745542919535, null, null, 7200.5853410615055, 2.3921745542919535
2100-Jan-01 05:00:00, 7201.738302294094, 2.3925575904469385, null, null, 7201.738302294094, 2.3925575904469385
2100-Jan-01 06:00:00, 7203.1747529161585, 2.3930348072930476, null, null, 7203.1747529161585, 2.3930348072930476
2100-Jan-01 07:00:00, 7204.901730763705, 2.3936085429363385, null, null, 7204.901730763705, 2.3936085429363385
2100-Jan-01 08:00:00, 7206.8446197957792, 2.3942540084761799, null, null, 7206.8446197957792, 2.3942540084761799
2100-Jan-01 09:00:00, 7209.0199049963639, 2.3949766805450037, null, null, 7209.0199049963639, 2.3949766805450037
2100-Jan-01 10:00:00, 7211.4444359928402, 2.3957821569168742, null, null, 7211.4444359928402, 2.3957821569168742
2100-Jan-01 11:00:00, 7213.7979447423222, 2.3965640383163915, null, null, 7213.7979447423222, 2.3965640383163915
2100-Jan-01 12:00:00, 7215.5850659847638, 2.3971577547656953, null, null, 7215.5850659847638, 2.3971577547656953
2100-Jan-01 13:00:00, 7216.6164423385526, 2.397500398058229, null, null, 7216.6164423385526, 2.397500398058229
2100-Jan-01 14:00:00, 7217.1612421764603, 2.3976813911647192, null, null, 7217.1612421764603, 2.3976813911647192
2100-Jan-01 15:00:00, 7217.9239942429176, 2.3979347922422964, null, null, 7217.9239942429176, 2.3979347922422964
2100-Jan-01 16:00:00, 7219.3715943504076, 2.3984157131644026, null, null, 7219.3715943504076, 2.3984157131644026
2100-Jan-01 17:00:00, 7221.6649508828214, 2.3991776108270102, null, null, 7221.6649508828214, 2.3991776108270102
2100-Jan-01 18:00:00, 7224.6464969111521, 2.4001681384304745, null, null, 7224.6464969111521, 2.4001681384304745
2100-Jan-01 19:00:00, 7228.1883087101814, 2.4013447972242274, null, null, 7228.1883087101814, 2.4013447972242274
2100-Jan-01 20:00:00, 7232.0266147447992, 2.4026199571720221, null, null, 7232.0266147447992, 2.4026199571720221
2100-Jan-01 21:00:00, 7236.0094814990434, 2.4039431430036386, null, null, 7236.0094814990434, 2.4039431430036386
2100-Jan-01 22:00:00, 7240.2013081650603, 2.4053357493837431, null, null, 7240.2013081650603, 2.4053357493837431
2100-Jan-01 23:00:00, 7244.6339129183007, 2.4068083469293158, null, null, 7244.6339129183007, 2.4068083469293158
2100-Jan-02 00:00:00, 7249.4190093215648, 2.4083980490595644, null, null, 7249.4190093215648, 2.4083980490595644
2100-Jan-02 01:00:00, 7254.4589497126963, 2.4100724153211601, null, null, 7254.4589497126963, 2.4100724153211601
2100-Jan-02 02:00:00, 7259.7146888278685, 2.4118184741177435, null, null, 7259.7146888278685, 2.4118184741177435
2100-Jan-02 03:00:00, 7265.1442766968794, 2.4136222888529808, null, null, 7265.1442766968794, 2.4136222888529808
2100-Jan-02 04:00:00, 7270.8252790609658, 2.415509628375331, null, null, 7270.8252790609658, 2.415509628375331
2100-Jan-02 05:00:00, 7276.5812635025259, 2.417421878402767, null, null, 7276.5812635025259, 2.417421878402767
2100-Jan-02 06:00:00, 7282.265777655417, 2.4193103846096879, null, null, 7282.265777655417, 2.4193103846096879
2100-Jan-02 07:00:00, 7287.8305322949391, 2.4211591043760703, null, null, 7287.8305322949391, 2.4211591043760703
2100-Jan-02 08:00:00, 7293.5407912174369, 2.4230561634963785, null, null, 7293.5407912174369, 2.4230561634963785
2100-Jan-02 09:00:00, 7299.2522459645788, 2.4249536198929009, null, null, 7299.2522459645788, 2.4249536198929009
2100-Jan-02 10:00:00, 7304.7591190272915, 2.4267831102732473, null, null, 7304.7591190272915, 2.4267831102732473
2100-Jan-02 11:00:00, 7310.012926522847, 2.4285285273482105, null, null, 7310.012926522847, 2.4285285273482105
2100-Jan-02 12:00:00, 7314.1082854925553, 2.4298890852825994, null, null, 7314.1082854925553, 2.4298890852825994
2100-Jan-02 13:00:00, 7315.5971587944778, 2.4303837179629615, null, null, 7315.5971587944778, 2.4303837179629615
2100-Jan-02 14:00:00, 7315.398563361161, 2.4303177406958816, null, null, 7315.398563361161, 2.4303177406958816
2100-Jan-02 15:00:00, 7315.1453985010621, 2.4302336344034505, null, null, 7315.1453985010621, 2.4302336344034505
2100-Jan-02 16:00:00, 7315.7059178239369, 2.4304198498287053, null, null, 7315.7059178239369, 2.4304198498287053
2100-Jan-02 17:00:00, 7317.3276588908875, 2.4309586237658585, null, null, 7317.3276588908875, 2.4309586237658585
2100-Jan-02 18:00:00, 7319.8122005996538, 2.4317840368639985, null, null, 7319.8122005996538, 2.4317840368639985
2100-Jan-02 19:00:00, 7322.8632942581953, 2.4327976695434286, null, null, 7322.8632942581953, 2.4327976695434286
2100-Jan-02 20:00:00, 7326.481202946673, 2.4339996092044967, null, null, 7326.481202946673, 2.4339996092044967
2100-Jan-02 21:00:00, 7330.7283796083366, 2.4354106039301167, null, null, 7330.7283796083366, 2.4354106039301167
2100-Jan-02 22:00:00, 7335.4381126501421, 2.4369752688853206, null, null, 7335.4381126501421, 2.4369752688853206
2100-Jan-02 23:00:00, 7340.3753361043891, 2.4386155105818883, null, null, 7340.3753361043891, 2.4386155105818883
2100-Jan-03 00:00:00, 7345.3101209282131, 2.4402549421179804, null, null, 7345.3101209282131, 2.4402549421179804
2100-Jan-03 01:00:00, 7349.844607011154, 2.4417613866236159, null, null, 7349.844607011154, 2.4417613866236159
2100-Jan-03 02:00:00, 7354.1883905877576, 2.4432044760460894, null, null, 7354.1883905877576, 2.4432044760460894
2100-Jan-03 03:00:00, 7358.369240200318, 2.4445934356354515, null, null, 7358.369240200318, 2.4445934356354515
