Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 375.86471511925606, 2.1336292480748069, 260.53591465116364, 2.4033113541642757, 115.32880046809244, 1.7021422065058869
2100-Jan-01 01:00:00, 376.8269207111739, 2.139091293089928, 261.46073155761417, 2.4118423199421475, 115.3661891535597, 1.7026940275542399
2100-Jan-01 02:00:00, 377.89892942864833, 2.1451766452440104, 262.49537476934808, 2.4213863775497075, 115.40355465930026, 1.7032455064921141
2100-Jan-01 03:00:00, 379.07055899051784, 2.1518275039188417, 263.62966191754992, 2.4318495998114296, 115.44089707296793, 1.7037966446131954
2100-Jan-01 04:00:00, 380.34486515881866, 2.1590612154174753, 264.86664870001857, 2.443260173985967, 115.47821645880009, 1.7043474428655658
2100-Jan-01 05:00:00, 381.72819561183007, 2.1669138128962282, 266.21268276869068, 2.4556766539352397, 115.51551284313939, 1.7048979016380175
2100-Jan-01 06:00:00, 383.20562894605223, 2.1753005936904213, 267.65284274513544, 2.4689613975293687, 115.5527862009168, 1.7054480205605556
2100-Jan-01 07:00:00, 384.75103730224578, 2.1840732406997252, 269.16100085664954, 2.4828733893487303, 115.59003644559627, 1.7059977983559913
2100-Jan-01 08:00:00, 386.2691486937378, 2.1926909340782994, 270.64188527085253, 2.4965337951765569, 115.62726342288526, 1.7065472327471152
2100-Jan-01 09:00:00, 387.51528162357283, 2.1997647177007966, 271.85081471553201, 2.5076855546745587, 115.66446690804085, 1.7070963204169376
2100-Jan-01 10:00:00, 388.22869872292915, 2.2038144928673229, 272.5270521163755, 2.5139235008929668, 115.70164660655364, 1.7076450570187831
2100-Jan-01 11:00:00, 388.15307698321908, 2.2033852193836849, 272.41427482402503, 2.5128831877078897, 115.73880215919404, 1.7081934372507683
2100-Jan-01 12:00:00, 387.24052259590133, 2.1982050238161857, 271.46458944579854, 2.5041228229212096, 115.77593315010282, 1.7087414549752109
2100-Jan-01 13:00:00, 385.6268122133323, 2.189044654322394, 269.81377309597661, 2.4888948813820204, 115.8130391173557, 1.7092891033745528
2100-Jan-01 14:00:00, 383.54875535071631, 2.1772483810280696, 267.69863578466817, 2.4693838150375194, 115.85011956604811, 1.7098363751444781
2100-Jan-01 15:00:00, 381.31183449774142, 2.1645503022631574, 265.42466051579737, 2.4484075492889632, 115.88717398194403, 1.7103832626953575
2100-Jan-01 16:00:00, 379.2087798094185, 2.152612126603644, 263.28457796224416, 2.4286663757671101, 115.92420184717437, 1.7109297583839416
2100-Jan-01 17:00:00, 377.47576552604045, 2.1427745179811541, 261.51456287270616, 2.4123388864556103, 115.96120265333427, 1.7114758547066631
2100-Jan-01 18:00:00, 376.25053252251308, 2.1358193746360197, 260.2523566066032, 2.4006956753663289, 115.99817591590988, 1.7120215445125635
2100-Jan-01 19:00:00, 375.55710932179625, 2.1318830966007867, 259.52198813643292, 2.3939583975540395, 116.03512118536334, 1.7125668211668963
2100-Jan-01 20:00:00, 375.32191527392064, 2.1305479968179797, 259.24987721815592, 2.3914483126762489, 116.07203805576471, 1.7131116786785261
2100-Jan-01 21:00:00, 375.43573896121546, 2.1311941270307053, 259.32681279002014, 2.3921580042120509, 116.10892617119534, 1.7136561117944353
2100-Jan-01 22:00:00, 375.79583362530525, 2.1332382361914544, 259.6500483976771, 2.3951396883571805, 116.14578522762814, 1.7142001160274771
2100-Jan-01 23:00:00, 376.34298949184864, 2.1363442147873495, 260.16037451918618, 2.3998471873743181, 116.18261497266248, 1.7147436876524602
2100-Jan-02 00:00:00, 377.06635395269865, 2.1404504570298482, 260.84693875126243, 2.4061803933606067, 116.21941520143621, 1.7152868236458165
2100-Jan-02 01:00:00, 377.97040024313554, 2.1455823556340512, 261.71421449336862, 2.4141805711517792, 116.25618574976691, 1.7158295215843717
2100-Jan-02 02:00:00, 379.04866336971025, 2.1517032114937202, 262.75573688461577, 2.4237880856929204, 116.29292648509448, 1.7163717795116655
2100-Jan-02 03:00:00, 380.29318335098969, 2.1587678390713014, 263.96354605522976, 2.434929511232224, 116.32963729575991, 1.7169135957797186
2100-Jan-02 04:00:00, 381.68934969305906, 2.1666933006078324, 265.32303161220915, 2.4474700743222901, 116.36631808084992, 1.7174549688991483
2100-Jan-02 05:00:00, 383.21807796522057, 2.1753712616471064, 266.81510922673408, 2.4612337317323765, 116.40296873848649, 1.7179958973663325
2100-Jan-02 06:00:00, 384.87269575699588, 2.1847638456618008, 268.4331066003819, 2.476158934901783, 116.43958915661395, 1.7185363795274375
2100-Jan-02 07:00:00, 386.6235723316737, 2.1947028511582767, 270.14739312728983, 2.4919723565558569, 116.4761792043839, 1.7190764134512666
2100-Jan-02 08:00:00, 388.35457465820224, 2.2045290387300334, 271.84183593235804, 2.5076027299646624, 116.5127387258442, 1.7196159968361164
2100-Jan-02 09:00:00, 389.84058363733675, 2.212964499929889, 273.2913161003101, 2.5209734475869885, 116.54926753702664, 1.7201551269667927
2100-Jan-02 10:00:00, 390.84558391407199, 2.2186694727525844, 274.25981849074623, 2.5299073897445865, 116.58576542332577, 1.7206938006759258
2100-Jan-02 11:00:00, 391.07993136055433, 2.2199997667278191, 274.45769921835091, 2.5317327388526332, 116.6222321422034, 1.7212320143838848
2100-Jan-02 12:00:00, 390.51275318577342, 2.2167801297310388, 273.85408576013367, 2.5261647115823727, 116.65866742563976, 1.7217697641349559
2100-Jan-02 13:00:00, 389.25936922990991, 2.209665185018951, 272.56429824358446, 2.5142670774802478, 116.69507098632542, 1.7223070456887277
2100-Jan-02 14:00:00, 387.14830253224039, 2.1976815284808393, 270.41686000694278, 2.4944580515215899, 116.73144252529761, 1.7228438546327978
2100-Jan-02 15:00:00, 384.37371162108434, 2.181931318148894, 267.60592988124102, 2.4685286502108092, 116.76778173984329, 1.7233801864994125
2100-Jan-02 16:00:00, 381.4922913042443, 2.1655746812614534, 264.68820297113831, 2.4416141028602478, 116.80408833310597, 1.7239160369072553
2100-Jan-02 17:00:00, 379.02381478543964, 2.1515621563107237, 262.18345276241024, 2.418509055619289, 116.84036202302943, 1.7244514016934476
2100-Jan-02 18:00:00, 377.23847533959037, 2.1414275192826189, 260.36187278862741, 2.4017059064666202, 116.87660255096296, 1.724986277040554
2100-Jan-02 19:00:00, 376.19215645572405, 2.1354879977376879, 259.27934676738283, 2.3917201542853181, 116.9128096883412, 1.7255206595751691
2100-Jan-02 20:00:00, 375.80530026722073, 2.1332919744202887, 258.85631702474336, 2.3878179199810923, 116.94898324247735, 1.7260545464534212
2100-Jan-02 21:00:00, 375.94941398909378, 2.1341100486892177, 258.9642909302371, 2.3888139243644959, 116.98512305885669, 1.7265879353948215
