Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 888.76077552510117, 4.2016955499090436, 767.43251107315962, 5.8956940162599061, 121.32826445194156, 1.4913251910187029
2100-Jan-01 01:00:00, 893.6512725312175, 4.2248158091208676, 772.2908839327207, 5.9330177931179122, 121.36038859849677, 1.4917200499513199
2100-Jan-01 02:00:00, 899.01316673746408, 4.250164640489082, 777.6207103785365, 5.9739634468801679, 121.39245635892762, 1.4921142158051388
2100-Jan-01 03:00:00, 904.8117722357805, 4.2775780633008162, 783.38730462635056, 6.0182645088113258, 121.42446760942993, 1.4925076870584015
2100-Jan-01 04:00:00, 911.07222488636421, 4.3071749095689613, 789.615802723569, 6.0661140831155302, 121.45642216279525, 1.4929004614100065
2100-Jan-01 05:00:00, 917.81764999209213, 4.3390645062179996, 796.32933024212298, 6.1176898287974346, 121.48831974996921, 1.4932925355528299
2100-Jan-01 06:00:00, 924.89062372845524, 4.3725026181274069, 803.37046372178884, 6.1717823619189511, 121.52016000666634, 1.4936839050092003
2100-Jan-01 07:00:00, 932.12555307262505, 4.4067063895656151, 810.57361060662583, 6.2271195405951438, 121.55194246599922, 1.4940745640402988
2100-Jan-01 08:00:00, 938.6975160370954, 4.4377759285263858, 817.11384947978536, 6.2773640202503991, 121.58366655731007, 1.4944645056317964
2100-Jan-01 09:00:00, 942.95436314214101, 4.4579005515188284, 821.33903153099834, 6.3098233963877366, 121.61533161114266, 1.4948537215549684
2100-Jan-01 10:00:00, 943.84612568801504, 4.4621164382048271, 822.199188818312, 6.3164314356598368, 121.64693686970307, 1.495242202495273
2100-Jan-01 11:00:00, 940.35221111662781, 4.4455986465665918, 818.67372961448916, 6.2893475834218311, 121.67848150213865, 1.4956299382401557
2100-Jan-01 12:00:00, 933.07384404700429, 4.4111895194210184, 811.36387942364775, 6.2331906713701972, 121.70996462335654, 1.4960169179103604
2100-Jan-01 13:00:00, 923.20795414143936, 4.3645476481169965, 801.46656882593561, 6.1571559529733966, 121.74138531550381, 1.4964031302239555
2100-Jan-01 14:00:00, 912.10575960983931, 4.3120610368237742, 790.33301695928844, 6.0716239821840414, 121.77274265055085, 1.4967885637739211
2100-Jan-01 15:00:00, 901.37164756677964, 4.2613145682063873, 779.56761185374717, 5.9889202479174291, 121.80403571303252, 1.4971732073076751
2100-Jan-01 16:00:00, 892.24547248242629, 4.2181697644576364, 770.41020886096999, 5.9185697672562707, 121.83526362145626, 1.4975570499902151
2100-Jan-01 17:00:00, 885.58152567408888, 4.1866653637004374, 763.71510012657268, 5.8671355213335916, 121.86642554751622, 1.497940081640291
2100-Jan-01 18:00:00, 881.66968899192625, 4.1681718081430343, 759.77216826025892, 5.8368444931645618, 121.89752073166731, 1.4983222929218367
2100-Jan-01 19:00:00, 880.25453297364595, 4.1614815323025844, 758.32598447900853, 5.8257343864874196, 121.92854849463744, 1.4987036754854737
2100-Jan-01 20:00:00, 880.69649304231655, 4.1635709378039394, 758.73698479882671, 5.8288918395419484, 121.95950824348985, 1.4990842220430278
2100-Jan-01 21:00:00, 882.40550006157059, 4.1716504203658475, 760.41510058889276, 5.8417837317661245, 121.99039947267786, 1.4994639263804939
2100-Jan-01 22:00:00, 884.93640020884243, 4.183615475731588, 762.91517844936516, 5.8609902337965885, 122.02122175947729, 1.4998427833018915
2100-Jan-01 23:00:00, 888.14754918636322, 4.1987964678956189, 766.09557443195376, 5.8854231856110282, 122.05197475440946, 1.5002207885115497
2100-Jan-02 00:00:00, 892.12919418472347, 4.2176200484716668, 770.04653601719542, 5.9157759009840172, 122.08265816752802, 1.5005979384455477
2100-Jan-02 01:00:00, 896.92917589198862, 4.2403123885641341, 774.81590414031575, 5.9524159112769102, 122.11327175167283, 1.5009742300658784
2100-Jan-02 02:00:00, 902.46693769240176, 4.2664926496130144, 780.32312240838417, 5.9947243531539485, 122.14381528401763, 1.5013496606336381
2100-Jan-02 03:00:00, 908.68571454970083, 4.2958924698647047, 786.51142600218225, 6.0422651387505031, 122.17428854751859, 1.501724227480999
2100-Jan-02 04:00:00, 915.49644916235513, 4.3280908230117525, 793.29175784894426, 6.0943540994348915, 122.20469131341089, 1.5020979277960627
2100-Jan-02 05:00:00, 922.78299291598717, 4.3625386061576323, 800.54796958963732, 6.1500989415194365, 122.23502332634989, 1.502470758440221
2100-Jan-02 06:00:00, 930.55257848408678, 4.3992700124090325, 808.28729419115234, 6.2095552312708824, 122.26528429293441, 1.5028427158070881
2100-Jan-02 07:00:00, 938.5819520869295, 4.4372295896818805, 816.28647821262734, 6.2710078550389623, 122.2954738743021, 1.5032137957314842
2100-Jan-02 08:00:00, 946.00240801368682, 4.4723104545269017, 823.67681633058578, 6.3277831044472217, 122.32559168310107, 1.5035839934522137
