Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 534.62904927334534, 2.5275063425889028, 414.16738083808826, 3.1817835623390445, 120.46166843525704, 1.4806732915956415
2100-Jan-01 01:00:00, 535.43144445096311, 2.5312997370994483, 414.93471146502617, 3.1876784736445409, 120.49673298593692, 1.4811042929618679
2100-Jan-01 02:00:00, 536.32836555341282, 2.5355400113200965, 415.79660828465245, 3.1942998766327961, 120.53175726876033, 1.4815347993694874
2100-Jan-01 03:00:00, 537.31134076658634, 2.5401871139967667, 416.74459987898422, 3.2015826908080141, 120.56674088760209, 1.4819648059494659
2100-Jan-01 04:00:00, 538.38313612571301, 2.545254121806821, 417.78145269635826, 3.20954816902653, 120.60168342935478, 1.4823943076240296
2100-Jan-01 05:00:00, 539.54924043247945, 2.5507669835480198, 418.91265597341612, 3.2182384815888652, 120.6365844590633, 1.4828232990468602
2100-Jan-01 06:00:00, 540.79695182492844, 2.5566656500391534, 420.12550830803383, 3.2275560517316957, 120.67144351689463, 1.4832517745658489
2100-Jan-01 07:00:00, 542.10398231005229, 2.5628447528125577, 421.39772219353472, 3.2373296587706544, 120.70626011651758, 1.4836797282031804
2100-Jan-01 08:00:00, 543.38905636608092, 2.5689200546161608, 422.64802262161777, 3.2469349187068905, 120.74103374446318, 1.484107153647471
2100-Jan-01 09:00:00, 544.44339780999667, 2.5739045474909368, 423.66763394903052, 3.2547679415658415, 120.77576386096609, 1.4845340442641115
2100-Jan-01 10:00:00, 545.04427556497717, 2.5767452504772375, 424.23382566230168, 3.2591176310145213, 120.81044990267554, 1.4849603931285882
2100-Jan-01 11:00:00, 544.97239882230929, 2.5764054467886339, 424.12730753698077, 3.2582993202640429, 120.84509128532848, 1.4853861930593415
2100-Jan-01 12:00:00, 544.18585226426489, 2.5726869780355783, 423.30616485538803, 3.2519910052988719, 120.87968740887692, 1.4858114366807882
2100-Jan-01 13:00:00, 542.79918189211753, 2.5661313706187232, 421.88494423073871, 3.2410726746161997, 120.91423766137881, 1.4862361164711475
2100-Jan-01 14:00:00, 541.01323383102135, 2.557688142443804, 420.06449240604019, 3.2270873055122036, 120.94874142498112, 1.4866602248359835
2100-Jan-01 15:00:00, 539.08779614997661, 2.5485854646942228, 418.1045980684778, 3.2120306886087704, 120.98319808149878, 1.4870837541767779
2100-Jan-01 16:00:00, 537.27229648417006, 2.5400025286818027, 416.25468946755603, 3.1978190218996931, 121.01760701661397, 1.4875066969425481
2100-Jan-01 17:00:00, 535.76841974143565, 2.5328928177319403, 414.71645211590067, 3.1860017264126146, 121.05196762553501, 1.4879290456994034
2100-Jan-01 18:00:00, 534.69419360130144, 2.5278143181886508, 413.60791428459464, 3.1774855379992655, 121.08627931670684, 1.4883507931761528
2100-Jan-01 19:00:00, 534.07078164256598, 2.5248670827514981, 412.95024012784404, 3.1724330473441835, 121.12054151472198, 1.4887719323000863
2100-Jan-01 20:00:00, 533.8360885809002, 2.5237575504454477, 412.6813349185806, 3.1703672203036031, 121.15475366231958, 1.4891924562215453
2100-Jan-01 21:00:00, 533.89757654042944, 2.5240482402385189, 412.70866131884071, 3.1705771515902956, 121.18891522158872, 1.4896123583287144
2100-Jan-01 22:00:00, 534.16813510434702, 2.5253273298938095, 412.94510943103228, 3.1723936314762655, 121.22302567331474, 1.4900316322395861
2100-Jan-01 23:00:00, 534.59769235476551, 2.5273580999696468, 413.34060783985063, 3.1754319932457586, 121.25708451491491, 1.4904502717765868
2100-Jan-02 00:00:00, 535.17729874439954, 2.5300982406858989, 413.88620748592552, 3.1796234869891489, 121.29109125847403, 1.490868270942431
2100-Jan-02 01:00:00, 535.91099082167102, 2.5335668351839558, 414.58594539492748, 3.1849991265972286, 121.3250454267436, 1.4912856238709447
2100-Jan-02 02:00:00, 536.79343556684501, 2.5377386711390786, 415.43448901742858, 3.1915179454973028, 121.35894654941643, 1.491702324781274
2100-Jan-02 03:00:00, 537.81800539534413, 2.5425824160561876, 416.42521123617485, 3.1991290317785843, 121.39279415916933, 1.4921183679292436
2100-Jan-02 04:00:00, 538.97235286757314, 2.548039696317288, 417.54576508063508, 3.2077375315493888, 121.42658778693807, 1.4925337475492777
2100-Jan-02 05:00:00, 540.24029654612491, 2.5540340127390033, 418.77996958677323, 3.2172191367937435, 121.46032695935169, 1.4929484578228633
2100-Jan-02 06:00:00, 541.61620533939913, 2.5605387438353606, 420.12219414478375, 3.2275305911313685, 121.49401119461541, 1.4933624928279456
2100-Jan-02 07:00:00, 543.07483294935503, 2.5674345354887507, 421.54719294786258, 3.2384779471467411, 121.52764000149246, 1.4937758465264115
2100-Jan-02 08:00:00, 544.51711927813881, 2.5742530722831596, 422.95590640067093, 3.249300193213347, 121.56121287746791, 1.4941885127415206
2100-Jan-02 09:00:00, 545.75105412767846, 2.5800866089433767, 424.15632481907465, 3.2585222415163235, 121.59472930860376, 1.4946004851561243
2100-Jan-02 10:00:00, 546.57516968516279, 2.5839826884800177, 424.94698091431826, 3.2645963475026969, 121.6281887708445, 1.4950117573287129
2100-Jan-02 11:00:00, 546.74199519291051, 2.5847713708935736, 425.08040446137562, 3.2656213554306439, 121.66159073153486, 1.4954223227120715
2100-Jan-02 12:00:00, 546.22427084392746, 2.582323783023917, 424.52933619271136, 3.2613878497513351, 121.69493465121607, 1.4958321746753591
2100-Jan-02 13:00:00, 545.11919538496909, 2.5770994405843268, 423.39097539721581, 3.2526425505445515, 121.72821998775326, 1.4962413065548406
2100-Jan-02 14:00:00, 543.27937084606651, 2.5684015065726089, 421.5179246474986, 3.2382530974813539, 121.76144619856787, 1.4966497116813273
2100-Jan-02 15:00:00, 540.86911520085653, 2.5570068088119675, 419.07450245541378, 3.2194818447793718, 121.79461274544271, 1.4970573834392393
2100-Jan-02 16:00:00, 538.36241086644793, 2.5451561413018045, 416.53469176914581, 3.1999701008156922, 121.82771909730216, 1.4974643153007785
2100-Jan-02 17:00:00, 536.20259643928978, 2.5349454266560576, 414.34183170535709, 3.1831237569743354, 121.86076473393265, 1.4978705008716586
2100-Jan-02 18:00:00, 534.62078224396555, 2.5274672594728242, 412.72703309471297, 3.1707182902148854, 121.89374914925257, 1.498275933931299
2100-Jan-02 19:00:00, 533.66554840711956, 2.5229513066181011, 411.73887655383209, 3.1631269143985898, 121.92667185328744, 1.4986806084571027
2100-Jan-02 20:00:00, 533.2700044788786, 2.5210813375456005, 411.3104721048299, 3.1598357565311845, 121.95953237404868, 1.4990845186475483
2100-Jan-02 21:00:00, 533.32548892552245, 2.5213436451979776, 411.33315866756891, 3.160010042908501, 121.99233025795351, 1.4994876589273531
2100-Jan-02 22:00:00, 533.72000525137548, 2.523208756188867, 411.694940181932, 3.1627893793044026, 122.0250650694435, 1.4998900239427828
2100-Jan-02 23:00:00, 534.37753624245715, 2.5263172923835731, 412.31979985323659, 3.1675897772181698, 122.05773638922051, 1.5002916085399693
2100-Jan-03 00:00:00, 535.22923072775438, 2.5303437537523719, 413.13888691539358, 3.1738823001716239, 122.09034381236076, 1.5006924077417294
2100-Jan-03 01:00:00, 536.21032470065734, 2.5349819626984784, 414.08743775643768, 3.1811694106822821, 122.12288694421972, 1.5010924166972281
2100-Jan-03 02:00:00, 537.27306200347607, 2.540006147742353, 415.11769660604898, 3.1890842316563877, 122.15536539742715, 1.5014916306450445
2100-Jan-03 03:00:00, 538.39132030295013, 2.5452928132320323, 416.20354151576993, 3.1974260848414655, 122.18777878718015, 1.5018900448553139
2100-Jan-03 04:00:00, 539.55519626795785, 2.5507951402895355, 417.33506953960381, 3.2061188922259469, 122.22012672835403, 1.5022876545942161
2100-Jan-03 05:00:00, 540.76181733540886, 2.5564995486175692, 418.50940850410092, 3.2151405887349527, 122.25240883130799, 1.502684455072421
2100-Jan-03 06:00:00, 542.03018630074325, 2.562495875620344, 419.7455616009355, 3.2246371637575533, 122.28462469980769, 1.5030804414195527
2100-Jan-03 07:00:00, 543.34888755898362, 2.5687301530108315, 421.03211362980227, 3.2345209215978223, 122.31677392918139, 1.5034756086615255
2100-Jan-03 08:00:00, 544.65643652674396, 2.5749117069569771, 422.3075804208504, 3.2443195186332869, 122.34885610589357, 1.5038699517153038
2100-Jan-03 09:00:00, 545.81922145885778, 2.580408876059515, 423.43835065049484, 3.2530065043688237, 122.38087080836299, 1.5042634653989559
2100-Jan-03 10:00:00, 546.66844272404126, 2.5844236450604323, 424.25562511552351, 3.2592851022957916, 122.4128176085177, 1.5046561444507693
2100-Jan-03 11:00:00, 547.06220457370614, 2.5862851891980925, 424.61750849947231, 3.2620652212906815, 122.44469607423378, 1.5050479835592259
2100-Jan-03 12:00:00, 546.90278669476027, 2.5855315270080084, 424.42628092149772, 3.260596141898108, 122.47650577326259, 1.505438977411274
2100-Jan-03 13:00:00, 546.15069496256319, 2.5819759465061249, 423.64244868575753, 3.2545744592676149, 122.50824627680571, 1.5058291207362717
2100-Jan-03 14:00:00, 544.84058058118603, 2.5757822643391188, 422.3006634170863, 3.2442663797095199, 122.53991716409971, 1.5062184083623398
2100-Jan-03 15:00:00, 543.11869019656831, 2.5676418745225176, 420.54717216959079, 3.230795425969279, 122.57151802697751, 1.5066068352724293
2100-Jan-03 16:00:00, 541.22811740686745, 2.5587040236451855, 418.62506893306187, 3.2160291339674054, 122.60304847380563, 1.5069943966527166
2100-Jan-03 17:00:00, 539.47109662512935, 2.5503975517541808, 416.83658849108514, 3.2022893805847721, 122.63450813404427, 1.507381087948654
2100-Jan-03 18:00:00, 538.07315480776538, 2.5437886575783777, 415.40725814660323, 3.1913087481022666, 122.66589666116215, 1.5077669049007989
2100-Jan-03 19:00:00, 537.13079537240117, 2.5393335696007999, 414.4335816367502, 3.183828613119601, 122.69721373565092, 1.5081518435818646
2100-Jan-03 20:00:00, 536.63462477409166, 2.536987879002921, 413.90616570749347, 3.1797768132631541, 122.72845906659819, 1.5085359004160561
2100-Jan-03 21:00:00, 536.54314872965585, 2.5365554178734322, 413.78351633702925, 3.1788345764552126, 122.75963239262659, 1.5089190721906134
2100-Jan-03 22:00:00, 536.8009988843221, 2.5377744273945986, 414.01026540248205, 3.1805765447574328, 122.79073348184008, 1.5093013560551498
2100-Jan-03 23:00:00, 537.34185188974607, 2.5403313580430087, 414.52008975988139, 3.1844931997986161, 122.82176212986469, 1.5096827494975715
2100-Jan-04 00:00:00, 538.0891133152769, 2.5438641028408613, 415.23639515711977, 3.1899961168413249, 122.85271815815709, 1.5100632503232849
2100-Jan-04 01:00:00, 538.99782623179351, 2.5481601239104421, 416.11422482124334, 3.1967399217015484, 122.88360141055018, 1.5104428566127381
2100-Jan-04 02:00:00, 540.03100381215745, 2.5530445627394576, 417.11659206266728, 3.2044404692573121, 122.91441174949014, 1.510821566675167
2100-Jan-04 03:00:00, 541.14545440613904, 2.5583132269630329, 418.20030535383722, 3.2127659465779921, 122.94514905230184, 1.5111993790026912
2100-Jan-04 04:00:00, 542.30538592344624, 2.5637969062934909, 419.32957271619875, 3.2214413867436975, 122.97581320724748, 1.5115762922218683
2100-Jan-04 05:00:00, 543.49226032742445, 2.5694079605150835, 420.48585621837037, 3.230324374663144, 123.00640410905402, 1.511952305038718
2100-Jan-04 06:00:00, 544.707475172925, 2.5751529966925708, 421.67055351600533, 3.2394256476323835, 123.03692165691963, 1.5123274162142193
2100-Jan-04 07:00:00, 545.94530278974457, 2.581004936756051, 422.87793703831591, 3.2487012043818142, 123.0673657514287, 1.5127016245263898
2100-Jan-04 08:00:00, 547.19449424117602, 2.5869106003575562, 424.09675794787051, 3.2580646272752554, 123.09773629330552, 1.5130749287549665
2100-Jan-04 09:00:00, 548.38407092343982, 2.592534429839894, 425.25603774040383, 3.2669706337805731, 123.128033183036, 1.5134473276767566
2100-Jan-04 10:00:00, 549.40805688596697, 2.5973754144787327, 426.24980056451733, 3.2746050790916201, 123.1582563214496, 1.5138188200727902
2100-Jan-04 11:00:00, 550.09172850812581, 2.600607532829958, 426.90332289722789, 3.2796256739333294, 123.18840561089787, 1.5141894047428062
2100-Jan-04 12:00:00, 550.35570297080733, 2.6018554955615305, 427.13722201256337, 3.2814225715038576, 123.21848095824397, 1.5145590805419984
2100-Jan-04 13:00:00, 550.23062178093824, 2.6012641631205371, 426.98213950428129, 3.2802311716049575, 123.24848227665694, 1.5149278464030709
2100-Jan-04 14:00:00, 549.80585473678536, 2.5992560391705228, 426.52744524694162, 3.2767380459247897, 123.27840948984374, 1.5152957013882555
2100-Jan-04 15:00:00, 549.19471438167068, 2.5963668188300573, 425.8864518467538, 3.2718137028725716, 123.30826253491689, 1.5156626447245616
2100-Jan-04 16:00:00, 548.53056939062481, 2.5932270143627378, 425.19252802436597, 3.2664827291799519, 123.33804136625882, 1.5160286758512731
2100-Jan-04 17:00:00, 547.95433583606905, 2.59050281902406, 424.58658987739835, 3.2618276932572425, 123.36774595867072, 1.5163937944586556
2100-Jan-04 18:00:00, 547.54622029485313, 2.5885734165339889, 424.14884398469667, 3.2584647710419268, 123.39737631015645, 1.5167580005221726
2100-Jan-04 19:00:00, 547.33169435225261, 2.5875592260755589, 423.9047619077711, 3.2565896442788005, 123.42693244448147, 1.5171212943339414
