Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 738.10561547558336, 3.1652520281842951, 597.86557786585615, 4.1662792599853224, 140.24003760972727, 1.5636245229598456
2100-Jan-01 01:00:00, 739.33879361476079, 3.1705403223312363, 599.05643144538681, 4.1745778286833035, 140.28236216937398, 1.5640964261375334
2100-Jan-01 02:00:00, 740.71821740998166, 3.1764557684056238, 600.39358629946878, 4.1838959107776708, 140.32463111051283, 1.5645677091894403
2100-Jan-01 03:00:00, 742.23062366354509, 3.1829414892308825, 601.86377973181868, 4.1941410839940829, 140.36684393172644, 1.5650383665249481
2100-Jan-01 04:00:00, 743.88025950225165, 3.1900156979548835, 603.47125939496323, 4.2053429484755833, 140.40900010728836, 1.5655083922824018
2100-Jan-01 05:00:00, 745.67560327148453, 3.197714752653432, 605.22450419213897, 4.2175605902107449, 140.45109907934562, 1.5659777802419466
2100-Jan-01 06:00:00, 747.59676946758975, 3.205953377412821, 607.10362921412775, 4.2306554394475544, 140.493140253462, 1.5664465237758392
2100-Jan-01 07:00:00, 749.60893998471988, 3.2145822601592218, 609.07381698931192, 4.2443848675496492, 140.53512299540802, 1.566914615812655
2100-Jan-01 08:00:00, 751.58531877766291, 3.2230576556197921, 611.0082721476648, 4.2578652897448626, 140.57704662999814, 1.5673820488243257
2100-Jan-01 09:00:00, 753.20041874129777, 3.2299837625730925, 612.58150829888757, 4.2688285252790035, 140.61891044241023, 1.5678488148408487
2100-Jan-01 10:00:00, 754.10725089565938, 3.2338725723255646, 613.44653721412851, 4.2748565559305103, 140.66071368153089, 1.5683149054875878
2100-Jan-01 11:00:00, 753.9645024386698, 3.233260417596576, 613.26204687427003, 4.2735709186483577, 140.70245556439977, 1.5687803120348245
2100-Jan-01 12:00:00, 752.70765411847697, 3.2278706175311109, 611.96351883516888, 4.2645220109371484, 140.74413528330814, 1.5692450254769057
2100-Jan-01 13:00:00, 750.516164387142, 3.2184727520069698, 609.73041237437724, 4.2489604106755214, 140.7857520127647, 1.5697090366099087
2100-Jan-01 14:00:00, 747.70387263607154, 3.206412672822792, 606.87656771804382, 4.2290731412907467, 140.82730491802772, 1.5701723361267719
2100-Jan-01 15:00:00, 744.67621566497428, 3.1934290331274933, 603.80742250205162, 4.207685530876855, 140.86879316292263, 1.5706349147044587
2100-Jan-01 16:00:00, 741.82213279985149, 3.1811897391998682, 600.91191688124832, 4.187507943369333, 140.9102159186032, 1.5710967631016401
2100-Jan-01 17:00:00, 739.45582857596423, 3.1710422087016292, 598.50425620599174, 4.17072994659586, 140.9515723699725, 1.571557872230287
2100-Jan-01 18:00:00, 737.76087820814234, 3.1637736756124135, 596.76801648495973, 4.1586308062407324, 140.99286172318259, 1.5720182332392887
2100-Jan-01 19:00:00, 736.7697627983174, 3.159523430125402, 595.73567958864294, 4.1514368750968869, 141.03408320967446, 1.5724778375594965
2100-Jan-01 20:00:00, 736.38518391663899, 3.157874222939185, 595.30994782655148, 4.1484701255859848, 141.07523609008749, 1.5729366769473132
2100-Jan-01 21:00:00, 736.46246198109463, 3.158205617993123, 595.34614232548279, 4.1487223501592103, 141.11631965561182, 1.5733947434997713
2100-Jan-01 22:00:00, 736.86547713319862, 3.1599338862799917, 595.70814390606392, 4.1512449902527253, 141.15733322713467, 1.5738520296450145
2100-Jan-01 23:00:00, 737.51592552372131, 3.162723233826148, 596.31764937023286, 4.1554923830918975, 141.19827615348848, 1.5743085281227653
2100-Jan-02 00:00:00, 738.39965526320418, 3.1665129724375563, 597.1605074560913, 4.161365914354155, 141.23914780711289, 1.574764231935958
2100-Jan-02 01:00:00, 739.52278275869799, 3.1713293313819748, 598.24283517973845, 4.1689082110082536, 141.27994757895948, 1.5752191342939281
2100-Jan-02 02:00:00, 740.87683408833823, 3.1771359715531755, 599.55615921565061, 4.1780602259344057, 141.32067487268762, 1.5756732285476984
2100-Jan-02 03:00:00, 742.45132109428573, 3.1838879161047884, 601.08999199656341, 4.1887488755907611, 141.36132909772232, 1.5761265081125764
2100-Jan-02 04:00:00, 744.22685927124235, 3.1915020375772407, 602.82494960808515, 4.2008390814521501, 141.40190966315714, 1.5765789664001735
2100-Jan-02 05:00:00, 746.17810433448301, 3.1998696509165971, 604.73568836243089, 4.2141542337843809, 141.44241597205212, 1.5770305967548304
2100-Jan-02 06:00:00, 748.29617277528996, 3.2089526605666152, 606.81332535852789, 4.228632431304157, 141.48284741676207, 1.5774813924015281
2100-Jan-02 07:00:00, 750.54161536755066, 3.2185818946088802, 609.01841199242438, 4.2439987729190527, 141.52320337512626, 1.5779313464034044
2100-Jan-02 08:00:00, 752.76001032392787, 3.2280951390386257, 611.19652711498202, 4.2591771611670692, 141.56348320894585, 1.5783804516447788
2100-Jan-02 09:00:00, 754.65202854754637, 3.2362087672160937, 613.04834228437426, 4.2720816992759616, 141.60368626317211, 1.5788287008221
2100-Jan-02 10:00:00, 755.90375826255911, 3.2415766169331421, 614.2599463954632, 4.2805248698919414, 141.64381186709591, 1.5792760864572095
2100-Jan-02 11:00:00, 756.12985875211007, 3.2425462139909609, 614.44599941566241, 4.2818213968505274, 141.68385933644763, 1.5797226009207546
2100-Jan-02 12:00:00, 755.28863149445954, 3.2389387407139467, 613.56480351663754, 4.2756807051398642, 141.72382797782203, 1.580168236481523
2100-Jan-02 13:00:00, 753.53249177049634, 3.2314078065136047, 611.76877467835413, 4.2631649190228815, 141.7637170921422, 1.5806129853450661
2100-Jan-02 14:00:00, 750.63254711064076, 3.2189718413566188, 608.8290211301188, 4.2426789859119616, 141.80352598052198, 1.5810568397190619
2100-Jan-02 15:00:00, 746.84582923002858, 3.2027330860884495, 605.00257528039629, 4.2160140589227506, 141.84325394963224, 1.5814997918731468
2100-Jan-02 16:00:00, 742.91173555248588, 3.1858623324580417, 601.02883523495393, 4.1883226992780003, 141.88290031753198, 1.5819418342039313
2100-Jan-02 17:00:00, 739.52126065505934, 3.1713228040754098, 597.5987962363082, 4.1644201685586202, 141.9224644187511, 1.5823829592916703
2100-Jan-02 18:00:00, 737.03413095087831, 3.1606571321506083, 595.07218534160268, 4.1468132566399909, 141.96194560927566, 1.582823159955846
2100-Jan-02 19:00:00, 735.52538419542725, 3.1541871045182743, 593.52404092524921, 4.1360248750838231, 142.00134327017801, 1.5832624292956448
2100-Jan-02 20:00:00, 734.89007761908374, 3.151462690305554, 592.84942080894245, 4.1313237250210104, 142.04065681014131, 1.5837007607181024
