Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 545.95710239803543, 3.0916422713758611, 437.62714019309112, 4.1984332276899758, 108.32996220494431, 1.4971910639905004
2100-Jan-01 01:00:00, 546.85865578393964, 3.0967475819314356, 438.49647127755145, 4.2067732691902622, 108.3621845063882, 1.4976363973110431
2100-Jan-01 02:00:00, 547.86658984882195, 3.102455304292886, 439.47222231896131, 4.2161342644713153, 108.3943675298606, 1.4980811877842819
2100-Jan-01 03:00:00, 548.9712421811671, 3.1087107222201396, 440.54473127397978, 4.2264235194561817, 108.42651090718738, 1.498525430321809
2100-Jan-01 04:00:00, 550.17569126502553, 3.1155312685323331, 441.71707701289301, 4.2376705716897849, 108.45861425213251, 1.4989691195855892
2100-Jan-01 05:00:00, 551.48609916990063, 3.122951837755926, 442.9954220143581, 4.2499345417174075, 108.49067715554247, 1.4994122499208529
2100-Jan-01 06:00:00, 552.88800030554057, 3.13089051424204, 444.36530112423588, 4.2630766561902247, 108.52269918130472, 1.4998548153002389
2100-Jan-01 07:00:00, 554.35606521732939, 3.1392038625224714, 445.80138535307503, 4.2768539181339413, 108.5546798642543, 1.500296809294863
2100-Jan-01 08:00:00, 555.79806056453504, 3.1473695842448679, 447.21144185523235, 4.2903814796763209, 108.58661870930263, 1.5007382250622761
2100-Jan-01 09:00:00, 556.97722248187529, 3.1540469345576181, 448.35870728913437, 4.3013879207223429, 108.61851519274086, 1.501179055364479
2100-Jan-01 10:00:00, 557.64113409530728, 3.1578065288545476, 448.99076533142664, 4.3074516522482664, 108.65036876388068, 1.5016192925905985
2100-Jan-01 11:00:00, 557.54149867880199, 3.157242314076425, 448.85931982951274, 4.3061906126275922, 108.68217884928923, 1.5020589288154165
2100-Jan-01 12:00:00, 556.63135733580793, 3.1520883716941976, 447.91741247848535, 4.2971543012182636, 108.71394485732262, 1.5024979558620266
2100-Jan-01 13:00:00, 555.0412336228726, 3.143083829641288, 446.29556743937957, 4.281594918636686, 108.74566618349309, 1.5029363653760124
2100-Jan-01 14:00:00, 552.9994266617291, 3.1315214986754776, 444.22208444558453, 4.2617026882454034, 108.77734221614453, 1.5033741489038852
2100-Jan-01 15:00:00, 550.80088120482469, 3.1190715899917154, 441.99190886144754, 4.2403072069873344, 108.80897234337718, 1.5038112979887894
2100-Jan-01 16:00:00, 548.7285561632815, 3.1073364414419036, 439.88800020551753, 4.2201230840255279, 108.84055595776397, 1.504247804235685
2100-Jan-01 17:00:00, 547.01105112515768, 3.0976105652625452, 438.13895866264301, 4.2033434251429123, 108.87209246251467, 1.50468365939654
2100-Jan-01 18:00:00, 545.78194020017759, 3.0906503640394316, 436.87835892421077, 4.1912496966179491, 108.90358127596686, 1.5051188554323984
2100-Jan-01 19:00:00, 545.06487873636763, 3.0865897931210351, 436.12985690152408, 4.1840688445308176, 108.93502183484354, 1.505553384558403
2100-Jan-01 20:00:00, 544.78910071477435, 3.0850281191628994, 435.82268711745485, 4.1811219710178777, 108.96641359731944, 1.5059872392861737
