Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 843.33014979262293, 4.0220730414341404, 645.00633321177065, 4.9741056815525031, 198.32381658085234, 2.4789650040455409
2100-Jan-01 01:00:00, 852.57124957992687, 4.0661463836914491, 654.19718772445526, 5.0449829416597423, 198.37406185547164, 2.4795930490254494
2100-Jan-01 02:00:00, 862.78005297137247, 4.1148349701437796, 664.35604918025376, 5.1233251964307529, 198.42400379111874, 2.4802173023947014
2100-Jan-01 03:00:00, 873.8483237162917, 4.1676225923927657, 675.37467825326121, 5.2082977349204977, 198.47364546303049, 2.4808378025924744
2100-Jan-01 04:00:00, 885.25764502152367, 4.2220367784077188, 686.73465533242415, 5.2959026523023214, 198.52298968909955, 2.4814545848412521
2100-Jan-01 05:00:00, 897.04914724336118, 4.2782736901511509, 698.47710838293858, 5.3864571157648538, 198.57203886042262, 2.4820676790287459
2100-Jan-01 06:00:00, 908.86052962372662, 4.3346054158291905, 710.23973481825442, 5.4771671506424102, 198.62079480547223, 2.4826771080101002
2100-Jan-01 07:00:00, 920.12624959319021, 4.3883347276445788, 721.45699089827701, 5.5636714442068431, 198.66925869491322, 2.4832828864181371
2100-Jan-01 08:00:00, 928.94032725123975, 4.4303714841180257, 730.22289626003055, 5.6312716171334154, 198.71743099120917, 2.4838850200334583
2100-Jan-01 09:00:00, 932.7519058948194, 4.4485499492320946, 733.98659445065721, 5.6602961888154093, 198.76531144416225, 2.4844835057286958
2100-Jan-01 10:00:00, 930.22930186213512, 4.4365189579571265, 731.41640273154587, 5.6404756001259129, 198.81289913058919, 2.4850783319644436
2100-Jan-01 11:00:00, 920.40554688716122, 4.3896667731274803, 721.54535435250773, 5.5643528780736116, 198.86019253465349, 2.4856694797933772
2100-Jan-01 12:00:00, 904.71584700052767, 4.3148382863744112, 705.8086573376537, 5.4429959393894825, 198.90718966287395, 2.486256924297813
2100-Jan-01 13:00:00, 885.26660388248285, 4.2220795056755085, 686.31271569593696, 5.292648773642445, 198.95388818654592, 2.486840636369914
2100-Jan-01 14:00:00, 864.46876051738889, 4.1228888801070003, 665.46847491448102, 5.1319039078014965, 199.00028560290787, 2.487420584726205
2100-Jan-01 15:00:00, 845.37571410357418, 4.0318288992931528, 646.32933469849661, 4.984308293330062, 199.04637940507752, 2.4879967380317023
2100-Jan-01 16:00:00, 830.44310448675901, 3.960611183914637, 631.35093723626278, 4.8687991454640862, 199.09216725049623, 2.4885690670054008
2100-Jan-01 17:00:00, 821.47788377581901, 3.917853584721906, 622.34023665912355, 4.7993111813500953, 199.13764711669549, 2.4891375463672865
2100-Jan-01 18:00:00, 818.61487232427032, 3.9041990969991289, 619.43205489000786, 4.7768841093728094, 199.18281743426249, 2.4897021565003543
2100-Jan-01 19:00:00, 820.71942099234684, 3.9142362674528806, 621.49174380459056, 4.7927678453994638, 199.22767718775634, 2.4902628847120161
2100-Jan-01 20:00:00, 825.92373652060996, 3.9390570771802351, 626.65151054283888, 4.8325585012840477, 199.27222597777111, 2.4908197260098648
2100-Jan-01 21:00:00, 832.83690752627354, 3.972027887887692, 633.52044348616107, 4.8855297615962536, 199.31646404011249, 2.491372683341373
2100-Jan-01 22:00:00, 840.46906258886497, 4.0084277309774272, 641.10867036701575, 4.9440480124993442, 199.36039222184925, 2.4919217672945471
2100-Jan-01 23:00:00, 848.4933329030805, 4.0466976793670613, 649.08932098583455, 5.0055925238344265, 199.4040119172459, 2.4924669952971121
2100-Jan-02 00:00:00, 857.27695602138749, 4.0885891897784319, 657.82963105086617, 5.0729953131008854, 199.44732497052135, 2.4930083904010352
2100-Jan-02 01:00:00, 867.02735588964413, 4.1350915239626911, 667.53702233538854, 5.1478559581134098, 199.49033355425559, 2.49354597976266
2100-Jan-02 02:00:00, 877.44093825004961, 4.1847567575451032, 677.90789821543081, 5.2278332079191987, 199.53304003461886, 2.4940797929581286
2100-Jan-02 03:00:00, 888.13471322825967, 4.2357583066556126, 688.55926639378424, 5.3099735346791537, 199.57544683447549, 2.494609860272234
2100-Jan-02 04:00:00, 899.1205341291045, 4.2881527029595716, 699.50297782370808, 5.394368329579537, 199.61755630539645, 2.4951362110986328
2100-Jan-02 05:00:00, 909.99849095227319, 4.3400326658603525, 710.33912033442027, 5.477933583520926, 199.65937061785286, 2.4956588725673092
2100-Jan-02 06:00:00, 920.92662963319299, 4.3921519598194143, 721.22573795608764, 5.5618880871847622, 199.70089167710529, 2.4961778684932256
2100-Jan-02 07:00:00, 931.61757867935762, 4.4431400312840692, 731.87545760973535, 5.6440157009903125, 199.74212106962233, 2.4966932187065782
2100-Jan-02 08:00:00, 940.0966582412932, 4.4835790898551666, 740.31359819827003, 5.7090882450600295, 199.78306004302311, 2.4972049388020854
2100-Jan-02 09:00:00, 944.16613224766422, 4.5029875287659147, 744.34242272810127, 5.7401573957829761, 199.82370951956298, 2.4977130403075543
2100-Jan-02 10:00:00, 942.54326694487975, 4.4952476385392774, 742.67919680287139, 5.7273310697480113, 199.86407014200839, 2.4982175312572981
2100-Jan-02 11:00:00, 933.72611461197141, 4.4531962180972009, 733.82197226372568, 5.6590266692569759, 199.90414234824573, 2.4987184171247137
2100-Jan-02 12:00:00, 919.57845106294633, 4.3857221260422605, 719.63452459282917, 5.5496171015785674, 199.94392647011716, 2.4992157020576897
2100-Jan-02 13:00:00, 901.67526942523659, 4.3003369370523519, 701.69184657453752, 5.4112482638205837, 199.98342285069907, 2.4997093903445378
2100-Jan-02 14:00:00, 879.37585639510098, 4.1939849134583085, 679.35322442231927, 5.2389791532025303, 200.02263197278177, 2.5001994880199359
2100-Jan-02 15:00:00, 855.90516980383768, 4.0820467646492284, 655.84361521281892, 5.0576797229197874, 200.06155459101873, 2.5006860045167376
2100-Jan-02 16:00:00, 836.63124473560038, 3.9901241238677487, 636.53105287675885, 4.9087467263043987, 200.10019185884155, 2.501168954252357
2100-Jan-02 17:00:00, 824.46144994432007, 3.9320830309910972, 624.32290450289474, 4.8146009527500544, 200.13854544142538, 2.5016483580407884
2100-Jan-02 18:00:00, 819.38051381680054, 3.9078506515027431, 619.20389621120682, 4.775124614431312, 200.17661760559369, 2.5021242442163807
2100-Jan-02 19:00:00, 820.40606590496304, 3.9127417910017868, 620.19165462618321, 4.7827419268373319, 200.21441127877978, 2.5025966493708292
2100-Jan-02 20:00:00, 825.76368855657438, 3.9382937644946372, 625.51175848591447, 4.8237690570724236, 200.25193007065988, 2.5030656186235811
2100-Jan-02 21:00:00, 833.86894990785663, 3.9769499813781279, 633.57977165439183, 4.8859872835824385, 200.28917825346474, 2.5035312053757393
2100-Jan-02 22:00:00, 843.38569278080433, 4.0223379411954738, 643.05953208033554, 4.9590925040531362, 200.32616070046876, 2.5039934705412019
2100-Jan-02 23:00:00, 852.67254652800568, 4.0666294966504104, 652.30966374249601, 5.0304268927044093, 200.36288278550964, 2.5044524812906994
2100-Jan-03 00:00:00, 861.57731100382784, 4.1090987634581158, 661.17796075369313, 5.0988166809556947, 200.39935025013472, 2.5049083093911784
2100-Jan-03 01:00:00, 870.43053039439906, 4.1513221976012851, 669.99496134700325, 5.1668108857986983, 200.43556904739583, 2.5053610292533053
2100-Jan-03 02:00:00, 879.63445557135674, 4.1952182439346482, 679.16291039733358, 5.2375115054846439, 200.47154517402319, 2.5058107158337064
2100-Jan-03 03:00:00, 889.07386858635164, 4.2402373964265987, 688.56658408355486, 5.3100299666246862, 200.50728450279681, 2.5062574425396829
2100-Jan-03 04:00:00, 898.4214423537976, 4.2848185423302594, 697.87864972676357, 5.381841972550629, 200.542792627034, 2.5067012792853691
