Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1138.2492721262752, 4.8812063499280782, 1010.9944619371323, 7.0452044985834021, 127.25481018914293, 1.4188440424558388
2100-Jan-01 01:00:00, 1182.1771928046187, 5.0695844588406578, 1054.8879006847048, 7.3510798161693875, 127.28929211991388, 1.4192285032237582
2100-Jan-01 02:00:00, 1229.363933606865, 5.2719375149564556, 1102.0402142436706, 7.6796648916679491, 127.32371936319447, 1.4196123542463972
2100-Jan-01 03:00:00, 1279.0956904553466, 5.4852044796419888, 1151.7375983531722, 8.0259855168326197, 127.35809210217447, 1.4199955975662542
2100-Jan-01 04:00:00, 1327.9319260485195, 5.6946311396201503, 1200.5395158185677, 8.3660660033349092, 127.39241022995175, 1.42037823199141
2100-Jan-01 05:00:00, 1376.3597627151205, 5.9023064438254567, 1248.9330893656188, 8.7033009090562956, 127.4266733495018, 1.4207602530951882
2100-Jan-01 06:00:00, 1422.7826756146699, 6.1013839418537614, 1295.3217948235606, 9.0265647138347571, 127.46088079110926, 1.4211416534105104
2100-Jan-01 07:00:00, 1464.3773611109177, 6.2797563317506402, 1336.8823294644444, 9.3161829824199849, 127.49503164647332, 1.4215224228101586
2100-Jan-01 08:00:00, 1491.4023152488364, 6.3956486771049272, 1363.8731904342408, 9.504271188917869, 127.52912481459575, 1.4219025490184101
2100-Jan-01 09:00:00, 1492.3839860350652, 6.3998584207811327, 1364.8208269769698, 9.510874878141907, 127.56315905809532, 1.422282018238922
2100-Jan-01 10:00:00, 1463.993360522886, 6.2781096044874856, 1336.3962274578059, 9.312795537510171, 127.59713306507992, 1.4226608158445826
2100-Jan-01 11:00:00, 1404.5025017618491, 6.0229922372656306, 1276.8714562483849, 8.8979918944731633, 127.6310455134642, 1.4230389270946298
2100-Jan-01 12:00:00, 1324.4794895745542, 5.679825898578386, 1196.8145944397415, 8.340108558617862, 127.66489513481275, 1.4234163378464779
2100-Jan-01 13:00:00, 1235.7805542462786, 5.2994542023615594, 1108.081873473262, 7.7217667293987597, 127.69868077301668, 1.4237930352099406
2100-Jan-01 14:00:00, 1149.7907046920852, 4.930700002423249, 1022.0583032561935, 7.1223038572518078, 127.73240143589175, 1.4241690081225311
2100-Jan-01 15:00:00, 1079.4476146771763, 4.6290445161755542, 951.68155834143261, 6.6318772737875333, 127.76605633574377, 1.4245442478017505
2100-Jan-01 16:00:00, 1032.7310746822066, 4.4287078436608036, 904.9314297655236, 6.306094859983542, 127.79964491668291, 1.4249187480496326
2100-Jan-01 17:00:00, 1014.1911721799659, 4.349202332840723, 886.35800531410905, 6.1766643057859643, 127.83316686585687, 1.4252925053779906
2100-Jan-01 18:00:00, 1021.7013925034598, 4.3814087537277029, 893.83477039494016, 6.2287668058148897, 127.86662210851964, 1.4256655189534335
2100-Jan-01 19:00:00, 1048.6470877882587, 4.4969612097215386, 920.74707700191857, 6.4163075992742806, 127.90001078634018, 1.4260377903555184
2100-Jan-01 20:00:00, 1085.8912162572813, 4.6566769071811391, 957.95788303660902, 6.6756143986104552, 127.93333322067218, 1.4264093231672197
2100-Jan-01 21:00:00, 1127.2623262030681, 4.8340905278318402, 999.2957363387394, 6.963680892553386, 127.96658986432877, 1.4267801224372363
2100-Jan-01 22:00:00, 1168.4942943248668, 5.0109074602426062, 1040.4945130792905, 7.2507782191525036, 127.99978124557637, 1.4271501940555433
2100-Jan-01 23:00:00, 1208.2306465407705, 5.1813106746430195, 1080.1977386316389, 7.5274536647664387, 128.0329079091315, 1.4275195440955282
2100-Jan-02 00:00:00, 1248.7352614095687, 5.3550084648727818, 1120.6692910497977, 7.8094832642310461, 128.06597035977092, 1.427888178185265
2100-Jan-02 01:00:00, 1291.2687944002603, 5.5374069573674962, 1163.1698253872439, 8.1056520040010511, 128.09896901301636, 1.4282561009576678
2100-Jan-02 02:00:00, 1334.307346530042, 5.7219711465061085, 1206.1754423738744, 8.4053404569704444, 128.13190415616765, 1.4286233156160228
2100-Jan-02 03:00:00, 1375.963454487382, 5.9006069371487229, 1247.7986785643211, 8.6953956668601791, 128.16477592306094, 1.4289898236525538
2100-Jan-02 04:00:00, 1416.9766839454342, 6.076485842555563, 1288.7790996625433, 8.9809713628158629, 128.19758428289086, 1.4293556247237922
2100-Jan-02 05:00:00, 1455.2835629404462, 6.2407589816431805, 1327.0532338966966, 9.2476880589381896, 128.23032904374963, 1.4297207166900374
2100-Jan-02 06:00:00, 1492.2746835658284, 6.3993896940092672, 1364.0116736967618, 9.5052362218046191, 128.26300986906648, 1.4300850957986497
2100-Jan-02 07:00:00, 1526.8251999509628, 6.5475542517228638, 1398.5295736452952, 9.7457772664440725, 128.29562630566755, 1.4304487569969084
2100-Jan-02 08:00:00, 1548.8801739041778, 6.6421336040178396, 1420.5519960838863, 9.8992424687526821, 128.32817782029147, 1.4308116943391465
2100-Jan-02 09:00:00, 1548.9133570023896, 6.6422759046137356, 1420.5526931601653, 9.8992473263905048, 128.36066384222443, 1.4311739014621161
2100-Jan-02 10:00:00, 1523.2504027602881, 6.5322242856300843, 1394.8573189511401, 9.7201868341862792, 128.39308380914795, 1.4315353720961745
2100-Jan-02 11:00:00, 1466.5916187146299, 6.2892518337819547, 1338.1661815010641, 9.3251296191073685, 128.4254372135658, 1.4318961005829265
2100-Jan-02 12:00:00, 1391.8955468504694, 5.9689292566219176, 1263.4378232032234, 8.8043784321592859, 128.4577236472459, 1.4322560823707353
2100-Jan-02 13:00:00, 1307.742437134101, 5.6080516320341092, 1179.2524942929979, 8.2177255074571871, 128.48994284110307, 1.4326153144594009
2100-Jan-02 14:00:00, 1210.1583449288637, 5.1895773116997068, 1081.6362502305892, 7.5374780603192786, 128.5220946982746, 1.4329737957689397
2100-Jan-02 15:00:00, 1116.10131710369, 4.7862282626658619, 987.54713778580333, 6.8818097424200806, 128.55417931788659, 1.433331527404571
2100-Jan-02 16:00:00, 1048.7157754015625, 4.4972557659513823, 920.1295783943408, 6.4120045055069417, 128.58619700722164, 1.4336885127923824
2100-Jan-02 17:00:00, 1015.9519490459047, 4.3567531527088272, 887.33380076443041, 6.1834642228528978, 128.61814828147433, 1.4340447576766027
