Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 773.14902515021004, 4.7890910855537454, 496.11005230383358, 6.9143737258192006, 277.03897284637645, 3.0888820278536109
2100-Jan-01 01:00:00, 778.92035234907212, 4.8248402241296029, 501.88093602088122, 6.9948035549722585, 277.0394163281909, 3.0888869725117298
2100-Jan-01 02:00:00, 785.21580179172133, 4.8638359155481989, 508.1801853161171, 7.082597308832117, 277.03561647560429, 3.0888446055615395
2100-Jan-01 03:00:00, 791.99519757117912, 4.9058292995358901, 514.9674076758655, 7.1771920297768075, 277.02778989531362, 3.0887573420875563
2100-Jan-01 04:00:00, 799.28470321423197, 4.9509824399494802, 522.26838087503722, 7.2789469872239225, 277.01632233919474, 3.0886294830804459
2100-Jan-01 05:00:00, 807.10764074267149, 4.99943979960665, 530.10591232007039, 7.3881800520392087, 277.0017284226011, 3.0884667663109644
2100-Jan-01 06:00:00, 815.28139754175515, 5.0500702273102487, 538.29678459877834, 7.5023376906769244, 276.98461294297681, 3.0882759350468052
2100-Jan-01 07:00:00, 823.61502109271248, 5.1016909122752159, 546.64938445595362, 7.6187493552391334, 276.96563663675886, 3.0880643562547334
2100-Jan-01 08:00:00, 831.25196319830729, 5.1489961667204227, 554.30647579199513, 7.7254675942755364, 276.94548740631217, 3.0878396997915565
2100-Jan-01 09:00:00, 836.32102296106268, 5.1803952736613317, 559.39616653228995, 7.7964035161820071, 276.92485642877273, 3.0876096720265673
2100-Jan-01 10:00:00, 837.56631366384363, 5.1881089361114041, 560.66189702488589, 7.8140442263859882, 276.90441663895768, 3.0873817759339559
2100-Jan-01 11:00:00, 833.79083008865064, 5.164722584780109, 556.90603150091704, 7.761698062916726, 276.88479858773366, 3.0871630419225466
2100-Jan-01 12:00:00, 825.6821849399339, 5.1144954759894157, 548.81562607132241, 7.6489406485611013, 276.86655886861149, 3.0869596758040156
2100-Jan-01 13:00:00, 814.63133944028414, 5.0460435942064406, 537.78119921827363, 7.4951518858503068, 276.85014022201045, 3.0867766139702004
2100-Jan-01 14:00:00, 802.19090721670614, 4.9689842419673331, 525.35507892475891, 7.3219668450063295, 276.83582829194722, 3.0866170412461824
2100-Jan-01 15:00:00, 790.18188804083059, 4.8945971771058652, 513.35817292470642, 7.1547638398410882, 276.82371511612416, 3.0864819838182846
2100-Jan-01 16:00:00, 780.02322694390261, 4.8316717232569033, 503.20954712905535, 7.0133206434600455, 276.81367981484726, 3.0863700939226506
2100-Jan-01 17:00:00, 772.7037372868466, 4.78633285387063, 495.89834380212295, 6.9114231069092176, 276.80539348472365, 3.086277704408162
2100-Jan-01 18:00:00, 768.54622310104139, 4.760580103136145, 491.74787281763247, 6.8535772571997251, 276.79835028340892, 3.0861991753198676
