Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 355.41636408781324, 2.9142373263242169, 167.74026416893366, 3.0946373129975164, 187.67609991887957, 2.7699187846206925
2100-Jan-01 01:00:00, 356.12671394978884, 2.9200618417143049, 168.42443641410384, 3.1072595952438862, 187.702277535685, 2.7703051410750166
2100-Jan-01 02:00:00, 356.92194272375013, 2.9265823219459706, 169.19459296756963, 3.1214682005481227, 187.72734975618053, 2.7706751829426421
2100-Jan-01 03:00:00, 357.79450520881937, 2.9337369001265934, 170.0431750319884, 3.137123676785158, 187.75133017683095, 2.7710291108943177
2100-Jan-01 04:00:00, 358.74675932275647, 2.9415449100084783, 170.97249262177399, 3.1542686413720689, 187.77426670098251, 2.7713676319373741
2100-Jan-01 05:00:00, 359.78344914264414, 2.9500452506629973, 171.98721423561909, 3.1729892233627326, 187.79623490702508, 2.7716918615361776
2100-Jan-01 06:00:00, 360.89320663603871, 2.9591447098809738, 173.07587545379397, 3.193073915870337, 187.81733118224474, 2.7720032222743951
2100-Jan-01 07:00:00, 362.05617331426072, 2.9686804579370438, 174.21850699150184, 3.2141543058954611, 187.83766632275885, 2.7723033493961875
2100-Jan-01 08:00:00, 363.20032100179037, 2.9780618996339787, 175.34296104922271, 3.2348993398979706, 187.85735995256766, 2.7725940084367813
2100-Jan-01 09:00:00, 364.1408629186418, 2.9857738753278826, 176.2643271104711, 3.2518976068686083, 187.87653580817067, 2.7728770256279365
2100-Jan-01 10:00:00, 364.68066583020453, 2.9901999905906735, 176.78534820761621, 3.2615099163285501, 187.89531762258832, 2.7731542271500649
2100-Jan-01 11:00:00, 364.62559010755524, 2.9897483970712506, 176.71176516771379, 3.2601523840627342, 187.91382493984142, 2.7734273773579736
2100-Jan-01 12:00:00, 363.9383182714526, 2.9841131100094347, 176.00615028734362, 3.2471345070001307, 187.93216798410899, 2.7736981030545635
2100-Jan-01 13:00:00, 362.71990581344267, 2.9741227341495495, 174.76946475268218, 3.2243189163667854, 187.95044106076051, 2.7739677960964149
2100-Jan-01 14:00:00, 361.14780925879131, 2.961232324694405, 173.17909441516701, 3.1949782007530181, 187.9687148436243, 2.7742374995612797
2100-Jan-01 15:00:00, 359.45176530238075, 2.9473256082224615, 171.46473639052834, 3.1633500383844377, 187.98702891185238, 2.7745077975993877
2100-Jan-01 16:00:00, 357.85250532192589, 2.9342124721925558, 169.84711893035626, 3.13350664106295, 188.00538639156963, 2.7747787363493353
2100-Jan-01 17:00:00, 356.52864808046274, 2.9233575015788693, 168.50489578400075, 3.1087439888061406, 188.02375229646196, 2.7750497994467667
2100-Jan-01 18:00:00, 355.58484438410795, 2.915618780916136, 167.54278797732906, 3.0909940780592859, 188.0420564067789, 2.7753199505156805
2100-Jan-01 19:00:00, 355.04002213481067, 2.9111515095816012, 166.97982157020982, 3.0806079202809675, 188.06020056460088, 2.7755877408395624
2100-Jan-01 20:00:00, 354.83940027093809, 2.9095065101295505, 166.76133093469343, 3.0765769902203792, 188.07806933624465, 2.7758514667282377
2100-Jan-01 21:00:00, 354.90124334617906, 2.9100135925727142, 166.80570100986216, 3.0773955729910574, 188.09554233631687, 2.7761093514090502
2100-Jan-01 22:00:00, 355.14860593849266, 2.9120418427392667, 167.03609969718397, 3.0816461944991627, 188.11250624130872, 2.7763597223359704
