Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 401.29396718947567, 3.2239340276074286, 203.2500927306921, 3.8998127148837103, 198.04387445878359, 2.7370961189554834
2100-Jan-01 01:00:00, 402.21032950535715, 3.2312959415491664, 204.13727403183799, 3.9168352946628011, 198.07305547351916, 2.7374994197008271
2100-Jan-01 02:00:00, 403.23506966674643, 3.2395285464370414, 205.13407652964804, 3.9359612050275175, 198.10099313709836, 2.7378855365184478
2100-Jan-01 03:00:00, 404.35840703489782, 3.2485532661232868, 206.23071118243405, 3.9570026210734306, 198.12769585246377, 2.7382545855425184
2100-Jan-01 04:00:00, 405.58329305906631, 3.2583938120973879, 207.43007895506878, 3.9800152043726675, 198.15321410399753, 2.7386072645002821
2100-Jan-01 05:00:00, 406.91574391371154, 3.2690985173798799, 208.73811101552658, 4.0051127577971961, 198.17763289818495, 2.7389447482370683
2100-Jan-01 06:00:00, 408.34105644179124, 3.2805492590679095, 210.13999270920169, 4.0320110286924562, 198.20106373258952, 2.7392685777222665
2100-Jan-01 07:00:00, 409.83361689894707, 3.292540260277788, 211.6099799391823, 4.0602160583343903, 198.2236369597648, 2.7395805545135841
2100-Jan-01 08:00:00, 411.30070462466961, 3.3043266174801351, 213.05520960689671, 4.0879460581506644, 198.2454950177729, 2.7398826471983759
2100-Jan-01 09:00:00, 412.5046458617179, 3.3139988962550793, 214.23785922918174, 4.1106378659244038, 198.26678663253614, 2.7401769112663459
2100-Jan-01 10:00:00, 413.19208326865441, 3.3195216626788921, 214.90442154293802, 4.1234273714617684, 198.28766172571639, 2.7404654187331015
2100-Jan-01 11:00:00, 413.11376115199096, 3.3188924348367843, 214.80549486610786, 4.1215292394266969, 198.30826628588306, 2.7407501872563342
2100-Jan-01 12:00:00, 412.22233352863867, 3.3117308423807539, 213.89359734129994, 4.1040324229965615, 198.32873618733873, 2.7410330947079422
2100-Jan-01 13:00:00, 410.64848170407828, 3.2990867588248789, 212.29929239936115, 4.0734420768843309, 198.34918930471713, 2.7413157701926041
2100-Jan-01 14:00:00, 408.62104691461752, 3.2827986594739822, 210.25133064978849, 4.0341472988929556, 198.36971626482904, 2.7415994662322309
2100-Jan-01 15:00:00, 406.43588681500239, 3.2652434192338693, 208.04551544961168, 3.991823745438388, 198.39037136539068, 2.7418849332568405
2100-Jan-01 16:00:00, 404.37700920742412, 3.2487027131170079, 205.96584338348904, 3.9519205333055414, 198.41116582393508, 2.7421723263000901
2100-Jan-01 17:00:00, 402.67401484486527, 3.2350211182683997, 204.24194957738106, 3.9188437317462084, 198.43206526748421, 2.7424611703048996
2100-Jan-01 18:00:00, 401.46120009847317, 3.2252775510838192, 203.008207569131, 3.8951716009933093, 198.45299252934217, 2.7427503987769657
2100-Jan-01 19:00:00, 400.76253346285591, 3.2196645707634421, 202.28869776001076, 3.881366178007311, 198.47383570284515, 2.743038465092865
2100-Jan-01 20:00:00, 400.50718242244722, 3.2176131197687408, 202.01272210529046, 3.8760709609040025, 198.49446031715675, 2.7433235107775218
2100-Jan-01 21:00:00, 400.58968804079626, 3.2182759572201163, 202.07496433606033, 3.8772652188730783, 198.51472370473593, 2.7436035640720324
2100-Jan-01 22:00:00, 400.91081548622583, 3.2208558457386749, 202.37632619903377, 3.8830475277970997, 198.53448928719209, 2.743876737373542
2100-Jan-01 23:00:00, 401.41352028884535, 3.2248944988247343, 202.85988159526579, 3.8923256317194186, 198.55363869357959, 2.7441413947180155
2100-Jan-02 00:00:00, 402.08756505098484, 3.2303096707995627, 203.515484726425, 3.9049048605525387, 198.57208032455986, 2.7443962701425715
2100-Jan-02 01:00:00, 402.93746517415491, 3.2371376377045871, 204.34771123440561, 3.9208730083348198, 198.5897539397493, 2.7446405310856332
2100-Jan-02 02:00:00, 403.95703185240649, 3.2453286796244321, 205.35040011935956, 3.9401118623499918, 198.60663173304692, 2.7448737932486651
2100-Jan-02 03:00:00, 405.13856007485657, 3.2548208956864215, 206.51584318883855, 3.9624735234925006, 198.62271688601803, 2.7450961006029839
2100-Jan-02 04:00:00, 406.46781722472122, 3.2654999432357847, 207.82977659985059, 3.9876843076743547, 198.6380406248706, 2.7453078847152463
2100-Jan-02 05:00:00, 407.92619070437502, 3.2772162915251579, 209.27353216672594, 4.0153860235320931, 198.65265853764905, 2.7455099138486516
2100-Jan-02 06:00:00, 409.5070616051396, 3.2899167652599721, 210.84041499809069, 4.0454502144330329, 198.6666466070489, 2.7457032381338418
2100-Jan-02 07:00:00, 411.18149430882761, 3.3033689001329831, 212.50139710570426, 4.0773199127708759, 198.68009720312335, 2.7458891341854801
2100-Jan-02 08:00:00, 412.83664200816116, 3.3166661022463608, 214.14352681277418, 4.1088278851662681, 198.69311519538698, 2.7460690513689765
2100-Jan-02 09:00:00, 414.25395980955756, 3.3280526155295225, 215.54814556008972, 4.135778672625948, 198.70581424946783, 2.7462445606177939
2100-Jan-02 10:00:00, 415.2042704947728, 3.3356872654504315, 216.48595736638188, 4.1537727131560658, 198.71831312839089, 2.7464173033147596
2100-Jan-02 11:00:00, 415.40624502327205, 3.3373098977558686, 216.67551363977307, 4.1574097789759392, 198.73073138349901, 2.7465889317377719
2100-Jan-02 12:00:00, 414.82921192695528, 3.3326741025873035, 216.08602829314603, 4.1460991693760718, 198.74318363380922, 2.7467610299967538
2100-Jan-02 13:00:00, 413.58412571213171, 3.3226712713875526, 214.82835379663888, 4.1219678397084278, 198.75577191549283, 2.7469350082984541
2100-Jan-02 14:00:00, 411.50370315743089, 3.3059574764783579, 212.73512670106578, 4.0818045436784898, 198.76857645636511, 2.7471119754438522
2100-Jan-02 15:00:00, 408.7752815359774, 3.284037756706168, 209.99363522036509, 4.0292028292559143, 198.78164631561231, 2.7472926094630488
2100-Jan-02 16:00:00, 405.9385298992147, 3.2612477302483014, 207.14353855340156, 3.9745172787051484, 198.79499134581317, 2.7474770465251392
2100-Jan-02 17:00:00, 403.49818613135733, 3.2416423836557366, 204.68960964023907, 3.9274331025141347, 198.80857649111823, 2.7476648021353114
2100-Jan-02 18:00:00, 401.71729118207412, 3.2273349474717348, 202.89497103569443, 3.8929989019949849, 198.8223201463797, 2.7478547484569495
2100-Jan-02 19:00:00, 400.65097465814057, 3.2187683244801502, 201.81487598138256, 3.8722748355530099, 198.83609867675801, 2.7480451767755558
2100-Jan-02 20:00:00, 400.22285060720145, 3.2153288416852144, 201.3730929632903, 3.8637982291808854, 198.84975764391115, 2.7482339526520425
2100-Jan-02 21:00:00, 400.30899215398574, 3.2160208896265621, 201.44586422240957, 3.865194510372095, 198.8631279315762, 2.7484187387888386
2100-Jan-02 22:00:00, 400.78172410793297, 3.2198187454551501, 201.90568055746891, 3.8740171267157524, 198.87604355046409, 2.7485972411051991
2100-Jan-02 23:00:00, 401.55430525387231, 3.2260255435860219, 202.6659473402382, 3.8886045644202749, 198.88835791363411, 2.748767433673549
2100-Jan-03 00:00:00, 402.54823745059196, 3.2340106420229144, 203.64828113255737, 3.9074528599466252, 198.89995631803455, 2.7489277312225506
2100-Jan-03 01:00:00, 403.68974344886715, 3.2431813256898825, 204.77897983658767, 3.9291478718575057, 198.91076361227951, 2.7490770951108057
2100-Jan-03 02:00:00, 404.92441511471691, 3.2531004880045664, 206.00366801723226, 3.9526462844509691, 198.92074709748465, 2.7492150734183061
2100-Jan-03 03:00:00, 406.22242674238112, 3.2635285138330254, 207.29251139752645, 3.9773756596479823, 198.92991534485466, 2.749341784604717
2100-Jan-03 04:00:00, 407.57236412627822, 3.2743737032027185, 208.6340501927846, 4.0031161155610313, 198.93831393349359, 2.7494578586031233
2100-Jan-03 05:00:00, 408.97078597436666, 3.2856084093025322, 210.02476673012768, 4.0298001576800964, 198.94601924423895, 2.7495643510467502
2100-Jan-03 06:00:00, 410.43901980724627, 3.2974039741535481, 211.48588841703528, 4.0578350818271893, 198.95313139021096, 2.7496626455645212
2100-Jan-03 07:00:00, 411.96387105768531, 3.3096543946314845, 213.00410389086028, 4.0869654794039372, 198.95976716682503, 2.7497543563456111
2100-Jan-03 08:00:00, 413.47529284178529, 3.3217969248418284, 214.50923919916437, 4.1158449044220706, 198.96605364262095, 2.7498412395605043
2100-Jan-03 09:00:00, 414.82118604684308, 3.332609623900578, 215.84906333869546, 4.1415524607870005, 198.97212270814765, 2.7499251180230129
2100-Jan-03 10:00:00, 415.80947147936956, 3.3405493571022147, 216.83136498701438, 4.160400139558007, 198.97810649235521, 2.7500078178418077
2100-Jan-03 11:00:00, 416.27879960987264, 3.3443198671366399, 217.29466647702742, 4.1692896264817421, 198.98413313284519, 2.7500911099625083
2100-Jan-03 12:00:00, 416.11820387628097, 3.3430296657068981, 217.1278817306048, 4.1660894839085749, 198.99032214567615, 2.7501766461753605
2100-Jan-03 13:00:00, 415.28304702487355, 3.3363201439802217, 216.28626819871127, 4.1499412248421184, 198.99677882616228, 2.7502658817306043
2100-Jan-03 14:00:00, 413.81308560630771, 3.3245106999714436, 214.80949794285914, 4.1216060475078322, 199.00358766344857, 2.7503599843235866
2100-Jan-03 15:00:00, 411.87503873377284, 3.3089407294004354, 212.86423339696998, 4.0842817476369202, 199.01080533680283, 2.7504597372989306
2100-Jan-03 16:00:00, 409.7457812392056, 3.2918346020934375, 210.72732695459024, 4.0432803645499691, 199.01845428461536, 2.750565450769892
2100-Jan-03 17:00:00, 407.7694171763485, 3.2759567971072063, 208.74289906315752, 4.0052046273200075, 199.026518113191, 2.7506768981648628
2100-Jan-03 18:00:00, 406.202657063934, 3.2633696872762576, 207.16771681546209, 3.9749811933461734, 199.03494024847188, 2.7507932975932907
2100-Jan-03 19:00:00, 405.15525873469494, 3.2549550501519007, 206.11163170866115, 3.9547178120499162, 199.04362702603376, 2.7509133545514559
