Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 31.642384169614324, 2.9106452084050289, 15.710192960576867, 3.2214142389634324, 15.932191209037457, 2.6578187456387625
2100-Jan-01 01:00:00, 31.996352041345634, 2.9432051724160031, 16.064675027847866, 3.2941016707365209, 15.931677013497769, 2.6577329671964645
2100-Jan-01 02:00:00, 32.388544378386285, 2.9792812386334386, 16.457598583690878, 3.3746716255927818, 15.930945794695408, 2.6576109847889864
2100-Jan-01 03:00:00, 32.814443664995416, 3.0184578604450909, 16.884453952558356, 3.4621993833165918, 15.929989712437058, 2.6574514905100592
2100-Jan-01 04:00:00, 33.253892568757948, 3.0588808525691653, 17.325080940611926, 3.5525510458931935, 15.92881162814602, 2.6572549617042234
2100-Jan-01 05:00:00, 33.708039166048778, 3.1006558215548261, 17.780615137820973, 3.645959468877332, 15.927424028227801, 2.6570234813619589
2100-Jan-01 06:00:00, 34.162960584241809, 3.1425020629431692, 18.237112812647112, 3.739565455349227, 15.925847771594695, 2.6567605291809038
2100-Jan-01 07:00:00, 34.596872552893721, 3.182415736503807, 18.6727617743934, 3.8288963612191189, 15.924110778500321, 2.6564707628363564
2100-Jan-01 08:00:00, 34.936914887393357, 3.2136947509504066, 19.014668167985878, 3.8990051197477604, 15.922246719407479, 2.65615979925734
2100-Jan-01 09:00:00, 35.085172161569112, 3.2273322923688323, 19.16487846951598, 3.9298061166166294, 15.920293692053134, 2.6558339939337019
2100-Jan-01 10:00:00, 34.99031178498889, 3.2186064991706744, 19.072019017323143, 3.910765054405172, 15.918292767665744, 2.6555001983951199
2100-Jan-01 11:00:00, 34.615392679291382, 3.1841193223293711, 18.69910652528602, 3.8342984180786619, 15.916286154005364, 2.6551654537682299
2100-Jan-01 12:00:00, 34.01582221176664, 3.1289674444225892, 18.10150745175531, 3.7117592379747602, 15.914314760011331, 2.6548365845095301
2100-Jan-01 13:00:00, 33.272756873372543, 3.0606160978510011, 17.360341691252142, 3.5597813507324765, 15.912415182120403, 2.6545196956609676
2100-Jan-01 14:00:00, 32.478603630978775, 2.9875653973310183, 16.567987186204771, 3.3973070837854271, 15.910616444774003, 2.654219629099186
2100-Jan-01 15:00:00, 31.750679987556836, 2.9206068693814915, 15.841742916438523, 3.2483888854245659, 15.908937071118313, 2.6539394748677645
2100-Jan-01 16:00:00, 31.183420706769294, 2.8684271569205997, 15.276037644096258, 3.1323896087795804, 15.907383062673036, 2.6536802341442165
2100-Jan-01 17:00:00, 30.84593223077038, 2.8373830608027903, 14.939985010336533, 3.0634811783006342, 15.905947220433845, 2.6534407059858465
2100-Jan-01 18:00:00, 30.742667576784026, 2.8278841947024409, 14.838057555503669, 3.0425806995373335, 15.904610021280357, 2.6532176335327127
2100-Jan-01 19:00:00, 30.829350034864838, 2.8358577367690962, 14.926008056145458, 3.0606151689930807, 15.903341978719382, 2.6530060978283889
2100-Jan-01 20:00:00, 31.033989671221732, 2.8546816463019282, 15.131882543236721, 3.1028302459064796, 15.90210712798501, 2.6528000992066789
2100-Jan-01 21:00:00, 31.303070108066137, 2.8794331846177039, 15.402203061414278, 3.1582601421863266, 15.900867046651857, 2.6525932280129978
2100-Jan-01 22:00:00, 31.598815799474366, 2.9066375436504983, 15.699231058538967, 3.2191664736177343, 15.899584740935401, 2.6523793129195798
2100-Jan-01 23:00:00, 31.908996095248597, 2.9351696791178341, 16.010768245404844, 3.2830479505833421, 15.898227849843751, 2.6521529554442105
2100-Jan-02 00:00:00, 32.247871044313769, 2.9663413108589154, 16.351100162662856, 3.3528338588137419, 15.896770881650914, 2.6519099030401869
2100-Jan-02 01:00:00, 32.623514355505947, 3.0008951042118466, 16.728317883340605, 3.430183293007834, 15.895196472165338, 2.6516472590015123
2100-Jan-02 02:00:00, 33.024373246273313, 3.0377683689887469, 17.130877389154264, 3.5127291234322229, 15.893495857119053, 2.6513635612671687
2100-Jan-02 03:00:00, 33.435739312993434, 3.0756081431530822, 17.544070501678906, 3.5974554014269411, 15.891668811314524, 2.6510587722695536
2100-Jan-02 04:00:00, 33.857973805797087, 3.1144476565321799, 17.968250567119963, 3.6844345815124595, 15.889723238677128, 2.6507342105467604
