Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 52.845269804399855, 2.6238457083077402, 32.180004234510889, 2.6403153196539741, 20.665265569888966, 2.5986043442112843
2100-Jan-01 01:00:00, 53.365381088935088, 2.6496700018882522, 32.697940039803292, 2.6828110829032616, 20.667441049131796, 2.5988779051675683
2100-Jan-01 02:00:00, 53.935270069037728, 2.6779658315848147, 33.265797952068631, 2.7294028712142455, 20.669472116969093, 2.5991333067585876
2100-Jan-01 03:00:00, 54.554663938745961, 2.7087196521784369, 33.883322090156717, 2.7800696899681578, 20.671341848589243, 2.5993684207325263
2100-Jan-01 04:00:00, 55.208955436558696, 2.7412061915578847, 34.535914247974667, 2.8336137808643582, 20.673041188584026, 2.5995821083949373
2100-Jan-01 05:00:00, 55.892395665241807, 2.7751400084832691, 35.217826873496925, 2.8895635669088553, 20.674568791744885, 2.5997742005892821
2100-Jan-01 06:00:00, 56.590665923442081, 2.809810158280956, 35.914735344372289, 2.9467437368876865, 20.675930579069792, 2.5999454418659274
2100-Jan-01 07:00:00, 57.279011950662067, 2.8439875553504939, 36.601872850632553, 3.0031222156245581, 20.677139100029514, 2.6000974102887566
2100-Jan-01 08:00:00, 57.8842523419234, 2.8740386348318467, 37.206039574446315, 3.0526930809633477, 20.678212767477085, 2.6002324212269929
2100-Jan-01 09:00:00, 58.284816440917965, 2.8939272340563233, 37.605641442792134, 3.085479743359878, 20.679174998125827, 2.6003534192725053
2100-Jan-01 10:00:00, 58.374947658030408, 2.8984023821269145, 37.694894429166396, 3.0928028010428879, 20.680053228864015, 2.6004638545438916
2100-Jan-01 11:00:00, 58.073814742623867, 2.883450688046362, 37.39293704119612, 3.0680277043234909, 20.680877701427747, 2.6005675298621957
2100-Jan-01 12:00:00, 57.393463506838259, 2.849670244181369, 36.711783624514318, 3.0121402100896995, 20.681679882323937, 2.6006684020602631
2100-Jan-01 13:00:00, 56.41476533500267, 2.8010764342262986, 35.732274873014575, 2.9317731615500859, 20.682490461988099, 2.6007703303819434
2100-Jan-01 14:00:00, 55.259500448838409, 2.7437158260821737, 34.576163418410474, 2.8369161577233104, 20.683337030427932, 2.600876784200211
2100-Jan-01 15:00:00, 54.086558892133922, 2.6854775451339208, 33.402317193715668, 2.7406040457859273, 20.684241698418251, 2.6009905438885035
2100-Jan-01 16:00:00, 53.053094505680036, 2.6341645117229313, 32.367875470352146, 2.6557298391331861, 20.685219035327894, 2.6011134415077266
2100-Jan-01 17:00:00, 52.291434625554146, 2.5963469735581035, 31.605159934741845, 2.5931503099779261, 20.686274690812304, 2.6012461874876176
