Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 440.00895726369339, 5.4084383816529762, null, null, 440.00895726369339, 5.4084383816529762
2100-Jan-01 01:00:00, 441.32157280962878, 5.4245725993360416, null, null, 441.32157280962878, 5.4245725993360416
2100-Jan-01 02:00:00, 442.78861996463178, 5.4426050371076622, null, null, 442.78861996463178, 5.4426050371076622
2100-Jan-01 03:00:00, 444.38788272780323, 5.4622626235451612, null, null, 444.38788272780323, 5.4622626235451612
2100-Jan-01 04:00:00, 446.12100493410537, 5.4835655641010783, null, null, 446.12100493410537, 5.4835655641010783
2100-Jan-01 05:00:00, 447.99251703484697, 5.5065695455207404, null, null, 447.99251703484697, 5.5065695455207404
2100-Jan-01 06:00:00, 449.95497150661129, 5.5306913592068554, null, null, 449.95497150661129, 5.5306913592068554
2100-Jan-01 07:00:00, 451.96126790328884, 5.5553520627167163, null, null, 451.96126790328884, 5.5553520627167163
2100-Jan-01 08:00:00, 453.82161745291069, 5.5782188379070128, null, null, 453.82161745291069, 5.5782188379070128
2100-Jan-01 09:00:00, 455.10135343108516, 5.5939489112804806, null, null, 455.10135343108516, 5.5939489112804806
2100-Jan-01 10:00:00, 455.46529432744308, 5.5984223472867747, null, null, 455.46529432744308, 5.5984223472867747
2100-Jan-01 11:00:00, 454.60081025067996, 5.5877964071009902, null, null, 454.60081025067996, 5.5877964071009902
2100-Jan-01 12:00:00, 452.60769698303841, 5.5632977460675193, null, null, 452.60769698303841, 5.5632977460675193
2100-Jan-01 13:00:00, 449.79022816806634, 5.5286663908951894, null, null, 449.79022816806634, 5.5286663908951894
2100-Jan-01 14:00:00, 446.50831021673201, 5.4883261870870319, null, null, 446.50831021673201, 5.4883261870870319
2100-Jan-01 15:00:00, 443.21342010952861, 5.4478265340119059, null, null, 443.21342010952861, 5.4478265340119059
2100-Jan-01 16:00:00, 440.29016876876125, 5.4118949365077444, null, null, 440.29016876876125, 5.4118949365077444
2100-Jan-01 17:00:00, 438.0316010850579, 5.3841334013243101, null, null, 438.0316010850579, 5.3841334013243101
2100-Jan-01 18:00:00, 436.56759667410614, 5.3661383639133886, null, null, 436.56759667410614, 5.3661383639133886
2100-Jan-01 19:00:00, 435.8499449833422, 5.3573172367865158, null, null, 435.8499449833422, 5.3573172367865158
2100-Jan-01 20:00:00, 435.70433204102159, 5.3555274127088204, null, null, 435.70433204102159, 5.3555274127088204
2100-Jan-01 21:00:00, 435.96281088932034, 5.3587045455851099, null, null, 435.96281088932034, 5.3587045455851099
2100-Jan-01 22:00:00, 436.49615710563506, 5.36526025337107, null, null, 436.49615710563506, 5.36526025337107
2100-Jan-01 23:00:00, 437.2597929566453, 5.3746466019397312, null, null, 437.2597929566453, 5.3746466019397312
2100-Jan-02 00:00:00, 438.27449513455599, 5.3871189712275909, null, null, 438.27449513455599, 5.3871189712275909
2100-Jan-02 01:00:00, 439.54614023786786, 5.4027495943570907, null, null, 439.54614023786786, 5.4027495943570907
2100-Jan-02 02:00:00, 441.043652575164, 5.4211564996446517, null, null, 441.043652575164, 5.4211564996446517
2100-Jan-02 03:00:00, 442.748088491099, 5.4421068382107967, null, null, 442.748088491099, 5.4421068382107967
2100-Jan-02 04:00:00, 444.63359032543241, 5.4652827766119199, null, null, 444.63359032543241, 5.4652827766119199
2100-Jan-02 05:00:00, 446.66633097916906, 5.4902685238112143, null, null, 446.66633097916906, 5.4902685238112143
2100-Jan-02 06:00:00, 448.8493642603114, 5.517101616163651, null, null, 448.8493642603114, 5.517101616163651
2100-Jan-02 07:00:00, 451.12225358422171, 5.5450391880102146, null, null, 451.12225358422171, 5.5450391880102146
2100-Jan-02 08:00:00, 453.29069869340202, 5.5716929675830924, null, null, 453.29069869340202, 5.5716929675830924
2100-Jan-02 09:00:00, 454.96055548993996, 5.5922182715369564, null, null, 454.96055548993996, 5.5922182715369564
2100-Jan-02 10:00:00, 455.79220062747089, 5.6024405668050088, null, null, 455.79220062747089, 5.6024405668050088
2100-Jan-02 11:00:00, 455.36838699301052, 5.5972311957468879, null, null, 455.36838699301052, 5.5972311957468879
2100-Jan-02 12:00:00, 453.85468506882683, 5.5786252936396936, null, null, 453.85468506882683, 5.5786252936396936
2100-Jan-02 13:00:00, 451.5042094278142, 5.5497340575361189, null, null, 451.5042094278142, 5.5497340575361189
2100-Jan-02 14:00:00, 447.92771146689768, 5.5057729778253428, null, null, 447.92771146689768, 5.5057729778253428
2100-Jan-02 15:00:00, 443.66344617387563, 5.453358099219793, null, null, 443.66344617387563, 5.453358099219793
2100-Jan-02 16:00:00, 439.69288955908752, 5.4045533864123749, null, null, 439.69288955908752, 5.4045533864123749
2100-Jan-02 17:00:00, 436.60661224029053, 5.3666179297998324, null, null, 436.60661224029053, 5.3666179297998324
2100-Jan-02 18:00:00, 434.56948183022649, 5.3415782252294095, null, null, 434.56948183022649, 5.3415782252294095
2100-Jan-02 19:00:00, 433.53158480287038, 5.3288207528500635, null, null, 433.53158480287038, 5.3288207528500635
2100-Jan-02 20:00:00, 433.31284988383169, 5.3261321386479947, null, null, 433.31284988383169, 5.3261321386479947
2100-Jan-02 21:00:00, 433.72219850526369, 5.3311637107537031, null, null, 433.72219850526369, 5.3311637107537031
2100-Jan-02 22:00:00, 434.58660857831961, 5.3417887413114364, null, null, 434.58660857831961, 5.3417887413114364
2100-Jan-02 23:00:00, 435.78404109425657, 5.3565071689064263, null, null, 435.78404109425657, 5.3565071689064263
2100-Jan-03 00:00:00, 437.22187619861933, 5.3741805422242859, null, null, 437.22187619861933, 5.3741805422242859
2100-Jan-03 01:00:00, 438.8216930595309, 5.3938449394401466, null, null, 438.8216930595309, 5.3938449394401466
2100-Jan-03 02:00:00, 440.53278954163989, 5.4148771473890482, null, null, 440.53278954163989, 5.4148771473890482
2100-Jan-03 03:00:00, 442.32709258809689, 5.4369321017361694, null, null, 442.32709258809689, 5.4369321017361694
