Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 348.35560337505791, 3.8840360672431329, null, null, 348.35560337505791, 3.8840360672431329
2100-Jan-01 01:00:00, 348.8132228663361, 3.8891383552269558, null, null, 348.8132228663361, 3.8891383552269558
2100-Jan-01 02:00:00, 349.32235676072736, 3.8948150097423779, null, null, 349.32235676072736, 3.8948150097423779
2100-Jan-01 03:00:00, 349.87213943100119, 3.9009448830666478, null, null, 349.87213943100119, 3.9009448830666478
2100-Jan-01 04:00:00, 350.45877065310788, 3.9074856041079, null, null, 350.45877065310788, 3.9074856041079
2100-Jan-01 05:00:00, 351.08182002381602, 3.914432374029376, null, null, 351.08182002381602, 3.914432374029376
2100-Jan-01 06:00:00, 351.73415521314791, 3.9217056699911725, null, null, 351.73415521314791, 3.9217056699911725
2100-Jan-01 07:00:00, 352.40532056933819, 3.9291889153452613, null, null, 352.40532056933819, 3.9291889153452613
2100-Jan-01 08:00:00, 353.0601878723395, 3.9364904434374526, null, null, 353.0601878723395, 3.9364904434374526
2100-Jan-01 09:00:00, 353.60762327913773, 3.9425941456425839, null, null, 353.60762327913773, 3.9425941456425839
2100-Jan-01 10:00:00, 353.94635343047941, 3.9463708614815922, null, null, 353.94635343047941, 3.9463708614815922
2100-Jan-01 11:00:00, 353.97446291823411, 3.9466842718680284, null, null, 353.97446291823411, 3.9466842718680284
2100-Jan-01 12:00:00, 353.66310789542882, 3.9432127785819251, null, null, 353.66310789542882, 3.9432127785819251
2100-Jan-01 13:00:00, 353.05699117241454, 3.9364548014162413, null, null, 353.05699117241454, 3.9364548014162413
2100-Jan-01 14:00:00, 352.24301116799739, 3.9273792255835565, null, null, 352.24301116799739, 3.9273792255835565
2100-Jan-01 15:00:00, 351.34129423131679, 3.9173254154235382, null, null, 351.34129423131679, 3.9173254154235382
2100-Jan-01 16:00:00, 350.47304325575232, 3.9076447383457515, null, null, 350.47304325575232, 3.9076447383457515
2100-Jan-01 17:00:00, 349.74001734605804, 3.8994717707118394, null, null, 349.74001734605804, 3.8994717707118394
2100-Jan-01 18:00:00, 349.20634657704022, 3.8935215391243001, null, null, 349.20634657704022, 3.8935215391243001
2100-Jan-01 19:00:00, 348.88961438348502, 3.8899900923741786, null, null, 348.88961438348502, 3.8899900923741786
2100-Jan-01 20:00:00, 348.76676308162826, 3.888620345820093, null, null, 348.76676308162826, 3.888620345820093
2100-Jan-01 21:00:00, 348.79794304117183, 3.8889679908307349, null, null, 348.79794304117183, 3.8889679908307349
2100-Jan-01 22:00:00, 348.94299623180808, 3.8905852802288137, null, null, 348.94299623180808, 3.8905852802288137
2100-Jan-01 23:00:00, 349.17588766615694, 3.8931819335393936, null, null, 349.17588766615694, 3.8931819335393936
2100-Jan-02 00:00:00, 349.48799971983493, 3.8966618674395854, null, null, 349.48799971983493, 3.8966618674395854
2100-Jan-02 01:00:00, 349.87652277377447, 3.9009937557164962, null, null, 349.87652277377447, 3.9009937557164962
2100-Jan-02 02:00:00, 350.33530064166138, 3.9061089591708447, null, null, 350.33530064166138, 3.9061089591708447
2100-Jan-02 03:00:00, 350.85876311567131, 3.9119453720466666, null, null, 350.85876311567131, 3.9119453720466666
2100-Jan-02 04:00:00, 351.44007193585242, 3.9184267502760246, null, null, 351.44007193585242, 3.9184267502760246
2100-Jan-02 05:00:00, 352.07087894636595, 3.9254600150105854, null, null, 352.07087894636595, 3.9254600150105854
2100-Jan-02 06:00:00, 352.74786015110953, 3.9330081049238652, null, null, 352.74786015110953, 3.9330081049238652
2100-Jan-02 07:00:00, 353.45975927850287, 3.9409455167531724, null, null, 353.45975927850287, 3.9409455167531724
2100-Jan-02 08:00:00, 354.16263725916957, 3.9487823461347888, null, null, 354.16263725916957, 3.9487823461347888
2100-Jan-02 09:00:00, 354.77161890448588, 3.9555722661239643, null, null, 354.77161890448588, 3.9555722661239643
2100-Jan-02 10:00:00, 355.19455749730906, 3.9602878749238197, null, null, 355.19455749730906, 3.9602878749238197
2100-Jan-02 11:00:00, 355.31767457696844, 3.9616605848020523, null, null, 355.31767457696844, 3.9616605848020523
2100-Jan-02 12:00:00, 355.11794412301981, 3.959433664151581, null, null, 355.11794412301981, 3.959433664151581
2100-Jan-02 13:00:00, 354.63311280133621, 3.9540279743285849, null, null, 354.63311280133621, 3.9540279743285849
2100-Jan-02 14:00:00, 353.79785775006701, 3.9447151895964163, null, null, 353.79785775006701, 3.9447151895964163
2100-Jan-02 15:00:00, 352.67461357133635, 3.9321914326645846, null, null, 352.67461357133635, 3.9321914326645846
2100-Jan-02 16:00:00, 351.47726340741877, 3.9188414214211362, null, null, 351.47726340741877, 3.9188414214211362
2100-Jan-02 17:00:00, 350.41210263084434, 3.9069652729293503, null, null, 350.41210263084434, 3.9069652729293503
2100-Jan-02 18:00:00, 349.59921230437038, 3.8979018466024926, null, null, 349.59921230437038, 3.8979018466024926
2100-Jan-02 19:00:00, 349.07921542013275, 3.8921040737701764, null, null, 349.07921542013275, 3.8921040737701764
2100-Jan-02 20:00:00, 348.83536111307433, 3.8893851884857398, null, null, 348.83536111307433, 3.8893851884857398
2100-Jan-02 21:00:00, 348.82415269591172, 3.8892602187820966, null, null, 348.82415269591172, 3.8892602187820966
2100-Jan-02 22:00:00, 348.99489782715477, 3.8911639638105355, null, null, 348.99489782715477, 3.8911639638105355
2100-Jan-02 23:00:00, 349.30931642654599, 3.8946696148418836, null, null, 349.30931642654599, 3.8946696148418836
2100-Jan-03 00:00:00, 349.73262287460926, 3.8993893250915392, null, null, 349.73262287460926, 3.8993893250915392
2100-Jan-03 01:00:00, 350.23117569586412, 3.9049480045570593, null, null, 350.23117569586412, 3.9049480045570593
2100-Jan-03 02:00:00, 350.7785716005846, 3.9110512663286414, null, null, 350.7785716005846, 3.9110512663286414
2100-Jan-03 03:00:00, 351.35782210363192, 3.9175096950836465, null, null, 351.35782210363192, 3.9175096950836465
2100-Jan-03 04:00:00, 351.95963380760685, 3.9242196728801311, null, null, 351.95963380760685, 3.9242196728801311
2100-Jan-03 05:00:00, 352.57931024654897, 3.9311288358605831, null, null, 352.57931024654897, 3.9311288358605831
2100-Jan-03 06:00:00, 353.22340583430753, 3.9383102633139346, null, null, 353.22340583430753, 3.9383102633139346
2100-Jan-03 07:00:00, 353.88761489392249, 3.9457159485354136, null, null, 353.88761489392249, 3.9457159485354136
2100-Jan-03 08:00:00, 354.54468919900057, 3.9530420838840512, null, null, 354.54468919900057, 3.9530420838840512
2100-Jan-03 09:00:00, 355.13562146752139, 3.9596307600012013, null, null, 355.13562146752139, 3.9596307600012013
2100-Jan-03 10:00:00, 355.58399268365298, 3.9646299331395012, null, null, 355.58399268365298, 3.9646299331395012
2100-Jan-03 11:00:00, 355.82338089259616, 3.9672990230826506, null, null, 355.82338089259616, 3.9672990230826506
2100-Jan-03 12:00:00, 355.80610691003864, 3.9671064245694403, null, null, 355.80610691003864, 3.9671064245694403
2100-Jan-03 13:00:00, 355.51007454852584, 3.9638057732865359, null, null, 355.51007454852584, 3.9638057732865359
2100-Jan-03 14:00:00, 354.94704581493488, 3.9575282112580386, null, null, 354.94704581493488, 3.9575282112580386
2100-Jan-03 15:00:00, 354.17961078683845, 3.9489715946871748, null, null, 354.17961078683845, 3.9489715946871748
2100-Jan-03 16:00:00, 353.31695414727608, 3.9393532923856052, null, null, 353.31695414727608, 3.9393532923856052
2100-Jan-03 17:00:00, 352.49886188241032, 3.930231866370677, null, null, 352.49886188241032, 3.930231866370677
2100-Jan-03 18:00:00, 351.83644513193514, 3.9228461647328552, null, null, 351.83644513193514, 3.9228461647328552
2100-Jan-03 19:00:00, 351.38354992880721, 3.9177965508136658, null, null, 351.38354992880721, 3.9177965508136658
2100-Jan-03 20:00:00, 351.14538421746278, 3.9151410912663525, null, null, 351.14538421746278, 3.9151410912663525
2100-Jan-03 21:00:00, 351.10917205378706, 3.914737339041825, null, null, 351.10917205378706, 3.914737339041825
2100-Jan-03 22:00:00, 351.25326647076093, 3.9163439384683665, null, null, 351.25326647076093, 3.9163439384683665
2100-Jan-03 23:00:00, 351.54697385905109, 3.9196186671602042, null, null, 351.54697385905109, 3.9196186671602042
2100-Jan-04 00:00:00, 351.95194372403387, 3.9241339312940386, null, null, 351.95194372403387, 3.9241339312940386
2100-Jan-04 01:00:00, 352.44254960156127, 3.9296040052777959, null, null, 352.44254960156127, 3.9296040052777959
2100-Jan-04 02:00:00, 352.99822002678974, 3.9357995248910229, null, null, 352.99822002678974, 3.9357995248910229
2100-Jan-04 03:00:00, 353.59561244097, 3.9424602292416728, null, null, 353.59561244097, 3.9424602292416728
2100-Jan-04 04:00:00, 354.21482397172457, 3.9493642086678746, null, null, 354.21482397172457, 3.9493642086678746
2100-Jan-04 05:00:00, 354.84389192298994, 3.9563780835353644, null, null, 354.84389192298994, 3.9563780835353644
2100-Jan-04 06:00:00, 355.47988061823037, 3.9634691221371265, null, null, 355.47988061823037, 3.9634691221371265
2100-Jan-04 07:00:00, 356.11837170319899, 3.9705880614583386, null, null, 356.11837170319899, 3.9705880614583386
2100-Jan-04 08:00:00, 356.75387228526932, 3.9776736577788827, null, null, 356.75387228526932, 3.9776736577788827
2100-Jan-04 09:00:00, 357.35661393489067, 3.9843940041251948, null, null, 357.35661393489067, 3.9843940041251948
2100-Jan-04 10:00:00, 357.88080552028498, 3.990238546323142, null, null, 357.88080552028498, 3.990238546323142
2100-Jan-04 11:00:00, 358.25057299810408, 3.9943613168668861, null, null, 358.25057299810408, 3.9943613168668861
2100-Jan-04 12:00:00, 358.42616195450518, 3.9963190687533605, null, null, 358.42616195450518, 3.9963190687533605
2100-Jan-04 13:00:00, 358.41706352591927, 3.9962176246415377, null, null, 358.41706352591927, 3.9962176246415377
2100-Jan-04 14:00:00, 358.2599081766968, 3.9944654006536746, null, null, 358.2599081766968, 3.9944654006536746
2100-Jan-04 15:00:00, 358.0059068520095, 3.9916333798776207, null, null, 358.0059068520095, 3.9916333798776207
2100-Jan-04 16:00:00, 357.71793688189246, 3.9884226212752587, null, null, 357.71793688189246, 3.9884226212752587
2100-Jan-04 17:00:00, 357.46356365380387, 3.9855864539139048, null, null, 357.46356365380387, 3.9855864539139048
2100-Jan-04 18:00:00, 357.28461040540066, 3.9835911914165765, null, null, 357.28461040540066, 3.9835911914165765
2100-Jan-04 19:00:00, 357.19751271039939, 3.9826200843481638, null, null, 357.19751271039939, 3.9826200843481638
2100-Jan-04 20:00:00, 357.21168959627556, 3.9827781513794696, null, null, 357.21168959627556, 3.9827781513794696
2100-Jan-04 21:00:00, 357.32282299019482, 3.9840172475963107, null, null, 357.32282299019482, 3.9840172475963107
2100-Jan-04 22:00:00, 357.52416207638322, 3.9862621039009749, null, null, 357.52416207638322, 3.9862621039009749
2100-Jan-04 23:00:00, 357.79765046183786, 3.9893113981933199, null, null, 357.79765046183786, 3.9893113981933199
2100-Jan-05 00:00:00, 358.11605469357806, 3.9928614875504596, null, null, 358.11605469357806, 3.9928614875504596
2100-Jan-05 01:00:00, 358.45796511642106, 3.9966736622398349, null, null, 358.45796511642106, 3.9966736622398349
2100-Jan-05 02:00:00, 358.8163143930725, 4.0006691240659107, null, null, 358.8163143930725, 4.0006691240659107
2100-Jan-05 03:00:00, 359.18505940047783, 4.0047804944429108, null, null, 359.18505940047783, 4.0047804944429108
2100-Jan-05 04:00:00, 359.56383641207589, 4.0090037179542763, null, null, 359.56383641207589, 4.0090037179542763
2100-Jan-05 05:00:00, 359.9560428922448, 4.0133766750705782, null, null, 359.9560428922448, 4.0133766750705782
2100-Jan-05 06:00:00, 360.36578654529035, 4.0179451651747531, null, null, 360.36578654529035, 4.0179451651747531
2100-Jan-05 07:00:00, 360.79055070660655, 4.0226811283877462, null, null, 360.79055070660655, 4.0226811283877462
2100-Jan-05 08:00:00, 361.21591790309958, 4.0274238152198061, null, null, 361.21591790309958, 4.0274238152198061
2100-Jan-05 09:00:00, 361.58876689750105, 4.0315809435331156, null, null, 361.58876689750105, 4.0315809435331156
2100-Jan-05 10:00:00, 361.81491340047523, 4.034102393354857, null, null, 361.81491340047523, 4.034102393354857
2100-Jan-05 11:00:00, 361.80949625688163, 4.0340419942084242, null, null, 361.80949625688163, 4.0340419942084242
2100-Jan-05 12:00:00, 361.56490626113322, 4.0313149062673386, null, null, 361.56490626113322, 4.0313149062673386
2100-Jan-05 13:00:00, 361.13011357419128, 4.0264671287047147, null, null, 361.13011357419128, 4.0264671287047147
2100-Jan-05 14:00:00, 360.53965158593883, 4.0198836960385274, null, null, 360.53965158593883, 4.0198836960385274
2100-Jan-05 15:00:00, 359.84569466021884, 4.0121463331182943, null, null, 359.84569466021884, 4.0121463331182943
2100-Jan-05 16:00:00, 359.12069824666298, 4.0040628913949785, null, null, 359.12069824666298, 4.0040628913949785
2100-Jan-05 17:00:00, 358.44657707182853, 3.99654668975682, null, null, 358.44657707182853, 3.99654668975682
2100-Jan-05 18:00:00, 357.88560561347327, 3.9902920655858978, null, null, 357.88560561347327, 3.9902920655858978
2100-Jan-05 19:00:00, 357.47065215999288, 3.9856654881347819, null, null, 357.47065215999288, 3.9856654881347819
2100-Jan-05 20:00:00, 357.20988120310511, 3.9827579884648223, null, null, 357.20988120310511, 3.9827579884648223
2100-Jan-05 21:00:00, 357.09433646825397, 3.9814697074290244, null, null, 357.09433646825397, 3.9814697074290244
2100-Jan-05 22:00:00, 357.10669417127394, 3.9816074912446799, null, null, 357.10669417127394, 3.9816074912446799
2100-Jan-05 23:00:00, 357.22901749607024, 3.9829713510499212, null, null, 357.22901749607024, 3.9829713510499212
2100-Jan-06 00:00:00, 357.44349067502793, 3.985362647628639, null, null, 357.44349067502793, 3.985362647628639
2100-Jan-06 01:00:00, 357.73479046199577, 3.9886105324566756, null, null, 357.73479046199577, 3.9886105324566756
2100-Jan-06 02:00:00, 358.08973510866275, 3.9925680339183218, null, null, 358.08973510866275, 3.9925680339183218
2100-Jan-06 03:00:00, 358.49459895098312, 3.9970821159387047, null, null, 358.49459895098312, 3.9970821159387047
2100-Jan-06 04:00:00, 358.93971560661095, 4.0020450019317506, null, null, 358.93971560661095, 4.0020450019317506
2100-Jan-06 05:00:00, 359.41878645470103, 4.0073864646058652, null, null, 359.41878645470103, 4.0073864646058652
2100-Jan-06 06:00:00, 359.92535582283648, 4.0130345256025484, null, null, 359.92535582283648, 4.0130345256025484
2100-Jan-06 07:00:00, 360.45305085151767, 4.0189181298966812, null, null, 360.45305085151767, 4.0189181298966812
2100-Jan-06 08:00:00, 360.99291544918998, 4.0249374203816668, null, null, 360.99291544918998, 4.0249374203816668
2100-Jan-06 09:00:00, 361.52993661970828, 4.0309250077061067, null, null, 361.52993661970828, 4.0309250077061067
2100-Jan-06 10:00:00, 362.03862843966465, 4.0365967332551715, null, null, 362.03862843966465, 4.0365967332551715
2100-Jan-06 11:00:00, 362.45605049404583, 4.0412508346928151, null, null, 362.45605049404583, 4.0412508346928151
2100-Jan-06 12:00:00, 362.69113984726084, 4.0438719939854044, null, null, 362.69113984726084, 4.0438719939854044
2100-Jan-06 13:00:00, 362.69772685541318, 4.0439454366887544, null, null, 362.69772685541318, 4.0439454366887544
2100-Jan-06 14:00:00, 362.46296507384983, 4.0413279296988618, null, null, 362.46296507384983, 4.0413279296988618
2100-Jan-06 15:00:00, 362.03261443009507, 4.0365296792739791, null, null, 362.03261443009507, 4.0365296792739791
2100-Jan-06 16:00:00, 361.51918919372446, 4.030805177883515, null, null, 361.51918919372446, 4.030805177883515
2100-Jan-06 17:00:00, 361.05005930544422, 4.0255745532325884, null, null, 361.05005930544422, 4.0255745532325884
2100-Jan-06 18:00:00, 360.71517936043131, 4.0218407657693618, null, null, 360.71517936043131, 4.0218407657693618
2100-Jan-06 19:00:00, 360.54598442763984, 4.0199543048800006, null, null, 360.54598442763984, 4.0199543048800006
2100-Jan-06 20:00:00, 360.53516234156257, 4.0198336426249952, null, null, 360.53516234156257, 4.0198336426249952
2100-Jan-06 21:00:00, 360.66069564693277, 4.0212332925257694, null, null, 360.66069564693277, 4.0212332925257694
2100-Jan-06 22:00:00, 360.90257303982679, 4.023930135948838, null, null, 360.90257303982679, 4.023930135948838
