Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 259.10422996694695, 3.8241293061308346, null, null, 259.10422996694695, 3.8241293061308346
2100-Jan-01 01:00:00, 259.44534118526258, 3.8291637797354423, null, null, 259.44534118526258, 3.8291637797354423
2100-Jan-01 02:00:00, 259.82529811445983, 3.834771578682592, null, null, 259.82529811445983, 3.834771578682592
2100-Jan-01 03:00:00, 260.23591501021195, 3.8408318892565974, null, null, 260.23591501021195, 3.8408318892565974
2100-Jan-01 04:00:00, 260.67432732851279, 3.8473024335421804, null, null, 260.67432732851279, 3.8473024335421804
2100-Jan-01 05:00:00, 261.14020895341105, 3.8541783983814595, null, null, 261.14020895341105, 3.8541783983814595
2100-Jan-01 06:00:00, 261.62818698321462, 3.8613804849114937, null, null, 261.62818698321462, 3.8613804849114937
2100-Jan-01 07:00:00, 262.13038503871991, 3.86879244534836, null, null, 262.13038503871991, 3.86879244534836
2100-Jan-01 08:00:00, 262.62034449867525, 3.8760237758822935, null, null, 262.62034449867525, 3.8760237758822935
2100-Jan-01 09:00:00, 263.02942363374808, 3.8820613905872259, null, null, 263.02942363374808, 3.8820613905872259
2100-Jan-01 10:00:00, 263.28133593544771, 3.8857793739471553, null, null, 263.28133593544771, 3.8857793739471553
2100-Jan-01 11:00:00, 263.29930734387727, 3.8860446146561038, null, null, 263.29930734387727, 3.8860446146561038
2100-Jan-01 12:00:00, 263.0615968256372, 3.8825362359650519, null, null, 263.0615968256372, 3.8825362359650519
2100-Jan-01 13:00:00, 262.60186059216022, 3.8757509711943694, null, null, 262.60186059216022, 3.8757509711943694
2100-Jan-01 14:00:00, 261.98554070429117, 3.8666546822397199, null, null, 261.98554070429117, 3.8666546822397199
2100-Jan-01 15:00:00, 261.30310731862767, 3.8565826216256158, null, null, 261.30310731862767, 3.8565826216256158
2100-Jan-01 16:00:00, 260.64584416552304, 3.8468820494429541, null, null, 260.64584416552304, 3.8468820494429541
2100-Jan-01 17:00:00, 260.09039434259478, 3.8386841441203887, null, null, 260.09039434259478, 3.8386841441203887
2100-Jan-01 18:00:00, 259.68506596972986, 3.832701887059295, null, null, 259.68506596972986, 3.832701887059295
2100-Jan-01 19:00:00, 259.44311587402007, 3.829130936281135, null, null, 259.44311587402007, 3.829130936281135
2100-Jan-01 20:00:00, 259.34719416367341, 3.8277152240649448, null, null, 259.34719416367341, 3.8277152240649448
2100-Jan-01 21:00:00, 259.36730110432609, 3.8280119831761965, null, null, 259.36730110432609, 3.8280119831761965
2100-Jan-01 22:00:00, 259.47320004751612, 3.8295749497560663, null, null, 259.47320004751612, 3.8295749497560663
2100-Jan-01 23:00:00, 259.64528634600032, 3.8321147780610731, null, null, 259.64528634600032, 3.8321147780610731
